,Date,Open,High,Low,Close
2695,2015-01-05,5.41,5.45,5.33,5.37
2694,2015-01-06,5.33,5.45,5.22,5.45
2693,2015-01-07,5.45,5.8,5.41,5.65
2692,2015-01-08,5.65,5.65,5.49,5.53
2691,2015-01-09,5.53,5.57,5.41,5.41
2690,2015-01-12,5.41,5.41,5.26,5.26
2689,2015-01-13,5.26,5.41,5.26,5.37
2688,2015-01-14,5.37,5.41,5.26,5.37
2687,2015-01-15,4.87,5.41,4.87,5.33
2686,2015-01-16,5.33,5.41,5.26,5.33
2685,2015-01-19,5.37,5.37,5.26,5.3
2684,2015-01-20,5.3,5.33,5.22,5.22
2683,2015-01-21,5.26,5.3,5.22,5.22
2682,2015-01-22,5.26,5.26,5.18,5.26
2681,2015-01-23,5.26,5.3,5.22,5.26
2680,2015-01-26,5.3,5.33,5.26,5.3
2679,2015-01-27,5.3,5.3,5.14,5.18
2678,2015-01-28,5.18,5.22,5.1,5.14
2677,2015-01-29,5.18,5.22,5.1,5.18
2676,2015-01-30,5.18,5.22,5.06,5.06
2675,2015-02-02,5.1,5.14,5.06,5.06
2674,2015-02-03,5.06,5.06,4.87,5.02
2673,2015-02-04,4.83,5.1,4.83,5.06
2672,2015-02-05,5.06,5.1,5.02,5.02
2671,2015-02-06,5.02,5.1,4.98,5.06
2670,2015-02-09,5.06,5.06,4.98,5.06
2669,2015-02-10,5.06,5.1,5.02,5.06
2668,2015-02-11,5.06,5.1,5.02,5.02
2667,2015-02-12,5.06,5.1,5.06,5.06
2666,2015-02-13,5.06,5.1,5.02,5.06
2665,2015-02-24,5.1,5.14,5.06,5.1
2664,2015-02-25,5.1,5.14,5.06,5.1
2663,2015-02-26,5.06,5.1,5.06,5.06
2662,2015-02-27,5.1,5.33,5.06,5.3
2661,2015-03-02,5.3,5.33,5.18,5.18
2660,2015-03-03,5.22,5.3,5.18,5.26
2659,2015-03-04,5.3,5.3,5.22,5.26
2658,2015-03-05,5.3,5.41,5.26,5.33
2657,2015-03-06,5.33,5.37,5.3,5.3
2656,2015-03-09,5.26,5.3,5.22,5.22
2655,2015-03-10,5.22,5.3,5.18,5.22
2654,2015-03-11,5.22,5.22,5.18,5.18
2653,2015-03-12,5.22,5.3,5.18,5.18
2652,2015-03-13,5.22,5.22,5.14,5.14
2651,2015-03-16,5.14,5.18,5.06,5.06
2650,2015-03-17,5.06,5.14,5.06,5.1
2649,2015-03-18,5.1,5.1,4.98,5.02
2648,2015-03-19,5.06,5.1,5.02,5.1
2647,2015-03-20,5.06,5.1,5.06,5.1
2646,2015-03-23,5.1,5.1,5.02,5.06
2645,2015-03-24,5.06,5.1,5.06,5.1
2644,2015-03-25,5.1,5.14,5.02,5.06
2643,2015-03-26,5.1,5.1,5.02,5.06
2642,2015-03-27,5.06,5.06,4.95,4.98
2641,2015-03-30,4.95,4.98,4.83,4.83
2640,2015-03-31,4.83,4.95,4.79,4.91
2639,2015-04-01,4.91,4.91,4.79,4.79
2638,2015-04-02,4.79,4.87,4.67,4.87
2637,2015-04-03,4.87,4.91,4.83,4.83
2636,2015-04-06,4.83,4.91,4.83,4.83
2635,2015-04-07,4.83,4.91,4.83,4.87
2634,2015-04-08,4.91,4.95,4.87,4.95
2633,2015-04-09,4.95,5.06,4.95,5.06
2632,2015-04-10,5.02,5.1,4.98,4.98
2631,2015-04-13,4.95,4.98,4.87,4.87
2630,2015-04-14,4.87,4.91,4.79,4.87
2629,2015-04-15,4.87,4.91,4.79,4.91
2628,2015-04-16,4.79,4.95,4.79,4.83
2627,2015-04-17,4.83,5.14,4.79,5.06
2626,2015-04-20,5.06,5.06,4.95,5.06
2625,2015-04-21,5.02,5.06,4.98,5.06
2624,2015-04-22,4.98,5.06,4.98,5.06
2623,2015-04-23,5.02,5.14,5.02,5.02
2622,2015-04-24,4.98,5.06,4.98,5.06
2621,2015-04-27,5.06,5.06,5.02,5.06
2620,2015-05-04,5.06,5.06,4.91,5.06
2619,2015-05-05,4.98,5.02,4.91,5.02
2618,2015-05-06,4.98,5.06,4.95,4.95
2617,2015-05-07,4.95,5.06,4.95,5.06
2616,2015-05-08,5.06,5.06,5.02,5.06
2615,2015-05-11,5.02,5.14,5.02,5.06
2614,2015-05-12,5.02,5.18,5.02,5.1
2613,2015-05-13,5.1,5.26,5.06,5.26
2612,2015-05-14,5.26,5.37,5.22,5.33
2611,2015-05-15,5.3,5.45,5.22,5.3
2610,2015-05-18,5.18,5.22,5.06,5.06
2609,2015-05-19,5.06,5.1,4.95,4.95
2608,2015-05-20,4.98,5.14,4.98,5.06
2607,2015-05-21,5.02,5.14,5.02,5.02
2606,2015-05-22,4.98,5.06,4.98,5.06
2605,2015-05-25,5.18,5.18,5.02,5.18
2604,2015-05-26,5.22,5.22,5.14,5.14
2603,2015-05-27,5.1,5.14,5.06,5.1
2602,2015-05-28,5.1,5.18,5.06,5.18
2601,2015-05-29,5.1,5.22,5.1,5.18
2600,2015-06-01,5.1,5.22,5.1,5.14
2599,2015-06-02,5.14,5.14,5.06,5.06
2598,2015-06-03,5.06,5.1,4.98,5.1
2597,2015-06-04,5.06,5.1,5.02,5.06
2596,2015-06-05,5.1,5.14,5.06,5.14
2595,2015-06-08,5.14,5.65,5.14,5.53
2594,2015-06-09,5.57,5.57,5.3,5.33
2593,2015-06-10,5.33,5.37,5.26,5.33
2592,2015-06-11,5.33,5.37,5.26,5.33
2591,2015-06-12,5.37,5.37,5.18,5.22
2590,2015-06-15,5.26,5.3,5.14,5.14
2589,2015-06-16,5.18,5.22,5.06,5.06
2588,2015-06-17,5.06,5.33,5.02,5.18
2587,2015-06-18,5.14,5.3,5.14,5.3
2586,2015-06-19,5.26,5.3,5.14,5.18
2585,2015-06-22,5.1,5.14,5.06,5.14
2584,2015-06-23,5.1,5.14,5.1,5.1
2583,2015-06-24,5.14,5.18,5.1,5.14
2582,2015-06-25,5.14,5.18,5.06,5.06
2581,2015-06-26,5.06,5.14,5.06,5.06
2580,2015-06-29,5.06,5.1,5.02,5.06
2579,2015-06-30,5.02,5.1,5.02,5.06
2578,2015-07-01,5.06,5.1,5.02,5.06
2577,2015-07-02,5.02,5.14,5.02,5.1
2576,2015-07-03,5.14,5.26,5.06,5.22
2575,2015-07-06,5.22,5.26,5.18,5.18
2574,2015-07-07,5.18,5.3,5.18,5.26
2573,2015-07-08,5.26,5.26,5.14,5.22
2572,2015-07-09,5.22,5.26,5.1,5.18
2571,2015-07-10,5.18,5.37,5.18,5.26
2570,2015-07-13,5.18,5.37,5.18,5.37
2569,2015-07-14,5.3,5.37,5.22,5.37
2568,2015-07-15,5.37,5.37,5.18,5.37
2567,2015-07-16,5.37,5.41,5.26,5.33
2566,2015-07-17,5.41,5.45,5.26,5.3
2565,2015-07-20,5.3,5.3,5.14,5.18
2564,2015-07-21,5.18,5.37,5.18,5.26
2563,2015-07-22,5.22,5.33,5.22,5.33
2562,2015-07-23,5.33,5.37,5.3,5.33
2561,2015-07-24,5.26,5.3,5.22,5.22
2560,2015-07-27,5.22,5.37,5.22,5.33
2559,2015-07-28,5.3,5.33,5.3,5.3
2558,2015-07-29,5.3,5.3,5.26,5.26
2557,2015-07-30,5.26,5.26,5.18,5.26
2556,2015-07-31,5.26,5.33,5.18,5.26
2555,2015-08-03,5.22,5.26,5.18,5.26
2554,2015-08-04,5.22,5.26,5.18,5.26
2553,2015-08-05,5.22,5.26,5.22,5.26
2552,2015-08-06,5.26,5.3,5.26,5.26
2551,2015-08-07,5.22,5.26,5.22,5.22
2550,2015-08-10,5.18,5.22,5.18,5.18
2549,2015-08-11,5.14,5.14,5.1,5.14
2548,2015-08-12,5.06,5.18,5.06,5.14
2547,2015-08-13,5.14,5.14,4.98,5.02
2546,2015-08-14,5.02,5.02,4.98,5.02
2545,2015-08-17,5.02,5.02,4.95,5.02
2544,2015-08-18,5.02,5.02,4.98,4.98
2543,2015-08-19,5.06,5.45,5.06,5.3
2542,2015-08-20,5.33,5.33,5.22,5.22
2541,2015-08-21,5.26,5.26,5.06,5.14
2540,2015-08-24,5.02,5.02,4.67,4.67
2539,2015-08-25,4.48,4.79,4.48,4.79
2538,2015-08-26,4.75,4.95,4.75,4.95
2537,2015-08-27,4.87,4.87,4.83,4.83
2536,2015-08-28,4.83,4.91,4.79,4.87
2535,2015-08-31,4.87,4.87,4.75,4.83
2534,2015-09-01,4.79,4.83,4.67,4.67
2533,2015-09-03,4.63,4.75,4.63,4.71
2532,2015-09-04,4.71,4.79,4.71,4.79
2531,2015-09-07,4.75,4.79,4.75,4.79
2530,2015-09-08,4.79,4.79,4.75,4.75
2529,2015-09-09,4.75,4.79,4.71,4.75
2528,2015-09-10,4.28,4.75,4.28,4.67
2527,2015-09-11,4.71,4.83,4.71,4.79
2526,2015-09-14,4.75,4.83,4.75,4.79
2525,2015-09-15,4.75,4.79,4.71,4.71
2524,2015-09-16,4.71,4.91,4.71,4.79
2523,2015-09-17,4.79,4.83,4.75,4.79
2522,2015-09-18,4.87,4.91,4.75,4.83
2521,2015-09-21,4.91,4.91,4.79,4.79
2520,2015-09-22,4.83,4.83,4.75,4.83
2519,2015-09-23,4.83,4.91,4.79,4.79
2518,2015-09-24,4.79,4.98,4.79,4.98
2517,2015-09-25,5.06,5.3,5.06,5.18
2516,2015-09-28,5.21,5.35,5.16,5.16
2515,2015-09-29,5.16,5.16,5.01,5.01
2514,2015-09-30,5.06,5.06,5.01,5.01
2513,2015-10-01,5.01,5.06,4.96,4.96
2512,2015-10-02,4.92,5.21,4.92,5.11
2511,2015-10-05,5.11,5.21,5.11,5.21
2510,2015-10-06,5.21,5.31,5.21,5.26
2509,2015-10-07,5.31,5.35,5.26,5.26
2508,2015-10-08,5.26,5.26,5.16,5.16
2507,2015-10-09,5.26,5.26,5.16,5.21
2506,2015-10-12,5.16,5.21,5.16,5.21
