,Date,Open,High,Low,Close
2695,2015-01-05,2.35,2.35,2.32,2.34
2694,2015-01-06,2.32,2.37,2.31,2.37
2693,2015-01-07,2.37,2.45,2.37,2.4
2692,2015-01-08,2.4,2.42,2.38,2.42
2691,2015-01-09,2.42,2.49,2.38,2.43
2690,2015-01-12,2.45,2.51,2.43,2.46
2689,2015-01-13,2.46,2.55,2.46,2.52
2688,2015-01-14,2.52,2.52,2.46,2.48
2687,2015-01-15,2.46,2.48,2.43,2.43
2686,2015-01-16,2.45,2.46,2.4,2.43
2685,2015-01-19,2.46,2.48,2.45,2.46
2684,2015-01-20,2.45,2.46,2.42,2.45
2683,2015-01-21,2.45,2.46,2.42,2.43
2682,2015-01-22,2.43,2.49,2.42,2.49
2681,2015-01-23,2.48,2.63,2.48,2.61
2680,2015-01-26,2.61,2.64,2.61,2.63
2679,2015-01-27,2.64,2.66,2.52,2.63
2678,2015-01-28,2.61,2.78,2.58,2.75
2677,2015-01-29,2.75,2.77,2.71,2.71
2676,2015-01-30,2.69,2.69,2.58,2.63
2675,2015-02-02,2.61,2.64,2.57,2.57
2674,2015-02-03,2.57,2.58,2.43,2.43
2673,2015-02-04,2.42,2.46,2.38,2.46
2672,2015-02-05,2.46,2.51,2.46,2.46
2671,2015-02-06,2.46,2.51,2.28,2.51
2670,2015-02-09,2.51,2.54,2.46,2.46
2669,2015-02-10,2.45,2.51,2.45,2.48
2668,2015-02-11,2.48,2.52,2.48,2.51
2667,2015-02-12,2.51,2.52,2.49,2.51
2666,2015-02-13,2.52,2.61,2.52,2.57
2665,2015-02-24,2.58,2.64,2.58,2.61
2664,2015-02-25,2.63,2.71,2.61,2.64
2663,2015-02-26,2.64,2.66,2.6,2.64
2662,2015-02-27,2.66,2.66,2.6,2.6
2661,2015-03-02,2.63,2.63,2.58,2.6
2660,2015-03-03,2.63,2.63,2.58,2.58
2659,2015-03-04,2.6,2.6,2.57,2.58
2658,2015-03-05,2.58,2.6,2.57,2.57
2657,2015-03-06,2.57,2.61,2.55,2.6
2656,2015-03-09,2.6,2.61,2.57,2.58
2655,2015-03-10,2.58,2.6,2.57,2.6
2654,2015-03-11,2.6,2.64,2.6,2.61
2653,2015-03-12,2.58,2.61,2.54,2.6
2652,2015-03-13,2.6,2.61,2.58,2.58
2651,2015-03-16,2.6,2.6,2.57,2.58
2650,2015-03-17,2.58,2.6,2.58,2.58
2649,2015-03-18,2.34,2.6,2.34,2.58
2648,2015-03-19,2.6,2.75,2.58,2.58
2647,2015-03-20,2.58,2.61,2.58,2.61
2646,2015-03-23,2.6,2.6,2.58,2.58
2645,2015-03-24,2.58,2.58,2.55,2.57
2644,2015-03-25,2.57,2.6,2.57,2.6
2643,2015-03-26,2.6,2.61,2.58,2.6
2642,2015-03-27,2.6,2.6,2.57,2.57
2641,2015-03-30,2.55,2.58,2.55,2.57
2640,2015-03-31,2.57,2.58,2.55,2.55
2639,2015-04-01,2.55,2.57,2.52,2.52
2638,2015-04-02,2.52,2.57,2.52,2.54
2637,2015-04-03,2.54,2.57,2.52,2.57
2636,2015-04-06,2.57,2.57,2.55,2.57
2635,2015-04-07,2.57,2.57,2.54,2.55
2634,2015-04-08,2.54,2.55,2.54,2.54
2633,2015-04-09,2.54,2.54,2.51,2.52
2632,2015-04-10,2.52,2.55,2.52,2.54
2631,2015-04-13,2.55,2.55,2.54,2.54
2630,2015-04-14,2.52,2.54,2.51,2.54
2629,2015-04-15,2.52,2.54,2.51,2.52
2628,2015-04-16,2.52,2.54,2.49,2.52
2627,2015-04-17,2.52,2.54,2.51,2.54
2626,2015-04-20,2.52,2.54,2.51,2.52
2625,2015-04-21,2.52,2.52,2.49,2.49
2624,2015-04-22,2.49,2.54,2.49,2.52
2623,2015-04-23,2.52,2.54,2.49,2.52
2622,2015-04-24,2.51,2.54,2.49,2.49
2621,2015-04-27,2.55,2.58,2.55,2.57
2620,2015-05-04,2.58,2.58,2.51,2.51
2619,2015-05-05,2.49,2.54,2.46,2.54
2618,2015-05-06,2.54,2.57,2.51,2.54
2617,2015-05-07,2.52,2.55,2.51,2.54
2616,2015-05-08,2.55,2.55,2.52,2.52
2615,2015-05-11,2.54,2.55,2.52,2.54
2614,2015-05-12,2.52,2.54,2.49,2.54
2613,2015-05-13,2.52,2.55,2.49,2.52
2612,2015-05-14,2.51,2.57,2.51,2.55
2611,2015-05-15,2.58,2.58,2.54,2.57
2610,2015-05-18,2.57,2.57,2.52,2.54
2609,2015-05-19,2.57,2.58,2.54,2.55
2608,2015-05-20,2.54,2.62,2.54,2.57
2607,2015-05-21,2.6,2.62,2.57,2.6
2606,2015-05-22,2.6,2.62,2.57,2.57
2605,2015-05-25,2.62,2.65,2.6,2.65
2604,2015-05-26,2.65,2.79,2.63,2.79
2603,2015-05-27,2.79,2.89,2.74,2.87
2602,2015-05-28,2.87,3.14,2.84,3.05
2601,2015-05-29,3.03,3.11,3.03,3.08
2600,2015-06-01,3.03,3.29,3.03,3.21
2599,2015-06-02,3.21,3.24,3.1,3.11
2598,2015-06-03,3.11,3.16,3.1,3.14
2597,2015-06-04,3.14,3.38,3.13,3.27
2596,2015-06-05,3.27,3.46,3.27,3.45
2595,2015-06-08,3.45,3.65,3.45,3.49
2594,2015-06-09,3.53,3.57,3.38,3.49
2593,2015-06-10,3.45,3.49,3.37,3.49
2592,2015-06-11,3.48,3.61,3.43,3.43
2591,2015-06-12,3.45,3.49,3.37,3.4
2590,2015-06-15,3.4,3.49,3.4,3.48
2589,2015-06-16,3.51,3.59,3.41,3.41
2588,2015-06-17,3.38,3.43,3.33,3.38
2587,2015-06-18,3.38,3.49,3.38,3.43
2586,2015-06-19,3.45,3.51,3.43,3.46
2585,2015-06-22,3.43,3.54,3.43,3.49
2584,2015-06-23,3.49,3.54,3.48,3.48
2583,2015-06-24,3.51,3.51,3.41,3.41
2582,2015-06-25,3.67,3.75,3.41,3.45
2581,2015-06-26,3.43,3.48,3.35,3.35
2580,2015-06-29,3.33,3.35,3.27,3.32
2579,2015-06-30,3.32,3.43,3.27,3.27
2578,2015-07-01,3.29,3.33,3.27,3.3
2577,2015-07-02,3.22,3.49,3.22,3.46
2576,2015-07-03,3.48,3.62,3.48,3.56
2575,2015-07-06,3.59,3.73,3.57,3.73
2574,2015-07-07,3.73,3.86,3.64,3.77
2573,2015-07-08,3.7,3.8,3.59,3.65
2572,2015-07-09,3.61,3.65,3.57,3.62
2571,2015-07-10,3.62,3.72,3.62,3.62
2570,2015-07-13,3.62,3.69,3.61,3.64
2569,2015-07-14,3.65,3.77,3.65,3.7
2568,2015-07-15,3.73,3.73,3.61,3.61
2567,2015-07-16,3.59,3.61,3.53,3.59
2566,2015-07-17,3.57,3.59,3.51,3.51
2565,2015-07-20,3.49,3.49,3.38,3.48
2564,2015-07-21,3.43,3.49,3.37,3.38
2563,2015-07-22,3.72,3.72,3.35,3.59
2562,2015-07-23,3.62,3.62,3.48,3.48
2561,2015-07-24,3.48,3.56,3.46,3.49
2560,2015-07-27,3.56,3.56,3.49,3.51
2559,2015-07-28,3.59,3.86,3.45,3.49
2558,2015-07-29,3.46,3.51,3.46,3.46
2557,2015-07-30,3.45,3.51,3.43,3.46
2556,2015-07-31,3.48,3.48,3.45,3.45
2555,2015-08-03,3.45,3.45,3.27,3.32
2554,2015-08-04,3.35,3.35,3.29,3.29
2553,2015-08-05,3.29,3.33,3.29,3.33
2552,2015-08-06,3.35,3.35,3.27,3.27
2551,2015-08-07,3.27,3.32,3.25,3.27
2550,2015-08-10,3.27,3.38,3.24,3.38
2549,2015-08-11,3.4,3.45,3.33,3.33
2548,2015-08-12,3.33,3.38,3.25,3.27
2547,2015-08-13,3.25,3.27,3.19,3.21
2546,2015-08-14,3.21,3.21,3.14,3.16
2545,2015-08-17,3.16,3.16,2.97,2.98
2544,2015-08-18,2.97,3.05,2.9,3.03
2543,2015-08-19,3.03,3.11,2.98,3.06
2542,2015-08-20,3.1,3.1,3.02,3.02
2541,2015-08-21,3.0,3.02,2.92,3.02
2540,2015-08-24,3.1,3.3,2.73,2.73
2539,2015-08-25,2.74,2.87,2.65,2.84
2538,2015-08-26,2.87,2.95,2.84,2.94
2537,2015-08-27,2.95,3.02,2.9,2.97
2536,2015-08-28,2.97,3.0,2.95,3.0
2535,2015-08-31,3.0,3.02,2.92,2.92
2534,2015-09-01,2.94,2.94,2.87,2.9
2533,2015-09-03,2.9,2.94,2.87,2.89
2532,2015-09-04,2.84,2.9,2.84,2.86
2531,2015-09-07,2.86,2.92,2.86,2.89
2530,2015-09-08,2.89,3.03,2.87,3.03
2529,2015-09-09,3.05,3.11,3.05,3.11
2528,2015-09-10,3.06,3.11,3.0,3.06
2527,2015-09-11,3.06,3.08,3.02,3.03
2526,2015-09-14,3.05,3.1,2.98,3.02
2525,2015-09-15,3.03,3.03,2.95,2.98
2524,2015-09-16,2.95,3.0,2.95,2.98
