,Date,Open,High,Low,Close
2700,2015-01-05,5.26,5.35,5.26,5.35
2699,2015-01-06,5.26,5.35,5.18,5.35
2698,2015-01-07,5.35,5.52,5.35,5.44
2697,2015-01-08,5.44,5.52,5.35,5.44
2696,2015-01-09,5.44,5.61,5.35,5.52
2695,2015-01-12,5.52,5.52,5.35,5.44
2694,2015-01-13,5.35,5.52,5.35,5.44
2693,2015-01-14,5.44,5.52,5.35,5.52
2692,2015-01-15,5.52,5.52,5.44,5.52
2691,2015-01-16,5.44,5.7,5.44,5.44
2690,2015-01-19,5.52,5.78,5.52,5.78
2689,2015-01-20,5.78,5.78,5.61,5.7
2688,2015-01-21,5.61,5.7,5.52,5.52
2687,2015-01-22,5.61,5.61,5.52,5.61
2686,2015-01-23,5.7,5.7,5.52,5.61
2685,2015-01-26,5.7,5.7,5.52,5.7
2684,2015-01-27,5.61,5.78,5.52,5.61
2683,2015-01-28,5.52,5.61,5.52,5.52
2682,2015-01-29,5.61,5.61,5.44,5.52
2681,2015-01-30,5.52,5.61,5.35,5.44
2680,2015-02-02,5.52,5.52,5.26,5.35
2679,2015-02-03,5.35,5.35,5.09,5.18
2678,2015-02-04,5.18,5.18,5.09,5.18
2677,2015-02-05,5.18,5.35,5.18,5.18
2676,2015-02-06,5.26,5.26,5.18,5.18
2675,2015-02-09,5.26,5.35,5.09,5.18
2674,2015-02-10,5.26,5.26,5.09,5.26
2673,2015-02-11,5.26,5.35,5.18,5.35
2672,2015-02-12,5.26,5.44,5.26,5.35
2671,2015-02-13,5.26,5.44,5.26,5.26
2670,2015-02-24,5.35,5.44,5.35,5.44
2669,2015-02-25,5.35,5.44,5.35,5.44
2668,2015-02-26,5.44,5.44,5.26,5.35
2667,2015-02-27,5.35,5.44,5.26,5.26
2666,2015-03-02,5.26,5.35,5.18,5.26
2665,2015-03-03,5.26,5.35,5.09,5.26
2664,2015-03-04,5.35,5.61,5.35,5.61
2663,2015-03-05,5.7,5.7,5.52,5.52
2662,2015-03-06,5.52,5.52,5.44,5.52
2661,2015-03-09,5.44,5.52,5.35,5.35
2660,2015-03-10,5.35,5.61,5.35,5.44
2659,2015-03-11,5.44,5.52,5.35,5.44
2658,2015-03-12,5.52,5.52,5.44,5.44
2657,2015-03-13,5.44,5.52,5.35,5.44
2656,2015-03-16,5.52,5.52,5.35,5.35
2655,2015-03-17,5.35,5.44,5.35,5.35
2654,2015-03-18,5.35,5.44,5.26,5.35
2653,2015-03-19,5.44,5.44,5.18,5.26
2652,2015-03-20,5.18,5.26,5.18,5.26
2651,2015-03-23,5.26,5.35,5.18,5.26
2650,2015-03-24,5.18,5.18,5.01,5.18
2649,2015-03-25,5.18,5.26,5.01,5.01
2648,2015-03-26,5.09,5.18,5.01,5.01
2647,2015-03-27,5.09,5.09,4.92,5.01
2646,2015-03-30,5.09,5.09,4.83,4.83
2645,2015-03-31,4.83,5.01,4.83,4.92
2644,2015-04-01,4.92,5.01,4.75,4.75
2643,2015-04-02,4.92,5.01,4.66,5.01
2642,2015-04-03,5.01,5.01,4.83,4.92
2641,2015-04-06,4.92,4.92,4.83,4.83
2640,2015-04-07,4.83,5.01,4.83,5.01
2639,2015-04-08,5.01,5.01,4.92,4.92
