,Date,Open,High,Low,Close
2700,2015-01-05,4.75,4.75,4.47,4.66
2699,2015-01-06,4.56,4.66,4.38,4.56
2698,2015-01-07,4.56,4.66,4.56,4.66
2697,2015-01-08,4.56,4.66,4.47,4.66
2696,2015-01-09,4.56,4.75,4.56,4.66
2695,2015-01-12,4.66,4.66,4.56,4.56
2694,2015-01-13,4.56,4.66,4.47,4.56
2693,2015-01-14,4.56,4.66,4.47,4.66
2692,2015-01-15,4.66,4.66,4.56,4.66
2691,2015-01-16,4.66,4.84,4.56,4.66
2690,2015-01-19,4.75,4.84,4.66,4.66
2689,2015-01-20,4.75,4.75,4.66,4.75
2688,2015-01-21,4.75,4.75,4.66,4.75
2687,2015-01-22,4.75,4.75,4.66,4.75
2686,2015-01-23,4.75,4.84,4.66,4.66
2685,2015-01-26,4.66,4.75,4.66,4.66
2684,2015-01-27,4.66,4.75,4.47,4.66
2683,2015-01-28,4.56,4.66,4.56,4.56
2682,2015-01-29,4.56,4.66,4.47,4.66
2681,2015-01-30,4.66,4.66,4.47,4.47
2680,2015-02-02,4.47,4.47,4.38,4.38
2679,2015-02-03,4.47,4.47,4.1,4.19
2678,2015-02-04,4.19,4.28,4.19,4.28
2677,2015-02-05,4.28,4.38,4.19,4.19
2676,2015-02-06,4.28,4.28,4.19,4.19
2675,2015-02-09,4.19,4.19,4.0,4.19
2674,2015-02-10,4.19,4.19,4.1,4.1
2673,2015-02-11,4.19,4.28,4.19,4.28
2672,2015-02-12,4.28,4.38,4.19,4.28
2671,2015-02-13,4.38,4.38,4.28,4.28
2670,2015-02-24,4.38,4.38,4.28,4.38
2669,2015-02-25,4.47,4.47,4.28,4.38
2668,2015-02-26,4.38,4.47,4.28,4.38
2667,2015-02-27,4.38,4.38,4.28,4.38
2666,2015-03-02,4.38,4.38,4.28,4.38
2665,2015-03-03,4.38,4.47,4.38,4.47
2664,2015-03-04,4.47,4.56,4.47,4.47
2663,2015-03-05,4.47,4.66,4.47,4.66
2662,2015-03-06,4.66,4.66,4.56,4.66
2661,2015-03-09,4.56,4.56,4.47,4.47
2660,2015-03-10,4.56,4.56,4.47,4.47
2659,2015-03-11,4.47,4.56,4.47,4.56
2658,2015-03-12,4.47,4.47,4.47,4.47
2657,2015-03-13,4.47,4.47,4.38,4.47
2656,2015-03-16,4.47,4.47,4.38,4.47
2655,2015-03-17,4.47,4.47,4.38,4.47
2654,2015-03-18,4.38,4.47,4.38,4.38
2653,2015-03-19,4.38,4.47,4.28,4.38
2652,2015-03-20,4.28,4.38,4.28,4.28
2651,2015-03-23,4.38,4.38,4.19,4.28
2650,2015-03-24,4.28,4.28,4.19,4.28
2649,2015-03-25,4.28,4.28,4.1,4.28
2648,2015-03-26,4.28,4.28,4.19,4.19
2647,2015-03-27,4.19,4.19,4.1,4.1
2646,2015-03-30,4.19,4.19,4.0,4.0
2645,2015-03-31,4.1,4.1,4.0,4.0
2644,2015-04-01,4.0,4.0,3.82,4.0
2643,2015-04-02,4.0,4.1,3.91,4.1
2642,2015-04-03,4.1,4.1,3.91,4.0
2641,2015-04-06,4.0,4.0,3.91,3.91
2640,2015-04-07,3.91,4.0,3.91,4.0
2639,2015-04-08,4.0,4.1,4.0,4.1
2638,2015-04-09,4.0,4.19,4.0,4.1
2637,2015-04-10,4.1,4.19,4.1,4.1
2636,2015-04-13,4.1,4.1,4.0,4.0
2635,2015-04-14,4.0,4.1,4.0,4.0
2634,2015-04-15,4.0,4.0,3.91,4.0
2633,2015-04-16,4.1,4.1,4.0,4.1
2632,2015-04-17,4.0,4.1,3.91,3.91
2631,2015-04-20,4.0,4.0,3.91,4.0
2630,2015-04-21,4.0,4.0,3.91,3.91
2629,2015-04-22,3.91,3.91,3.82,3.82
2628,2015-04-23,3.91,4.0,3.72,3.82
2627,2015-04-24,3.82,3.91,3.72,3.72
2626,2015-04-27,3.82,3.82,3.72,3.82
2625,2015-05-04,3.82,3.82,3.54,3.72
2624,2015-05-05,3.63,3.63,3.44,3.54
2623,2015-05-06,3.54,3.63,3.35,3.35
2622,2015-05-07,3.07,3.44,3.07,3.35
2621,2015-05-08,3.35,3.44,3.35,3.44
2620,2015-05-11,3.44,3.54,3.35,3.44
2619,2015-05-12,3.44,3.44,3.26,3.35
2618,2015-05-13,3.35,3.35,3.26,3.26
2617,2015-05-14,3.26,3.35,3.26,3.35
2616,2015-05-15,3.35,3.35,3.26,3.26
2615,2015-05-18,3.17,3.26,3.17,3.17
2614,2015-05-19,3.17,3.26,3.07,3.26
2613,2015-05-20,3.26,3.54,3.17,3.44
2612,2015-05-21,3.44,3.44,3.35,3.44
2611,2015-05-22,3.44,3.54,3.44,3.44
2610,2015-05-25,3.44,3.54,3.44,3.54
2609,2015-05-26,3.54,3.63,3.44,3.54
2608,2015-05-27,3.63,3.82,3.54,3.72
2607,2015-05-28,3.72,3.91,3.63,3.82
2606,2015-05-29,3.72,3.82,3.63,3.72
2605,2015-06-01,3.72,3.82,3.63,3.63
2604,2015-06-02,3.63,3.72,3.63,3.63
2603,2015-06-03,3.63,3.72,3.63,3.72
2602,2015-06-04,3.72,4.0,3.72,4.0
2601,2015-06-05,4.0,4.19,3.82,4.1
2600,2015-06-08,4.1,4.19,4.0,4.0
2599,2015-06-09,4.0,4.1,3.91,3.91
2598,2015-06-10,3.91,4.0,3.91,4.0
2597,2015-06-11,4.0,4.1,4.0,4.1
2596,2015-06-12,4.1,4.38,4.1,4.28
2595,2015-06-15,4.28,4.47,4.28,4.28
2594,2015-06-16,4.28,4.38,4.1,4.19
2593,2015-06-17,4.19,4.19,4.0,4.0
2592,2015-06-18,4.0,4.1,4.0,4.1
2591,2015-06-19,4.1,4.1,4.0,4.0
2590,2015-06-22,4.0,4.1,3.91,4.0
2589,2015-06-23,4.0,4.0,3.91,3.91
2588,2015-06-24,4.0,4.0,3.91,3.91
2587,2015-06-25,3.91,4.0,3.82,3.91
2586,2015-06-26,3.91,4.19,3.91,4.1
2585,2015-06-29,4.1,4.1,3.91,4.0
2584,2015-06-30,3.91,4.0,3.91,4.0
2583,2015-07-01,4.0,4.0,3.91,4.0
2582,2015-07-02,3.91,4.0,3.91,3.91
2581,2015-07-03,4.0,4.0,4.0,4.0
2580,2015-07-06,4.0,4.1,3.91,4.0
2579,2015-07-07,3.91,4.1,3.91,4.0
2578,2015-07-08,4.0,4.0,3.91,4.0
2577,2015-07-09,3.82,3.91,3.82,3.82
2576,2015-07-10,3.82,3.82,3.72,3.82
2575,2015-07-13,3.91,4.0,3.82,3.82
2574,2015-07-14,3.91,4.0,3.82,3.91
2573,2015-07-15,3.82,3.91,3.72,3.91
2572,2015-07-16,3.72,3.91,3.72,3.82
2571,2015-07-17,3.72,3.82,3.72,3.82
2570,2015-07-20,3.72,3.82,3.72,3.82
2569,2015-07-21,3.72,3.72,3.63,3.72
2568,2015-07-22,3.63,3.72,3.63,3.72
