,Date,Open,High,Low,Close
1949,2018-01-04,35.09,35.09,35.09,35.09
1948,2018-01-05,37.49,37.49,37.49,37.49
1947,2018-01-08,40.09,40.09,40.09,40.09
1946,2018-01-09,42.88,42.88,42.88,42.88
1945,2018-01-10,45.87,45.87,45.87,45.87
1944,2018-01-11,44.18,45.87,42.69,42.69
1943,2018-01-12,44.83,44.83,42.23,42.88
1942,2018-01-15,42.88,43.21,41.52,41.78
1941,2018-01-16,41.0,41.65,40.54,41.65
1940,2018-01-17,42.88,43.53,42.23,42.36
1939,2018-01-18,42.23,42.23,40.15,42.04
1938,2018-01-19,42.04,42.43,40.93,42.17
1937,2018-01-22,42.17,43.21,42.17,43.01
1936,2018-01-23,43.01,43.01,43.01,43.01
1935,2018-01-24,43.01,43.01,43.01,43.01
1934,2018-01-25,43.53,43.53,42.23,43.21
1933,2018-01-26,43.34,43.4,42.88,43.14
1932,2018-01-29,40.93,43.08,40.8,42.75
1931,2018-01-30,41.58,42.75,41.26,42.3
1930,2018-01-31,43.53,43.53,42.69,42.82
1929,2018-02-01,43.21,44.7,42.88,44.7
1928,2018-02-02,45.48,45.48,44.7,45.29
1927,2018-02-05,45.03,45.03,44.31,44.57
1926,2018-02-06,42.23,43.4,41.45,41.78
1925,2018-02-07,43.08,43.21,42.3,43.21
1924,2018-02-08,43.21,43.86,42.56,43.53
1923,2018-02-09,42.23,42.75,41.58,42.62
1922,2018-02-12,43.21,45.42,43.14,43.6
1921,2018-02-13,44.83,44.83,43.73,44.12
1920,2018-02-21,44.51,46.78,44.51,46.26
1919,2018-02-22,46.78,46.78,45.48,46.33
1918,2018-02-23,46.78,46.78,46.46,46.78
1917,2018-02-26,46.78,47.82,46.13,46.78
1916,2018-02-27,46.91,46.91,46.2,46.52
1915,2018-02-28,46.52,46.52,46.26,46.52
1914,2018-03-01,46.78,46.91,46.52,46.78
1913,2018-03-02,46.65,50.03,46.52,49.9
1912,2018-03-05,50.68,51.98,50.68,51.33
1911,2018-03-06,51.33,51.33,50.22,51.13
1910,2018-03-07,51.13,53.28,50.55,50.94
1909,2018-03-08,51.33,52.63,50.94,52.63
1908,2018-03-09,52.95,55.42,52.95,55.16
1907,2018-03-12,55.68,55.88,54.06,54.06
1906,2018-03-13,53.93,54.45,52.63,53.86
1905,2018-03-14,54.38,54.71,53.86,54.25
1904,2018-03-15,54.58,54.58,50.48,50.48
1903,2018-03-16,50.48,53.28,50.35,53.28
1902,2018-03-19,53.86,53.86,52.17,52.89
1901,2018-03-20,53.21,53.54,52.04,53.28
1900,2018-03-21,52.17,53.6,49.7,49.7
1899,2018-03-22,51.33,51.33,48.47,50.03
1898,2018-03-23,47.43,50.03,47.43,49.9
1897,2018-03-26,49.9,50.48,49.83,50.42
1896,2018-03-27,51.65,53.28,51.33,53.28
1895,2018-03-28,53.6,53.6,51.33,52.43
1894,2018-03-29,52.63,52.82,51.33,51.98
1893,2018-03-30,52.17,52.24,50.68,51.98
1892,2018-04-02,51.98,51.98,51.39,51.85
1891,2018-04-03,51.98,53.21,51.98,52.3
1890,2018-04-04,53.08,53.08,51.98,52.56
