,Date,Open,High,Low,Close
1949,2017-12-28,13.3,13.3,13.3,13.3
1948,2017-12-29,14.46,14.46,14.46,14.46
1947,2018-01-02,15.03,15.03,15.03,15.03
1946,2018-01-03,15.03,15.03,15.03,15.03
1945,2018-01-04,14.74,14.74,14.74,14.74
1944,2018-01-05,14.74,14.74,14.74,14.74
1943,2018-01-08,15.32,15.32,14.57,14.57
1942,2018-01-09,15.03,15.03,13.88,13.88
1941,2018-01-10,14.17,14.17,14.17,14.17
1940,2018-01-11,14.17,14.17,14.17,14.17
1939,2018-01-12,14.46,14.46,14.46,14.46
1938,2018-01-15,16.59,16.59,15.38,15.38
1937,2018-01-16,14.17,14.17,14.17,14.17
1936,2018-01-17,14.17,14.17,14.17,14.17
1935,2018-01-18,14.17,14.17,14.17,14.17
1934,2018-01-19,14.17,14.17,14.17,14.17
1933,2018-01-22,14.17,14.17,14.17,14.17
1932,2018-01-23,14.46,14.46,14.46,14.46
1931,2018-01-24,14.63,15.26,14.63,15.26
1930,2018-01-25,15.32,15.55,15.32,15.55
1929,2018-01-26,16.19,16.19,14.05,14.34
1928,2018-01-29,14.11,14.28,14.11,14.28
1927,2018-01-30,13.93,13.93,13.88,13.88
1926,2018-01-31,13.76,14.22,13.76,14.22
1925,2018-02-01,14.28,14.28,14.28,14.28
1924,2018-02-02,13.93,13.93,13.93,13.93
1923,2018-02-05,13.99,15.03,13.99,14.11
1922,2018-02-06,13.3,13.3,13.01,13.01
1921,2018-02-07,13.18,13.47,13.18,13.47
1920,2018-02-08,13.3,13.3,13.18,13.3
1919,2018-02-09,13.01,13.24,13.01,13.24
1918,2018-02-12,13.13,13.3,13.13,13.3
1917,2018-02-13,13.07,13.36,13.01,13.36
1916,2018-02-21,13.13,13.3,13.13,13.3
1915,2018-02-22,13.01,13.3,13.01,13.36
1914,2018-02-23,13.07,13.36,13.07,13.36
1913,2018-02-26,13.36,13.41,13.36,13.41
1912,2018-02-27,13.3,13.41,13.3,13.41
1911,2018-02-28,13.41,13.47,13.41,13.47
1910,2018-03-01,13.18,13.59,13.18,13.59
1909,2018-03-02,13.24,13.3,13.18,13.3
1908,2018-03-05,13.18,13.65,13.18,13.3
1907,2018-03-06,13.3,13.36,13.3,13.36
1906,2018-03-07,13.3,13.36,13.18,13.18
1905,2018-03-08,13.24,13.24,13.18,13.18
1904,2018-03-09,13.18,13.24,13.18,13.24
1903,2018-03-12,13.18,13.3,13.18,13.3
1902,2018-03-13,13.18,13.3,13.18,13.3
1901,2018-03-14,13.24,13.3,13.24,13.3
1900,2018-03-15,13.3,13.36,13.3,13.36
1899,2018-03-16,13.3,13.3,13.3,13.3
1898,2018-03-19,13.36,13.36,13.36,13.36
1897,2018-03-20,13.36,13.36,13.36,13.36
1896,2018-03-21,13.36,13.36,13.36,13.36
1895,2018-03-22,13.36,13.65,13.36,13.36
1894,2018-03-23,13.36,13.36,13.36,13.36
1893,2018-03-26,13.36,13.47,13.36,13.41
1892,2018-03-27,13.36,13.47,13.36,13.47
1891,2018-03-28,13.18,13.18,13.13,13.13
1890,2018-03-29,13.18,13.18,13.13,13.13
1889,2018-03-30,13.18,13.18,13.13,13.18
1888,2018-04-02,13.13,13.59,13.13,13.59
1887,2018-04-03,13.13,13.18,13.13,13.18
1886,2018-04-04,13.13,13.13,13.13,13.13
1885,2018-04-05,13.13,13.18,13.13,13.18
1884,2018-04-06,13.13,13.18,13.13,13.18
1883,2018-04-09,13.07,13.13,13.07,13.13
1882,2018-04-10,13.07,13.13,13.07,13.13
1881,2018-04-11,13.24,13.24,13.24,13.24
1880,2018-04-12,13.18,13.18,13.13,13.13
1879,2018-04-13,13.13,13.24,13.13,13.24
1878,2018-04-16,13.13,13.13,13.13,13.13
1877,2018-04-17,13.13,13.13,13.13,13.13
1876,2018-04-18,13.13,13.13,13.07,13.07
1875,2018-04-19,13.13,13.13,13.07,13.13
1874,2018-04-20,13.13,13.13,13.13,13.13
1873,2018-04-23,13.13,13.13,13.07,13.07
1872,2018-04-24,13.13,13.18,13.13,13.18
1871,2018-04-26,13.13,13.13,13.07,13.07
1870,2018-04-27,13.07,13.07,13.07,13.07
1869,2018-05-02,13.41,13.41,13.13,13.13
1868,2018-05-03,13.07,13.07,13.07,13.07
1867,2018-05-04,13.07,13.07,13.07,13.07
1866,2018-05-07,13.07,13.07,13.07,13.07
1865,2018-05-08,13.07,13.07,13.07,13.07
1864,2018-05-09,13.13,13.13,13.13,13.13
1863,2018-05-10,13.41,13.41,13.41,13.41
1862,2018-05-11,13.07,13.07,13.01,13.01
1861,2018-05-14,13.01,13.01,13.01,13.01
1860,2018-05-15,13.01,13.01,12.95,12.95
1859,2018-05-16,13.01,13.01,12.95,12.95
1858,2018-05-17,12.95,12.95,12.95,12.95
1857,2018-05-18,12.95,12.95,12.95,12.95
1856,2018-05-21,12.95,12.95,12.95,12.95
1855,2018-05-22,12.95,12.95,12.89,12.89
1854,2018-05-23,12.95,12.95,12.95,12.95
1853,2018-05-24,12.95,12.95,12.89,12.89
1852,2018-05-25,12.89,12.89,12.89,12.89
1851,2018-05-28,12.89,12.89,12.84,12.84
1850,2018-05-29,12.84,12.95,12.84,12.95
1849,2018-05-30,12.89,12.89,12.89,12.89
1848,2018-05-31,12.89,12.95,12.84,12.95
1847,2018-06-01,12.89,12.89,12.84,12.84
1846,2018-06-04,12.84,12.95,12.84,12.95
1845,2018-06-05,12.89,12.89,12.84,12.84
1844,2018-06-06,12.89,12.89,12.89,12.89
1843,2018-06-07,12.89,12.89,12.84,12.84
1842,2018-06-08,12.89,12.89,12.84,12.84
1841,2018-06-11,12.89,12.89,12.84,12.84
1840,2018-06-12,12.89,12.89,12.84,12.84
1839,2018-06-13,12.84,12.84,12.78,12.78
1838,2018-06-14,12.84,12.84,12.78,12.78
1837,2018-06-15,12.78,12.78,12.78,12.78
1836,2018-06-18,12.78,12.78,12.72,12.72
1835,2018-06-19,12.78,12.78,12.72,12.72
1834,2018-06-20,12.78,12.78,12.78,12.78
1833,2018-06-21,12.78,12.78,12.78,12.78
1832,2018-06-22,12.78,12.78,12.72,12.72
1831,2018-06-25,12.78,12.78,12.72,12.72
1830,2018-06-26,12.72,12.72,12.72,12.72
1829,2018-06-27,12.72,12.72,12.72,12.72
1828,2018-06-28,12.72,12.72,12.72,12.72
1827,2018-06-29,12.72,12.72,12.72,12.72
1826,2018-07-02,12.72,12.72,12.72,12.72
1825,2018-07-03,12.72,12.72,12.72,12.72
1824,2018-07-04,12.72,12.72,12.72,12.72
1823,2018-07-05,12.66,12.66,12.6,12.6
1822,2018-07-06,12.43,12.43,12.26,12.26
1821,2018-07-09,12.14,12.14,11.91,11.91
1820,2018-07-10,12.03,12.03,11.85,11.85
1819,2018-07-11,11.85,11.85,11.85,11.85
1818,2018-07-12,11.85,11.85,11.8,11.85
1817,2018-07-13,11.85,11.85,11.85,11.85
1816,2018-07-16,11.85,11.85,11.85,11.85
1815,2018-07-17,11.85,11.85,11.85,11.85
1814,2018-07-18,11.85,11.85,11.8,11.8
1813,2018-07-19,11.85,11.85,11.8,11.8
1812,2018-07-20,11.85,11.85,11.85,11.85
1811,2018-07-23,11.85,11.91,11.85,11.91
1810,2018-07-24,11.85,11.85,11.85,11.85
1809,2018-07-25,11.85,11.85,11.85,11.85
1808,2018-07-26,11.85,11.85,11.85,11.85
1807,2018-07-27,11.85,11.85,11.85,11.85
1806,2018-07-30,11.85,11.85,11.85,11.85
1805,2018-07-31,11.85,11.85,11.85,11.85
1804,2018-08-01,11.85,11.85,11.85,11.85
1803,2018-08-02,11.85,11.85,11.85,11.85
1802,2018-08-03,11.85,11.85,11.85,11.85
1801,2018-08-06,11.85,11.85,11.85,11.85
1800,2018-08-07,11.85,11.85,11.85,11.85
1799,2018-08-08,11.85,11.85,11.85,11.85
1798,2018-08-09,11.85,11.85,11.85,11.85
1797,2018-08-10,11.85,11.85,11.85,11.85
1796,2018-08-13,11.85,11.85,11.85,11.85
1795,2018-08-14,11.85,11.85,11.85,11.85
1794,2018-08-15,11.8,11.8,11.8,11.8
1793,2018-08-16,11.85,11.85,11.85,11.85
1792,2018-08-17,11.85,11.85,11.85,11.85
1791,2018-08-20,11.85,11.85,11.85,11.85
1790,2018-08-21,11.85,11.85,11.8,11.8
1789,2018-08-22,11.85,11.85,11.85,11.85
1788,2018-08-23,11.8,11.8,11.8,11.8
1787,2018-08-24,11.85,11.85,11.85,11.85
1786,2018-08-27,11.8,11.8,11.8,11.8
1785,2018-08-28,11.85,11.85,11.85,11.85
1784,2018-08-29,11.91,11.91,11.91,11.91
1783,2018-08-30,11.85,11.85,11.85,11.85
1782,2018-08-31,11.85,11.85,11.85,11.85
1781,2018-09-04,11.85,11.85,11.85,11.85
1780,2018-09-05,11.85,11.85,11.85,11.85
1779,2018-09-06,11.85,11.85,11.85,11.85
1778,2018-09-07,11.85,11.85,11.85,11.85
1777,2018-09-10,11.91,11.91,11.91,11.91
1776,2018-09-11,11.85,11.85,11.85,11.85
1775,2018-09-12,11.85,11.85,11.85,11.85
1774,2018-09-13,11.8,11.97,11.8,11.97
1773,2018-09-14,11.91,11.91,11.91,11.91
1772,2018-09-17,11.91,11.91,11.91,11.91
1771,2018-09-18,11.91,11.91,11.91,11.91
