,Date,Open,High,Low,Close
2514,2015-10-07,8.3,10.03,8.3,8.88
2513,2015-10-08,8.99,8.99,8.64,8.78
2512,2015-10-09,8.78,8.78,8.57,8.75
2511,2015-10-12,8.57,8.57,8.16,8.16
2510,2015-10-13,7.61,7.95,7.61,7.74
2509,2015-10-14,7.88,8.19,7.88,8.19
2508,2015-10-15,8.12,8.3,8.02,8.26
2507,2015-10-16,8.3,8.33,8.3,8.3
2506,2015-10-19,8.3,8.33,8.3,8.3
2505,2015-10-20,8.3,8.47,8.3,8.47
2504,2015-10-21,8.4,8.44,8.33,8.33
2503,2015-10-22,8.33,8.4,8.33,8.37
2502,2015-10-23,8.37,8.68,8.37,8.68
2501,2015-10-26,8.64,8.75,8.61,8.61
2500,2015-10-27,8.64,8.92,8.64,8.92
2499,2015-10-28,8.92,9.33,8.92,9.27
2498,2015-10-29,9.4,9.89,9.4,9.89
2497,2015-10-30,10.37,10.37,9.89,9.89
2496,2015-11-02,10.09,10.09,9.23,9.33
2495,2015-11-03,9.37,9.54,8.99,9.54
2494,2015-11-04,9.54,9.54,9.06,9.13
2493,2015-11-05,9.06,9.27,9.06,9.13
2492,2015-11-06,9.2,9.51,9.2,9.33
2491,2015-11-09,9.44,9.44,9.16,9.16
2490,2015-11-10,9.13,9.23,9.09,9.09
2489,2015-11-11,9.16,9.16,9.06,9.06
2488,2015-11-12,9.02,9.16,8.99,9.06
2487,2015-11-13,9.06,9.37,9.06,9.37
2486,2015-11-16,9.33,9.37,9.16,9.37
2485,2015-11-17,9.4,9.4,9.33,9.33
2484,2015-11-18,9.37,9.37,9.13,9.16
2483,2015-11-19,9.16,9.16,8.99,9.16
2482,2015-11-20,9.16,9.47,9.16,9.2
2481,2015-11-23,9.3,9.3,9.27,9.27
2480,2015-11-24,9.16,9.3,9.16,9.16
2479,2015-11-25,9.16,9.78,9.16,9.75
2478,2015-11-26,9.82,9.82,9.61,9.61
2477,2015-11-27,9.78,9.78,9.27,9.27
2476,2015-11-30,9.54,9.54,9.16,9.2
2475,2015-12-01,9.16,9.33,9.16,9.3
2474,2015-12-02,9.33,9.33,9.3,9.3
2473,2015-12-03,9.33,9.37,9.23,9.23
2472,2015-12-04,9.2,9.3,9.16,9.27
2471,2015-12-07,9.2,9.3,9.09,9.27
2470,2015-12-08,9.16,9.27,9.16,9.27
2469,2015-12-09,9.27,9.33,9.16,9.33
2468,2015-12-10,9.16,9.2,9.13,9.2
2467,2015-12-11,9.2,9.2,9.16,9.16
2466,2015-12-14,9.13,9.16,9.13,9.13
2465,2015-12-15,9.2,9.2,9.13,9.16
2464,2015-12-16,9.16,9.2,9.13,9.13
2463,2015-12-17,9.23,9.23,9.13,9.13
2462,2015-12-18,9.09,9.13,9.09,9.13
2461,2015-12-21,9.09,9.2,9.09,9.16
2460,2015-12-22,9.16,9.27,9.16,9.27
2459,2015-12-23,9.27,9.27,9.27,9.27
2458,2015-12-24,9.2,9.27,9.13,9.2
2457,2015-12-25,9.16,9.16,9.09,9.16
2456,2015-12-28,9.16,9.16,9.16,9.16
2455,2015-12-29,9.09,9.16,8.99,9.16
2454,2015-12-30,9.23,9.68,9.2,9.37
2453,2015-12-31,9.65,9.65,9.27,9.33
2452,2016-01-04,9.27,9.33,9.27,9.33
2451,2016-01-05,9.33,9.33,9.16,9.16
2450,2016-01-06,9.2,9.33,9.16,9.33
2449,2016-01-07,9.27,9.27,9.16,9.27
2448,2016-01-08,9.09,9.16,8.99,9.09
2447,2016-01-11,8.64,9.23,8.64,9.2
2446,2016-01-12,9.2,9.2,9.2,9.2
2445,2016-01-13,9.16,9.2,9.06,9.06
2444,2016-01-14,9.06,9.06,8.99,8.99
2443,2016-01-15,8.99,8.99,8.99,8.99
2442,2016-01-18,8.75,8.92,8.4,8.47
