,Date,Open,High,Low,Close
2235,2016-10-28,41.38,41.38,41.38,41.38
2234,2016-10-31,47.52,47.52,47.52,47.52
2233,2016-11-01,54.65,54.65,54.65,54.65
2232,2016-11-02,62.83,62.83,62.83,62.83
2231,2016-11-03,72.23,72.23,72.23,72.23
2230,2016-11-04,82.99,82.99,82.99,82.99
2229,2016-11-07,95.42,95.42,95.42,95.42
2228,2016-11-08,109.67,109.67,109.14,109.67
2227,2016-11-09,126.12,126.12,93.3,103.91
2226,2016-11-10,109.9,122.41,95.58,97.02
2225,2016-11-11,97.02,97.02,87.47,87.47
2224,2016-11-14,75.87,92.47,75.87,81.1
2223,2016-11-15,83.37,87.47,81.1,83.37
2222,2016-11-16,83.37,83.37,78.98,79.05
2221,2016-11-17,76.85,77.92,75.57,75.79
2220,2016-11-18,77.69,77.99,75.04,75.87
2219,2016-11-21,76.17,81.86,75.79,81.1
2218,2016-11-22,82.54,86.4,81.86,81.86
2217,2016-11-23,81.86,83.37,81.1,81.33
2216,2016-11-24,80.34,82.54,78.9,79.58
2215,2016-11-25,78.14,82.46,78.14,80.49
2214,2016-11-28,81.86,84.13,79.96,80.34
2213,2016-11-29,81.1,82.92,79.89,81.1
2212,2016-11-30,80.34,80.8,79.58,80.42
2211,2016-12-01,80.42,84.13,80.34,82.99
2210,2016-12-02,82.99,84.13,81.63,84.13
2209,2016-12-05,83.07,83.37,81.86,83.22
2208,2016-12-06,83.37,84.74,72.0,75.79
2207,2016-12-07,75.79,90.27,66.77,88.22
2206,2016-12-08,87.92,94.21,79.66,94.21
2205,2016-12-09,94.21,102.85,88.45,102.85
2204,2016-12-12,97.92,112.48,92.09,112.48
2203,2016-12-13,108.38,122.18,108.38,122.18
2202,2016-12-14,122.03,136.96,121.27,136.96
2201,2016-12-15,152.65,152.65,132.64,152.65
2200,2016-12-16,159.17,171.14,136.43,171.14
2199,2016-12-19,151.66,159.17,136.12,136.12
2198,2016-12-20,132.64,132.64,123.47,124.22
2197,2016-12-21,121.27,128.85,105.05,128.85
2196,2016-12-22,127.33,128.24,94.89,111.57
2195,2016-12-23,99.06,106.11,84.28,98.99
2194,2016-12-26,84.21,97.02,84.21,94.74
2193,2016-12-27,95.5,106.11,94.74,106.11
2192,2016-12-28,102.32,106.11,98.53,100.65
2191,2016-12-29,97.77,100.73,93.98,99.29
2190,2016-12-30,94.74,97.02,92.92,95.12
2189,2017-01-03,94.74,94.74,90.95,92.47
2188,2017-01-04,93.98,93.98,89.44,90.95
2187,2017-01-05,92.85,104.59,88.22,95.58
2186,2017-01-06,93.07,100.8,93.07,96.41
2185,2017-01-09,99.97,109.9,95.2,109.9
2184,2017-01-10,101.26,101.26,96.64,97.02
2183,2017-01-19,111.42,113.61,100.88,102.32
2182,2017-01-20,109.14,109.14,103.08,105.35
2181,2017-01-23,103.08,106.49,100.96,101.18
2180,2017-01-24,101.18,101.56,97.02,101.41
2179,2017-01-25,104.59,104.59,99.36,102.32
2178,2017-02-02,100.05,101.56,99.29,100.05
2177,2017-02-03,98.61,99.29,96.26,96.64
2176,2017-02-06,96.64,96.64,90.19,90.95
2175,2017-02-07,90.19,90.95,87.16,88.68
2174,2017-02-08,88.37,90.57,84.28,88.68
2173,2017-02-09,86.33,88.6,86.33,86.4
2172,2017-02-10,86.4,88.98,86.4,88.91
2171,2017-02-13,89.06,89.06,87.24,87.62
2170,2017-02-14,86.4,87.16,86.03,86.03
2169,2017-02-15,86.03,86.03,84.59,85.65
2168,2017-02-16,86.03,86.03,84.21,84.28
2167,2017-02-17,84.28,84.81,83.75,83.75
2166,2017-02-20,78.67,83.37,78.67,81.1
2165,2017-02-21,81.1,85.57,81.1,85.49
2164,2017-02-22,85.49,88.22,83.45,87.92
2163,2017-02-23,87.16,87.16,85.65,85.65
2162,2017-02-24,84.89,84.89,83.37,84.13
2161,2017-02-27,84.13,84.74,81.86,83.3
2160,2017-02-28,82.61,86.03,81.55,81.55
2159,2017-03-01,81.93,82.61,81.86,82.01
2158,2017-03-02,81.1,81.86,80.42,81.78
2157,2017-03-03,80.42,81.78,79.96,79.96
2156,2017-03-06,79.66,79.66,78.07,78.82
2155,2017-03-07,80.34,80.34,75.79,76.17
2154,2017-03-08,75.79,77.92,75.79,76.85
2153,2017-03-09,76.78,76.78,75.79,75.79
2152,2017-03-10,75.11,75.41,74.35,74.43
