,Date,Open,High,Low,Close
2700,2015-01-05,5.85,5.89,5.85,5.85
2699,2015-01-06,5.8,6.03,5.8,5.98
2698,2015-01-07,5.98,6.16,5.94,6.16
2697,2015-01-08,6.16,6.25,6.07,6.16
2696,2015-01-09,6.16,6.57,6.16,6.57
2695,2015-01-12,6.8,7.02,6.75,7.02
2694,2015-01-13,7.07,7.48,7.07,7.43
2693,2015-01-14,7.34,7.66,7.2,7.39
2692,2015-01-15,7.39,7.66,7.39,7.43
2691,2015-01-16,7.48,7.57,7.34,7.34
2690,2015-01-19,7.48,7.61,7.34,7.43
2689,2015-01-20,7.39,7.43,7.25,7.34
2688,2015-01-21,7.34,7.39,7.11,7.11
2687,2015-01-22,7.11,7.57,6.98,7.57
2686,2015-01-23,7.79,8.02,7.75,7.88
2685,2015-01-26,7.88,7.98,7.79,7.88
2684,2015-01-27,7.84,8.16,7.75,7.88
2683,2015-01-28,7.88,8.43,7.88,8.43
2682,2015-01-29,8.38,8.52,8.11,8.25
2681,2015-01-30,8.16,8.2,7.88,7.93
2680,2015-02-02,7.88,8.02,7.79,7.79
2679,2015-02-03,7.93,7.93,7.25,7.25
2678,2015-02-04,7.11,7.2,6.84,7.11
2677,2015-02-05,7.16,7.48,7.16,7.43
2676,2015-02-06,7.48,7.88,7.39,7.88
2675,2015-02-09,7.79,8.02,7.75,7.84
2674,2015-02-10,8.07,8.2,7.98,8.11
2673,2015-02-11,8.07,8.25,8.02,8.2
2672,2015-02-12,8.2,8.25,7.93,8.07
2671,2015-02-13,8.07,8.2,7.93,8.07
2670,2015-02-24,8.2,8.43,8.16,8.38
2669,2015-02-25,8.52,8.7,8.34,8.38
2668,2015-02-26,8.38,8.61,8.38,8.56
2667,2015-02-27,8.56,8.65,8.38,8.43
2666,2015-03-02,8.34,8.47,8.29,8.38
2665,2015-03-03,8.38,8.52,8.38,8.43
2664,2015-03-04,8.43,8.47,8.29,8.43
2663,2015-03-05,8.43,8.47,8.2,8.2
2662,2015-03-06,8.16,8.47,8.11,8.38
2661,2015-03-09,8.38,8.43,8.16,8.2
2660,2015-03-10,8.16,8.34,8.16,8.29
2659,2015-03-11,8.2,8.43,8.2,8.29
