,Date,Open,High,Low,Close
2700,2015-01-05,18.21,18.33,18.08,18.33
2699,2015-01-06,18.21,18.83,18.21,18.83
2698,2015-01-07,18.95,19.33,18.83,19.2
2697,2015-01-08,19.33,19.33,19.08,19.2
2696,2015-01-09,19.2,19.33,18.71,19.33
2695,2015-01-12,19.45,19.45,19.08,19.2
2694,2015-01-13,19.33,19.33,19.08,19.33
2693,2015-01-14,19.33,19.33,19.2,19.2
2692,2015-01-15,19.33,19.33,19.2,19.2
2691,2015-01-16,19.45,19.45,19.08,19.2
2690,2015-01-19,19.2,19.2,18.95,19.2
2689,2015-01-20,19.33,19.33,18.95,19.33
2688,2015-01-21,19.2,19.2,18.95,19.08
2687,2015-01-22,19.08,19.2,18.83,19.2
2686,2015-01-23,18.95,19.2,18.95,18.95
2685,2015-01-26,18.83,18.95,18.83,18.95
2684,2015-01-27,18.95,20.2,18.95,19.7
2683,2015-01-28,19.2,19.7,19.2,19.45
2682,2015-01-29,19.45,19.95,19.45,19.58
2681,2015-01-30,19.83,19.83,19.33,19.58
2680,2015-02-02,19.7,19.7,19.58,19.7
2679,2015-02-03,19.95,19.95,18.95,18.95
2678,2015-02-04,19.2,19.58,18.95,19.58
2677,2015-02-05,19.45,19.7,19.45,19.7
2676,2015-02-06,19.58,20.2,19.45,20.2
2675,2015-02-09,20.2,20.2,19.33,20.2
2674,2015-02-10,19.83,20.08,19.83,19.83
2673,2015-02-11,19.58,20.08,19.58,19.95
2672,2015-02-12,20.08,20.45,19.83,20.45
2671,2015-02-13,20.45,20.58,20.2,20.45
2670,2015-02-24,20.33,20.45,19.95,20.33
2669,2015-02-25,20.33,20.33,19.95,19.95
2668,2015-02-26,19.95,19.95,19.7,19.95
2667,2015-02-27,19.95,19.95,19.7,19.95
2666,2015-03-02,19.95,19.95,19.7,19.7
2665,2015-03-03,19.7,19.95,19.7,19.95
2664,2015-03-04,19.95,20.2,19.95,20.2
2663,2015-03-05,20.2,21.07,20.2,20.45
2662,2015-03-06,20.45,20.45,19.95,20.33
