,Date,Open,High,Low,Close
1906,2018-03-01,28.91,28.91,26.97,28.91
1905,2018-03-02,30.58,31.22,28.64,28.91
1904,2018-03-05,30.48,30.48,28.54,28.64
1903,2018-03-06,28.64,29.1,27.71,28.54
1902,2018-03-07,28.36,29.1,27.34,27.62
1901,2018-03-08,27.99,27.99,25.87,26.33
1900,2018-03-09,26.23,27.9,26.23,26.79
1899,2018-03-12,27.25,27.44,25.87,26.42
1898,2018-03-13,26.7,26.7,25.68,25.87
1897,2018-03-14,25.87,25.87,23.83,24.48
1896,2018-03-15,24.66,25.77,23.93,24.94
1895,2018-03-16,25.03,25.4,24.76,24.94
1894,2018-03-19,25.03,25.13,23.93,24.02
1893,2018-03-20,24.02,25.59,23.56,25.22
1892,2018-03-21,25.4,25.59,25.13,25.31
1891,2018-03-22,25.4,25.5,24.66,24.85
1890,2018-03-23,24.57,24.57,23.65,24.29
1889,2018-03-26,24.2,24.85,23.93,24.02
1888,2018-03-27,24.02,24.66,24.02,24.11
1887,2018-03-28,24.02,24.11,23.56,23.74
1886,2018-03-29,23.83,24.11,23.56,23.74
1885,2018-03-30,23.74,24.57,23.65,24.57
1884,2018-04-02,24.57,25.13,23.93,24.29
1883,2018-04-03,24.02,24.48,23.28,23.46
1882,2018-04-04,23.56,23.56,22.63,23.09
1881,2018-04-05,23.09,23.09,22.26,22.45
1880,2018-04-06,22.54,23.09,21.8,22.08
1879,2018-04-09,22.17,22.17,21.34,22.17
1878,2018-04-10,22.45,22.45,21.62,21.71
1877,2018-04-11,22.08,22.17,21.34,21.71
1876,2018-04-12,21.71,21.71,21.06,21.34
1875,2018-04-13,21.25,21.71,20.78,21.15
1874,2018-04-16,21.15,21.62,20.6,21.25
1873,2018-04-17,21.06,21.52,21.06,21.34
1872,2018-04-18,21.34,21.34,20.69,20.78
1871,2018-04-19,20.6,21.06,19.58,19.68
1870,2018-04-20,19.86,20.14,19.49,19.95
1869,2018-04-23,20.14,20.88,19.86,20.14
1868,2018-04-24,20.23,20.6,19.58,19.68
1867,2018-04-26,19.68,19.86,17.92,18.38
1866,2018-04-27,18.57,18.75,17.83,18.57
1865,2018-05-02,18.29,18.48,16.81,16.9
1864,2018-05-03,16.81,17.0,16.44,17.0
1863,2018-05-04,16.72,17.55,16.72,17.18
1862,2018-05-07,17.18,19.86,17.18,19.4
1861,2018-05-08,19.58,19.86,18.66,18.75
1860,2018-05-09,18.84,18.94,18.29,18.66
1859,2018-05-10,18.66,18.94,17.74,17.83
1858,2018-05-11,16.35,19.12,16.17,19.03
1857,2018-05-14,18.2,20.42,18.2,19.12
1856,2018-05-15,19.12,20.97,19.03,20.14
1855,2018-05-16,19.86,20.97,19.86,20.05
1854,2018-05-17,20.23,20.97,20.14,20.32
1853,2018-05-18,20.51,20.51,19.58,19.95
1852,2018-05-21,19.95,20.14,18.94,18.94
1851,2018-05-22,19.21,19.21,17.55,18.2
1850,2018-05-23,18.01,18.66,17.83,18.57
1849,2018-05-24,18.38,18.66,18.01,18.48
1848,2018-05-25,18.29,18.29,17.37,17.55
1847,2018-05-28,17.55,17.55,15.7,16.26
1846,2018-05-29,16.26,17.55,16.17,17.09
1845,2018-05-30,16.81,16.9,16.35,16.63
1844,2018-05-31,16.72,17.18,16.72,17.0
1843,2018-06-01,16.9,17.09,16.72,17.0
1842,2018-06-04,17.09,17.83,16.81,17.74
1841,2018-06-05,17.37,18.38,17.37,18.29
1840,2018-06-06,18.29,18.66,18.01,18.29
1839,2018-06-07,18.2,18.2,17.46,17.55
1838,2018-06-08,17.74,17.74,17.09,17.55
1837,2018-06-11,17.55,17.92,17.27,17.37
1836,2018-06-12,17.46,17.55,16.63,16.81
1835,2018-06-13,16.81,17.27,16.81,17.09
1834,2018-06-14,17.27,17.74,17.18,17.46
1833,2018-06-15,17.46,17.55,17.0,17.37
1832,2018-06-18,17.18,17.27,16.63,16.81
1831,2018-06-19,16.72,16.72,15.7,16.63
1830,2018-06-20,16.44,16.54,16.07,16.54
1829,2018-06-21,16.63,16.63,16.07,16.35
1828,2018-06-22,16.26,16.72,16.17,16.72
1827,2018-06-25,16.81,17.09,16.63,16.81
1826,2018-06-26,16.81,16.81,16.44,16.72
1825,2018-06-27,16.63,16.81,16.35,16.63
1824,2018-06-28,16.54,16.63,16.17,16.44
1823,2018-06-29,16.54,16.63,16.07,16.63
1822,2018-07-02,16.26,16.44,16.07,16.26
1821,2018-07-03,16.17,16.26,15.61,15.61
1820,2018-07-04,15.43,15.8,15.24,15.24
1819,2018-07-05,15.33,15.43,14.41,14.87
1818,2018-07-06,14.78,15.15,14.5,15.06
1817,2018-07-09,15.15,15.33,14.69,14.69
1816,2018-07-10,14.6,14.87,13.95,13.95
1815,2018-07-11,13.95,13.95,12.93,13.21
1814,2018-07-12,13.21,13.21,12.66,13.03
1813,2018-07-13,13.21,13.58,13.03,13.3
1812,2018-07-16,13.49,13.86,13.21,13.49
1811,2018-07-17,13.49,13.58,13.12,13.39
1810,2018-07-18,13.3,14.04,13.21,13.86
1809,2018-07-19,14.04,15.43,13.86,14.6
1808,2018-07-20,14.78,14.96,14.41,14.6
