,Date,Open,High,Low,Close
2700,2015-01-05,9.66,9.73,9.51,9.66
2699,2015-01-06,9.44,9.94,9.44,9.94
2698,2015-01-07,9.94,10.09,9.73,9.73
2697,2015-01-08,10.01,10.01,9.8,9.8
2696,2015-01-09,9.94,10.16,9.87,10.16
2695,2015-01-12,10.01,10.16,9.87,9.87
2694,2015-01-13,9.8,10.01,9.8,10.01
2693,2015-01-14,9.94,10.09,9.87,10.01
2692,2015-01-15,10.09,10.23,10.01,10.16
2691,2015-01-16,10.16,10.52,10.16,10.23
2690,2015-01-19,10.09,10.37,10.09,10.3
2689,2015-01-20,10.37,10.73,10.37,10.73
2688,2015-01-21,10.73,10.73,10.37,10.37
2687,2015-01-22,10.37,10.59,10.37,10.59
2686,2015-01-23,10.59,10.73,10.52,10.59
2685,2015-01-26,10.66,10.66,10.37,10.37
2684,2015-01-27,10.37,10.52,10.01,10.09
2683,2015-01-28,10.16,10.3,10.16,10.3
2682,2015-01-29,10.23,10.23,10.09,10.23
2681,2015-01-30,10.16,10.23,10.01,10.01
2680,2015-02-02,10.01,10.01,9.66,9.66
2679,2015-02-03,9.8,9.8,9.66,9.66
2678,2015-02-04,9.66,9.94,9.59,9.87
2677,2015-02-05,9.87,10.01,9.8,10.01
2676,2015-02-06,9.94,10.16,9.94,10.16
2675,2015-02-09,10.16,10.16,9.94,9.94
2674,2015-02-10,10.01,10.01,9.94,9.94
2673,2015-02-11,9.94,10.01,9.87,10.01
2672,2015-02-12,10.01,10.44,10.01,10.44
2671,2015-02-13,10.44,10.52,10.3,10.3
2670,2015-02-24,10.37,10.52,10.3,10.44
2669,2015-02-25,10.59,10.59,10.3,10.3
2668,2015-02-26,10.3,10.3,10.16,10.23
2667,2015-02-27,10.37,10.37,10.23,10.3
2666,2015-03-02,10.3,10.3,10.23,10.3
2665,2015-03-03,10.3,10.52,10.3,10.52
2664,2015-03-04,10.52,10.87,10.52,10.8
2663,2015-03-05,10.73,11.02,10.73,10.87
2662,2015-03-06,10.8,10.87,10.73,10.73
2661,2015-03-09,10.73,10.73,10.44,10.44
2660,2015-03-10,10.44,10.52,10.3,10.37
2659,2015-03-11,10.37,10.52,10.37,10.37
2658,2015-03-12,10.44,10.52,10.37,10.52
2657,2015-03-13,10.52,10.59,10.3,10.44
2656,2015-03-16,10.3,10.44,10.23,10.23
2655,2015-03-17,10.23,10.37,10.23,10.23
2654,2015-03-18,10.23,10.37,10.16,10.23
2653,2015-03-19,10.3,10.3,10.23,10.3
2652,2015-03-20,10.23,10.44,10.23,10.44
2651,2015-03-23,10.52,10.52,10.23,10.3
2650,2015-03-24,10.23,10.3,10.16,10.3
2649,2015-03-25,10.3,10.37,10.23,10.23
2648,2015-03-26,10.23,10.37,10.23,10.3
2647,2015-03-27,10.3,10.44,10.16,10.16
2646,2015-03-30,10.23,10.23,9.94,9.94
2645,2015-03-31,10.01,10.09,9.94,10.01
2644,2015-04-01,10.09,10.09,9.8,9.8
2643,2015-04-02,9.87,10.16,9.73,10.16
2642,2015-04-03,10.23,10.3,9.94,10.16
2641,2015-04-06,9.94,10.23,9.94,10.01
2640,2015-04-07,10.01,10.16,9.94,10.09
2639,2015-04-08,10.09,10.23,9.94,9.94
2638,2015-04-09,9.94,10.09,9.94,9.94
2637,2015-04-10,10.01,10.16,9.94,10.01
2636,2015-04-13,10.16,10.16,9.94,9.94
2635,2015-04-14,9.94,10.01,9.87,9.87
2634,2015-04-15,10.09,10.23,10.01,10.16
2633,2015-04-16,10.23,10.3,10.16,10.3
2632,2015-04-17,10.37,10.37,10.16,10.23
