,Date,Open,High,Low,Close
2067,2017-07-20,12.1,12.1,12.1,12.1
2066,2017-07-21,12.94,12.94,12.94,12.94
2065,2017-07-24,13.83,13.83,13.83,13.83
2064,2017-07-25,14.78,14.78,14.78,14.78
2063,2017-07-26,15.8,15.8,15.8,15.8
2062,2017-07-27,16.89,16.89,16.01,16.89
2061,2017-07-28,18.06,18.06,17.85,18.06
2060,2017-07-31,19.29,19.29,19.29,19.29
2059,2017-08-01,20.63,20.63,20.63,20.63
2058,2017-08-02,22.04,22.04,19.75,20.46
2057,2017-08-03,20.46,20.46,19.05,19.05
2056,2017-08-04,19.75,20.35,19.05,20.31
2055,2017-08-07,21.09,21.09,19.89,20.31
2054,2017-08-08,19.75,19.89,19.12,19.12
2053,2017-08-09,19.05,19.54,17.81,19.54
2052,2017-08-10,19.54,19.54,18.27,18.41
2051,2017-08-11,17.63,19.05,17.63,19.05
2050,2017-08-14,19.05,19.22,18.06,18.66
2049,2017-08-15,18.41,18.41,17.35,17.78
2048,2017-08-16,18.2,18.2,17.7,17.99
2047,2017-08-17,17.99,18.13,17.85,17.85
2046,2017-08-18,17.85,17.85,17.49,17.63
2045,2017-08-21,17.6,18.16,17.56,18.13
2044,2017-08-22,18.13,18.13,17.74,17.92
2043,2017-08-23,17.63,17.92,17.63,17.78
2042,2017-08-24,17.78,17.78,17.56,17.63
2041,2017-08-25,17.63,18.06,17.63,17.92
2040,2017-08-28,17.7,18.23,17.56,18.2
2039,2017-08-29,18.34,18.34,17.85,18.2
2038,2017-08-30,18.13,18.13,17.63,17.85
2037,2017-08-31,17.74,18.02,17.42,17.63
2036,2017-09-01,17.63,18.02,17.56,17.99
2035,2017-09-05,18.3,18.3,17.78,17.99
2034,2017-09-06,17.67,17.85,17.63,17.7
2033,2017-09-07,17.78,17.85,17.63,17.85
2032,2017-09-08,17.92,18.62,17.88,18.27
2031,2017-09-11,18.69,18.97,17.99,18.34
2030,2017-09-12,17.88,18.55,17.88,18.34
2029,2017-09-13,18.87,19.05,18.13,18.69
2028,2017-09-14,19.19,19.75,18.9,19.12
2027,2017-09-15,19.4,19.57,18.94,18.94
2026,2017-09-18,18.94,19.08,18.55,18.69
2025,2017-09-19,18.55,18.69,18.27,18.34
2024,2017-09-20,18.34,18.34,17.78,17.78
2023,2017-09-21,17.78,18.06,17.78,17.99
2022,2017-09-22,18.48,19.22,18.48,19.22
2021,2017-09-25,19.75,20.03,19.19,19.33
2020,2017-09-26,19.33,19.33,18.8,19.05
2019,2017-09-27,19.05,19.22,18.9,19.12
2018,2017-09-28,19.26,19.26,19.01,19.05
2017,2017-09-29,19.19,19.22,18.62,18.97
2016,2017-10-02,19.12,19.12,18.55,18.69
2015,2017-10-03,18.69,18.69,18.23,18.34
2014,2017-10-04,18.55,18.62,18.34,18.45
2013,2017-10-05,18.97,18.97,18.41,18.41
2012,2017-10-06,18.27,18.52,18.2,18.3
2011,2017-10-09,18.69,18.69,18.13,18.3
2010,2017-10-10,18.34,18.34,18.13,18.3
2009,2017-10-11,18.13,18.3,18.13,18.3
2008,2017-10-12,18.3,19.05,18.2,19.05
2007,2017-10-13,19.05,19.4,18.76,19.22
2006,2017-10-16,19.05,19.26,19.05,19.15
2005,2017-10-17,19.15,19.15,18.8,18.8
2004,2017-10-18,18.8,19.05,18.69,18.69
2003,2017-10-19,18.41,18.9,18.37,18.76
2002,2017-10-20,18.8,18.94,18.55,18.55
2001,2017-10-23,18.34,18.34,17.92,17.92
2000,2017-10-24,17.78,18.06,17.28,17.7
1999,2017-10-25,17.99,18.83,17.99,18.41
1998,2017-10-26,18.55,18.59,18.34,18.34
1997,2017-10-27,18.34,18.41,18.06,18.06
1996,2017-10-30,18.06,18.06,17.85,18.06
1995,2017-10-31,17.92,18.06,17.78,17.85
1994,2017-11-01,17.99,18.13,17.88,18.02
1993,2017-11-02,18.06,18.06,16.79,17.63
1992,2017-11-03,17.63,17.78,17.42,17.63
1991,2017-11-06,17.63,17.78,17.63,17.63
1990,2017-11-07,17.63,18.06,17.63,17.99
1989,2017-11-08,17.92,17.92,17.63,17.67
1988,2017-11-09,17.7,17.88,17.63,17.85
1987,2017-11-10,17.88,17.88,17.63,17.67
1986,2017-11-13,17.6,17.67,17.28,17.28
1985,2017-11-14,17.28,17.85,17.0,17.32
1984,2017-11-15,17.39,17.63,17.39,17.49
1983,2017-11-16,17.42,18.06,17.42,17.95
1982,2017-11-17,17.95,18.02,17.67,17.67
1981,2017-11-20,17.67,17.95,17.56,17.56
1980,2017-11-21,17.78,17.81,17.42,17.46
1979,2017-11-22,17.46,17.81,17.46,17.67
1978,2017-11-23,18.03,18.03,17.53,17.81
1977,2017-11-24,17.81,17.81,17.53,17.6
1976,2017-11-27,17.6,17.67,17.38,17.46
1975,2017-11-28,17.53,17.74,17.03,17.46
1974,2017-11-29,17.46,17.46,16.24,16.28
1973,2017-11-30,16.64,16.64,16.14,16.42
1972,2017-12-01,16.42,16.99,16.32,16.96
1971,2017-12-04,16.96,17.21,16.53,16.96
1970,2017-12-05,16.96,16.96,16.67,16.89
1969,2017-12-06,16.96,16.96,16.57,16.67
1968,2017-12-07,16.74,16.85,16.42,16.67
1967,2017-12-08,16.67,16.67,16.28,16.39
1966,2017-12-11,16.39,16.39,16.24,16.24
1965,2017-12-12,16.24,16.24,15.43,15.67
1964,2017-12-13,15.39,15.67,15.32,15.67
1963,2017-12-14,15.67,15.75,14.96,14.96
1962,2017-12-15,14.96,16.0,14.96,16.0
1961,2017-12-18,16.39,16.39,16.03,16.39
1960,2017-12-19,16.32,16.32,16.03,16.03
1959,2017-12-20,16.21,16.28,15.96,16.21
1958,2017-12-21,16.21,16.32,15.92,16.32
1957,2017-12-22,16.03,16.24,16.03,16.24
1956,2017-12-25,16.24,16.49,16.1,16.21
1955,2017-12-26,16.03,16.21,15.96,16.17
1954,2017-12-27,16.03,16.17,15.82,16.1
1953,2017-12-28,16.28,16.28,16.0,16.17
1952,2017-12-29,15.82,16.17,15.82,16.17
1951,2018-01-02,16.96,16.96,16.1,16.53
1950,2018-01-03,16.67,17.63,16.17,17.63
1949,2018-01-04,17.74,18.24,17.74,18.17
1948,2018-01-05,18.17,18.24,17.74,17.95
1947,2018-01-08,17.95,17.95,17.49,17.88
1946,2018-01-09,17.74,19.02,17.74,19.02
1945,2018-01-10,19.09,19.17,18.6,18.88
1944,2018-01-11,18.88,18.95,18.38,18.88
1943,2018-01-12,18.6,19.06,18.45,18.95
1942,2018-01-15,19.24,19.24,18.67,18.95
1941,2018-01-16,18.95,18.95,18.6,18.88
1940,2018-01-17,18.74,19.45,18.6,18.95
1939,2018-01-18,18.95,19.34,18.95,19.34
1938,2018-01-19,19.34,19.45,19.13,19.45
1937,2018-01-22,19.45,19.45,18.67,18.81
1936,2018-01-23,18.81,18.81,18.81,18.81
1935,2018-01-24,18.81,18.81,18.81,18.81
1934,2018-01-25,18.77,18.77,18.31,18.67
1933,2018-01-26,19.09,19.95,18.31,19.95
1932,2018-01-29,20.59,20.59,19.45,20.2
1931,2018-01-30,19.95,20.31,19.88,20.23
