,Date,Open,High,Low,Close
2700,2015-01-05,12.23,12.35,12.11,12.11
2699,2015-01-06,11.99,12.23,11.87,12.17
2698,2015-01-07,12.11,12.17,11.87,11.87
2697,2015-01-08,11.75,11.87,11.57,11.63
2696,2015-01-09,11.51,11.93,11.51,11.57
2695,2015-01-12,11.63,11.69,11.45,11.45
2694,2015-01-13,11.39,11.51,11.27,11.27
2693,2015-01-14,11.21,11.87,11.15,11.75
2692,2015-01-15,11.75,11.87,11.75,11.75
2691,2015-01-16,11.81,11.81,11.57,11.57
2690,2015-01-19,11.63,11.63,11.45,11.45
2689,2015-01-20,11.51,11.57,11.45,11.45
2688,2015-01-21,11.51,11.57,11.33,11.39
2687,2015-01-22,11.39,11.57,11.33,11.45
2686,2015-01-23,11.45,11.57,11.39,11.45
2685,2015-01-26,11.51,11.57,11.45,11.45
2684,2015-01-27,11.51,11.51,11.21,11.21
2683,2015-01-28,11.21,11.39,11.21,11.33
2682,2015-01-29,11.39,11.39,11.27,11.27
2681,2015-01-30,11.27,11.33,11.04,11.15
2680,2015-02-02,11.33,11.39,11.1,11.1
2679,2015-02-03,11.1,11.27,10.98,10.98
2678,2015-02-04,11.1,11.1,10.98,11.04
2677,2015-02-05,11.15,11.21,11.04,11.1
2676,2015-02-06,11.15,11.45,11.04,11.33
2675,2015-02-09,11.33,11.33,11.15,11.15
2674,2015-02-10,11.27,11.27,11.04,11.04
2673,2015-02-11,11.1,11.21,11.04,11.1
2672,2015-02-12,11.48,11.61,11.29,11.29
2671,2015-02-13,11.35,11.48,11.35,11.35
2670,2015-02-24,11.54,11.54,11.35,11.41
2669,2015-02-25,11.41,11.61,11.35,11.41
2668,2015-02-26,11.48,11.73,11.48,11.73
2667,2015-02-27,11.8,11.8,11.61,11.67
2666,2015-03-02,11.67,11.86,11.61,11.73
2665,2015-03-03,11.8,11.92,11.8,11.92
2664,2015-03-04,11.99,12.05,11.86,11.99
2663,2015-03-05,12.05,12.05,11.86,11.86
2662,2015-03-06,11.92,11.99,11.8,11.99
2661,2015-03-09,11.99,11.99,11.8,11.92
2660,2015-03-10,11.86,11.92,11.8,11.86
2659,2015-03-11,11.86,11.86,11.73,11.73
2658,2015-03-12,11.86,12.05,11.8,12.05
2657,2015-03-13,12.12,12.18,11.92,11.92
2656,2015-03-16,11.99,12.05,11.86,11.86
2655,2015-03-17,11.86,11.92,11.73,11.86
2654,2015-03-18,11.86,11.92,11.8,11.86
2653,2015-03-19,11.86,11.92,11.73,11.8
2652,2015-03-20,11.73,11.86,11.73,11.8
2651,2015-03-23,11.86,11.86,11.61,11.61
2650,2015-03-24,11.61,11.61,11.48,11.54
2649,2015-03-25,11.61,12.05,11.54,11.86
2648,2015-03-26,11.86,11.99,11.86,11.86
2647,2015-03-27,11.92,11.99,11.67,11.73
2646,2015-03-30,11.73,11.86,11.67,11.67
2645,2015-03-31,11.73,11.92,11.73,11.8
2644,2015-04-01,11.86,11.86,11.54,11.61
2643,2015-04-02,11.67,11.8,11.61,11.8
2642,2015-04-03,11.73,11.86,11.73,11.8
2641,2015-04-06,11.8,11.86,11.73,11.8
2640,2015-04-07,11.8,12.43,11.73,12.31
2639,2015-04-08,12.43,12.75,12.18,12.75
2638,2015-04-09,12.82,13.07,12.69,12.94
2637,2015-04-10,12.88,13.07,12.82,12.94
2636,2015-04-13,12.94,13.01,12.63,12.69
2635,2015-04-14,12.63,12.75,12.56,12.56
2634,2015-04-15,12.5,13.39,12.5,13.39
2633,2015-04-16,13.52,13.65,13.26,13.52
2632,2015-04-17,13.45,13.65,13.33,13.39
2631,2015-04-20,13.39,13.58,13.2,13.58
2630,2015-04-21,13.58,14.09,13.58,13.9
2629,2015-04-22,13.9,14.79,13.77,14.73
2628,2015-04-23,14.54,14.6,13.71,13.71
2627,2015-04-24,13.71,13.9,13.07,13.45
2626,2015-04-27,13.58,13.96,13.45,13.52
2625,2015-05-04,13.52,13.77,12.75,12.75
2624,2015-05-05,12.82,13.2,12.5,13.07
2623,2015-05-06,13.07,13.26,12.94,13.14
2622,2015-05-07,12.94,13.39,12.94,13.33
2621,2015-05-08,13.26,13.45,13.2,13.33
2620,2015-05-11,13.26,13.84,13.26,13.58
2619,2015-05-12,13.58,13.65,13.33,13.52
2618,2015-05-13,13.71,13.9,13.45,13.84
2617,2015-05-14,13.9,14.16,13.77,14.03
2616,2015-05-15,13.96,14.22,13.96,14.03
2615,2015-05-18,13.9,13.9,13.39,13.52
2614,2015-05-19,13.58,13.71,13.33,13.52
2613,2015-05-20,13.52,14.41,13.33,14.22
2612,2015-05-21,14.16,14.22,13.84,13.84
2611,2015-05-22,13.71,13.84,13.26,13.33
2610,2015-05-25,13.07,13.39,12.88,13.39
2609,2015-05-26,13.65,13.71,13.07,13.07
2608,2015-05-27,13.14,13.65,13.07,13.07
2607,2015-05-28,13.26,13.26,12.82,12.88
2606,2015-05-29,12.88,13.07,12.63,12.63
