,Date,Open,High,Low,Close
1784,2018-09-05,8.02,8.02,7.44,7.86
1783,2018-09-06,7.54,7.86,7.54,7.86
1782,2018-09-07,7.86,7.94,7.77,7.89
1781,2018-09-10,7.71,7.89,7.69,7.77
1780,2018-09-11,7.72,7.82,7.66,7.82
1779,2018-09-12,7.82,7.82,7.67,7.69
1778,2018-09-13,7.66,7.66,7.19,7.39
1777,2018-09-14,7.38,7.39,7.1,7.14
1776,2018-09-17,7.17,7.19,6.88,7.04
1775,2018-09-18,7.04,7.24,6.94,7.24
1774,2018-09-19,7.2,7.62,7.2,7.59
1773,2018-09-20,7.59,7.74,7.59,7.62
1772,2018-09-21,7.54,7.56,7.47,7.56
1771,2018-09-24,7.27,7.52,7.17,7.21
1770,2018-09-25,7.51,7.51,7.19,7.21
1769,2018-09-26,7.21,7.34,7.19,7.2
1768,2018-09-27,7.15,7.19,7.02,7.04
1767,2018-09-28,7.19,7.19,7.07,7.19
1766,2018-10-01,7.19,7.26,7.1,7.19
1765,2018-10-02,7.12,7.19,7.02,7.1
1764,2018-10-03,7.07,7.1,7.02,7.09
1763,2018-10-04,7.1,7.1,7.02,7.02
1762,2018-10-05,7.02,7.1,6.99,7.1
1761,2018-10-08,7.14,7.14,7.04,7.1
1760,2018-10-09,7.07,7.19,7.07,7.17
1759,2018-10-10,7.15,7.2,7.15,7.19
1758,2018-10-11,7.12,7.17,7.02,7.11
1757,2018-10-12,7.07,7.17,7.07,7.15
1756,2018-10-15,7.14,7.2,7.09,7.2
1755,2018-10-16,7.17,7.22,7.15,7.22
1754,2018-10-17,7.22,7.27,7.17,7.2
1753,2018-10-18,7.17,7.2,7.15,7.2
1752,2018-10-19,7.19,7.25,7.17,7.2
1751,2018-10-22,7.2,7.22,7.17,7.17
1750,2018-10-23,7.17,7.17,7.12,7.15
1749,2018-10-24,7.15,7.15,7.1,7.12
1748,2018-10-25,7.05,7.09,7.0,7.04
1747,2018-10-26,7.04,7.1,7.02,7.07
1746,2018-10-29,7.07,7.1,6.99,7.02
1745,2018-10-30,7.02,7.02,6.89,6.89
1744,2018-10-31,6.89,7.02,6.89,6.95
1743,2018-11-01,6.92,7.02,6.92,6.99
1742,2018-11-02,6.95,7.05,6.95,7.05
1741,2018-11-05,7.02,7.07,6.99,6.99
1740,2018-11-06,6.99,7.02,6.95,6.97
1739,2018-11-07,6.95,7.0,6.92,6.97
1738,2018-11-08,7.0,7.02,6.92,6.95
1737,2018-11-09,6.94,6.95,6.89,6.94
1736,2018-11-12,6.92,6.92,6.87,6.92
1735,2018-11-13,6.9,6.92,6.89,6.9
1734,2018-11-14,6.9,6.94,6.89,6.94
1733,2018-11-15,6.94,6.94,6.89,6.92
1732,2018-11-16,6.92,6.92,6.89,6.92
1731,2018-11-19,6.94,6.99,6.89,6.99
1730,2018-11-20,6.99,7.02,6.95,7.0
1729,2018-11-21,6.97,7.0,6.97,6.99
1728,2018-11-22,6.99,7.07,6.99,7.05
1727,2018-11-23,7.04,7.05,6.99,7.02
1726,2018-11-26,7.02,7.05,7.0,7.02
1725,2018-11-27,7.02,7.04,7.0,7.02
1724,2018-11-28,7.02,7.14,6.99,7.1
1723,2018-11-29,7.1,7.17,7.1,7.15
1722,2018-11-30,7.14,7.27,7.07,7.27
1721,2018-12-03,7.25,7.34,7.19,7.27
1720,2018-12-04,7.27,7.27,7.15,7.15
1719,2018-12-05,7.14,7.17,7.12,7.15
1718,2018-12-06,7.15,7.15,7.1,7.14
1717,2018-12-07,7.14,7.2,7.14,7.2
1716,2018-12-10,7.19,7.22,7.15,7.2
1715,2018-12-11,7.2,7.24,7.15,7.2
1714,2018-12-12,7.22,7.3,7.2,7.29
1713,2018-12-13,7.3,7.37,7.3,7.35
1712,2018-12-14,7.34,7.36,7.3,7.31
1711,2018-12-17,7.32,7.32,7.24,7.24
1710,2018-12-18,7.2,7.27,7.15,7.22
1709,2018-12-19,7.22,7.27,7.17,7.24
1708,2018-12-20,7.22,7.3,7.22,7.25
1707,2018-12-21,7.24,7.27,7.22,7.27
1706,2018-12-24,7.25,7.27,7.22,7.22
1705,2018-12-25,7.2,7.2,7.14,7.18
1704,2018-12-26,7.18,7.19,7.15,7.17
