,Date,Open,High,Low,Close
2700,2015-01-05,8.05,8.17,8.05,8.11
2699,2015-01-06,8.11,8.34,8.05,8.17
2698,2015-01-07,8.17,8.46,8.17,8.4
2697,2015-01-08,8.34,8.4,8.23,8.23
2696,2015-01-09,8.34,8.58,8.28,8.46
2695,2015-01-12,8.52,8.81,8.46,8.58
2694,2015-01-13,8.69,9.16,8.63,9.04
2693,2015-01-14,9.16,9.28,8.81,8.98
2692,2015-01-15,8.98,9.22,8.87,8.87
2691,2015-01-16,8.87,9.04,8.75,8.93
2690,2015-01-19,9.22,9.28,9.04,9.16
2689,2015-01-20,9.1,9.16,8.98,8.98
2688,2015-01-21,8.98,8.98,8.81,8.81
2687,2015-01-22,8.81,9.39,8.69,9.39
2686,2015-01-23,9.74,9.92,9.57,9.68
2685,2015-01-26,9.8,10.09,9.74,9.98
2684,2015-01-27,9.98,10.38,9.8,10.21
2683,2015-01-28,10.21,10.91,10.21,10.91
2682,2015-01-29,11.08,11.38,10.79,10.97
2681,2015-01-30,10.79,10.91,10.38,10.5
2680,2015-02-02,10.38,10.79,10.27,10.5
2679,2015-02-03,10.56,10.62,9.8,9.8
2678,2015-02-04,9.51,9.63,9.16,9.45
2677,2015-02-05,9.63,9.98,9.51,9.98
2676,2015-02-06,9.98,10.44,9.98,10.33
2675,2015-02-09,10.27,10.62,10.21,10.38
2674,2015-02-10,10.5,10.79,10.38,10.73
2673,2015-02-11,10.56,10.85,10.56,10.73
2672,2015-02-12,10.73,10.85,10.38,10.44
2671,2015-02-13,10.44,10.56,10.33,10.38
2670,2015-02-24,10.56,10.91,10.5,10.85
2669,2015-02-25,10.97,11.38,10.97,10.97
2668,2015-02-26,11.03,11.32,11.03,11.32
2667,2015-02-27,11.38,11.43,11.08,11.32
2666,2015-03-02,11.2,11.26,10.97,11.14
2665,2015-03-03,11.08,11.38,11.08,11.2
2664,2015-03-04,11.2,11.32,11.03,11.2
2663,2015-03-05,11.26,11.32,10.97,10.97
2662,2015-03-06,10.91,11.38,10.79,11.14
2661,2015-03-09,11.2,11.2,10.91,10.91
2660,2015-03-10,10.85,11.08,10.85,10.97
2659,2015-03-11,10.97,11.26,10.85,10.97
2658,2015-03-12,11.08,11.14,10.97,11.03
2657,2015-03-13,11.14,11.26,11.08,11.14
2656,2015-03-16,11.08,11.14,10.97,10.97
2655,2015-03-17,10.97,11.08,10.91,10.91
2654,2015-03-18,10.85,10.85,10.56,10.62
2653,2015-03-19,10.68,10.73,10.5,10.5
2652,2015-03-20,10.5,10.62,10.44,10.56
2651,2015-03-23,10.62,10.68,10.27,10.27
2650,2015-03-24,10.27,10.33,9.98,10.21
2649,2015-03-25,10.27,10.5,10.21,10.38
2648,2015-03-26,10.27,10.62,10.27,10.33
2647,2015-03-27,10.5,10.5,10.21,10.27
2646,2015-03-30,10.21,10.33,9.92,10.03
2645,2015-03-31,9.98,10.21,9.98,10.09
2644,2015-04-01,10.09,10.21,9.86,9.92
2643,2015-04-02,9.92,10.21,9.86,10.21
2642,2015-04-03,10.21,10.33,10.15,10.15
2641,2015-04-06,10.15,10.21,10.03,10.03
2640,2015-04-07,9.98,10.21,9.92,10.09
2639,2015-04-08,10.21,10.27,10.03,10.09
2638,2015-04-09,10.15,10.38,10.03,10.38
2637,2015-04-10,10.38,10.73,10.38,10.5
2636,2015-04-13,10.56,10.62,10.38,10.56
2635,2015-04-14,10.68,10.79,10.44,10.44
2634,2015-04-15,10.38,10.62,10.33,10.56
2633,2015-04-16,10.56,10.73,10.5,10.73
2632,2015-04-17,10.68,10.79,10.62,10.62
2631,2015-04-20,10.56,10.62,10.44,10.56
2630,2015-04-21,10.62,10.73,10.5,10.5
2629,2015-04-22,10.38,10.5,10.15,10.27
2628,2015-04-23,10.21,10.38,10.15,10.33
2627,2015-04-24,10.27,10.44,10.27,10.33
2626,2015-04-27,10.33,10.62,10.33,10.5
2625,2015-05-04,10.38,10.5,9.92,9.92
2624,2015-05-05,9.92,10.38,9.86,10.33
2623,2015-05-06,10.33,10.44,10.21,10.27
2622,2015-05-07,10.27,10.5,10.15,10.44
2621,2015-05-08,10.44,10.62,10.33,10.62
2620,2015-05-11,10.62,10.62,10.44,10.44
2619,2015-05-12,10.44,10.44,10.15,10.33
2618,2015-05-13,10.21,10.33,10.03,10.21
2617,2015-05-14,10.15,10.44,10.15,10.44
2616,2015-05-15,10.44,10.44,10.15,10.15
2615,2015-05-18,10.21,10.21,9.86,9.86
2614,2015-05-19,9.92,10.09,9.92,10.09
2613,2015-05-20,10.09,10.5,10.03,10.27
2612,2015-05-21,10.21,10.5,10.21,10.38
2611,2015-05-22,10.5,10.62,10.33,10.56
2610,2015-05-25,10.56,10.73,10.56,10.73
2609,2015-05-26,10.68,11.03,10.68,10.97
2608,2015-05-27,10.85,11.14,10.85,11.03
2607,2015-05-28,11.03,11.78,10.91,11.49
2606,2015-05-29,11.49,11.67,11.32,11.38
2605,2015-06-01,11.32,11.78,11.32,11.49
2604,2015-06-02,11.49,11.67,11.14,11.14
2603,2015-06-03,11.08,11.32,10.97,10.97
2602,2015-06-04,11.03,11.14,10.79,10.91
2601,2015-06-05,10.91,11.55,10.91,11.43
2600,2015-06-08,11.55,11.9,11.55,11.61
2599,2015-06-09,11.55,11.78,11.32,11.43
2598,2015-06-10,11.43,11.49,11.08,11.32
2597,2015-06-11,11.38,11.49,11.2,11.26
2596,2015-06-12,11.43,11.55,11.32,11.43
2595,2015-06-15,11.49,12.13,11.49,12.13
2594,2015-06-16,12.25,12.43,12.02,12.02
2593,2015-06-17,11.9,12.19,11.84,12.13
2592,2015-06-18,12.08,12.19,11.9,12.08
2591,2015-06-19,12.19,12.37,12.08,12.13
2590,2015-06-22,12.19,12.43,12.19,12.37
2589,2015-06-23,12.67,12.73,12.49,12.61
2588,2015-06-24,12.61,12.61,12.37,12.43
2587,2015-06-25,12.37,12.43,12.18,12.18
2586,2015-06-26,12.18,12.24,11.76,11.76
2585,2015-06-29,11.51,11.88,11.51,11.88
2584,2015-06-30,11.76,12.0,11.69,11.76
2583,2015-07-01,11.63,11.76,11.33,11.51
2582,2015-07-02,11.39,12.24,11.39,12.12
2581,2015-07-03,12.24,12.8,12.24,12.31
2580,2015-07-06,12.37,12.55,12.24,12.43
2579,2015-07-07,12.43,13.16,12.18,12.73
2578,2015-07-08,12.86,13.29,12.49,12.98
2577,2015-07-09,12.8,13.04,12.61,12.86
