,Date,Open,High,Low,Close
2697,2015-01-05,2.79,2.85,2.75,2.75
2696,2015-01-06,2.72,2.82,2.69,2.82
2695,2015-01-07,2.82,2.85,2.79,2.79
2694,2015-01-08,2.79,2.79,2.72,2.79
2693,2015-01-09,2.75,2.82,2.75,2.82
2692,2015-01-12,2.79,2.82,2.72,2.75
2691,2015-01-13,2.75,2.79,2.72,2.72
2690,2015-01-14,2.75,2.75,2.69,2.72
2689,2015-01-15,2.75,2.82,2.75,2.79
2688,2015-01-16,2.79,2.92,2.79,2.85
2687,2015-01-19,2.85,2.89,2.82,2.82
2686,2015-01-20,2.82,2.85,2.82,2.85
2685,2015-01-21,2.85,2.89,2.79,2.79
2684,2015-01-22,2.82,2.85,2.79,2.82
2683,2015-01-23,2.85,2.85,2.82,2.82
2682,2015-01-26,2.85,2.89,2.82,2.82
2681,2015-01-27,2.85,3.02,2.79,2.95
2680,2015-01-28,2.95,2.99,2.89,2.95
2679,2015-01-29,2.95,2.95,2.89,2.89
2678,2015-01-30,2.89,2.89,2.79,2.82
2677,2015-02-02,2.82,2.89,2.79,2.82
2676,2015-02-03,2.85,2.85,2.79,2.79
2675,2015-02-04,2.79,2.82,2.75,2.79
2674,2015-02-05,2.79,2.79,2.75,2.79
2673,2015-02-06,2.79,2.82,2.75,2.79
2672,2015-02-09,2.79,2.79,2.75,2.75
2671,2015-02-10,2.75,2.79,2.72,2.75
2670,2015-02-11,2.75,2.82,2.75,2.82
2669,2015-02-12,2.82,2.89,2.79,2.85
2668,2015-02-13,2.85,2.85,2.79,2.82
2667,2015-02-24,2.85,2.85,2.82,2.82
2666,2015-02-25,2.82,2.85,2.82,2.82
2665,2015-02-26,2.82,2.85,2.82,2.85
2664,2015-02-27,2.82,2.85,2.82,2.85
2663,2015-03-02,2.82,2.89,2.79,2.82
2662,2015-03-03,2.55,2.89,2.55,2.89
2661,2015-03-04,2.89,3.02,2.89,3.02
2660,2015-03-05,3.02,3.09,2.99,2.99
2659,2015-03-06,2.95,3.02,2.95,2.99
2658,2015-03-09,2.95,2.95,2.89,2.89
2657,2015-03-10,2.89,2.92,2.85,2.92
2656,2015-03-11,2.92,2.92,2.85,2.89
2655,2015-03-12,2.89,2.92,2.89,2.89
2654,2015-03-13,2.92,2.95,2.89,2.92
2653,2015-03-16,2.92,2.95,2.89,2.92
2652,2015-03-17,2.92,2.95,2.89,2.92
2651,2015-03-18,2.92,2.92,2.85,2.89
2650,2015-03-19,2.89,2.89,2.85,2.89
2649,2015-03-20,2.85,2.92,2.85,2.92
2648,2015-03-23,2.92,2.92,2.85,2.92
2647,2015-03-24,2.85,2.85,2.85,2.85
2646,2015-03-25,2.89,2.89,2.82,2.85
2645,2015-03-26,2.82,2.85,2.79,2.79
2644,2015-03-27,2.82,2.82,2.75,2.75
2643,2015-03-30,2.75,2.75,2.72,2.72
2642,2015-03-31,2.72,2.79,2.72,2.75
2641,2015-04-01,2.75,2.75,2.65,2.69
