,Date,Open,High,Low,Close
2645,2015-03-31,6.86,7.06,6.55,6.86
2644,2015-04-01,6.66,6.81,6.4,6.4
2643,2015-04-02,6.4,6.66,6.4,6.66
2642,2015-04-03,6.66,6.76,6.6,6.76
2641,2015-04-06,6.71,7.01,6.66,6.96
2640,2015-04-07,7.01,7.06,6.91,6.96
2639,2015-04-08,7.01,7.06,6.91,6.96
2638,2015-04-09,6.96,7.01,6.86,7.01
2637,2015-04-10,7.01,7.06,6.96,6.96
2636,2015-04-13,6.96,7.01,6.91,6.91
2635,2015-04-14,6.91,6.91,6.81,6.81
2634,2015-04-15,6.81,6.91,6.76,6.86
2633,2015-04-16,6.91,6.91,6.81,6.81
2632,2015-04-17,6.86,6.86,6.81,6.86
2631,2015-04-20,6.86,6.91,6.81,6.86
2630,2015-04-21,6.76,6.91,6.76,6.81
2629,2015-04-22,6.76,6.86,6.76,6.81
2628,2015-04-23,6.81,6.86,6.76,6.81
2627,2015-04-24,6.76,6.81,6.71,6.76
2626,2015-04-27,6.81,6.81,6.66,6.76
2625,2015-05-04,6.71,6.71,6.5,6.5
2624,2015-05-05,6.45,6.6,6.35,6.5
2623,2015-05-06,6.5,6.55,6.45,6.5
2622,2015-05-07,6.5,6.55,6.45,6.5
2621,2015-05-08,6.45,6.55,6.45,6.55
2620,2015-05-11,6.55,6.55,6.5,6.5
2619,2015-05-12,6.5,6.55,6.45,6.5
2618,2015-05-13,6.55,6.6,6.45,6.55
2617,2015-05-14,6.55,6.55,6.5,6.5
2616,2015-05-15,6.55,6.55,6.5,6.5
2615,2015-05-18,6.45,6.5,6.4,6.5
2614,2015-05-19,6.5,6.5,6.45,6.5
2613,2015-05-20,6.5,6.6,6.5,6.6
2612,2015-05-21,6.6,6.6,6.5,6.55
2611,2015-05-22,6.55,6.6,6.5,6.55
2610,2015-05-25,6.55,6.55,6.5,6.55
2609,2015-05-26,6.55,6.55,6.5,6.5
2608,2015-05-27,6.5,6.55,6.45,6.5
2607,2015-05-28,6.5,6.55,6.5,6.5
2606,2015-05-29,6.45,6.6,6.45,6.5
2605,2015-06-01,6.45,6.55,6.45,6.5
2604,2015-06-02,6.5,6.55,6.45,6.5
2603,2015-06-03,6.5,6.55,6.45,6.5
2602,2015-06-04,6.5,6.55,6.45,6.5
2601,2015-06-05,6.5,6.55,6.45,6.5
2600,2015-06-08,6.55,6.96,6.55,6.76
2599,2015-06-09,6.71,6.76,6.6,6.66
2598,2015-06-10,6.66,6.76,6.6,6.66
2597,2015-06-11,6.66,6.71,6.6,6.66
2596,2015-06-12,6.66,6.66,6.55,6.6
2595,2015-06-15,6.55,6.66,6.55,6.66
2594,2015-06-16,6.66,6.71,6.6,6.6
2593,2015-06-17,6.6,6.66,6.6,6.6
2592,2015-06-18,6.6,6.76,6.6,6.66
2591,2015-06-19,6.66,6.71,6.6,6.66
2590,2015-06-22,6.66,6.66,6.6,6.66
2589,2015-06-23,6.6,6.6,6.55,6.55
2588,2015-06-24,6.55,6.6,6.5,6.55
2587,2015-06-25,6.55,6.55,6.5,6.5
2586,2015-06-26,6.5,6.55,6.45,6.45
2585,2015-06-29,6.45,6.55,6.45,6.55
2584,2015-06-30,6.45,6.6,6.45,6.55
2583,2015-07-01,6.55,6.55,6.5,6.55
2582,2015-07-02,6.55,6.66,6.55,6.66
2581,2015-07-03,6.6,6.66,6.6,6.66
2580,2015-07-06,6.6,6.66,6.6,6.6
2579,2015-07-07,6.6,6.86,6.55,6.66
2578,2015-07-08,6.71,6.71,6.6,6.66
2577,2015-07-09,6.71,6.71,6.6,6.66
2576,2015-07-10,6.6,6.66,6.55,6.55
2575,2015-07-13,6.55,6.76,6.55,6.66
2574,2015-07-14,6.66,6.71,6.6,6.66
2573,2015-07-15,6.66,6.86,6.6,6.76
2572,2015-07-16,6.76,6.76,6.66,6.71
2571,2015-07-17,6.66,6.76,6.66,6.76
2570,2015-07-20,6.66,6.66,6.55,6.55
2569,2015-07-21,6.6,6.6,6.55,6.55
2568,2015-07-22,6.5,6.55,6.5,6.5
2567,2015-07-23,6.55,6.6,6.55,6.55
2566,2015-07-24,6.55,6.55,6.5,6.5
2565,2015-07-27,6.55,6.6,6.55,6.6
2564,2015-07-28,6.6,6.6,6.5,6.5
2563,2015-07-29,6.55,6.6,6.5,6.5
2562,2015-07-30,6.5,6.55,6.5,6.55
2561,2015-07-31,6.55,6.6,6.5,6.5
2560,2015-08-03,6.5,6.5,6.45,6.5
