,Date,Open,High,Low,Close
2560,2015-08-03,6.14,6.14,5.65,5.7
2559,2015-08-04,5.7,5.74,5.3,5.3
2558,2015-08-05,5.3,5.45,5.25,5.45
2557,2015-08-06,5.3,5.3,5.1,5.1
2556,2015-08-07,4.74,5.1,4.74,4.74
2555,2015-08-10,4.74,5.05,4.74,5.05
2554,2015-08-11,5.1,5.3,4.8,4.8
2553,2015-08-12,4.81,4.9,4.66,4.75
2552,2015-08-13,4.75,4.85,4.55,4.84
2551,2015-08-14,4.7,4.84,4.69,4.83
2550,2015-08-17,4.62,4.81,4.62,4.79
2549,2015-08-18,4.74,4.77,4.71,4.75
2548,2015-08-19,4.75,4.84,4.74,4.79
2547,2015-08-20,4.81,4.85,4.68,4.85
2546,2015-08-21,4.85,4.94,4.77,4.92
2545,2015-08-24,4.82,4.82,4.73,4.82
2544,2015-08-25,4.87,4.87,4.56,4.71
2543,2015-08-26,4.78,4.78,4.56,4.72
2542,2015-08-27,4.72,4.74,4.64,4.64
2541,2015-08-28,4.74,4.74,4.59,4.6
2540,2015-08-31,4.67,4.67,4.56,4.61
2539,2015-09-01,4.66,4.68,4.58,4.61
2538,2015-09-03,4.63,4.63,4.52,4.59
2537,2015-09-04,4.62,4.62,4.52,4.52
2536,2015-09-07,4.53,4.53,4.46,4.52
2535,2015-09-08,4.49,4.51,4.46,4.49
2534,2015-09-09,4.51,4.51,4.45,4.45
2533,2015-09-10,4.46,4.46,4.44,4.45
2532,2015-09-11,4.45,4.46,4.44,4.45
2531,2015-09-14,4.45,4.55,4.44,4.45
2530,2015-09-15,4.45,4.45,4.26,4.44
2529,2015-09-16,4.4,4.45,4.39,4.41
2528,2015-09-17,4.41,4.59,4.41,4.55
2527,2015-09-18,4.55,4.66,4.55,4.59
2526,2015-09-21,4.56,4.63,4.53,4.58
2525,2015-09-22,4.58,4.64,4.56,4.64
2524,2015-09-23,4.64,4.64,4.6,4.61
2523,2015-09-24,4.64,4.64,4.45,4.59
2522,2015-09-25,4.59,4.59,4.56,4.58
2521,2015-09-28,4.57,4.57,4.55,4.56
2520,2015-09-29,4.56,4.56,4.48,4.56
2519,2015-09-30,4.64,4.64,4.56,4.63
2518,2015-10-01,4.64,4.7,4.62,4.67
2517,2015-10-02,4.7,4.95,4.7,4.91
2516,2015-10-05,4.91,5.1,4.9,5.0
2515,2015-10-06,5.0,5.2,4.95,5.0
2514,2015-10-07,4.95,5.1,4.87,4.89
2513,2015-10-08,4.94,5.0,4.92,4.95
2512,2015-10-09,5.06,5.26,4.99,5.1
2511,2015-10-12,5.24,5.24,4.84,4.84
2510,2015-10-13,4.82,5.06,4.77,5.06
2509,2015-10-14,5.11,5.11,4.99,5.03
2508,2015-10-15,4.84,5.06,4.73,4.85
2507,2015-10-16,4.63,4.93,4.63,4.85
2506,2015-10-19,4.85,4.85,4.6,4.72
2505,2015-10-20,4.6,4.78,4.6,4.76
2504,2015-10-21,4.69,4.69,4.47,4.65
2503,2015-10-22,4.65,4.65,4.47,4.51
2502,2015-10-23,4.51,4.51,4.22,4.51
2501,2015-10-26,4.51,4.77,4.51,4.72
2500,2015-10-27,4.73,4.76,4.64,4.76
2499,2015-10-28,4.73,4.76,4.53,4.76
2498,2015-10-29,4.78,4.89,4.76,4.89
2497,2015-10-30,4.98,5.22,4.94,5.05
2496,2015-11-02,5.12,5.12,4.93,4.93
2495,2015-11-03,4.95,5.05,4.86,5.03
2494,2015-11-04,4.99,4.99,4.89,4.93
2493,2015-11-05,4.9,4.91,4.8,4.9
2492,2015-11-06,4.8,4.9,4.8,4.9
2491,2015-11-09,4.93,4.93,4.78,4.9
2490,2015-11-10,4.91,4.91,4.78,4.89
2489,2015-11-11,4.8,4.8,4.6,4.6
2488,2015-11-12,4.73,4.78,4.6,4.72
2487,2015-11-13,4.66,4.7,4.6,4.7
2486,2015-11-16,4.72,4.72,4.69,4.7
2485,2015-11-17,4.6,4.68,4.53,4.6
2484,2015-11-18,4.69,4.69,4.6,4.66
2483,2015-11-19,4.6,4.6,4.53,4.53
2482,2015-11-20,4.53,4.53,4.34,4.34
2481,2015-11-23,4.45,4.45,4.34,4.39
2480,2015-11-24,4.59,4.59,4.28,4.38
2479,2015-11-25,4.38,4.4,4.22,4.27
2478,2015-11-26,4.36,4.36,4.07,4.31
2477,2015-11-27,4.28,4.34,4.14,4.28
2476,2015-11-30,4.23,4.47,4.23,4.45
2475,2015-12-01,4.4,4.4,4.36,4.36
2474,2015-12-02,4.34,4.35,4.31,4.32
2473,2015-12-03,4.28,4.28,4.27,4.27
2472,2015-12-04,4.24,4.26,4.24,4.26
2471,2015-12-07,4.45,4.51,4.38,4.38
2470,2015-12-08,4.38,4.38,4.34,4.36
2469,2015-12-09,4.36,4.4,4.31,4.34
2468,2015-12-10,4.47,4.47,4.28,4.3
2467,2015-12-11,4.28,4.34,4.2,4.3
2466,2015-12-14,4.27,4.27,4.07,4.2
2465,2015-12-15,4.2,4.27,4.2,4.26
2464,2015-12-16,4.26,4.34,4.1,4.34
2463,2015-12-17,4.34,4.45,4.34,4.34
2462,2015-12-18,4.18,4.34,4.18,4.34
2461,2015-12-21,4.26,4.27,4.26,4.27
2460,2015-12-22,4.15,4.27,4.15,4.27
2459,2015-12-23,4.23,4.23,4.15,4.15
2458,2015-12-24,4.19,4.32,4.18,4.27
2457,2015-12-25,4.27,4.56,4.2,4.27
2456,2015-12-28,4.2,4.2,4.17,4.17
2455,2015-12-29,4.19,4.19,4.18,4.19
2454,2015-12-30,4.2,4.48,4.19,4.48
2453,2015-12-31,4.57,4.57,4.36,4.36
2452,2016-01-04,4.4,4.4,4.22,4.4
2451,2016-01-05,4.4,4.4,4.4,4.4
2450,2016-01-06,4.31,4.32,4.28,4.3
2449,2016-01-07,4.2,4.28,4.01,4.27
2448,2016-01-08,4.26,4.26,4.07,4.18
2447,2016-01-11,3.89,4.4,3.89,4.2
2446,2016-01-12,4.07,4.27,4.07,4.27
2445,2016-01-13,4.1,4.27,4.07,4.27
2444,2016-01-14,4.27,4.27,4.14,4.14
2443,2016-01-15,3.98,4.2,3.98,4.18
2442,2016-01-18,3.96,4.18,3.94,4.18
2441,2016-01-19,3.98,4.14,3.94,4.14
2440,2016-01-20,3.86,4.14,3.86,4.14
2439,2016-01-21,3.94,4.11,3.94,4.11
2438,2016-01-22,4.07,4.07,4.06,4.06
2437,2016-01-25,3.94,4.34,3.94,4.34
2436,2016-01-26,4.34,4.34,4.2,4.31
2435,2016-01-27,4.3,4.3,4.2,4.28
2434,2016-01-28,4.28,4.3,4.1,4.1
2433,2016-01-29,4.07,4.2,4.07,4.14
2432,2016-02-01,4.15,4.2,4.14,4.2
2431,2016-02-02,4.07,4.2,4.07,4.2
2430,2016-02-03,4.2,4.2,4.2,4.2
2429,2016-02-04,4.07,4.26,4.07,4.26
2428,2016-02-05,4.2,4.26,4.07,4.26
2427,2016-02-15,4.38,4.38,4.38,4.38
2426,2016-02-16,4.14,4.26,4.14,4.2
2425,2016-02-17,4.2,4.2,4.18,4.18
2424,2016-02-18,4.18,4.24,4.09,4.24
2423,2016-02-19,4.26,4.26,4.14,4.2
2422,2016-02-22,4.22,4.27,4.2,4.27
2421,2016-02-23,4.32,4.32,4.15,4.32
2420,2016-02-24,4.2,4.31,4.18,4.31
2419,2016-02-25,4.24,4.24,4.23,4.24
2418,2016-02-26,4.24,4.32,4.12,4.12
2417,2016-02-29,4.12,4.25,4.06,4.12
2416,2016-03-01,4.17,4.19,4.01,4.12
2415,2016-03-02,4.12,4.13,4.02,4.12
2414,2016-03-03,4.12,4.12,4.02,4.1
2413,2016-03-04,4.01,4.01,3.94,3.94
2412,2016-03-07,4.01,4.13,3.99,4.12
2411,2016-03-08,4.12,4.39,4.12,4.39
2410,2016-03-09,4.39,4.41,4.1,4.39
2409,2016-03-10,4.14,4.41,4.14,4.41
2408,2016-03-11,4.38,4.38,4.13,4.16
2407,2016-03-14,4.13,4.34,3.97,4.13
2406,2016-03-15,4.25,4.25,3.92,3.99
2405,2016-03-16,4.24,4.24,3.86,3.92
2404,2016-03-17,3.99,4.1,3.99,4.06
2403,2016-03-18,4.09,4.09,3.99,4.06
2402,2016-03-21,4.06,4.06,4.02,4.06
2401,2016-03-22,4.06,4.06,3.99,3.99
2400,2016-03-23,4.02,4.02,3.92,4.02
2399,2016-03-24,4.05,4.05,4.02,4.02
2398,2016-03-25,4.05,4.06,4.02,4.02
2397,2016-03-28,4.02,4.02,3.99,4.02
2396,2016-03-29,4.06,4.06,3.94,3.98
2395,2016-03-30,4.03,4.03,3.92,3.99
2394,2016-03-31,3.98,3.98,3.97,3.97
2393,2016-04-01,3.92,3.98,3.86,3.98
2392,2016-04-04,3.98,3.98,3.95,3.97
2391,2016-04-05,3.97,3.97,3.95,3.97
2390,2016-04-06,3.97,3.97,3.97,3.97
2389,2016-04-07,3.97,3.97,3.7,3.97
2388,2016-04-08,3.92,3.92,3.9,3.9
2387,2016-04-11,3.92,3.92,3.87,3.9
2386,2016-04-12,3.98,3.98,3.7,3.88
2385,2016-04-13,3.86,3.86,3.73,3.84
2384,2016-04-14,3.7,3.7,3.62,3.65
2383,2016-04-15,3.52,3.73,3.52,3.73
2382,2016-04-19,3.65,3.72,3.65,3.72
2381,2016-04-20,3.72,3.73,3.61,3.61
2380,2016-04-21,3.7,3.7,3.66,3.66
2379,2016-04-22,3.62,3.68,3.58,3.66
2378,2016-04-25,3.64,3.65,3.64,3.65
2377,2016-04-26,3.64,3.64,3.58,3.59
2376,2016-04-27,3.59,3.59,3.52,3.58
2375,2016-04-28,3.52,3.57,3.48,3.5
2374,2016-04-29,3.3,3.7,3.3,3.7
2373,2016-05-04,3.69,3.69,3.62,3.65
2372,2016-05-05,3.65,3.65,3.59,3.59
2371,2016-05-06,3.59,3.64,3.58,3.61
2370,2016-05-09,3.46,3.59,3.46,3.59
2369,2016-05-10,3.59,3.59,3.59,3.59
2368,2016-05-11,3.58,3.58,3.46,3.58
2367,2016-05-12,3.47,3.58,3.44,3.57
2366,2016-05-13,3.55,3.55,3.46,3.54
2365,2016-05-16,3.54,3.54,3.44,3.46
2364,2016-05-17,3.44,3.44,3.3,3.32
2363,2016-05-18,3.3,3.3,3.1,3.1
2362,2016-05-19,3.3,3.3,3.19,3.24
2361,2016-05-20,3.24,3.24,3.24,3.24
2360,2016-05-23,3.17,3.33,3.17,3.24
