,Date,Open,High,Low,Close
2700,2015-01-05,5.01,5.05,4.89,4.97
2699,2015-01-06,4.85,5.08,4.82,5.01
2698,2015-01-07,5.01,5.12,4.97,4.97
2697,2015-01-08,4.97,4.97,4.89,4.97
2696,2015-01-09,4.97,5.08,4.93,5.01
2695,2015-01-12,5.01,5.05,4.89,4.89
2694,2015-01-13,4.93,5.01,4.89,5.01
2693,2015-01-14,4.97,5.05,4.89,5.05
2692,2015-01-15,5.01,5.08,5.01,5.05
2691,2015-01-16,5.05,5.24,5.01,5.16
2690,2015-01-19,5.2,5.24,5.08,5.16
2689,2015-01-20,5.08,5.16,5.05,5.16
2688,2015-01-21,5.16,5.16,5.01,5.01
2687,2015-01-22,5.01,5.08,4.97,5.01
2686,2015-01-23,5.08,5.12,4.97,5.08
2685,2015-01-26,5.16,5.24,5.08,5.16
2684,2015-01-27,5.12,5.2,5.01,5.01
2683,2015-01-28,5.01,5.08,4.97,5.05
2682,2015-01-29,5.05,5.12,5.01,5.12
2681,2015-01-30,5.12,5.12,4.85,4.93
2680,2015-02-02,4.93,4.97,4.82,4.89
2679,2015-02-03,4.89,4.89,4.82,4.82
2678,2015-02-04,4.74,4.82,4.7,4.78
2677,2015-02-05,4.74,4.85,4.74,4.78
2676,2015-02-06,4.78,4.85,4.78,4.78
2675,2015-02-09,4.82,4.85,4.74,4.82
2674,2015-02-10,4.74,4.85,4.74,4.78
2673,2015-02-11,4.78,4.89,4.78,4.89
2672,2015-02-12,4.93,5.01,4.89,5.01
2671,2015-02-13,5.01,5.2,5.01,5.16
2670,2015-02-24,5.2,5.2,5.05,5.08
2669,2015-02-25,5.08,5.16,4.97,5.01
2668,2015-02-26,5.01,5.05,4.93,5.05
2667,2015-02-27,5.05,5.08,5.01,5.05
2666,2015-03-02,5.05,5.05,4.93,4.97
2665,2015-03-03,5.01,5.12,4.97,5.05
2664,2015-03-04,5.08,5.24,5.08,5.24
2663,2015-03-05,5.24,5.28,5.12,5.12
2662,2015-03-06,5.16,5.16,5.08,5.08
