,Date,Open,High,Low,Close
2700,2015-01-05,6.66,6.83,6.61,6.72
2699,2015-01-06,6.68,7.0,6.68,6.92
2698,2015-01-07,6.92,7.07,6.92,6.96
2697,2015-01-08,6.94,7.04,6.85,6.92
2696,2015-01-09,6.94,7.09,6.92,7.04
2695,2015-01-12,7.02,7.11,6.92,6.92
2694,2015-01-13,6.87,7.22,6.87,7.15
2693,2015-01-14,7.2,7.28,7.07,7.07
2692,2015-01-15,7.07,7.09,7.0,7.0
2691,2015-01-16,7.0,7.0,6.87,6.96
2690,2015-01-19,6.87,6.89,6.48,6.59
2689,2015-01-20,6.57,6.66,6.57,6.61
2688,2015-01-21,6.61,6.72,6.59,6.64
2687,2015-01-22,6.64,6.66,6.59,6.64
2686,2015-01-23,6.68,6.72,6.64,6.66
2685,2015-01-26,6.66,6.68,6.61,6.61
2684,2015-01-27,6.61,6.7,6.55,6.59
2683,2015-01-28,6.64,6.66,6.59,6.61
2682,2015-01-29,6.61,6.68,6.59,6.68
2681,2015-01-30,6.68,6.7,6.61,6.66
2680,2015-02-02,6.59,6.61,6.44,6.48
2679,2015-02-03,6.48,6.53,6.44,6.46
2678,2015-02-04,6.42,6.53,6.42,6.48
2677,2015-02-05,6.53,6.55,6.48,6.51
2676,2015-02-06,6.51,6.57,6.51,6.57
2675,2015-02-09,6.57,6.72,6.57,6.66
2674,2015-02-10,6.68,6.72,6.66,6.66
2673,2015-02-11,6.7,6.76,6.68,6.76
2672,2015-02-12,6.76,6.89,6.76,6.85
2671,2015-02-13,6.89,6.89,6.81,6.85
2670,2015-02-24,6.83,6.89,6.79,6.87
2669,2015-02-25,6.87,6.89,6.79,6.79
2668,2015-02-26,6.79,6.87,6.79,6.85
2667,2015-02-27,6.83,6.87,6.81,6.83
2666,2015-03-02,6.83,6.85,6.81,6.85
2665,2015-03-03,6.85,6.98,6.85,6.94
2664,2015-03-04,6.96,6.96,6.85,6.85
2663,2015-03-05,6.83,6.85,6.81,6.81
2662,2015-03-06,6.85,6.85,6.72,6.72
2661,2015-03-09,6.72,6.83,6.68,6.7
2660,2015-03-10,6.7,6.79,6.7,6.7
2659,2015-03-11,6.74,6.74,6.64,6.64
2658,2015-03-12,6.59,6.68,6.59,6.64
2657,2015-03-13,6.66,6.66,6.61,6.64
2656,2015-03-16,6.64,6.64,6.55,6.57
2655,2015-03-17,6.55,6.66,6.55,6.64
2654,2015-03-18,6.61,6.66,6.59,6.64
2653,2015-03-19,6.59,6.61,6.48,6.51
2652,2015-03-20,6.51,6.68,6.48,6.59
2651,2015-03-23,6.57,6.57,6.46,6.48
2650,2015-03-24,6.46,6.48,6.44,6.46
2649,2015-03-25,6.46,6.57,6.46,6.48
2648,2015-03-26,6.46,6.51,6.44,6.46
2647,2015-03-27,6.46,6.48,6.29,6.29
2646,2015-03-30,6.29,6.36,6.23,6.25
2645,2015-03-31,6.29,6.31,6.23,6.29
2644,2015-04-01,6.29,6.29,6.14,6.14
2643,2015-04-02,6.14,6.25,6.14,6.25
2642,2015-04-03,6.25,6.29,6.23,6.29
2641,2015-04-06,6.31,6.31,6.23,6.23
2640,2015-04-07,6.23,6.27,6.18,6.27
2639,2015-04-08,6.29,6.29,6.14,6.18
2638,2015-04-09,6.18,6.29,6.18,6.29
2637,2015-04-10,6.29,6.31,6.25,6.29
2636,2015-04-13,6.27,6.4,6.25,6.4
2635,2015-04-14,6.33,6.53,6.33,6.4
2634,2015-04-15,6.4,6.53,6.36,6.51
2633,2015-04-16,6.55,6.66,6.53,6.64
2632,2015-04-17,6.64,6.66,6.57,6.59
2631,2015-04-20,6.61,6.61,6.46,6.53
2630,2015-04-21,6.53,6.61,6.53,6.55
2629,2015-04-22,6.51,6.66,6.51,6.61
2628,2015-04-23,6.61,6.61,6.51,6.51
2627,2015-04-24,6.57,6.59,6.53,6.57
2626,2015-04-27,6.57,6.61,6.51,6.51
2625,2015-05-04,6.51,6.51,6.38,6.38
2624,2015-05-05,6.36,6.51,6.29,6.51
2623,2015-05-06,6.46,6.48,6.42,6.46
2622,2015-05-07,6.46,6.48,6.38,6.44
2621,2015-05-08,6.46,6.55,6.46,6.53
2620,2015-05-11,6.53,6.61,6.46,6.46
2619,2015-05-12,6.53,6.59,6.48,6.51
2618,2015-05-13,6.57,6.57,6.48,6.55
2617,2015-05-14,6.53,6.59,6.51,6.57
2616,2015-05-15,6.61,6.61,6.51,6.51
2615,2015-05-18,6.48,6.48,6.36,6.36
2614,2015-05-19,6.36,6.48,6.36,6.48
2613,2015-05-20,6.48,6.64,6.48,6.61
2612,2015-05-21,6.59,6.68,6.55,6.68
2611,2015-05-22,6.79,6.79,6.68,6.72
2610,2015-05-25,6.7,6.7,6.57,6.68
2609,2015-05-26,6.68,6.68,6.61,6.61
2608,2015-05-27,6.57,6.61,6.57,6.57
2607,2015-05-28,6.57,6.61,6.54,6.61
2606,2015-05-29,6.63,6.72,6.61,6.61
2605,2015-06-01,6.61,6.66,6.57,6.66
2604,2015-06-02,6.72,6.75,6.63,6.66
2603,2015-06-03,6.66,6.66,6.59,6.61
2602,2015-06-04,6.61,6.63,6.59,6.59
2601,2015-06-05,6.59,6.61,6.57,6.59
2600,2015-06-08,6.63,6.68,6.61,6.63
2599,2015-06-09,6.66,6.79,6.59,6.72
2598,2015-06-10,6.79,6.79,6.63,6.66
