,Date,Open,High,Low,Close
2700,2015-01-05,8.25,8.38,8.25,8.31
2699,2015-01-06,8.31,8.51,8.18,8.44
2698,2015-01-07,8.44,8.64,8.44,8.57
2697,2015-01-08,8.51,8.57,8.44,8.51
2696,2015-01-09,8.51,8.96,8.51,8.7
2695,2015-01-12,8.64,8.9,8.64,8.64
2694,2015-01-13,8.57,8.7,8.57,8.7
2693,2015-01-14,8.7,8.7,8.44,8.51
2692,2015-01-15,8.38,8.57,8.38,8.51
2691,2015-01-16,8.44,8.51,8.38,8.44
2690,2015-01-19,8.44,8.51,8.38,8.51
2689,2015-01-20,8.51,8.51,8.31,8.38
2688,2015-01-21,8.44,8.44,8.12,8.12
2687,2015-01-22,8.18,8.44,7.99,8.31
2686,2015-01-23,8.44,8.83,8.38,8.7
2685,2015-01-26,8.83,9.16,8.77,8.96
2684,2015-01-27,8.9,9.03,8.51,8.83
2683,2015-01-28,8.7,9.16,8.64,9.09
2682,2015-01-29,9.09,9.48,9.09,9.29
2681,2015-01-30,9.22,9.35,8.83,9.03
2680,2015-02-02,8.9,9.03,8.7,8.7
2679,2015-02-03,8.83,8.83,8.12,8.12
2678,2015-02-04,7.99,8.44,7.99,8.31
2677,2015-02-05,8.44,8.57,8.38,8.51
2676,2015-02-06,8.51,8.7,8.44,8.7
2675,2015-02-09,8.64,8.7,8.44,8.51
2674,2015-02-10,8.51,8.57,8.44,8.44
2673,2015-02-11,8.44,8.57,8.38,8.51
2672,2015-02-12,8.51,8.64,8.44,8.57
2671,2015-02-13,8.51,8.7,8.51,8.64
2670,2015-02-24,8.38,8.83,8.38,8.64
2669,2015-02-25,8.64,8.9,8.64,8.77
2668,2015-02-26,8.77,8.83,8.64,8.7
2667,2015-02-27,8.7,8.7,8.57,8.57
2666,2015-03-02,8.57,8.57,8.51,8.51
2665,2015-03-03,8.51,8.64,8.44,8.51
2664,2015-03-04,8.51,8.64,8.51,8.57
2663,2015-03-05,8.51,8.57,8.44,8.51
2662,2015-03-06,8.51,8.64,8.44,8.57
2661,2015-03-09,8.57,8.7,8.51,8.57
2660,2015-03-10,8.64,8.64,8.51,8.64
2659,2015-03-11,8.57,8.7,8.57,8.57
2658,2015-03-12,8.51,8.7,8.51,8.57
2657,2015-03-13,8.57,8.64,8.57,8.57
2656,2015-03-16,8.51,8.64,8.51,8.57
2655,2015-03-17,8.51,8.64,8.51,8.51
2654,2015-03-18,8.57,8.64,8.51,8.57
2653,2015-03-19,8.44,8.57,8.44,8.44
2652,2015-03-20,8.44,8.57,8.44,8.51
2651,2015-03-23,8.44,8.57,8.44,8.44
2650,2015-03-24,8.38,8.44,8.38,8.38
2649,2015-03-25,8.44,8.44,8.31,8.31
2648,2015-03-26,8.31,8.44,8.25,8.44
2647,2015-03-27,8.44,8.44,8.18,8.31
2646,2015-03-30,8.12,8.25,8.12,8.12
2645,2015-03-31,7.99,8.51,7.99,8.51
2644,2015-04-01,8.51,8.51,8.18,8.25
