,Date,Open,High,Low,Close
2700,2015-01-05,7.34,7.37,7.28,7.31
2699,2015-01-06,7.27,7.36,7.24,7.36
2698,2015-01-07,7.36,7.51,7.36,7.4
2697,2015-01-08,7.39,7.4,7.31,7.33
2696,2015-01-09,7.33,7.42,7.33,7.39
2695,2015-01-12,7.39,7.53,7.39,7.43
2694,2015-01-13,7.4,7.47,7.4,7.45
2693,2015-01-14,7.45,7.48,7.37,7.43
2692,2015-01-15,7.47,7.47,7.4,7.45
2691,2015-01-16,7.47,7.47,7.4,7.42
2690,2015-01-19,7.42,7.42,7.34,7.34
2689,2015-01-20,7.34,7.37,7.33,7.34
2688,2015-01-21,7.37,7.47,7.37,7.4
2687,2015-01-22,7.43,7.43,7.37,7.37
2686,2015-01-23,7.4,7.45,7.37,7.4
2685,2015-01-26,7.4,7.45,7.4,7.4
2684,2015-01-27,7.39,7.43,7.34,7.34
2683,2015-01-28,7.33,7.39,7.31,7.33
2682,2015-01-29,7.33,7.34,7.31,7.33
2681,2015-01-30,7.34,7.36,7.27,7.27
2680,2015-02-02,7.28,7.31,7.24,7.25
2679,2015-02-03,7.25,7.27,7.19,7.19
2678,2015-02-04,7.25,7.25,7.14,7.17
2677,2015-02-05,7.19,7.27,7.17,7.22
2676,2015-02-06,7.27,7.27,7.22,7.24
2675,2015-02-09,7.3,7.3,7.22,7.22
2674,2015-02-10,7.22,7.24,7.19,7.21
2673,2015-02-11,7.24,7.27,7.22,7.27
2672,2015-02-12,7.33,7.37,7.31,7.31
2671,2015-02-13,7.34,7.37,7.31,7.34
2670,2015-02-24,7.37,7.47,7.37,7.43
2669,2015-02-25,7.47,7.5,7.4,7.42
2668,2015-02-26,7.4,7.5,7.4,7.5
2667,2015-02-27,7.51,7.54,7.45,7.47
2666,2015-03-02,7.5,7.5,7.4,7.42
2665,2015-03-03,7.47,7.48,7.43,7.48
2664,2015-03-04,7.53,7.73,7.53,7.65
2663,2015-03-05,7.73,7.8,7.65,7.65
2662,2015-03-06,7.65,7.73,7.63,7.65
2661,2015-03-09,7.63,7.65,7.53,7.53
2660,2015-03-10,7.57,7.6,7.54,7.6
2659,2015-03-11,7.6,7.6,7.56,7.57
2658,2015-03-12,7.57,7.57,7.51,7.53
2657,2015-03-13,7.57,7.6,7.51,7.53
2656,2015-03-16,7.53,7.56,7.53,7.56
2655,2015-03-17,7.57,7.73,7.57,7.65
2654,2015-03-18,7.65,7.65,7.59,7.59
2653,2015-03-19,7.63,7.65,7.57,7.57
2652,2015-03-20,7.57,7.63,7.56,7.62
2651,2015-03-23,7.62,7.63,7.56,7.56
2650,2015-03-24,7.57,7.57,7.47,7.51
2649,2015-03-25,7.57,7.57,7.5,7.53
2648,2015-03-26,7.56,7.56,7.53,7.54
2647,2015-03-27,7.59,7.59,7.53,7.53
2646,2015-03-30,7.56,7.56,7.4,7.4
2645,2015-03-31,7.4,7.45,7.4,7.4
2644,2015-04-01,7.45,7.45,7.3,7.3
2643,2015-04-02,7.31,7.42,7.3,7.36
2642,2015-04-03,7.42,7.47,7.36,7.47
2641,2015-04-06,7.47,7.51,7.42,7.42
2640,2015-04-07,7.4,7.5,7.4,7.48
2639,2015-04-08,7.5,7.51,7.47,7.48
2638,2015-04-09,7.48,7.5,7.42,7.48
2637,2015-04-10,7.48,7.56,7.47,7.53
2636,2015-04-13,7.53,7.56,7.51,7.53
2635,2015-04-14,7.53,7.53,7.45,7.45
2634,2015-04-15,7.48,7.5,7.42,7.48
2633,2015-04-16,7.48,7.53,7.45,7.47
2632,2015-04-17,7.48,7.88,7.48,7.8
2631,2015-04-20,7.8,7.8,7.63,7.73
2630,2015-04-21,7.73,7.8,7.65,7.65
2629,2015-04-22,7.65,7.8,7.65,7.65
2628,2015-04-23,7.73,7.8,7.62,7.73
2627,2015-04-24,7.73,7.8,7.65,7.73
2626,2015-04-27,7.88,8.03,7.8,7.88
2625,2015-05-04,7.88,7.95,7.5,7.56
2624,2015-05-05,7.56,7.73,7.53,7.65
2623,2015-05-06,7.65,7.73,7.59,7.59
2622,2015-05-07,7.62,7.73,7.59,7.63
2621,2015-05-08,7.63,7.73,7.63,7.63
2620,2015-05-11,7.65,7.65,7.59,7.6
2619,2015-05-12,7.6,7.6,7.53,7.53
2618,2015-05-13,7.53,7.54,7.45,7.53
2617,2015-05-14,7.5,7.59,7.5,7.54
2616,2015-05-15,7.56,7.59,7.51,7.51
2615,2015-05-18,7.5,7.53,7.47,7.47
2614,2015-05-19,7.45,7.53,7.45,7.53
2613,2015-05-20,7.59,7.8,7.57,7.8
2612,2015-05-21,7.8,8.11,7.73,8.03
2611,2015-05-22,8.03,8.11,7.95,7.95
2610,2015-05-25,7.95,8.26,7.95,8.26
2609,2015-05-26,8.18,8.26,8.11,8.11
2608,2015-05-27,8.11,8.18,7.95,8.03
2607,2015-05-28,8.16,8.23,8.09,8.14
2606,2015-05-29,8.16,8.16,8.05,8.07
2605,2015-06-01,8.05,8.05,7.94,7.94
2604,2015-06-02,7.94,7.94,7.84,7.84
2603,2015-06-03,7.84,8.03,7.82,7.93
2602,2015-06-04,7.93,7.98,7.93,7.96
2601,2015-06-05,7.98,8.05,7.93,8.03
2600,2015-06-08,8.07,8.09,7.94,7.94
2599,2015-06-09,7.93,8.11,7.93,7.94
2598,2015-06-10,7.94,8.02,7.91,8.0
2597,2015-06-11,8.0,8.05,8.0,8.03
2596,2015-06-12,8.05,8.12,8.05,8.09
2595,2015-06-15,8.14,8.14,8.03,8.07
2594,2015-06-16,8.07,8.11,7.98,7.98
2593,2015-06-17,7.96,8.0,7.94,7.96
2592,2015-06-18,7.96,8.07,7.96,7.98
2591,2015-06-19,7.98,8.09,7.98,8.03
2590,2015-06-22,8.07,8.21,8.05,8.18
2589,2015-06-23,8.18,8.2,8.14,8.16
2588,2015-06-24,8.18,8.18,8.11,8.11
2587,2015-06-25,8.09,8.11,8.07,8.07
2586,2015-06-26,8.09,8.59,8.09,8.3
2585,2015-06-29,8.39,8.55,8.34,8.39
2584,2015-06-30,8.3,8.38,8.3,8.32
2583,2015-07-01,8.32,8.45,8.27,8.39
2582,2015-07-02,8.38,8.5,8.36,8.46
2581,2015-07-03,8.5,8.5,8.41,8.43
2580,2015-07-06,8.45,8.52,8.43,8.52
2579,2015-07-07,8.5,8.68,8.46,8.54
2578,2015-07-08,8.54,8.57,8.36,8.38
2577,2015-07-09,8.34,8.41,8.29,8.38
2576,2015-07-10,8.38,8.43,8.32,8.36
2575,2015-07-13,8.36,8.52,8.34,8.41
2574,2015-07-14,8.41,8.46,8.36,8.41
2573,2015-07-15,8.43,8.43,8.32,8.32
2572,2015-07-16,8.29,8.32,8.21,8.32
2571,2015-07-17,8.3,8.41,8.29,8.32
2570,2015-07-20,8.32,8.32,8.23,8.29
2569,2015-07-21,8.25,8.27,8.14,8.18
2568,2015-07-22,8.18,8.34,8.16,8.34
2567,2015-07-23,8.32,8.59,8.32,8.43
2566,2015-07-24,8.46,8.57,8.46,8.54
2565,2015-07-27,8.59,8.88,8.57,8.79
2564,2015-07-28,8.79,8.79,8.64,8.64
2563,2015-07-29,8.64,8.73,8.55,8.59
2562,2015-07-30,8.59,8.61,8.48,8.48
2561,2015-07-31,8.55,8.57,8.48,8.48
2560,2015-08-03,8.43,8.43,8.32,8.34
2559,2015-08-04,8.41,8.5,8.36,8.43
2558,2015-08-05,8.46,8.5,8.41,8.5
2557,2015-08-06,8.5,8.54,8.39,8.39
2556,2015-08-07,8.43,8.52,8.38,8.48
2555,2015-08-10,8.52,8.7,8.52,8.7
2554,2015-08-11,8.7,8.79,8.61,8.66
2553,2015-08-12,8.61,8.61,8.48,8.54
2552,2015-08-13,8.54,8.54,8.39,8.43
2551,2015-08-14,8.41,8.48,8.34,8.39
2550,2015-08-17,8.39,8.45,8.25,8.29
2549,2015-08-18,8.29,8.38,8.25,8.36
2548,2015-08-19,8.41,8.52,8.34,8.45
2547,2015-08-20,8.47,8.47,8.32,8.34
2546,2015-08-21,8.27,8.28,8.06,8.28
2545,2015-08-24,8.14,8.17,7.75,7.77
2544,2015-08-25,7.7,7.97,7.7,7.86
2543,2015-08-26,7.88,8.16,7.88,8.08
2542,2015-08-27,8.08,8.17,8.06,8.12
2541,2015-08-28,8.17,8.21,8.12,8.19
2540,2015-08-31,8.16,8.21,8.08,8.1
2539,2015-09-01,8.14,8.14,8.05,8.08
