,Date,Open,High,Low,Close
2193,2017-01-13,3.38,3.52,3.38,3.38
2192,2017-01-16,3.15,3.15,3.15,3.15
2191,2017-01-17,2.94,3.05,2.94,2.96
2190,2017-01-18,2.82,3.05,2.82,3.03
2189,2017-01-19,3.03,3.03,2.94,2.94
2188,2017-01-20,2.96,3.1,2.94,3.06
2187,2017-01-23,3.06,3.06,2.85,2.97
2186,2017-01-24,3.01,3.04,2.97,3.03
2185,2017-01-25,3.05,3.09,3.03,3.08
2184,2017-02-02,3.1,3.1,3.03,3.04
2183,2017-02-03,3.03,3.05,3.01,3.04
2182,2017-02-06,3.01,3.06,3.01,3.06
2181,2017-02-07,3.08,3.08,3.03,3.04
2180,2017-02-08,3.01,3.05,3.01,3.05
2179,2017-02-09,3.03,3.04,3.01,3.04
2178,2017-02-10,3.04,3.05,2.99,3.05
2177,2017-02-13,3.05,3.05,3.02,3.02
2176,2017-02-14,3.03,3.03,2.98,2.98
2175,2017-02-15,3.01,3.04,2.98,3.04
2174,2017-02-16,3.04,3.05,3.03,3.04
2173,2017-02-17,3.03,3.05,3.02,3.05
2172,2017-02-20,3.08,3.26,3.08,3.24
2171,2017-02-21,3.26,3.29,3.19,3.19
2170,2017-02-22,3.24,3.24,3.21,3.21
2169,2017-02-23,3.1,3.15,3.09,3.1
2168,2017-02-24,3.08,3.1,3.05,3.05
2167,2017-02-27,3.05,3.24,3.03,3.17
2166,2017-02-28,3.05,3.17,3.05,3.05
2165,2017-03-01,3.1,3.13,3.1,3.13
2164,2017-03-02,3.15,3.15,3.06,3.08
2163,2017-03-03,3.05,3.17,3.05,3.15
2162,2017-03-06,3.21,3.21,3.16,3.17
2161,2017-03-07,3.15,3.16,3.15,3.15
2160,2017-03-08,3.15,3.15,3.15,3.15
2159,2017-03-09,3.05,3.15,3.05,3.15
2158,2017-03-10,3.08,3.08,3.06,3.06
2157,2017-03-13,3.06,3.1,3.06,3.1
2156,2017-03-14,3.1,3.12,3.08,3.12
2155,2017-03-15,3.08,3.08,3.02,3.08
2154,2017-03-16,3.08,3.08,3.03,3.05
2153,2017-03-17,3.05,3.08,3.04,3.05
2152,2017-03-20,3.11,3.11,3.05,3.05
2151,2017-03-21,3.05,3.08,3.05,3.05
2150,2017-03-22,3.04,3.05,3.04,3.04
2149,2017-03-23,3.03,3.05,3.02,3.04
2148,2017-03-24,3.03,3.11,3.03,3.08
2147,2017-03-27,3.09,3.22,3.09,3.21
2146,2017-03-28,3.19,3.19,3.16,3.17
2145,2017-03-29,3.16,3.21,3.15,3.21
2144,2017-03-30,3.19,3.22,3.17,3.17
2143,2017-03-31,3.18,3.19,3.16,3.18
2142,2017-04-03,3.18,3.23,3.18,3.18
2141,2017-04-04,3.18,3.18,3.17,3.17
2140,2017-04-05,3.15,3.18,3.15,3.15
2139,2017-04-07,3.08,3.19,3.08,3.17
2138,2017-04-10,3.18,3.18,3.17,3.17
2137,2017-04-11,3.17,3.18,3.15,3.17
2136,2017-04-12,3.18,3.18,3.13,3.13
2135,2017-04-13,3.15,3.18,3.15,3.15
2134,2017-04-14,3.13,3.17,3.12,3.17
2133,2017-04-17,3.21,3.21,3.17,3.18
2132,2017-04-18,3.1,3.18,3.1,3.15
2131,2017-04-19,3.17,3.17,3.15,3.17
2130,2017-04-20,3.17,3.17,3.15,3.17
2129,2017-04-21,3.17,3.18,3.17,3.18
2128,2017-04-24,3.18,3.18,3.16,3.16
2127,2017-04-25,3.15,3.17,3.15,3.16
2126,2017-04-26,3.15,3.17,3.1,3.17
2125,2017-04-27,3.17,3.18,3.17,3.18
2124,2017-04-28,3.19,3.19,3.17,3.18
2123,2017-05-03,3.18,3.19,3.18,3.18
2122,2017-05-04,3.18,3.19,3.17,3.18
2121,2017-05-05,3.19,3.29,3.18,3.22
2120,2017-05-08,3.3,3.31,3.27,3.27
2119,2017-05-09,3.27,3.27,3.19,3.22
2118,2017-05-10,3.24,3.27,3.2,3.23
2117,2017-05-11,3.24,3.27,3.2,3.2
2116,2017-05-12,3.2,3.24,3.2,3.22
2115,2017-05-15,3.22,3.23,3.19,3.22
2114,2017-05-16,3.22,3.23,3.2,3.2
2113,2017-05-17,3.19,3.23,3.19,3.22
2112,2017-05-18,3.19,3.23,3.19,3.22
2111,2017-05-19,3.2,3.32,3.2,3.2
2110,2017-05-22,3.22,3.26,3.19,3.22
2109,2017-05-23,3.22,3.22,3.19,3.22
2108,2017-05-24,3.18,3.27,3.18,3.24
2107,2017-05-25,3.27,3.27,3.2,3.24
2106,2017-05-26,3.22,3.22,3.2,3.22
2105,2017-05-29,3.2,3.24,3.19,3.22
2104,2017-05-30,3.19,3.19,3.15,3.15
2103,2017-05-31,3.15,3.16,3.14,3.16
2102,2017-06-01,3.2,3.2,3.14,3.16
2101,2017-06-02,3.14,3.14,3.12,3.14
2100,2017-06-05,3.14,3.15,3.12,3.12
2099,2017-06-06,3.12,3.14,3.11,3.14
2098,2017-06-07,3.19,3.19,3.14,3.16
2097,2017-06-08,3.16,3.18,3.16,3.18
2096,2017-06-09,3.16,3.16,3.12,3.16
2095,2017-06-12,3.12,3.14,3.11,3.14
2094,2017-06-13,3.15,3.15,3.12,3.12
2093,2017-06-14,3.15,3.15,3.14,3.15
2092,2017-06-15,3.15,3.24,3.15,3.22
2091,2017-06-16,3.24,3.38,3.24,3.36
2090,2017-06-19,3.36,3.38,3.32,3.35
2089,2017-06-20,3.36,3.36,3.32,3.35
2088,2017-06-21,3.32,3.34,3.32,3.32
2087,2017-06-22,3.32,3.35,3.32,3.34
2086,2017-06-23,3.35,3.35,3.12,3.34
2085,2017-06-26,3.35,3.36,3.32,3.34
2084,2017-06-27,3.35,3.35,3.3,3.32
2083,2017-06-28,3.34,3.34,3.32,3.34
2082,2017-06-29,3.32,3.35,3.32,3.34
2081,2017-06-30,3.31,3.31,3.27,3.3
2080,2017-07-03,3.34,3.34,3.27,3.32
2079,2017-07-04,3.27,3.3,3.27,3.3
2078,2017-07-05,3.3,3.31,3.26,3.28
2077,2017-07-06,3.3,3.3,3.22,3.28
2076,2017-07-07,3.28,3.28,3.08,3.22
2075,2017-07-10,3.19,3.2,3.15,3.2
2074,2017-07-11,3.19,3.2,3.14,3.2
2073,2017-07-12,3.24,3.24,3.16,3.18
2072,2017-07-13,3.19,3.19,3.15,3.16
2071,2017-07-14,3.22,3.22,3.16,3.18
2070,2017-07-17,3.19,3.22,3.16,3.19
2069,2017-07-18,3.19,3.19,3.14,3.19
2068,2017-07-19,3.19,3.19,3.14,3.18
2067,2017-07-20,3.14,3.18,3.14,3.15
2066,2017-07-21,3.18,3.18,3.12,3.14
2065,2017-07-24,3.14,3.15,3.11,3.14
2064,2017-07-25,3.15,3.15,3.11,3.11
2063,2017-07-26,3.15,3.16,3.14,3.15
2062,2017-07-27,3.16,3.16,3.14,3.15
2061,2017-07-28,3.15,3.16,3.14,3.14
2060,2017-07-31,3.14,3.18,3.14,3.16
2059,2017-08-01,3.16,3.16,3.14,3.15
2058,2017-08-02,3.15,3.15,3.14,3.15
2057,2017-08-03,3.15,3.15,3.11,3.15
2056,2017-08-04,3.15,3.15,3.11,3.11
2055,2017-08-07,3.11,3.22,3.04,3.22
2054,2017-08-08,3.22,3.27,3.11,3.15
2053,2017-08-09,3.16,3.19,3.08,3.14
2052,2017-08-10,3.14,3.14,3.08,3.11
2051,2017-08-11,3.11,3.14,3.08,3.11
2050,2017-08-14,3.14,3.14,3.08,3.11
2049,2017-08-15,3.11,3.11,3.08,3.11
2048,2017-08-16,3.08,3.11,3.07,3.08
2047,2017-08-17,3.08,3.1,3.08,3.08
2046,2017-08-18,3.07,3.11,3.07,3.11
2045,2017-08-21,3.08,3.1,3.08,3.08
2044,2017-08-22,2.99,3.1,2.99,3.07
2043,2017-08-23,3.06,3.06,3.06,3.06
2042,2017-08-24,3.08,3.1,3.06,3.08
2041,2017-08-25,3.06,3.08,3.06,3.08
2040,2017-08-28,3.08,3.08,3.03,3.06
2039,2017-08-29,3.02,3.08,3.02,3.08
2038,2017-08-30,3.08,3.08,3.08,3.08
2037,2017-08-31,3.03,3.07,3.03,3.04
2036,2017-09-01,3.06,3.08,3.06,3.08
2035,2017-09-05,3.06,3.08,3.04,3.04
2034,2017-09-06,3.04,3.07,3.04,3.06
2033,2017-09-07,3.06,3.06,3.03,3.06
2032,2017-09-08,3.06,3.06,3.03,3.03
2031,2017-09-11,2.99,3.04,2.99,3.0
2030,2017-09-12,3.0,3.02,2.99,3.0
2029,2017-09-13,3.0,3.04,3.0,3.04
2028,2017-09-14,3.0,3.03,3.0,3.03
2027,2017-09-15,3.0,3.03,2.99,3.03
2026,2017-09-18,3.02,3.03,2.95,3.03
2025,2017-09-19,3.0,3.03,2.99,3.03
2024,2017-09-20,3.0,3.03,3.0,3.0
2023,2017-09-21,3.0,3.04,3.0,3.03
2022,2017-09-22,3.06,3.22,3.06,3.19
2021,2017-09-25,3.12,3.12,3.1,3.1
2020,2017-09-26,3.06,3.15,3.04,3.15
2019,2017-09-27,3.16,3.16,3.04,3.16
2018,2017-09-28,3.15,3.16,3.06,3.08
2017,2017-09-29,3.1,3.11,3.1,3.1
2016,2017-10-02,3.06,3.14,3.06,3.14
2015,2017-10-03,3.11,3.11,3.08,3.08
2014,2017-10-04,3.08,3.12,3.08,3.08
2013,2017-10-05,3.11,3.11,3.07,3.07
2012,2017-10-06,3.07,3.08,3.07,3.08
2011,2017-10-09,3.11,3.14,3.11,3.14
2010,2017-10-10,3.11,3.16,3.11,3.14
2009,2017-10-11,3.14,3.14,3.11,3.11
2008,2017-10-12,3.11,3.12,3.11,3.11
2007,2017-10-13,3.27,3.32,3.14,3.14
2006,2017-10-16,3.12,3.14,3.11,3.14
2005,2017-10-17,3.16,3.16,3.08,3.08
2004,2017-10-18,3.08,3.16,3.08,3.15
2003,2017-10-19,3.18,3.22,3.16,3.22
2002,2017-10-20,3.22,3.22,3.1,3.19
2001,2017-10-23,3.14,3.14,3.08,3.08
2000,2017-10-24,3.08,3.15,3.08,3.08
1999,2017-10-25,3.08,3.08,3.08,3.08
1998,2017-10-26,3.08,3.08,3.07,3.07
1997,2017-10-27,3.1,3.11,3.08,3.08
1996,2017-10-30,3.08,3.08,3.06,3.08
1995,2017-10-31,3.03,3.06,3.03,3.06
1994,2017-11-01,3.06,3.11,3.0,3.0
1993,2017-11-02,3.0,3.03,2.96,2.98
1992,2017-11-03,2.99,3.0,2.95,3.0
1991,2017-11-06,3.0,3.0,2.95,3.0
1990,2017-11-07,3.0,3.0,2.99,3.0
1989,2017-11-08,3.0,3.0,3.0,3.0
1988,2017-11-09,3.0,3.03,2.96,3.0
1987,2017-11-10,2.98,3.03,2.92,3.02
1986,2017-11-13,2.92,3.08,2.92,3.03
1985,2017-11-14,3.03,3.03,2.95,3.03
1984,2017-11-15,3.06,3.06,2.98,3.03
1983,2017-11-16,3.0,3.02,3.0,3.02
1982,2017-11-17,3.0,3.0,2.98,3.0
1981,2017-11-20,3.0,3.03,2.99,3.0
1980,2017-11-21,3.0,3.03,2.99,3.02
1979,2017-11-22,3.02,3.03,2.99,3.02
1978,2017-11-23,3.02,3.02,2.99,3.0
1977,2017-11-24,3.0,3.03,3.0,3.0
1976,2017-11-27,3.04,3.04,3.0,3.0
1975,2017-11-28,3.03,3.03,3.0,3.0
1974,2017-11-29,3.0,3.12,3.0,3.04
1973,2017-11-30,3.04,3.08,3.04,3.04
1972,2017-12-01,3.06,3.08,3.04,3.06
1971,2017-12-04,3.06,3.16,3.06,3.12
1970,2017-12-05,3.12,3.16,3.08,3.11
1969,2017-12-06,3.11,3.12,3.08,3.11
1968,2017-12-07,3.1,3.11,3.08,3.1
1967,2017-12-08,3.14,3.14,3.08,3.08
1966,2017-12-11,3.06,3.07,3.03,3.06
1965,2017-12-12,3.06,3.08,2.98,3.06
1964,2017-12-13,3.07,3.07,3.0,3.06
1963,2017-12-14,3.06,3.26,3.06,3.19
1962,2017-12-15,3.19,3.34,3.16,3.26
1961,2017-12-18,3.26,3.3,3.26,3.28
1960,2017-12-19,3.27,3.27,3.2,3.22
1959,2017-12-20,3.22,3.24,3.19,3.24
1958,2017-12-21,3.27,3.28,3.24,3.24
1957,2017-12-22,3.23,3.27,3.23,3.24
1956,2017-12-25,3.16,3.3,3.16,3.24
1955,2017-12-26,3.23,3.26,3.22,3.23
1954,2017-12-27,3.22,3.22,3.2,3.22
1953,2017-12-28,3.22,3.24,3.16,3.24
1952,2017-12-29,3.24,3.35,3.24,3.32
1951,2018-01-02,3.32,3.32,3.28,3.28
1950,2018-01-03,3.27,3.39,3.26,3.38
1949,2018-01-04,3.38,3.49,3.35,3.42
1948,2018-01-05,3.39,3.43,3.34,3.34
1947,2018-01-08,3.32,3.4,3.27,3.4
1946,2018-01-09,3.4,3.63,3.4,3.63
1945,2018-01-10,3.7,3.87,3.7,3.87
1944,2018-01-11,4.02,4.02,3.78,3.83
1943,2018-01-12,3.83,3.89,3.78,3.85
1942,2018-01-15,3.75,3.83,3.73,3.78
1941,2018-01-16,3.78,3.83,3.7,3.83
1940,2018-01-17,3.78,4.1,3.77,4.1
1939,2018-01-18,4.02,4.1,3.91,4.02
1938,2018-01-19,4.02,4.13,4.02,4.02
1937,2018-01-22,4.05,4.05,3.97,4.01
1936,2018-01-23,4.01,4.01,4.01,4.01
1935,2018-01-24,4.01,4.01,4.01,4.01
1934,2018-01-25,4.07,4.07,3.97,4.05
1933,2018-01-26,4.09,4.09,4.02,4.07
1932,2018-01-29,4.1,4.1,3.97,3.99
1931,2018-01-30,3.97,3.99,3.9,3.9
1930,2018-01-31,4.01,4.02,3.9,3.9
1929,2018-02-01,3.91,4.01,3.81,3.99
1928,2018-02-02,3.98,3.98,3.87,3.94
1927,2018-02-05,3.81,3.83,3.71,3.71
1926,2018-02-06,3.62,3.97,3.46,3.97
1925,2018-02-07,3.75,3.9,3.75,3.75
1924,2018-02-08,3.75,3.83,3.67,3.83
1923,2018-02-09,3.7,3.73,3.57,3.59
1922,2018-02-12,3.81,3.83,3.66,3.69
1921,2018-02-13,3.71,3.94,3.65,3.9
1920,2018-02-21,3.99,3.99,3.81,3.89
1919,2018-02-22,3.89,3.89,3.83,3.83
