,Date,Open,High,Low,Close
2700,2015-01-05,33.4,33.64,32.68,32.92
2699,2015-01-06,31.97,32.68,31.97,32.44
2698,2015-01-07,31.97,33.16,31.97,32.92
2697,2015-01-08,33.4,33.64,33.16,33.16
2696,2015-01-09,33.4,35.31,33.4,35.31
2695,2015-01-12,37.69,37.69,37.69,37.69
2694,2015-01-13,37.22,39.12,37.22,38.41
2693,2015-01-14,37.69,37.93,36.5,36.98
2692,2015-01-15,37.22,37.69,36.74,37.45
2691,2015-01-16,37.22,37.69,36.74,36.98
2690,2015-01-19,36.98,37.45,36.26,36.5
2689,2015-01-20,36.74,37.22,36.5,36.98
2688,2015-01-21,36.98,37.22,36.74,36.98
2687,2015-01-22,36.98,37.45,36.98,37.45
2686,2015-01-23,37.69,38.65,37.45,38.65
2685,2015-01-26,38.89,39.12,38.17,38.17
2684,2015-01-27,38.17,38.17,37.45,37.93
2683,2015-01-28,38.17,38.17,37.22,37.45
2682,2015-01-29,37.22,37.45,36.98,36.98
2681,2015-01-30,37.45,37.45,36.74,36.74
2680,2015-02-02,36.98,37.22,36.5,36.5
2679,2015-02-03,36.98,37.69,36.5,36.5
2678,2015-02-04,37.22,37.69,36.98,37.45
2677,2015-02-05,37.22,37.69,36.98,37.45
2676,2015-02-06,37.93,38.41,37.69,37.93
2675,2015-02-09,38.17,38.17,37.69,37.69
2674,2015-02-10,38.17,38.17,37.45,37.45
2673,2015-02-11,37.45,37.45,36.98,37.22
2672,2015-02-12,37.22,37.69,36.5,37.69
2671,2015-02-13,37.93,38.17,37.69,37.69
2670,2015-02-24,37.93,37.93,37.69,37.93
2669,2015-02-25,37.93,37.93,37.45,37.45
2668,2015-02-26,37.69,37.69,36.98,37.45
2667,2015-02-27,37.45,37.69,36.98,37.69
2666,2015-03-02,37.45,37.69,37.22,37.45
2665,2015-03-03,37.45,37.69,37.22,37.22
2664,2015-03-04,37.45,37.93,37.22,37.93
2663,2015-03-05,38.41,38.89,38.17,38.41
2662,2015-03-06,38.65,38.65,37.93,37.93
2661,2015-03-09,37.93,38.17,37.22,37.22
2660,2015-03-10,37.22,37.69,37.22,37.45
2659,2015-03-11,37.45,37.45,36.74,36.98
2658,2015-03-12,36.74,37.22,36.74,36.98
2657,2015-03-13,36.74,37.22,36.5,36.5
2656,2015-03-16,36.98,37.45,36.5,36.5
2655,2015-03-17,36.74,36.98,36.5,36.74
2654,2015-03-18,36.74,36.74,36.02,36.26
2653,2015-03-19,36.74,36.74,36.02,36.02
2652,2015-03-20,36.02,36.5,35.78,36.02
2651,2015-03-23,36.5,36.98,36.02,36.26
2650,2015-03-24,36.26,36.5,35.07,35.78
2649,2015-03-25,35.78,36.02,33.4,33.4
2648,2015-03-26,32.44,32.92,31.25,31.97
2647,2015-03-27,32.68,33.16,31.25,31.25
2646,2015-03-30,31.25,31.97,30.54,30.54
2645,2015-03-31,30.54,31.73,30.3,31.49
2644,2015-04-01,31.49,31.73,29.34,29.58
2643,2015-04-02,29.82,30.3,29.1,30.06
2642,2015-04-03,30.54,30.54,29.82,30.54
2641,2015-04-06,30.54,30.54,29.82,29.82
2640,2015-04-07,29.82,30.3,29.34,29.82
2639,2015-04-08,30.3,30.54,29.58,29.82
2638,2015-04-09,29.82,29.82,29.34,29.58
2637,2015-04-10,29.58,29.82,29.34,29.58
2636,2015-04-13,29.58,30.54,29.58,30.06
2635,2015-04-14,30.3,31.01,30.06,30.54
2634,2015-04-15,30.77,32.44,30.77,32.21
2633,2015-04-16,33.16,33.16,32.21,32.21
2632,2015-04-17,32.21,32.92,31.73,31.73
2631,2015-04-20,31.73,31.97,31.01,31.25
2630,2015-04-21,31.01,31.73,31.01,31.01
2629,2015-04-22,31.01,31.25,30.77,31.01
2628,2015-04-23,31.01,31.01,30.3,30.77
2627,2015-04-24,31.01,31.97,30.54,31.49
2626,2015-04-27,31.73,31.73,31.25,31.49
2625,2015-05-04,31.97,31.97,29.82,29.82
2624,2015-05-05,29.82,30.3,29.34,30.06
2623,2015-05-06,30.54,31.49,30.3,30.54
2622,2015-05-07,30.54,30.77,30.3,30.3
2621,2015-05-08,30.3,30.54,30.06,30.3
2620,2015-05-11,30.3,30.54,29.82,30.06
2619,2015-05-12,30.06,30.3,29.58,29.58
2618,2015-05-13,29.82,29.82,29.34,29.58
2617,2015-05-14,29.58,30.06,29.34,29.58
2616,2015-05-15,29.58,29.82,29.1,29.1
2615,2015-05-18,29.1,29.1,27.67,27.67
2614,2015-05-19,28.15,29.1,27.67,29.1
2613,2015-05-20,28.87,30.3,28.63,30.3
2612,2015-05-21,30.3,30.54,29.82,30.06
2611,2015-05-22,30.3,30.54,29.82,30.54
2610,2015-05-25,30.54,30.77,30.06,30.54
2609,2015-05-26,30.54,30.77,30.06,30.3
2608,2015-05-27,30.63,30.63,30.15,30.15
2607,2015-05-28,30.15,30.63,29.91,30.63
2606,2015-05-29,30.63,30.63,30.15,30.15
2605,2015-06-01,30.39,30.39,29.91,29.91
2604,2015-06-02,30.15,30.15,29.67,29.67
2603,2015-06-03,29.91,30.39,29.91,30.15
2602,2015-06-04,29.91,30.39,29.91,29.91
2601,2015-06-05,29.91,30.88,29.91,30.88
2600,2015-06-08,30.88,31.36,30.39,30.63
2599,2015-06-09,30.63,30.88,30.15,30.15
2598,2015-06-10,30.39,30.88,30.15,30.63
2597,2015-06-11,30.88,32.32,30.88,31.84
2596,2015-06-12,32.32,32.32,31.6,31.84
2595,2015-06-15,31.84,31.84,31.12,31.36
2594,2015-06-16,31.36,31.36,30.63,30.63
2593,2015-06-17,30.63,30.88,30.39,30.39
2592,2015-06-18,30.39,30.88,30.15,30.39
2591,2015-06-19,30.88,30.88,30.39,30.39
2590,2015-06-22,30.39,30.63,30.15,30.63
2589,2015-06-23,30.63,31.12,30.63,30.63
2588,2015-06-24,30.88,31.12,30.39,30.63
2587,2015-06-25,30.63,30.63,29.91,30.15
2586,2015-06-26,30.15,30.39,29.91,29.91
2585,2015-06-29,29.91,30.39,29.67,30.39
2584,2015-06-30,30.15,30.88,29.91,29.91
2583,2015-07-01,30.39,30.39,29.91,29.91
2582,2015-07-02,29.91,30.63,29.91,30.39
2581,2015-07-03,30.63,30.88,30.39,30.63
2580,2015-07-06,30.63,31.36,30.39,31.36
2579,2015-07-07,31.36,31.6,31.12,31.36
2578,2015-07-08,31.12,31.36,30.39,30.63
2577,2015-07-09,30.15,30.39,29.91,30.39
2576,2015-07-10,30.63,30.88,30.15,30.15
2575,2015-07-13,30.39,30.63,30.15,30.63
2574,2015-07-14,30.39,30.88,30.39,30.39
2573,2015-07-15,30.63,30.63,30.15,30.15
2572,2015-07-16,30.15,30.39,29.91,29.91
2571,2015-07-17,29.91,30.39,29.91,29.91
2570,2015-07-20,29.67,29.67,28.46,28.95
2569,2015-07-21,28.95,29.19,28.22,28.46
2568,2015-07-22,28.22,28.71,27.98,28.71
2567,2015-07-23,28.71,29.67,28.71,29.67
2566,2015-07-24,29.91,29.91,29.19,29.43
2565,2015-07-27,29.43,29.43,29.19,29.19
2564,2015-07-28,29.19,29.19,28.46,28.95
2563,2015-07-29,29.19,29.19,28.46,28.46
2562,2015-07-30,28.71,28.71,28.46,28.71
2561,2015-07-31,28.71,29.19,28.46,28.46
2560,2015-08-03,28.46,28.46,27.74,27.98
2559,2015-08-04,27.74,27.98,27.74,27.98
2558,2015-08-05,27.98,28.46,27.98,28.22
2557,2015-08-06,28.22,28.46,27.98,27.98
2556,2015-08-07,27.98,28.22,27.74,27.98
2555,2015-08-10,27.98,27.98,27.5,27.74
2554,2015-08-11,27.98,27.98,27.5,27.74
2553,2015-08-12,27.5,27.74,27.26,27.5
2552,2015-08-13,27.26,27.5,26.78,27.02
2551,2015-08-14,26.78,27.02,25.33,25.33
2550,2015-08-17,25.09,25.57,23.59,23.78
2549,2015-08-18,23.4,23.88,23.4,23.88
2548,2015-08-19,23.64,23.78,23.3,23.59
2547,2015-08-20,23.54,23.54,21.95,21.95
2546,2015-08-21,21.71,21.71,20.46,20.7
2545,2015-08-24,20.7,20.7,19.25,19.25
2544,2015-08-25,18.09,19.49,18.09,18.72
2543,2015-08-26,18.96,20.02,18.96,20.02
2542,2015-08-27,20.89,21.42,20.74,21.42
2541,2015-08-28,22.92,22.92,22.87,22.92
2540,2015-08-31,24.12,24.36,23.64,23.64
2539,2015-09-01,24.12,24.12,22.96,22.96
2538,2015-09-03,22.29,22.92,21.95,22.05
2537,2015-09-04,22.19,22.87,22.1,22.14
2536,2015-09-07,22.14,22.48,21.9,22.1
2535,2015-09-08,22.1,22.39,22.0,22.39
2534,2015-09-09,22.72,23.11,22.58,22.67
2533,2015-09-10,22.43,22.67,22.24,22.39
