,Date,Open,High,Low,Close
2498,2015-10-26,7.48,7.48,6.38,7.48
2497,2015-10-27,6.9,6.9,6.9,6.9
2496,2015-10-28,6.52,6.52,5.9,5.97
2495,2015-10-29,5.97,6.52,5.93,6.28
2494,2015-10-30,6.07,6.55,6.07,6.38
2493,2015-11-02,6.41,6.52,6.0,6.31
2492,2015-11-03,6.31,6.55,6.24,6.55
2491,2015-11-04,6.59,7.24,6.55,6.93
2490,2015-11-05,7.41,7.79,7.41,7.79
2489,2015-11-06,8.45,8.83,7.93,8.21
2488,2015-11-09,8.34,8.34,7.1,8.07
2487,2015-11-10,8.38,8.38,6.97,7.24
2486,2015-11-11,6.65,7.38,6.62,7.24
2485,2015-11-12,7.24,7.76,7.21,7.59
2484,2015-11-13,7.59,7.83,7.45,7.79
2483,2015-11-16,7.62,7.83,7.1,7.48
2482,2015-11-17,7.55,7.69,7.41,7.52
2481,2015-11-18,7.41,7.55,6.9,7.21
2480,2015-11-19,7.34,7.34,6.93,7.17
2479,2015-11-20,6.9,7.14,6.55,7.0
2478,2015-11-23,7.0,7.24,6.9,7.21
2477,2015-11-24,6.9,7.41,6.9,7.24
2476,2015-11-25,7.17,7.41,7.1,7.38
2475,2015-11-26,7.31,7.59,7.31,7.41
2474,2015-11-27,7.45,7.45,7.34,7.38
2473,2015-11-30,7.31,7.34,7.17,7.21
2472,2015-12-01,7.34,7.41,7.17,7.21
2471,2015-12-02,7.17,7.21,7.0,7.03
2470,2015-12-03,7.07,7.1,7.03,7.07
2469,2015-12-04,7.03,7.07,6.93,7.0
2468,2015-12-07,6.97,6.97,6.83,6.83
2467,2015-12-08,6.86,6.93,6.72,6.9
2466,2015-12-09,6.83,7.1,6.76,7.03
2465,2015-12-10,7.0,7.1,6.93,6.97
2464,2015-12-11,6.9,7.0,6.9,7.0
2463,2015-12-14,6.93,7.0,6.93,6.97
2462,2015-12-15,6.9,7.0,6.83,7.0
2461,2015-12-16,7.0,7.24,6.93,7.03
2460,2015-12-17,7.03,7.14,7.0,7.14
2459,2015-12-18,7.07,7.07,6.55,7.0
2458,2015-12-21,6.83,6.86,6.38,6.86
2457,2015-12-22,6.55,6.65,6.31,6.48
2456,2015-12-23,6.24,6.34,5.52,6.14
2455,2015-12-24,5.79,6.83,5.52,6.76
2454,2015-12-25,6.79,6.9,6.1,6.72
2453,2015-12-28,6.97,7.03,6.62,7.03
2452,2015-12-29,7.24,7.24,6.86,7.0
2451,2015-12-30,6.9,7.41,6.65,7.41
2450,2015-12-31,7.59,8.0,7.41,7.93
2449,2016-01-04,8.1,8.1,7.41,7.72
2448,2016-01-05,7.72,7.76,7.52,7.69
2447,2016-01-06,7.65,8.28,7.65,8.24
2446,2016-01-07,8.24,8.55,8.03,8.45
2445,2016-01-08,8.38,8.45,8.21,8.38
2444,2016-01-11,8.28,8.28,7.76,7.93
2443,2016-01-12,7.93,8.14,7.72,8.03
2442,2016-01-13,7.93,8.14,7.93,8.07
2441,2016-01-14,7.93,8.0,7.76,7.93
2440,2016-01-15,7.93,7.97,7.86,7.93
2439,2016-01-18,7.76,7.79,7.52,7.76
2438,2016-01-19,7.62,7.86,7.62,7.83
2437,2016-01-20,7.93,7.97,7.72,7.79
2436,2016-01-21,7.83,8.1,7.76,8.1
2435,2016-01-22,8.14,8.48,8.14,8.45
2434,2016-01-25,8.52,9.03,8.45,8.97
2433,2016-01-26,8.62,9.1,8.62,8.79
2432,2016-01-27,8.9,9.03,8.69,8.83
2431,2016-01-28,8.83,8.83,8.48,8.55
2430,2016-01-29,8.52,8.52,8.31,8.41
2429,2016-02-01,8.45,8.45,8.17,8.21
2428,2016-02-02,8.14,8.28,8.0,8.17
2427,2016-02-03,8.1,8.14,8.0,8.1
2426,2016-02-04,8.21,8.28,8.14,8.14
2425,2016-02-05,8.21,8.34,8.17,8.34
2424,2016-02-15,8.24,8.34,8.14,8.14
2423,2016-02-16,8.1,8.38,8.1,8.31
2422,2016-02-17,8.38,8.52,8.24,8.45
2421,2016-02-18,8.52,8.86,8.48,8.76
2420,2016-02-19,8.72,8.79,8.48,8.48
2419,2016-02-22,8.55,8.62,8.41,8.45
2418,2016-02-23,8.45,8.45,8.21,8.31
2417,2016-02-24,8.45,8.52,8.24,8.38
2416,2016-02-25,8.45,8.45,8.21,8.21
2415,2016-02-26,8.17,8.28,8.14,8.28
2414,2016-02-29,8.24,8.28,8.21,8.24
2413,2016-03-01,8.28,8.45,8.21,8.34
2412,2016-03-02,8.34,8.59,8.34,8.52
2411,2016-03-03,8.55,8.69,8.55,8.55
2410,2016-03-04,8.59,8.62,8.31,8.38
2409,2016-03-07,8.28,8.28,7.69,8.0
2408,2016-03-08,8.0,8.17,8.0,8.03
2407,2016-03-09,7.97,8.17,7.97,8.14
2406,2016-03-10,8.1,8.28,8.07,8.28
2405,2016-03-11,8.24,8.24,8.17,8.17
2404,2016-03-14,8.17,8.24,8.1,8.24
2403,2016-03-15,8.17,8.34,8.14,8.28
2402,2016-03-16,8.28,8.31,8.17,8.21
2401,2016-03-17,8.24,8.41,8.21,8.38
2400,2016-03-18,8.41,8.48,8.28,8.34
2399,2016-03-21,8.38,8.41,8.34,8.34
2398,2016-03-22,8.38,8.62,8.38,8.52
2397,2016-03-23,8.55,9.24,8.55,9.0
2396,2016-03-24,9.31,9.41,9.0,9.14
2395,2016-03-25,9.14,9.14,8.72,8.93
2394,2016-03-28,8.93,9.24,8.93,9.21
2393,2016-03-29,9.48,9.48,9.21,9.28
2392,2016-03-30,9.31,9.31,9.0,9.03
2391,2016-03-31,9.1,9.1,8.76,8.79
2390,2016-04-01,8.65,8.72,8.41,8.48
2389,2016-04-04,8.48,8.55,8.34,8.38
2388,2016-04-05,8.45,8.65,8.45,8.55
2387,2016-04-06,8.8,8.8,8.55,8.77
2386,2016-04-07,8.77,8.87,8.73,8.84
2385,2016-04-08,8.91,8.95,8.73,8.77
2384,2016-04-11,8.87,8.87,8.69,8.69
2383,2016-04-12,8.69,8.8,8.66,8.73
