,Date,Open,High,Low,Close
2700,2015-01-05,8.95,9.04,8.85,8.85
2699,2015-01-06,8.64,9.13,8.64,9.1
2698,2015-01-07,9.1,9.38,9.1,9.23
2697,2015-01-08,9.16,9.44,9.13,9.29
2696,2015-01-09,9.32,9.54,9.32,9.41
2695,2015-01-12,9.41,9.44,9.16,9.16
2694,2015-01-13,9.1,9.47,9.1,9.32
2693,2015-01-14,9.29,9.32,9.16,9.2
2692,2015-01-15,9.29,9.35,9.2,9.29
2691,2015-01-16,9.29,9.38,9.2,9.2
2690,2015-01-19,9.2,9.23,9.1,9.2
2689,2015-01-20,9.2,9.2,9.04,9.13
2688,2015-01-21,9.2,9.23,9.1,9.13
2687,2015-01-22,9.16,9.2,9.1,9.13
2686,2015-01-23,9.13,9.26,9.13,9.2
2685,2015-01-26,9.1,9.29,9.1,9.23
2684,2015-01-27,9.29,9.47,9.23,9.38
2683,2015-01-28,9.38,9.38,9.23,9.23
2682,2015-01-29,9.23,9.23,9.07,9.2
2681,2015-01-30,9.16,9.16,8.98,9.07
2680,2015-02-02,9.04,9.07,8.79,8.79
2679,2015-02-03,8.89,8.89,8.67,8.67
2678,2015-02-04,8.64,8.79,8.61,8.64
2677,2015-02-05,8.73,8.76,8.61,8.67
2676,2015-02-06,8.67,8.73,8.61,8.67
2675,2015-02-09,8.7,8.7,8.51,8.55
2674,2015-02-10,8.55,8.64,8.51,8.61
2673,2015-02-11,8.76,8.76,8.61,8.73
2672,2015-02-12,8.79,8.79,8.67,8.76
2671,2015-02-13,8.76,8.79,8.73,8.79
2670,2015-02-24,8.85,8.85,8.7,8.79
2669,2015-02-25,8.79,8.98,8.79,8.79
2668,2015-02-26,8.92,8.92,8.73,8.79
2667,2015-02-27,8.89,8.89,8.73,8.79
2666,2015-03-02,8.82,8.82,8.73,8.82
2665,2015-03-03,8.76,8.92,8.76,8.92
2664,2015-03-04,8.92,9.13,8.92,9.13
2663,2015-03-05,9.2,9.29,9.13,9.16
2662,2015-03-06,9.2,9.2,9.1,9.13
2661,2015-03-09,9.13,9.13,8.92,8.92
2660,2015-03-10,8.89,8.92,8.82,8.89
2659,2015-03-11,8.82,8.92,8.82,8.85
2658,2015-03-12,8.89,8.89,8.79,8.89
2657,2015-03-13,8.85,8.89,8.82,8.82
2656,2015-03-16,8.79,8.85,8.79,8.79
2655,2015-03-17,8.79,8.85,8.79,8.82
2654,2015-03-18,8.82,8.98,8.82,8.95
2653,2015-03-19,8.89,9.04,8.85,8.89
2652,2015-03-20,8.85,8.92,8.85,8.92
2651,2015-03-23,8.92,8.95,8.79,8.79
2650,2015-03-24,8.79,8.82,8.73,8.79
2649,2015-03-25,8.79,8.79,8.7,8.7
2648,2015-03-26,8.67,8.73,8.51,8.51
2647,2015-03-27,8.51,8.61,8.39,8.39
2646,2015-03-30,8.45,8.48,8.24,8.24
2645,2015-03-31,8.3,8.42,8.27,8.42
2644,2015-04-01,8.42,8.48,8.24,8.24
2643,2015-04-02,8.27,8.36,8.24,8.36
2642,2015-04-03,8.51,8.51,8.36,8.48
2641,2015-04-06,8.48,8.48,8.36,8.36
2640,2015-04-07,8.36,8.48,8.3,8.48
2639,2015-04-08,8.48,8.51,8.36,8.39
2638,2015-04-09,8.39,8.55,8.39,8.48
2637,2015-04-10,8.48,8.61,8.48,8.48
2636,2015-04-13,8.51,8.55,8.48,8.55
2635,2015-04-14,8.55,8.55,8.45,8.45
2634,2015-04-15,8.51,8.51,8.42,8.48
2633,2015-04-16,8.48,8.61,8.48,8.61
2632,2015-04-17,8.61,9.2,8.61,9.2
2631,2015-04-20,9.29,9.29,9.04,9.1
2630,2015-04-21,9.07,9.1,8.89,8.89
2629,2015-04-22,8.98,9.23,8.89,9.04
2628,2015-04-23,9.04,9.2,8.89,9.16
2627,2015-04-24,9.13,9.23,9.1,9.13
2626,2015-04-27,9.13,9.16,9.07,9.13
2625,2015-05-04,9.13,9.13,8.61,8.67
2624,2015-05-05,8.7,8.92,8.61,8.92
2623,2015-05-06,8.92,9.1,8.82,9.04
2622,2015-05-07,9.04,9.57,9.04,9.47
2621,2015-05-08,9.44,9.81,9.44,9.57
2620,2015-05-11,9.35,9.54,9.35,9.38
2619,2015-05-12,9.47,9.72,9.44,9.54
2618,2015-05-13,9.54,9.69,9.54,9.57
2617,2015-05-14,9.57,9.63,9.44,9.63
2616,2015-05-15,9.57,9.6,9.44,9.44
2615,2015-05-18,9.41,9.41,8.98,8.98
2614,2015-05-19,8.98,9.2,8.95,9.1
2613,2015-05-20,9.1,9.44,9.1,9.41
2612,2015-05-21,9.44,9.5,9.35,9.5
2611,2015-05-22,9.5,9.54,9.35,9.47
2610,2015-05-25,9.44,9.78,9.44,9.75
2609,2015-05-26,9.78,9.88,9.57,9.57
2608,2015-05-27,9.47,9.66,9.47,9.57
2607,2015-05-28,9.47,9.6,9.44,9.5
2606,2015-05-29,9.47,9.5,9.38,9.5
2605,2015-06-01,9.44,9.54,9.44,9.44
2604,2015-06-02,9.41,9.44,9.32,9.32
2603,2015-06-03,9.32,9.47,9.32,9.41
2602,2015-06-04,9.35,9.47,9.35,9.44
2601,2015-06-05,9.5,9.5,9.41,9.5
2600,2015-06-08,9.75,9.81,9.6,9.6
2599,2015-06-09,9.6,9.69,9.44,9.44
2598,2015-06-10,9.5,9.72,9.44,9.63
2597,2015-06-11,9.69,9.69,9.57,9.6
2596,2015-06-12,9.6,9.63,9.57,9.6
2595,2015-06-15,9.57,9.6,9.5,9.57
2594,2015-06-16,9.57,9.57,9.47,9.54
2593,2015-06-17,9.47,9.54,9.35,9.41
2592,2015-06-18,9.6,9.6,9.44,9.44
2591,2015-06-19,9.41,9.47,9.35,9.38
2590,2015-06-22,9.38,9.47,9.35,9.38
2589,2015-06-23,9.38,9.44,9.35,9.44
2588,2015-06-24,9.54,9.66,9.5,9.5
2587,2015-06-25,9.6,9.6,9.44,9.5
2586,2015-06-26,9.54,9.88,9.5,9.6
2585,2015-06-29,9.6,9.69,9.6,9.69
2584,2015-06-30,9.63,9.69,9.6,9.63
2583,2015-07-01,9.66,9.66,9.54,9.63
2582,2015-07-02,9.66,9.72,9.6,9.72
2581,2015-07-03,9.78,9.88,9.72,9.78
2580,2015-07-06,9.85,10.28,9.81,10.28
2579,2015-07-07,10.28,10.43,10.16,10.19
2578,2015-07-08,10.19,10.19,9.91,9.91
2577,2015-07-09,9.85,10.12,9.85,10.12
2576,2015-07-10,10.22,10.22,10.06,10.06
2575,2015-07-13,10.12,10.12,9.97,10.03
2574,2015-07-14,10.0,10.06,9.88,9.91
2573,2015-07-15,9.91,10.09,9.81,9.94
2572,2015-07-16,9.94,10.0,9.88,9.94
2571,2015-07-17,10.03,10.31,9.94,10.16
2570,2015-07-20,10.19,10.22,10.0,10.12
2569,2015-07-21,10.09,10.46,10.09,10.4
2568,2015-07-22,10.37,10.77,10.37,10.77
2567,2015-07-23,10.68,10.81,10.59,10.59
2566,2015-07-24,10.59,10.74,10.53,10.68
2565,2015-07-27,10.65,11.08,10.53,10.99
2564,2015-07-28,10.87,11.05,10.87,10.99
2563,2015-07-29,10.93,11.11,10.84,10.84
2562,2015-07-30,10.74,10.87,10.71,10.74
2561,2015-07-31,10.71,10.96,10.62,10.62
2560,2015-08-03,10.46,10.56,10.25,10.4
2559,2015-08-04,10.28,10.53,10.28,10.37
2558,2015-08-05,10.34,10.59,10.34,10.59
2557,2015-08-06,10.53,10.68,10.53,10.56
2556,2015-08-07,10.56,10.65,10.46,10.53
2555,2015-08-10,10.62,10.84,10.62,10.84
2554,2015-08-11,10.84,10.96,10.74,10.74
2553,2015-08-12,10.71,10.71,10.5,10.56
2552,2015-08-13,10.62,10.62,10.4,10.4
2551,2015-08-14,10.46,10.68,10.28,10.68
2550,2015-08-17,10.77,10.77,10.5,10.5
2549,2015-08-18,10.65,10.65,10.46,10.62
2548,2015-08-19,10.62,10.65,10.46,10.65
2547,2015-08-20,10.74,10.87,10.65,10.71
2546,2015-08-21,10.62,10.68,10.37,10.68
2545,2015-08-24,10.46,10.59,9.94,9.94
2544,2015-08-25,9.66,10.06,9.6,9.97
2543,2015-08-26,10.03,10.22,9.91,10.22
2542,2015-08-27,10.34,10.46,10.25,10.37
2541,2015-08-28,10.37,10.5,10.28,10.5
2540,2015-08-31,10.5,10.5,10.28,10.28
2539,2015-09-01,10.31,10.31,10.06,10.16
2538,2015-09-03,10.09,10.16,9.91,9.91
2537,2015-09-04,9.91,10.31,9.91,10.19
2536,2015-09-07,10.16,10.16,10.06,10.12
2535,2015-09-08,10.12,10.19,10.0,10.19
2534,2015-09-09,10.22,10.25,10.0,10.16
2533,2015-09-10,10.16,10.16,10.06,10.12
2532,2015-09-11,10.12,10.31,10.12,10.16
2531,2015-09-14,10.31,10.31,10.0,10.0
2530,2015-09-15,10.06,10.06,10.0,10.0
2529,2015-09-16,10.12,10.12,9.97,10.0
2528,2015-09-17,10.06,10.12,10.03,10.12
2527,2015-09-18,10.19,10.28,10.12,10.16
2526,2015-09-21,10.16,10.34,10.16,10.34
2525,2015-09-22,10.34,10.62,10.34,10.56
2524,2015-09-23,10.56,10.59,10.5,10.59
2523,2015-09-24,10.53,10.59,10.5,10.53
2522,2015-09-25,10.59,10.74,10.5,10.74
2521,2015-09-28,10.81,10.81,10.56,10.56
2520,2015-09-29,10.53,10.59,10.46,10.59
2519,2015-09-30,10.59,10.71,10.59,10.59
2518,2015-10-01,10.56,10.62,10.46,10.59
2517,2015-10-02,10.53,10.74,10.53,10.68
2516,2015-10-05,10.77,11.39,10.68,11.36
2515,2015-10-06,11.61,11.92,11.58,11.58
2514,2015-10-07,11.58,11.58,11.3,11.39
2513,2015-10-08,11.36,11.76,11.33,11.76
2512,2015-10-09,11.76,12.23,11.7,11.92
2511,2015-10-12,11.89,12.07,11.89,12.01
2510,2015-10-13,11.95,12.01,11.92,11.95
2509,2015-10-14,11.95,12.32,11.92,12.01
2508,2015-10-15,12.01,12.17,12.01,12.04
2507,2015-10-16,12.07,12.23,12.04,12.04
2506,2015-10-19,12.04,12.14,11.89,12.07
2505,2015-10-20,12.01,12.82,12.01,12.79
2504,2015-10-21,12.82,13.0,12.79,12.79
2503,2015-10-22,12.82,12.94,12.66,12.88
2502,2015-10-23,12.88,13.47,12.88,13.34
2501,2015-10-26,13.5,13.68,12.69,13.07
2500,2015-10-27,12.94,13.16,12.91,13.07
2499,2015-10-28,13.0,13.53,13.0,13.07
2498,2015-10-29,13.37,13.37,13.03,13.07
2497,2015-10-30,13.07,13.41,13.0,13.28
2496,2015-11-02,13.31,13.47,12.97,13.0
2495,2015-11-03,13.13,13.31,12.85,13.31
2494,2015-11-04,13.34,13.56,13.16,13.16
2493,2015-11-05,13.1,13.25,13.1,13.16
2492,2015-11-06,13.16,13.19,12.54,12.54
2491,2015-11-09,12.54,12.54,12.07,12.23
2490,2015-11-10,12.17,12.54,12.17,12.29
2489,2015-11-11,12.51,12.51,12.29,12.38
2488,2015-11-12,12.55,12.61,12.22,12.58
2487,2015-11-13,12.48,12.91,12.48,12.78
2486,2015-11-16,12.87,13.36,12.87,13.2
2485,2015-11-17,13.2,13.33,12.87,12.94
2484,2015-11-18,12.87,12.97,12.81,12.84
2483,2015-11-19,12.74,12.84,12.51,12.55
2482,2015-11-20,12.55,12.71,12.48,12.55
2481,2015-11-23,12.61,12.61,12.35,12.38
2480,2015-11-24,12.38,12.61,12.29,12.38
2479,2015-11-25,12.32,12.51,12.22,12.45
2478,2015-11-26,12.48,12.55,12.35,12.45
2477,2015-11-27,12.38,12.51,12.25,12.25
2476,2015-11-30,12.19,12.22,11.96,12.03
2475,2015-12-01,11.9,12.09,11.9,11.9
2474,2015-12-02,11.96,12.09,11.93,12.06
2473,2015-12-03,11.99,12.16,11.99,12.06
2472,2015-12-04,12.06,12.09,11.96,12.03
2471,2015-12-07,12.03,12.35,12.03,12.32
2470,2015-12-08,12.32,12.94,12.19,12.94
2469,2015-12-09,13.0,13.0,12.71,12.71
2468,2015-12-10,12.71,12.74,12.45,12.51
2467,2015-12-11,12.61,12.81,12.51,12.71
2466,2015-12-14,12.74,12.87,12.64,12.71
2465,2015-12-15,12.64,12.87,12.64,12.78
2464,2015-12-16,12.84,13.23,12.84,13.07
2463,2015-12-17,13.13,13.49,13.13,13.26
2462,2015-12-18,13.1,13.46,13.1,13.26
2461,2015-12-21,13.26,13.26,12.94,13.04
2460,2015-12-22,13.0,13.2,12.91,13.04
2459,2015-12-23,12.97,13.07,12.87,13.04
2458,2015-12-24,13.04,13.46,13.04,13.26
2457,2015-12-25,13.33,13.46,13.2,13.26
2456,2015-12-28,13.36,13.82,13.26,13.69
2455,2015-12-29,13.69,13.92,13.66,13.75
2454,2015-12-30,13.88,13.88,13.62,13.79
2453,2015-12-31,13.82,13.95,13.69,13.82
2452,2016-01-04,13.98,14.18,13.85,14.01
2451,2016-01-05,14.01,14.08,13.82,13.85
2450,2016-01-06,13.85,13.92,13.79,13.88
2449,2016-01-07,13.72,13.79,13.2,13.36
2448,2016-01-08,13.2,13.23,12.87,13.07
2447,2016-01-11,13.04,13.13,12.81,12.84
2446,2016-01-12,12.84,13.1,12.84,13.0
2445,2016-01-13,13.04,13.26,13.04,13.17
2444,2016-01-14,12.94,13.1,12.91,13.07
2443,2016-01-15,13.04,13.1,12.81,12.81
2442,2016-01-18,12.55,12.68,12.12,12.64
2441,2016-01-19,12.58,12.87,12.58,12.84
2440,2016-01-20,12.71,13.07,12.68,12.91
2439,2016-01-21,12.78,12.97,12.68,12.71
2438,2016-01-22,12.71,12.87,12.61,12.71
2437,2016-01-25,13.2,13.33,12.87,13.23
2436,2016-01-26,12.87,13.2,12.87,12.94
2435,2016-01-27,13.17,13.17,12.94,13.13
2434,2016-01-28,13.04,13.17,12.97,13.04
2433,2016-01-29,12.87,13.1,12.71,13.04
2432,2016-02-01,13.1,13.3,13.04,13.13
2431,2016-02-02,13.13,13.13,13.0,13.07
2430,2016-02-03,13.0,13.1,12.78,13.1
2429,2016-02-04,13.07,13.23,13.04,13.13
2428,2016-02-05,13.07,13.36,13.07,13.26
2427,2016-02-15,13.2,13.2,13.07,13.2
2426,2016-02-16,13.2,13.36,13.17,13.26
2425,2016-02-17,13.39,13.46,13.26,13.33
