,Date,Open,High,Low,Close
2659,2015-03-11,5.93,5.93,5.82,5.87
2658,2015-03-12,5.46,5.93,5.46,5.46
2657,2015-03-13,5.46,5.46,5.09,5.09
2656,2015-03-16,4.77,4.85,4.74,4.74
2655,2015-03-17,4.42,4.47,4.42,4.42
2654,2015-03-18,4.33,4.57,4.33,4.57
2653,2015-03-19,4.57,4.61,4.57,4.57
2652,2015-03-20,4.45,4.57,4.27,4.57
2651,2015-03-23,4.57,4.57,4.3,4.3
2650,2015-03-24,4.3,4.33,4.3,4.33
2649,2015-03-25,4.3,4.3,4.2,4.2
2648,2015-03-26,4.2,4.21,4.14,4.14
2647,2015-03-27,4.14,4.42,4.14,4.42
2646,2015-03-30,4.42,4.43,4.32,4.32
2645,2015-03-31,4.32,4.42,4.32,4.42
2644,2015-04-01,4.36,4.36,4.2,4.2
2643,2015-04-02,4.2,4.2,4.08,4.2
2642,2015-04-03,4.09,4.32,4.09,4.28
2641,2015-04-06,4.32,4.32,4.2,4.2
2640,2015-04-07,4.19,4.2,4.16,4.19
2639,2015-04-08,4.2,4.2,4.16,4.2
2638,2015-04-09,4.19,4.25,4.19,4.24
2637,2015-04-10,4.2,4.24,4.2,4.24
2636,2015-04-13,4.15,4.45,4.14,4.45
2635,2015-04-14,4.41,4.42,4.37,4.37
2634,2015-04-15,4.35,4.35,4.35,4.35
2633,2015-04-16,4.63,4.63,4.2,4.26
2632,2015-04-17,4.42,4.42,4.26,4.26
2631,2015-04-20,4.2,4.54,4.14,4.14
2630,2015-04-21,4.32,4.38,4.14,4.38
2629,2015-04-22,4.32,4.38,4.26,4.38
2628,2015-04-23,4.38,4.57,4.32,4.51
2627,2015-04-24,4.49,4.51,4.38,4.49
2626,2015-04-27,4.45,4.45,4.45,4.45
2625,2015-05-04,4.43,4.45,4.26,4.32
2624,2015-05-05,4.28,4.32,4.27,4.32
2623,2015-05-06,4.32,4.32,4.2,4.2
2622,2015-05-07,4.37,4.37,4.37,4.37
2621,2015-05-08,4.38,4.38,4.38,4.38
2620,2015-05-11,4.38,4.38,4.09,4.38
2619,2015-05-12,4.15,4.27,4.15,4.26
2618,2015-05-13,4.26,4.26,4.2,4.2
2617,2015-05-14,4.2,4.2,4.11,4.14
2616,2015-05-15,4.14,4.15,4.1,4.15
2615,2015-05-18,4.2,4.43,4.2,4.43
2614,2015-05-19,4.49,4.56,4.45,4.46
2613,2015-05-20,4.62,4.62,4.45,4.55
2612,2015-05-21,4.46,4.57,4.45,4.51
2611,2015-05-22,4.46,4.53,4.45,4.53
2610,2015-05-25,4.51,4.53,4.51,4.51
2609,2015-05-26,4.51,4.53,4.45,4.45
2608,2015-05-27,4.45,4.5,4.33,4.38
2607,2015-05-28,4.33,4.55,4.32,4.47
2606,2015-05-29,4.45,4.45,4.38,4.38
2605,2015-06-01,4.34,4.43,4.34,4.37
2604,2015-06-02,4.43,4.55,4.32,4.36
2603,2015-06-03,4.51,4.51,4.33,4.47
2602,2015-06-04,4.51,4.51,4.45,4.47
2601,2015-06-05,4.43,4.5,4.43,4.48
2600,2015-06-08,4.5,4.55,4.5,4.5
2599,2015-06-09,4.5,4.74,4.5,4.64
2598,2015-06-10,4.76,4.76,4.69,4.72
2597,2015-06-11,4.7,4.75,4.7,4.74
2596,2015-06-12,4.71,4.74,4.67,4.7
2595,2015-06-15,4.58,4.7,4.58,4.62
2594,2015-06-16,4.62,4.74,4.62,4.71
2593,2015-06-17,4.7,4.71,4.7,4.7
2592,2015-06-18,4.7,4.78,4.7,4.78
2591,2015-06-19,4.83,5.11,4.78,5.11
2590,2015-06-22,5.21,5.32,5.05,5.14
2589,2015-06-23,5.08,5.08,4.95,4.97
2588,2015-06-24,5.08,5.08,4.9,4.9
2587,2015-06-25,4.9,4.95,4.86,4.88
2586,2015-06-26,4.84,4.94,4.84,4.93
2585,2015-06-29,4.89,4.92,4.83,4.89
2584,2015-06-30,4.84,4.89,4.76,4.89
2583,2015-07-01,4.85,4.89,4.83,4.89
2582,2015-07-02,4.89,4.89,4.8,4.88
2581,2015-07-03,4.83,4.83,4.75,4.81
2580,2015-07-06,4.71,4.83,4.71,4.83
2579,2015-07-07,4.85,4.86,4.76,4.81
2578,2015-07-08,4.76,4.76,4.67,4.75
2577,2015-07-09,4.75,4.75,4.69,4.71
2576,2015-07-10,4.7,4.7,4.7,4.7
2575,2015-07-13,4.7,4.78,4.7,4.78
2574,2015-07-14,4.75,4.75,4.7,4.75
2573,2015-07-15,4.75,4.75,4.75,4.75
2572,2015-07-16,4.75,4.75,4.75,4.75
2571,2015-07-17,4.74,4.75,4.62,4.64
2570,2015-07-20,4.83,4.83,4.7,4.72
2569,2015-07-21,4.71,4.76,4.7,4.7
2568,2015-07-22,4.7,4.76,4.7,4.75
2567,2015-07-23,4.74,4.74,4.7,4.74
2566,2015-07-24,4.76,4.95,4.76,4.89
2565,2015-07-27,4.89,4.92,4.81,4.83
2564,2015-07-28,4.83,4.84,4.8,4.8
2563,2015-07-29,4.81,4.83,4.8,4.8
2562,2015-07-30,4.8,4.8,4.76,4.76
2561,2015-07-31,4.79,4.79,4.74,4.74
