,Date,Open,High,Low,Close
2692,2015-01-05,3.33,3.4,3.26,3.33
2691,2015-01-06,3.26,3.4,3.22,3.4
2690,2015-01-07,3.33,3.42,3.33,3.33
2689,2015-01-08,3.33,3.35,3.29,3.29
2688,2015-01-09,3.35,3.4,3.33,3.4
2687,2015-01-12,3.42,3.44,3.33,3.33
2686,2015-01-13,3.33,3.37,3.33,3.35
2685,2015-01-14,3.35,3.4,3.31,3.37
2684,2015-01-15,3.37,3.42,3.35,3.4
2683,2015-01-16,3.42,3.42,3.35,3.35
2682,2015-01-19,3.33,3.35,3.31,3.35
2681,2015-01-20,3.33,3.4,3.33,3.37
2680,2015-01-21,3.37,3.4,3.29,3.29
2679,2015-01-22,3.29,3.35,3.29,3.35
2678,2015-01-23,3.33,3.37,3.33,3.35
2677,2015-01-26,3.35,3.49,3.35,3.4
2676,2015-01-27,3.42,3.53,3.4,3.42
2675,2015-01-28,3.46,3.46,3.42,3.44
2674,2015-01-29,3.44,3.49,3.4,3.49
2673,2015-01-30,3.49,3.62,3.49,3.62
2672,2015-02-02,3.62,3.62,3.51,3.53
2671,2015-02-03,3.51,3.55,3.49,3.49
2670,2015-02-04,3.44,3.46,3.37,3.44
2669,2015-02-05,3.49,3.49,3.42,3.46
2668,2015-02-06,3.49,3.51,3.46,3.49
2667,2015-02-09,3.49,3.55,3.46,3.51
2666,2015-02-10,3.51,3.57,3.51,3.53
2665,2015-02-11,3.51,3.66,3.51,3.6
2664,2015-02-12,3.66,3.66,3.57,3.6
2663,2015-02-13,3.6,3.62,3.53,3.6
2662,2015-02-24,3.57,3.62,3.53,3.6
2661,2015-02-25,3.6,3.6,3.46,3.46
2660,2015-02-26,3.51,3.55,3.49,3.53
2659,2015-02-27,3.53,3.55,3.51,3.53
2658,2015-03-02,3.53,3.69,3.51,3.6
2657,2015-03-03,3.64,3.71,3.6,3.69
2656,2015-03-04,3.71,3.8,3.71,3.8
2655,2015-03-05,3.84,3.95,3.8,3.91
2654,2015-03-06,3.86,4.0,3.86,3.97
2653,2015-03-09,3.97,4.0,3.86,3.91
2652,2015-03-10,3.88,3.97,3.86,3.95
2651,2015-03-11,3.91,3.97,3.91,3.91
2650,2015-03-12,3.91,3.93,3.8,3.88
2649,2015-03-13,3.91,3.97,3.88,3.93
2648,2015-03-16,3.91,3.97,3.88,3.88
2647,2015-03-17,3.91,4.11,3.86,4.11
2646,2015-03-18,4.11,4.17,4.06,4.11
2645,2015-03-19,4.11,4.22,4.11,4.17
2644,2015-03-20,4.13,4.17,4.06,4.13
2643,2015-03-23,4.11,4.28,4.0,4.0
2642,2015-03-24,4.04,4.11,4.0,4.11
2641,2015-03-25,4.17,4.24,4.08,4.17
2640,2015-03-26,4.15,4.26,4.11,4.22
2639,2015-03-27,4.22,4.31,4.22,4.24
2638,2015-03-30,4.26,4.26,4.0,4.02
2637,2015-03-31,4.0,4.08,3.97,4.02
2636,2015-04-01,3.97,4.04,3.84,3.95
2635,2015-04-02,3.95,4.04,3.88,4.02
2634,2015-04-03,4.02,4.13,4.0,4.11
2633,2015-04-06,4.13,4.24,4.11,4.15
2632,2015-04-07,4.22,4.35,4.17,4.35
2631,2015-04-08,4.44,4.51,4.42,4.48
2630,2015-04-09,4.51,4.55,4.42,4.53
2629,2015-04-10,4.48,4.53,4.42,4.44
2628,2015-04-13,4.42,4.48,4.37,4.4
2627,2015-04-14,4.4,4.42,4.31,4.31
2626,2015-04-15,4.28,4.6,4.24,4.6
2625,2015-04-16,4.66,4.75,4.55,4.55
2624,2015-04-17,4.55,4.57,4.51,4.53
2623,2015-04-20,4.51,4.64,4.44,4.6
2622,2015-04-21,4.6,4.66,4.55,4.6
2621,2015-04-22,4.57,4.62,4.55,4.57
2620,2015-04-23,4.57,4.57,4.28,4.33
2619,2015-04-24,4.35,4.48,4.33,4.46
2618,2015-04-27,4.44,4.48,4.42,4.46
2617,2015-05-04,4.46,4.46,4.2,4.2
2616,2015-05-05,4.2,4.31,4.13,4.28
2615,2015-05-06,4.24,4.31,4.17,4.22
2614,2015-05-07,4.15,4.4,4.15,4.37
2613,2015-05-08,4.37,4.46,4.37,4.42
2612,2015-05-11,4.44,4.66,4.42,4.66
2611,2015-05-12,4.64,4.66,4.48,4.62
2610,2015-05-13,4.6,4.64,4.48,4.64
2609,2015-05-14,4.64,4.66,4.57,4.6
2608,2015-05-15,4.6,4.64,4.51,4.51
2607,2015-05-18,4.51,4.51,4.4,4.51
2606,2015-05-19,4.51,4.62,4.51,4.62
2605,2015-05-20,4.66,4.93,4.66,4.93
2604,2015-05-21,5.08,5.11,4.95,4.95
2603,2015-05-22,4.95,4.95,4.82,4.82
2602,2015-05-25,4.82,5.08,4.82,5.06
2601,2015-05-26,5.11,5.19,4.88,4.93
2600,2015-05-27,4.93,5.06,4.82,5.02
2599,2015-05-28,5.02,5.35,4.95,5.33
2598,2015-05-29,5.22,5.44,5.15,5.33
2597,2015-06-01,5.31,5.46,5.28,5.33
2596,2015-06-02,5.33,5.37,5.11,5.11
2595,2015-06-03,5.06,5.28,5.06,5.28
2594,2015-06-04,5.28,5.33,5.15,5.22
2593,2015-06-05,5.22,5.31,5.17,5.22
2592,2015-06-08,5.26,5.31,5.17,5.17
2591,2015-06-09,5.11,5.17,4.99,5.06
2590,2015-06-10,5.13,5.22,5.06,5.08
2589,2015-06-11,5.08,5.39,5.08,5.31
2588,2015-06-12,5.31,5.64,5.28,5.64
2587,2015-06-15,5.64,5.64,5.46,5.46
2586,2015-06-16,5.46,5.64,5.42,5.44
2585,2015-06-17,5.37,5.64,5.37,5.51
2584,2015-06-18,5.59,5.59,5.48,5.48
2583,2015-06-19,5.48,5.53,5.42,5.48
2582,2015-06-22,5.44,5.53,5.44,5.44
2581,2015-06-23,5.44,5.51,5.42,5.44
2580,2015-06-24,5.51,5.57,5.46,5.55
2579,2015-06-25,5.59,5.59,5.46,5.55
