,Date,Open,High,Low,Close
2700,2015-01-05,4.11,4.12,4.03,4.05
2699,2015-01-06,4.01,4.16,4.0,4.16
2698,2015-01-07,4.17,4.28,4.17,4.21
2697,2015-01-08,4.26,4.26,4.17,4.19
2696,2015-01-09,4.2,4.26,4.19,4.22
2695,2015-01-12,4.25,4.25,4.15,4.15
2694,2015-01-13,4.12,4.19,4.11,4.16
2693,2015-01-14,4.19,4.34,4.16,4.32
2692,2015-01-15,4.32,4.41,4.32,4.37
2691,2015-01-16,4.4,4.46,4.37,4.4
2690,2015-01-19,4.37,4.4,4.28,4.32
2689,2015-01-20,4.28,4.33,4.26,4.3
2688,2015-01-21,4.3,4.33,4.25,4.26
2687,2015-01-22,4.26,4.33,4.21,4.28
2686,2015-01-23,4.33,4.41,4.29,4.36
2685,2015-01-26,4.41,4.42,4.34,4.38
2684,2015-01-27,4.41,4.42,4.26,4.28
2683,2015-01-28,4.33,4.34,4.28,4.29
2682,2015-01-29,4.32,4.32,4.21,4.26
2681,2015-01-30,4.28,4.28,4.17,4.17
2680,2015-02-02,4.2,4.22,4.11,4.11
2679,2015-02-03,4.12,4.19,4.01,4.01
2678,2015-02-04,4.03,4.11,3.99,4.11
2677,2015-02-05,4.12,4.13,4.08,4.09
2676,2015-02-06,4.09,4.19,4.09,4.17
2675,2015-02-09,4.19,4.2,4.13,4.13
2674,2015-02-10,4.19,4.19,4.09,4.15
2673,2015-02-11,4.15,4.26,4.15,4.26
2672,2015-02-12,4.28,4.34,4.28,4.29
2671,2015-02-13,4.3,4.32,4.24,4.26
2670,2015-02-24,4.29,4.32,4.26,4.29
2669,2015-02-25,4.3,4.3,4.22,4.24
2668,2015-02-26,4.19,4.26,4.17,4.25
2667,2015-02-27,4.28,4.28,4.21,4.21
2666,2015-03-02,4.28,4.32,4.19,4.19
2665,2015-03-03,4.2,4.28,4.2,4.28
2664,2015-03-04,4.29,4.46,4.29,4.45
2663,2015-03-05,4.48,4.53,4.45,4.48
2662,2015-03-06,4.48,4.49,4.44,4.46
2661,2015-03-09,4.41,4.44,4.34,4.34
2660,2015-03-10,4.36,4.38,4.3,4.37
2659,2015-03-11,4.37,4.4,4.32,4.37
2658,2015-03-12,4.34,4.37,4.29,4.37
2657,2015-03-13,4.37,4.37,4.29,4.29
2656,2015-03-16,4.29,4.33,4.19,4.19
2655,2015-03-17,4.19,4.24,4.19,4.22
2654,2015-03-18,4.21,4.24,4.17,4.17
2653,2015-03-19,4.17,4.25,4.17,4.19
2652,2015-03-20,4.19,4.33,4.17,4.3
2651,2015-03-23,4.28,4.29,4.21,4.21
2650,2015-03-24,4.21,4.21,4.13,4.19
2649,2015-03-25,4.19,4.21,4.15,4.21
2648,2015-03-26,4.21,4.26,4.19,4.21
2647,2015-03-27,4.22,4.24,4.17,4.21
2646,2015-03-30,4.21,4.3,4.16,4.16
2645,2015-03-31,4.16,4.25,4.16,4.19
2644,2015-04-01,4.19,4.21,4.07,4.08
2643,2015-04-02,4.08,4.17,4.03,4.16
2642,2015-04-03,4.12,4.17,4.11,4.17
2641,2015-04-06,4.13,4.17,4.11,4.12
2640,2015-04-07,4.12,4.2,4.08,4.15
2639,2015-04-08,4.15,4.16,4.12,4.15
2638,2015-04-09,4.12,4.17,4.12,4.15
2637,2015-04-10,4.13,4.24,4.13,4.19
2636,2015-04-13,4.19,4.21,4.15,4.17
2635,2015-04-14,4.19,4.19,4.11,4.12
2634,2015-04-15,4.15,4.15,4.07,4.12
2633,2015-04-16,4.12,4.21,4.11,4.17
2632,2015-04-17,4.16,4.3,4.16,4.26
2631,2015-04-20,4.26,4.28,4.19,4.2
2630,2015-04-21,4.17,4.19,4.13,4.13
2629,2015-04-22,4.11,4.12,4.05,4.08
