,Date,Open,High,Low,Close
1948,2018-01-05,9.64,9.78,9.02,9.78
1947,2018-01-08,9.88,9.88,9.78,9.81
1946,2018-01-09,9.81,9.83,9.61,9.82
1945,2018-01-10,9.69,9.96,9.66,9.96
1944,2018-01-11,9.98,10.5,9.96,10.5
1943,2018-01-12,10.53,11.23,10.53,11.23
1942,2018-01-15,11.24,11.29,10.87,11.24
1941,2018-01-16,11.02,11.17,10.98,11.11
1940,2018-01-17,11.09,11.11,10.55,10.55
1939,2018-01-18,10.53,10.87,10.3,10.87
1938,2018-01-19,10.99,11.39,10.99,11.17
1937,2018-01-22,11.07,11.22,10.95,11.19
1936,2018-01-23,11.19,11.19,11.19,11.19
1935,2018-01-24,11.19,11.19,11.19,11.19
1934,2018-01-25,11.24,11.93,11.12,11.81
1933,2018-01-26,11.81,11.88,11.44,11.61
1932,2018-01-29,11.64,11.74,11.44,11.62
1931,2018-01-30,11.62,11.62,11.29,11.61
1930,2018-01-31,11.59,11.59,11.37,11.51
1929,2018-02-01,11.51,11.54,11.32,11.37
1928,2018-02-02,11.37,11.37,11.19,11.37
1927,2018-02-05,11.17,11.27,10.57,10.62
1926,2018-02-06,9.88,10.2,9.88,10.13
1925,2018-02-07,10.48,10.83,10.45,10.83
1924,2018-02-08,10.83,11.33,10.75,11.09
1923,2018-02-09,10.82,11.04,10.4,11.02
1922,2018-02-12,11.04,11.61,11.03,11.49
1921,2018-02-13,11.6,11.6,11.24,11.51
1920,2018-02-21,11.59,11.64,11.24,11.54
1919,2018-02-22,11.41,11.41,11.12,11.12
1918,2018-02-23,11.12,11.49,10.96,11.01
1917,2018-02-26,11.01,11.37,10.78,10.87
1916,2018-02-27,10.99,11.02,10.57,10.99
1915,2018-02-28,10.87,10.99,10.62,10.97
1914,2018-03-01,10.7,10.87,10.67,10.86
1913,2018-03-02,10.75,10.76,10.67,10.76
1912,2018-03-05,10.77,10.8,10.6,10.62
1911,2018-03-06,10.62,10.76,10.57,10.67
1910,2018-03-07,10.67,10.85,10.43,10.5
1909,2018-03-08,10.62,10.75,10.33,10.5
1908,2018-03-09,10.4,10.72,10.35,10.5
1907,2018-03-12,10.5,10.6,10.43,10.5
1906,2018-03-13,10.5,10.5,10.39,10.45
1905,2018-03-14,10.5,10.93,10.48,10.87
1904,2018-03-15,10.87,11.02,10.87,10.99
1903,2018-03-16,11.04,11.07,10.99,11.07
1902,2018-03-19,11.07,11.2,10.95,11.17
1901,2018-03-20,11.08,11.09,10.87,10.87
1900,2018-03-21,10.87,10.92,10.66,10.75
1899,2018-03-22,10.75,10.87,10.5,10.5
1898,2018-03-23,10.38,10.43,10.11,10.38
1897,2018-03-26,10.15,10.8,10.15,10.8
1896,2018-03-27,10.8,11.11,10.8,11.07
1895,2018-03-28,11.02,11.23,10.98,11.23
1894,2018-03-29,11.24,11.44,11.23,11.37
1893,2018-03-30,11.37,11.37,11.12,11.34
1892,2018-04-02,11.37,11.39,11.24,11.27
1891,2018-04-03,11.22,11.32,11.16,11.27
1890,2018-04-04,11.34,11.51,11.27,11.49
1889,2018-04-05,11.49,11.56,11.41,11.48
1888,2018-04-06,11.48,11.49,11.39,11.48
1887,2018-04-09,11.49,12.03,11.44,12.03
1886,2018-04-10,12.11,12.5,12.11,12.5
1885,2018-04-11,12.5,12.55,12.16,12.38
1884,2018-04-12,12.23,12.33,12.11,12.13
1883,2018-04-13,12.24,12.38,12.13,12.35
1882,2018-04-16,12.35,12.67,12.16,12.6
1881,2018-04-17,12.72,12.77,12.5,12.55
1880,2018-04-18,12.58,12.95,12.5,12.8
1879,2018-04-19,12.82,12.82,12.11,12.16
1878,2018-04-20,12.11,12.38,12.03,12.38
1877,2018-04-23,12.23,12.28,11.51,11.51
1876,2018-04-24,11.37,11.46,10.71,11.12
1875,2018-04-26,11.12,11.24,10.35,10.43
1874,2018-04-27,10.38,10.64,10.33,10.57
1873,2018-05-02,10.6,10.6,10.13,10.38
1872,2018-05-03,10.25,10.75,10.14,10.75
1871,2018-05-04,10.87,10.87,10.57,10.62
1870,2018-05-07,10.75,10.87,10.5,10.75
1869,2018-05-08,10.75,10.75,10.6,10.67
1868,2018-05-09,10.62,10.65,10.38,10.6
1867,2018-05-10,10.6,10.6,9.88,9.88
1866,2018-05-11,9.88,10.23,9.66,10.23
1865,2018-05-14,10.25,10.38,9.96,10.01
1864,2018-05-15,10.11,10.2,9.97,10.11
1863,2018-05-16,10.11,10.11,9.83,9.92
1862,2018-05-17,10.01,10.08,9.93,10.01
1861,2018-05-18,10.11,10.24,9.93,10.02
1860,2018-05-21,10.13,10.2,10.01,10.15
1859,2018-05-22,9.93,10.03,9.45,9.64
1858,2018-05-23,9.64,9.71,9.09,9.31
1857,2018-05-24,9.39,9.46,8.67,8.77
1856,2018-05-25,8.77,8.82,8.47,8.71
1855,2018-05-28,8.65,8.65,8.1,8.1
1854,2018-05-29,8.4,8.66,8.26,8.66
1853,2018-05-30,8.89,9.24,8.62,9.07
1852,2018-05-31,8.94,9.66,8.94,9.64
1851,2018-06-01,9.76,10.29,9.59,10.18
1850,2018-06-04,10.15,10.62,10.03,10.62
1849,2018-06-05,10.62,10.87,10.55,10.67
1848,2018-06-06,10.67,10.75,10.57,10.67
1847,2018-06-07,10.65,11.07,10.6,11.02
1846,2018-06-08,10.99,11.03,10.67,10.72
1845,2018-06-11,10.5,10.57,10.35,10.35
1844,2018-06-12,10.25,10.25,9.64,10.11
1843,2018-06-13,10.11,10.38,10.11,10.13
1842,2018-06-14,10.25,10.25,9.69,9.69
1841,2018-06-15,9.69,9.78,9.44,9.66
1840,2018-06-18,9.51,9.76,8.99,9.09
1839,2018-06-19,8.55,9.24,8.55,9.09
1838,2018-06-20,8.48,9.45,8.48,9.3
1837,2018-06-21,9.35,9.43,9.22,9.35
1836,2018-06-22,9.35,9.58,9.22,9.58
1835,2018-06-25,9.66,9.67,9.53,9.55
1834,2018-06-26,9.22,9.44,9.22,9.43
1833,2018-06-27,9.43,9.58,9.27,9.27
1832,2018-06-28,9.19,9.25,8.84,8.86
1831,2018-06-29,9.04,9.26,8.91,9.26
1830,2018-07-02,9.26,9.32,8.94,9.27
1829,2018-07-03,9.3,9.35,8.81,8.89
1828,2018-07-04,8.71,8.94,8.61,8.78
1827,2018-07-05,8.89,8.94,8.32,8.4
1826,2018-07-06,8.4,8.96,8.09,8.96
1825,2018-07-09,8.99,9.12,8.94,9.02
1824,2018-07-10,8.96,9.23,8.94,8.99
1823,2018-07-11,8.84,8.86,8.36,8.4
1822,2018-07-12,8.4,8.58,8.32,8.45
1821,2018-07-13,8.45,8.61,8.44,8.57
1820,2018-07-16,8.61,8.64,8.52,8.59
1819,2018-07-17,8.59,8.59,8.4,8.59
1818,2018-07-18,8.62,9.1,8.62,9.03
1817,2018-07-19,9.04,9.25,8.99,8.99
1816,2018-07-20,8.96,9.07,8.71,9.07
1815,2018-07-23,8.96,9.1,8.91,9.02
1814,2018-07-24,8.96,9.0,8.71,8.71
1813,2018-07-25,8.71,8.85,8.53,8.58
1812,2018-07-26,8.58,8.59,8.32,8.4
1811,2018-07-27,8.61,8.61,8.45,8.55
1810,2018-07-30,8.78,9.02,8.73,9.02
1809,2018-07-31,9.02,9.18,8.81,9.12
1808,2018-08-01,9.14,9.25,9.12,9.16
1807,2018-08-02,9.16,9.16,8.91,9.02
1806,2018-08-03,9.03,9.22,8.99,9.18
1805,2018-08-06,9.18,9.22,9.09,9.18
1804,2018-08-07,9.18,9.4,9.14,9.27
1803,2018-08-08,9.28,9.4,9.22,9.35
1802,2018-08-09,9.37,9.48,9.32,9.32
1801,2018-08-10,9.32,9.5,9.27,9.5
1800,2018-08-13,9.5,9.58,9.43,9.58
1799,2018-08-14,9.51,9.6,9.32,9.58
1798,2018-08-15,9.58,9.68,9.3,9.35
1797,2018-08-16,9.22,9.48,9.14,9.39
1796,2018-08-17,9.4,9.45,9.19,9.19
1795,2018-08-20,9.19,9.21,8.85,8.96
1794,2018-08-21,8.96,9.09,8.94,9.09
1793,2018-08-22,9.1,9.27,9.09,9.22
1792,2018-08-23,9.22,9.27,9.17,9.19
1791,2018-08-24,9.19,9.23,9.14,9.22
1790,2018-08-27,9.23,9.26,9.19,9.22
1789,2018-08-28,9.22,9.26,9.21,9.23
1788,2018-08-29,9.25,9.53,9.22,9.53
1787,2018-08-30,9.53,9.8,9.5,9.78
1786,2018-08-31,9.78,9.8,9.68,9.77
1785,2018-09-04,9.73,9.73,9.55,9.58
1784,2018-09-05,9.58,9.6,9.36,9.48
1783,2018-09-06,9.48,9.5,9.3,9.35
1782,2018-09-07,9.35,9.44,9.3,9.39
1781,2018-09-10,9.39,9.53,9.39,9.48
1780,2018-09-11,9.51,9.58,9.46,9.5
1779,2018-09-12,9.51,9.6,9.49,9.5
1778,2018-09-13,9.51,9.9,9.51,9.89
1777,2018-09-14,9.89,9.98,9.82,9.89
