,Date,Open,High,Low,Close
2700,2015-01-05,3.45,3.45,3.36,3.38
2699,2015-01-06,3.61,3.61,3.33,3.33
2698,2015-01-07,3.24,3.33,3.13,3.33
2697,2015-01-08,3.33,3.33,3.15,3.24
2696,2015-01-09,3.24,3.45,3.24,3.24
2695,2015-01-12,3.45,3.45,3.24,3.4
2694,2015-01-13,3.63,3.63,3.63,3.63
2693,2015-01-14,3.38,3.45,3.38,3.42
2692,2015-01-15,3.22,3.4,3.19,3.26
2691,2015-01-16,3.26,3.33,3.13,3.33
2690,2015-01-19,3.33,3.56,3.24,3.36
2689,2015-01-20,3.38,3.38,3.38,3.38
2688,2015-01-21,3.22,3.22,3.15,3.22
2687,2015-01-22,3.38,3.38,3.17,3.24
2686,2015-01-23,3.4,3.4,3.13,3.24
2685,2015-01-26,3.36,3.36,3.15,3.17
2684,2015-01-27,3.22,3.22,3.17,3.22
2683,2015-01-28,3.4,3.4,3.4,3.4
2682,2015-01-29,3.61,3.61,3.19,3.45
2681,2015-01-30,3.24,3.24,3.22,3.22
2680,2015-02-02,3.33,3.33,3.13,3.19
2679,2015-02-03,3.08,3.19,3.08,3.19
2678,2015-02-04,3.33,3.33,3.1,3.17
2677,2015-02-05,3.1,3.19,3.1,3.19
2676,2015-02-06,3.29,3.29,3.1,3.15
2675,2015-02-09,3.33,3.33,2.99,2.99
2674,2015-02-10,3.13,3.13,2.99,3.03
2673,2015-02-11,3.22,3.22,3.22,3.22
2672,2015-02-12,3.33,3.33,3.22,3.22
2671,2015-02-13,3.31,3.42,3.06,3.17
2670,2015-02-24,3.36,3.36,3.1,3.22
2669,2015-02-25,3.33,3.33,3.03,3.03
2668,2015-02-26,3.03,3.24,3.03,3.17
2667,2015-02-27,3.17,3.22,3.17,3.22
2666,2015-03-02,3.03,3.19,3.03,3.19
2665,2015-03-03,3.08,3.17,3.06,3.17
2664,2015-03-04,3.1,3.19,3.06,3.19
2663,2015-03-05,3.24,3.4,3.17,3.4
2662,2015-03-06,3.4,3.42,3.19,3.19
2661,2015-03-09,3.36,3.4,3.26,3.29
2660,2015-03-10,3.33,3.4,3.29,3.4
2659,2015-03-11,3.4,3.45,3.31,3.45
2658,2015-03-12,3.31,3.42,3.29,3.42
2657,2015-03-13,3.42,3.45,3.4,3.45
2656,2015-03-16,3.31,3.42,3.31,3.42
2655,2015-03-17,3.29,3.4,3.29,3.4
2654,2015-03-18,3.29,3.42,3.26,3.42
2653,2015-03-19,3.26,3.38,3.26,3.38
2652,2015-03-20,3.26,3.36,3.24,3.33
2651,2015-03-23,3.4,3.4,3.22,3.33
2650,2015-03-24,3.45,3.45,3.22,3.22
2649,2015-03-25,3.4,3.4,3.38,3.4
2648,2015-03-26,3.19,3.29,3.19,3.29
2647,2015-03-27,3.36,3.36,3.13,3.33
2646,2015-03-30,3.4,3.4,3.24,3.24
2645,2015-03-31,3.4,3.4,3.24,3.31
2644,2015-04-01,3.47,3.47,3.19,3.19
2643,2015-04-02,3.22,3.22,3.17,3.22
2642,2015-04-03,3.19,3.4,3.19,3.4
2641,2015-04-06,3.19,3.36,3.19,3.36
2640,2015-04-07,3.33,3.36,3.33,3.36
2639,2015-04-08,3.38,3.38,3.38,3.38
2638,2015-04-09,3.19,3.36,3.19,3.36
2637,2015-04-10,3.4,3.4,3.4,3.4
2636,2015-04-13,3.4,3.4,3.24,3.24
2635,2015-04-14,3.22,3.31,3.17,3.31
2634,2015-04-15,3.22,3.29,3.19,3.29
2633,2015-04-16,3.29,3.31,3.13,3.31
2632,2015-04-17,3.22,3.22,3.15,3.22
2631,2015-04-20,3.22,3.29,3.22,3.29
2630,2015-04-21,3.22,3.22,3.17,3.22
2629,2015-04-22,3.15,3.15,3.15,3.15
2628,2015-04-23,3.13,3.17,3.13,3.17
2627,2015-04-24,3.15,3.22,3.13,3.22
2626,2015-04-27,3.22,3.22,3.22,3.22
2625,2015-05-04,3.13,3.13,3.03,3.03
2624,2015-05-05,3.03,3.03,2.99,2.99
2623,2015-05-06,3.03,3.08,2.99,3.08
2622,2015-05-07,2.96,3.08,2.96,3.08
2621,2015-05-08,3.01,3.17,3.01,3.01
2620,2015-05-11,3.01,3.1,3.01,3.1
2619,2015-05-12,3.01,3.17,3.01,3.17
2618,2015-05-13,3.01,3.1,3.01,3.1
2617,2015-05-14,3.1,3.1,3.1,3.1
2616,2015-05-15,2.96,2.96,2.96,2.96
2615,2015-05-18,3.03,3.03,3.03,3.03
2614,2015-05-19,2.96,3.03,2.96,3.03
2613,2015-05-20,2.94,3.13,2.94,3.13
2612,2015-05-21,3.22,3.22,3.22,3.22
2611,2015-05-22,3.13,3.17,3.13,3.17
2610,2015-05-25,3.08,3.08,3.08,3.08
2609,2015-05-26,3.17,3.17,3.01,3.1
2608,2015-05-27,3.01,3.22,2.99,3.22
2607,2015-05-28,3.22,3.22,3.22,3.22
2606,2015-05-29,3.22,3.22,3.22,3.22
2605,2015-06-01,3.22,3.22,3.22,3.22
2604,2015-06-02,3.22,3.22,3.22,3.22
2603,2015-06-03,3.17,3.17,3.03,3.17
2602,2015-06-04,3.17,3.17,3.17,3.17
2601,2015-06-05,3.01,3.1,3.01,3.1
2600,2015-06-08,3.1,3.19,3.1,3.19
2599,2015-06-09,3.1,3.1,3.1,3.1
2598,2015-06-10,3.03,3.08,3.03,3.06
2597,2015-06-11,3.1,3.15,3.06,3.15
2596,2015-06-12,3.19,3.19,3.1,3.19
2595,2015-06-15,3.19,3.19,3.19,3.19
2594,2015-06-16,3.17,3.17,3.17,3.17
2593,2015-06-17,3.15,3.17,3.15,3.17
2592,2015-06-18,3.08,3.13,3.08,3.13
2591,2015-06-19,3.19,3.19,3.08,3.19
2590,2015-06-22,3.08,3.08,3.08,3.08
2589,2015-06-23,3.13,3.13,3.13,3.13
2588,2015-06-24,3.1,3.17,3.1,3.17
2587,2015-06-25,3.17,3.22,3.08,3.17
2586,2015-06-26,3.17,3.22,3.17,3.22
2585,2015-06-29,3.08,3.19,3.08,3.19
2584,2015-06-30,3.1,3.13,3.06,3.13
2583,2015-07-01,3.03,3.17,3.03,3.17
2582,2015-07-02,3.06,3.1,3.06,3.1
2581,2015-07-03,3.1,3.1,3.1,3.1
2580,2015-07-06,3.06,3.1,3.06,3.1
2579,2015-07-07,3.08,3.1,3.03,3.1
2578,2015-07-08,3.08,3.13,3.08,3.13
2577,2015-07-09,3.08,3.1,3.06,3.1
2576,2015-07-10,3.06,3.13,3.06,3.13
2575,2015-07-13,3.15,3.15,3.06,3.06
2574,2015-07-14,3.22,3.22,3.06,3.08
2573,2015-07-15,3.06,3.06,3.06,3.06
2572,2015-07-16,3.06,3.06,3.06,3.06
2571,2015-07-17,3.06,3.22,3.06,3.22
2570,2015-07-20,3.24,3.24,3.24,3.24
2569,2015-07-21,3.1,3.1,3.1,3.1
2568,2015-07-22,2.96,3.31,2.96,3.31
2567,2015-07-23,3.19,3.31,3.19,3.31
2566,2015-07-24,3.22,3.22,3.22,3.22
2565,2015-07-27,3.22,3.24,3.22,3.24
2564,2015-07-28,3.08,3.08,3.08,3.08
2563,2015-07-29,3.08,3.08,3.06,3.08
2562,2015-07-30,3.08,3.08,3.08,3.08
2561,2015-07-31,3.08,3.15,3.08,3.15
2560,2015-08-03,3.17,3.17,3.17,3.17
2559,2015-08-04,3.22,3.22,3.22,3.22
2558,2015-08-05,3.26,3.26,3.19,3.19
2557,2015-08-06,3.19,3.19,3.15,3.19
2556,2015-08-07,3.17,3.17,3.08,3.13
2555,2015-08-10,3.13,3.13,3.06,3.13
2554,2015-08-11,3.26,3.26,3.1,3.17
2553,2015-08-12,3.17,3.17,3.17,3.17
2552,2015-08-13,3.17,3.17,3.03,3.03
2551,2015-08-14,3.06,3.17,3.06,3.08
2550,2015-08-17,3.08,3.08,3.06,3.06
2549,2015-08-18,3.22,3.22,3.03,3.08
2548,2015-08-19,3.08,3.08,3.08,3.08
2547,2015-08-20,3.03,3.08,3.03,3.08
2546,2015-08-21,3.03,3.03,2.96,2.96
2545,2015-08-24,2.92,2.92,2.85,2.85
2544,2015-08-25,2.8,2.87,2.8,2.87
2543,2015-08-26,2.83,3.06,2.8,3.06
2542,2015-08-27,2.85,3.06,2.85,3.06
2541,2015-08-28,3.06,3.06,3.06,3.06
2540,2015-08-31,2.87,3.06,2.85,3.06
2539,2015-09-01,2.87,3.06,2.87,3.06
2538,2015-09-03,2.9,2.99,2.9,2.99
2537,2015-09-04,2.85,2.85,2.85,2.85
2536,2015-09-07,2.99,2.99,2.99,2.99
2535,2015-09-08,2.99,2.99,2.99,2.99
2534,2015-09-09,2.99,3.03,2.99,3.03
2533,2015-09-10,3.03,3.03,3.03,3.03
2532,2015-09-11,2.99,2.99,2.99,2.99
2531,2015-09-14,2.85,2.99,2.85,2.99
2530,2015-09-15,2.94,2.99,2.85,2.99
2529,2015-09-16,2.99,2.99,2.99,2.99
2528,2015-09-17,2.99,2.99,2.99,2.99
2527,2015-09-18,2.99,2.99,2.99,2.99
2526,2015-09-21,2.94,3.01,2.94,2.99
2525,2015-09-22,2.96,3.01,2.96,2.96
2524,2015-09-23,2.96,3.01,2.9,2.99
2523,2015-09-24,2.96,2.96,2.96,2.96
2522,2015-09-25,2.94,2.94,2.94,2.94
2521,2015-09-28,2.99,2.99,2.99,2.99
2520,2015-09-29,2.99,2.99,2.99,2.99
2519,2015-09-30,2.99,2.99,2.99,2.99
2518,2015-10-01,2.99,2.99,2.99,2.99
2517,2015-10-02,3.19,3.19,2.99,2.99
2516,2015-10-05,2.99,3.01,2.99,3.01
2515,2015-10-06,2.99,3.01,2.99,3.01
2514,2015-10-07,2.99,3.01,2.99,3.01
2513,2015-10-08,3.01,3.01,2.99,2.99
2512,2015-10-09,2.99,2.99,2.99,2.99
2511,2015-10-12,2.99,3.01,2.99,2.99
2510,2015-10-13,2.96,3.01,2.96,2.99
2509,2015-10-14,2.99,2.99,2.96,2.96
2508,2015-10-15,2.99,3.1,2.99,3.1
2507,2015-10-16,3.1,3.22,3.06,3.19
2506,2015-10-19,3.19,3.19,3.15,3.17
2505,2015-10-20,3.15,3.17,3.1,3.1
2504,2015-10-21,3.08,3.08,2.96,2.99
2503,2015-10-22,2.99,3.08,2.87,2.87
2502,2015-10-23,2.87,2.9,2.76,2.76
2501,2015-10-26,2.87,2.94,2.76,2.87
2500,2015-10-27,2.92,2.94,2.83,2.85
2499,2015-10-28,2.87,3.03,2.87,3.03
2498,2015-10-29,3.1,3.15,3.08,3.08
2497,2015-10-30,3.1,3.1,3.06,3.06
2496,2015-11-02,3.06,3.06,2.85,2.99
2495,2015-11-03,2.99,3.03,2.96,3.01
2494,2015-11-04,3.01,3.1,2.99,3.08
2493,2015-11-05,3.08,3.29,3.08,3.29
2492,2015-11-06,3.31,3.49,3.31,3.45
2491,2015-11-09,3.38,3.4,3.24,3.29
2490,2015-11-10,3.26,3.45,3.17,3.22
2489,2015-11-11,3.19,3.31,3.15,3.24
2488,2015-11-12,3.24,3.26,3.17,3.22
2487,2015-11-13,3.22,3.31,3.22,3.24
2486,2015-11-16,3.29,3.29,3.22,3.22
2485,2015-11-17,3.26,3.38,3.24,3.36
2484,2015-11-18,3.38,3.45,3.36,3.45
2483,2015-11-19,3.45,3.54,3.45,3.49
2482,2015-11-20,3.49,3.52,3.45,3.49
2481,2015-11-23,3.49,3.54,3.49,3.54
2480,2015-11-24,3.54,3.54,3.38,3.4
2479,2015-11-25,3.4,3.52,3.4,3.45
2478,2015-11-26,3.47,3.54,3.45,3.49
2477,2015-11-27,3.49,3.61,3.47,3.47
2476,2015-11-30,3.47,3.49,3.33,3.45
2475,2015-12-01,3.45,3.49,3.35,3.45
2474,2015-12-02,3.4,3.42,3.35,3.42
2473,2015-12-03,3.4,3.4,3.33,3.33
2472,2015-12-04,3.33,3.35,3.23,3.28
2471,2015-12-07,3.23,3.3,3.21,3.28
2470,2015-12-08,3.28,3.38,3.21,3.33
2469,2015-12-09,3.33,3.38,3.3,3.33
2468,2015-12-10,3.33,3.33,3.21,3.28
2467,2015-12-11,3.28,3.28,3.23,3.28
2466,2015-12-14,3.26,3.26,3.21,3.26
2465,2015-12-15,3.26,3.28,3.23,3.26
2464,2015-12-16,3.26,3.35,3.26,3.28
2463,2015-12-17,3.28,3.33,3.23,3.33
2462,2015-12-18,3.33,3.33,3.26,3.33
2461,2015-12-21,3.33,3.33,3.28,3.33
2460,2015-12-22,3.33,3.35,3.26,3.3
2459,2015-12-23,3.3,3.33,3.28,3.3
2458,2015-12-24,3.3,3.3,3.26,3.3
2457,2015-12-25,3.3,3.3,3.26,3.3
2456,2015-12-28,3.3,3.33,3.26,3.26
2455,2015-12-29,3.26,3.3,3.23,3.3
2454,2015-12-30,3.3,3.3,3.28,3.3
2453,2015-12-31,3.3,3.3,3.26,3.3
2452,2016-01-04,3.3,3.3,3.28,3.28
2451,2016-01-05,3.28,3.3,3.26,3.3
2450,2016-01-06,3.3,3.49,3.26,3.42
2449,2016-01-07,3.42,3.42,3.3,3.4
2448,2016-01-08,3.35,3.42,3.33,3.42
2447,2016-01-11,3.42,3.42,3.35,3.4
2446,2016-01-12,3.4,3.4,3.38,3.38
2445,2016-01-13,3.38,3.42,3.33,3.38
2444,2016-01-14,3.35,3.38,3.3,3.35
2443,2016-01-15,3.35,3.38,3.28,3.3
2442,2016-01-18,3.3,3.3,3.14,3.19
2441,2016-01-19,3.19,3.19,3.14,3.16
2440,2016-01-20,3.14,3.21,3.09,3.21
2439,2016-01-21,3.19,3.19,3.11,3.19
2438,2016-01-22,3.19,3.19,3.09,3.09
2437,2016-01-25,3.09,3.28,3.09,3.23
2436,2016-01-26,3.19,3.23,3.11,3.19
2435,2016-01-27,3.16,3.28,3.16,3.28
2434,2016-01-28,3.28,3.28,3.14,3.14
2433,2016-01-29,3.14,3.28,3.14,3.26
2432,2016-02-01,3.26,3.3,3.21,3.23
2431,2016-02-02,3.23,3.28,3.16,3.19
2430,2016-02-03,3.19,3.23,3.16,3.23
2429,2016-02-04,3.23,3.23,3.16,3.21
2428,2016-02-05,3.21,3.23,3.19,3.23
2427,2016-02-15,3.23,3.23,3.16,3.23
2426,2016-02-16,3.23,3.28,3.21,3.26
2425,2016-02-17,3.26,3.26,3.21,3.23
2424,2016-02-18,3.23,3.26,3.19,3.23
2423,2016-02-19,3.23,3.26,3.19,3.26
2422,2016-02-22,3.26,3.26,3.11,3.23
2421,2016-02-23,3.23,3.26,3.21,3.23
2420,2016-02-24,3.23,3.23,3.19,3.23
2419,2016-02-25,3.23,3.23,3.16,3.21
2418,2016-02-26,3.19,3.21,3.16,3.21
2417,2016-02-29,3.21,3.21,3.16,3.19
2416,2016-03-01,3.19,3.19,3.14,3.16
2415,2016-03-02,3.16,3.21,3.11,3.16
2414,2016-03-03,3.16,3.21,3.11,3.21
2413,2016-03-04,3.19,3.21,3.16,3.21
2412,2016-03-07,3.21,3.23,3.16,3.21
2411,2016-03-08,3.21,3.23,3.19,3.23
2410,2016-03-09,3.23,3.26,3.21,3.26
2409,2016-03-10,3.26,3.26,3.21,3.23
2408,2016-03-11,3.23,3.23,3.19,3.23
2407,2016-03-14,3.23,3.23,3.19,3.23
2406,2016-03-15,3.21,3.21,3.11,3.21
2405,2016-03-16,3.21,3.23,3.16,3.23
2404,2016-03-17,3.23,3.23,3.16,3.23
2403,2016-03-18,3.21,3.23,3.14,3.21
2402,2016-03-21,3.21,3.23,3.19,3.21
2401,2016-03-22,3.21,3.21,3.14,3.19
2400,2016-03-23,3.19,3.21,3.11,3.19
2399,2016-03-24,3.19,3.21,3.14,3.16
2398,2016-03-25,3.16,3.19,3.09,3.16
2397,2016-03-28,3.16,3.16,3.09,3.16
2396,2016-03-29,3.16,3.16,3.09,3.14
2395,2016-03-30,3.14,3.16,3.09,3.09
2394,2016-03-31,3.11,3.14,3.07,3.14
2393,2016-04-01,3.14,3.16,3.09,3.14
2392,2016-04-04,3.14,3.14,3.09,3.11
2391,2016-04-05,3.11,3.14,3.07,3.11
2390,2016-04-06,3.09,3.14,3.07,3.14
2389,2016-04-07,3.14,3.14,3.07,3.14
2388,2016-04-08,3.14,3.14,3.07,3.11
2387,2016-04-11,3.11,3.14,3.07,3.09
2386,2016-04-12,3.09,3.21,3.09,3.21
2385,2016-04-13,3.19,3.23,3.16,3.21
2384,2016-04-14,3.19,3.21,3.19,3.21
2383,2016-04-15,3.21,3.23,3.16,3.21
2382,2016-04-19,3.21,3.21,3.14,3.19
2381,2016-04-20,3.19,3.19,3.04,3.19
2380,2016-04-21,3.16,3.16,3.09,3.16
2379,2016-04-22,3.16,3.16,3.09,3.14
2378,2016-04-25,3.14,3.14,3.09,3.14
2377,2016-04-26,3.14,3.14,3.07,3.11
2376,2016-04-27,3.11,3.14,3.07,3.14
2375,2016-04-28,3.14,3.14,3.07,3.09
2374,2016-04-29,3.09,3.09,3.0,3.09
2373,2016-05-04,3.09,3.11,3.07,3.09
2372,2016-05-05,3.09,3.09,3.04,3.09
2371,2016-05-06,3.09,3.19,3.04,3.19
2370,2016-05-09,3.19,3.19,3.11,3.14
2369,2016-05-10,3.09,3.09,3.04,3.09
2368,2016-05-11,3.09,3.09,3.07,3.07
2367,2016-05-12,3.0,3.09,2.97,2.97
2366,2016-05-13,2.97,3.09,2.97,3.09
2365,2016-05-16,3.11,3.14,3.09,3.11
2364,2016-05-17,3.11,3.14,3.07,3.11
2363,2016-05-18,3.14,3.16,2.95,3.14
2362,2016-05-19,3.11,3.11,3.07,3.11
