,Date,Open,High,Low,Close
2700,2015-01-05,5.71,5.71,5.66,5.66
2699,2015-01-06,5.68,5.68,5.32,5.58
2698,2015-01-07,5.58,5.58,5.32,5.56
2697,2015-01-08,5.26,5.49,5.22,5.22
2696,2015-01-09,5.19,5.49,5.19,5.49
2695,2015-01-12,5.32,5.41,5.24,5.41
2694,2015-01-13,5.41,5.71,5.41,5.66
2693,2015-01-14,5.73,5.73,5.27,5.64
2692,2015-01-15,5.32,5.49,5.26,5.49
2691,2015-01-16,5.24,5.49,5.17,5.17
2690,2015-01-19,5.09,5.32,5.09,5.32
2689,2015-01-20,5.24,5.24,5.24,5.24
2688,2015-01-21,5.24,5.24,5.0,5.24
2687,2015-01-22,5.15,5.24,4.97,5.24
2686,2015-01-23,5.0,5.22,4.98,5.22
2685,2015-01-26,5.09,5.09,5.07,5.07
2684,2015-01-27,5.04,5.15,5.02,5.15
2683,2015-01-28,5.15,5.15,5.14,5.15
2682,2015-01-29,5.15,5.22,5.0,5.22
2681,2015-01-30,5.22,5.29,5.15,5.29
2680,2015-02-02,5.29,5.29,5.29,5.29
2679,2015-02-03,5.29,5.29,5.07,5.15
2678,2015-02-04,5.17,5.17,5.15,5.15
2677,2015-02-05,5.15,5.15,5.05,5.15
2676,2015-02-06,5.07,5.07,5.07,5.07
2675,2015-02-09,4.95,5.14,4.93,5.14
2674,2015-02-10,4.9,4.9,4.9,4.9
2673,2015-02-11,5.07,5.24,5.07,5.24
2672,2015-02-12,4.98,5.31,4.98,5.29
2671,2015-02-13,5.58,5.58,4.98,5.29
2670,2015-02-24,5.0,5.24,5.0,5.24
2669,2015-02-25,5.04,5.07,4.98,5.07
2668,2015-02-26,4.98,5.07,4.98,5.07
2667,2015-02-27,5.07,5.07,4.98,5.0
2666,2015-03-02,5.0,5.07,4.98,5.07
2665,2015-03-03,5.07,5.14,5.07,5.07
2664,2015-03-04,5.07,5.09,5.05,5.07
2663,2015-03-05,5.22,5.22,5.04,5.07
2662,2015-03-06,4.98,5.14,4.98,5.07
2661,2015-03-09,5.05,5.14,5.04,5.04
2660,2015-03-10,5.0,5.12,5.0,5.12
2659,2015-03-11,5.07,5.2,4.98,5.02
2658,2015-03-12,5.02,5.1,5.02,5.04
2657,2015-03-13,5.07,5.07,4.98,5.05
2656,2015-03-16,5.07,5.07,5.02,5.07
2655,2015-03-17,5.05,5.07,4.98,4.98
2654,2015-03-18,4.98,4.98,4.82,4.83
2653,2015-03-19,4.82,4.82,4.58,4.58
2652,2015-03-20,4.58,4.77,4.55,4.75
2651,2015-03-23,4.73,4.82,4.73,4.82
2650,2015-03-24,4.73,4.73,4.56,4.65
2649,2015-03-25,4.65,4.65,4.53,4.55
2648,2015-03-26,4.53,4.58,4.53,4.53
2647,2015-03-27,4.65,4.65,4.53,4.55
2646,2015-03-30,4.56,4.6,4.51,4.6
2645,2015-03-31,4.48,4.65,4.48,4.65
2644,2015-04-01,4.65,4.71,4.55,4.56
2643,2015-04-02,4.65,4.82,4.65,4.82
2642,2015-04-03,4.82,4.82,4.82,4.82
2641,2015-04-06,4.73,4.73,4.71,4.71
2640,2015-04-07,4.75,4.75,4.75,4.75
2639,2015-04-08,4.71,4.71,4.65,4.71
2638,2015-04-09,4.73,4.73,4.46,4.73
2637,2015-04-10,4.66,4.73,4.65,4.73
2636,2015-04-13,4.68,4.73,4.68,4.73
2635,2015-04-14,4.73,4.85,4.65,4.65
2634,2015-04-15,4.73,4.73,4.73,4.73
2633,2015-04-16,4.73,4.73,4.73,4.73
2632,2015-04-17,4.8,4.8,4.66,4.66
2631,2015-04-20,4.65,4.73,4.65,4.73
2630,2015-04-21,4.73,4.75,4.73,4.73
2629,2015-04-22,4.73,4.82,4.73,4.73
2628,2015-04-23,4.85,4.85,4.7,4.7
2627,2015-04-24,4.73,4.73,4.73,4.73
2626,2015-04-27,4.98,4.98,4.43,4.43
2625,2015-05-04,4.68,4.68,4.68,4.68
2624,2015-05-05,4.65,4.68,4.63,4.68
2623,2015-05-06,4.68,4.73,4.68,4.71
2622,2015-05-07,4.48,4.73,4.48,4.71
2621,2015-05-08,4.71,4.73,4.71,4.73
2620,2015-05-11,4.73,4.73,4.71,4.73
2619,2015-05-12,4.71,4.71,4.71,4.71
2618,2015-05-13,4.71,4.71,4.7,4.7
2617,2015-05-14,4.82,4.82,4.68,4.7
2616,2015-05-15,4.68,4.7,4.68,4.7
2615,2015-05-18,4.7,4.7,4.68,4.68
2614,2015-05-19,4.65,4.75,4.65,4.75
2613,2015-05-20,4.75,4.78,4.75,4.78
2612,2015-05-21,4.78,4.82,4.78,4.82
2611,2015-05-22,4.87,4.87,4.87,4.87
2610,2015-05-25,4.87,4.87,4.87,4.87
2609,2015-05-26,4.73,4.87,4.73,4.83
2608,2015-05-27,4.87,4.98,4.87,4.98
2607,2015-05-28,4.97,5.0,4.9,4.97
2606,2015-05-29,4.97,4.97,4.97,4.97
2605,2015-06-01,4.97,4.97,4.97,4.97
2604,2015-06-02,4.82,4.88,4.82,4.88
2603,2015-06-03,4.9,4.9,4.9,4.9
2602,2015-06-04,4.97,4.97,4.97,4.97
2601,2015-06-05,4.82,4.97,4.82,4.97
2600,2015-06-08,4.82,4.97,4.82,4.97
2599,2015-06-09,4.97,4.97,4.97,4.97
2598,2015-06-10,4.82,4.95,4.82,4.95
2597,2015-06-11,4.95,4.95,4.75,4.75
2596,2015-06-12,4.95,4.95,4.75,4.78
2595,2015-06-15,4.78,4.8,4.78,4.8
2594,2015-06-16,4.82,4.9,4.82,4.9
2593,2015-06-17,4.95,4.95,4.82,4.9
2592,2015-06-18,4.93,4.93,4.9,4.9
2591,2015-06-19,4.98,4.98,4.9,4.9
2590,2015-06-22,4.9,4.98,4.9,4.98
2589,2015-06-23,4.93,5.04,4.92,4.92
2588,2015-06-24,4.98,4.98,4.9,4.92
2587,2015-06-25,4.92,4.92,4.75,4.92
2586,2015-06-26,4.93,4.93,4.92,4.92
2585,2015-06-29,4.92,4.98,4.92,4.98
2584,2015-06-30,4.97,4.98,4.97,4.98
2583,2015-07-01,4.98,4.98,4.98,4.98
2582,2015-07-02,4.98,5.0,4.97,5.0
2581,2015-07-03,5.0,5.0,4.98,4.98
2580,2015-07-06,4.92,4.92,4.82,4.82
2579,2015-07-07,4.82,4.82,4.78,4.78
2578,2015-07-08,4.78,4.95,4.78,4.8
2577,2015-07-09,4.77,4.83,4.77,4.82
2576,2015-07-10,4.82,4.82,4.77,4.77
2575,2015-07-13,4.73,4.77,4.65,4.77
2574,2015-07-14,4.7,4.77,4.7,4.77
2573,2015-07-15,4.82,4.82,4.61,4.77
2572,2015-07-16,4.63,4.77,4.56,4.77
2571,2015-07-17,4.97,4.97,4.55,4.55
2570,2015-07-20,4.56,4.73,4.48,4.71
2569,2015-07-21,4.71,4.71,4.56,4.56
2568,2015-07-22,4.56,4.77,4.43,4.77
2567,2015-07-23,4.75,4.75,4.73,4.73
2566,2015-07-24,4.8,4.82,4.73,4.82
2565,2015-07-27,4.82,4.88,4.82,4.88
2564,2015-07-28,4.56,4.87,4.55,4.87
2563,2015-07-29,4.97,4.97,4.97,4.97
2562,2015-07-30,4.97,4.97,4.97,4.97
2561,2015-07-31,4.83,4.83,4.83,4.83
2560,2015-08-03,4.53,4.55,4.53,4.55
2559,2015-08-04,4.65,4.65,4.65,4.65
2558,2015-08-05,4.66,4.66,4.66,4.66
2557,2015-08-06,4.6,4.75,4.6,4.75
2556,2015-08-07,4.75,4.75,4.75,4.75
2555,2015-08-10,4.73,4.73,4.73,4.73
2554,2015-08-11,4.73,4.73,4.73,4.73
2553,2015-08-12,4.73,4.73,4.73,4.73
2552,2015-08-13,4.73,4.73,4.7,4.7
2551,2015-08-14,4.7,4.7,4.7,4.7
2550,2015-08-17,4.7,4.7,4.7,4.7
2549,2015-08-18,4.73,4.73,4.73,4.73
2548,2015-08-19,4.78,4.78,4.78,4.78
2547,2015-08-20,4.48,4.78,4.48,4.78
2546,2015-08-21,4.78,4.78,4.78,4.78
2545,2015-08-24,4.78,4.78,4.78,4.78
2544,2015-08-25,4.56,4.56,4.56,4.56
2543,2015-08-26,4.26,4.73,4.26,4.73
2542,2015-08-27,4.73,4.73,4.73,4.73
2541,2015-08-28,4.73,4.73,4.73,4.73
2540,2015-08-31,4.73,4.73,4.73,4.73
2539,2015-09-01,4.73,4.73,4.73,4.73
2538,2015-09-03,4.65,4.65,4.56,4.56
2537,2015-09-04,4.7,4.7,4.7,4.7
2536,2015-09-07,4.43,4.43,4.43,4.43
2535,2015-09-08,4.43,4.43,4.43,4.43
2534,2015-09-09,4.73,4.73,4.65,4.65
2533,2015-09-10,4.65,4.65,4.65,4.65
2532,2015-09-11,4.65,4.65,4.65,4.65
2531,2015-09-14,4.38,4.65,4.38,4.65
2530,2015-09-15,4.41,4.56,4.39,4.56
2529,2015-09-16,4.41,4.41,4.39,4.39
2528,2015-09-17,4.53,4.53,4.41,4.44
2527,2015-09-18,4.39,4.41,4.36,4.41
2526,2015-09-21,4.22,4.39,4.22,4.39
2525,2015-09-22,4.24,4.36,4.22,4.36
2524,2015-09-23,4.34,4.34,4.22,4.33
2523,2015-09-24,4.31,4.44,4.22,4.44
2522,2015-09-25,4.44,4.48,4.44,4.48
2521,2015-09-28,4.39,4.39,4.39,4.39
2520,2015-09-29,4.39,4.39,4.39,4.39
2519,2015-09-30,4.33,4.36,4.14,4.36
2518,2015-10-01,4.17,4.17,4.09,4.09
2517,2015-10-02,4.11,4.36,4.07,4.09
2516,2015-10-05,4.14,4.14,4.09,4.09
2515,2015-10-06,4.09,4.34,4.09,4.31
2514,2015-10-07,4.31,4.31,4.31,4.31
2513,2015-10-08,4.29,4.31,4.29,4.31
2512,2015-10-09,4.43,4.43,4.38,4.39
2511,2015-10-12,4.48,4.48,4.48,4.48
2510,2015-10-13,4.22,4.24,4.22,4.22
2509,2015-10-14,4.38,4.38,4.38,4.38
2508,2015-10-15,4.22,4.31,4.22,4.31
2507,2015-10-16,4.22,4.49,4.19,4.49
2506,2015-10-19,4.22,4.34,4.22,4.34
2505,2015-10-20,4.34,4.34,4.22,4.31
2504,2015-10-21,4.31,4.31,4.31,4.31
2503,2015-10-22,4.22,4.39,4.22,4.39
2502,2015-10-23,4.22,4.38,4.21,4.38
2501,2015-10-26,4.38,4.38,4.38,4.38
2500,2015-10-27,4.31,4.31,4.31,4.31
2499,2015-10-28,4.29,4.29,4.12,4.22
2498,2015-10-29,4.27,4.27,4.27,4.27
2497,2015-10-30,4.22,4.22,4.22,4.22
2496,2015-11-02,4.14,4.26,4.14,4.26
2495,2015-11-03,4.14,4.26,4.11,4.26
2494,2015-11-04,4.14,4.26,4.14,4.22
2493,2015-11-05,4.14,4.22,4.14,4.22
2492,2015-11-06,4.21,4.21,4.19,4.19
2491,2015-11-09,4.22,4.26,4.22,4.22
2490,2015-11-10,4.26,4.26,4.26,4.26
2489,2015-11-11,4.26,4.27,4.22,4.22
2488,2015-11-12,4.14,4.22,4.14,4.22
2487,2015-11-13,4.26,4.39,4.26,4.39
2486,2015-11-16,4.44,4.58,4.44,4.58
2485,2015-11-17,4.44,4.56,4.35,4.56
2484,2015-11-18,4.52,4.54,4.47,4.47
2483,2015-11-19,4.47,4.47,4.47,4.47
2482,2015-11-20,4.47,4.47,4.47,4.47
2481,2015-11-23,4.35,4.44,4.35,4.44
2480,2015-11-24,4.35,4.47,4.35,4.35
2479,2015-11-25,4.35,4.35,4.35,4.35
2478,2015-11-26,4.35,4.4,4.35,4.4
2477,2015-11-27,4.4,4.4,4.4,4.4
2476,2015-11-30,4.4,4.42,4.4,4.4
2475,2015-12-01,4.42,4.42,4.42,4.42
2474,2015-12-02,4.42,4.42,4.42,4.42
2473,2015-12-03,4.26,4.26,4.17,4.17
2472,2015-12-04,4.44,4.44,4.44,4.44
2471,2015-12-07,4.44,4.44,4.44,4.44
2470,2015-12-08,4.26,4.28,4.26,4.28
2469,2015-12-09,4.26,4.42,4.26,4.42
2468,2015-12-10,4.42,4.42,4.42,4.42
2467,2015-12-11,4.42,4.42,4.42,4.42
2466,2015-12-14,4.44,4.44,4.44,4.44
2465,2015-12-15,4.44,4.44,4.44,4.44
2464,2015-12-16,4.44,4.44,4.44,4.44
2463,2015-12-17,4.44,4.44,4.44,4.44
2462,2015-12-18,4.44,4.44,4.44,4.44
2461,2015-12-21,4.44,4.44,4.44,4.44
2460,2015-12-22,4.44,4.74,4.44,4.74
2459,2015-12-23,5.04,5.04,4.97,5.02
2458,2015-12-24,5.06,5.36,5.06,5.36
2457,2015-12-25,5.36,5.36,4.99,5.23
2456,2015-12-28,4.97,5.15,4.88,5.15
2455,2015-12-29,4.79,5.07,4.79,5.06
2454,2015-12-30,4.72,5.06,4.72,5.04
2453,2015-12-31,5.04,5.04,5.04,5.04
2452,2016-01-04,5.04,5.06,5.04,5.06
2451,2016-01-05,5.06,5.06,5.06,5.06
2450,2016-01-06,5.04,5.04,5.04,5.04
2449,2016-01-07,5.02,5.02,4.97,4.97
2448,2016-01-08,4.63,4.97,4.63,4.97
2447,2016-01-11,4.97,4.97,4.97,4.97
2446,2016-01-12,4.97,4.97,4.97,4.97
2445,2016-01-13,4.65,4.65,4.65,4.65
2444,2016-01-14,4.36,4.79,4.36,4.79
2443,2016-01-15,4.79,4.79,4.47,4.47
2442,2016-01-18,4.17,4.77,4.17,4.77
2441,2016-01-19,4.77,4.77,4.77,4.77
2440,2016-01-20,4.45,4.77,4.45,4.77
2439,2016-01-21,4.77,4.77,4.77,4.77
2438,2016-01-22,4.88,4.88,4.88,4.88
2437,2016-01-25,4.88,4.88,4.88,4.88
2436,2016-01-26,4.88,4.88,4.88,4.88
2435,2016-01-27,4.88,4.88,4.88,4.88
2434,2016-01-28,4.88,4.88,4.88,4.88
2433,2016-01-29,4.54,4.54,4.54,4.54
2432,2016-02-01,4.24,4.24,4.24,4.24
2431,2016-02-02,4.52,4.52,4.52,4.52
2430,2016-02-03,4.74,4.74,4.74,4.74
2429,2016-02-04,4.97,4.97,4.97,4.97
2428,2016-02-05,4.97,4.97,4.97,4.97
