,Date,Open,High,Low,Close
2700,2015-01-05,3.44,3.51,3.41,3.44
2699,2015-01-06,3.38,3.47,3.38,3.47
2698,2015-01-07,3.47,3.51,3.44,3.44
2697,2015-01-08,3.44,3.47,3.41,3.44
2696,2015-01-09,3.44,3.51,3.41,3.51
2695,2015-01-12,3.47,3.57,3.47,3.51
2694,2015-01-13,3.47,3.51,3.47,3.51
2693,2015-01-14,3.47,3.51,3.41,3.51
2692,2015-01-15,3.47,3.54,3.47,3.51
2691,2015-01-16,3.47,3.47,3.44,3.44
2690,2015-01-19,3.44,3.47,3.41,3.41
2689,2015-01-20,3.41,3.44,3.38,3.44
2688,2015-01-21,3.44,3.47,3.41,3.47
2687,2015-01-22,3.47,3.47,3.41,3.44
2686,2015-01-23,3.44,3.44,3.31,3.34
2685,2015-01-26,3.34,3.34,3.23,3.23
2684,2015-01-27,3.28,3.31,3.24,3.28
2683,2015-01-28,3.31,3.31,3.23,3.28
2682,2015-01-29,3.28,3.28,3.19,3.21
2681,2015-01-30,3.21,3.21,3.1,3.1
2680,2015-02-02,3.1,3.17,3.08,3.08
2679,2015-02-03,3.08,3.12,3.03,3.03
2678,2015-02-04,3.01,3.06,2.93,2.93
2677,2015-02-05,2.92,2.93,2.86,2.92
2676,2015-02-06,2.98,3.03,2.97,2.99
2675,2015-02-09,2.99,3.02,2.91,2.91
2674,2015-02-10,2.92,3.02,2.86,3.01
2673,2015-02-11,3.01,3.14,3.01,3.14
2672,2015-02-12,3.15,3.21,3.12,3.17
2671,2015-02-13,3.17,3.22,3.15,3.19
2670,2015-02-24,3.2,3.2,3.15,3.2
2669,2015-02-25,3.16,3.19,3.14,3.14
2668,2015-02-26,3.14,3.17,3.08,3.11
2667,2015-02-27,3.1,3.1,3.03,3.06
2666,2015-03-02,3.03,3.06,2.99,3.0
2665,2015-03-03,3.01,3.07,3.01,3.06
2664,2015-03-04,3.06,3.08,3.05,3.06
2663,2015-03-05,3.06,3.1,3.06,3.07
2662,2015-03-06,3.07,3.07,3.05,3.06
2661,2015-03-09,3.08,3.18,3.08,3.16
2660,2015-03-10,3.16,3.18,3.11,3.12
2659,2015-03-11,3.1,3.16,3.08,3.08
2658,2015-03-12,3.06,3.08,3.03,3.04
2657,2015-03-13,3.04,3.06,3.01,3.02
2656,2015-03-16,3.02,3.02,2.92,2.93
2655,2015-03-17,2.93,2.98,2.92,2.92
2654,2015-03-18,2.94,2.95,2.88,2.9
2653,2015-03-19,2.89,2.91,2.82,2.86
2652,2015-03-20,2.86,3.01,2.84,3.01
2651,2015-03-23,3.01,3.01,2.92,2.92
2650,2015-03-24,2.89,2.91,2.86,2.88
2649,2015-03-25,2.86,2.89,2.85,2.86
2648,2015-03-26,2.85,2.89,2.84,2.85
2647,2015-03-27,2.85,2.88,2.84,2.85
2646,2015-03-30,2.86,2.88,2.84,2.86
2645,2015-03-31,2.86,2.88,2.86,2.86
2644,2015-04-01,2.86,2.9,2.85,2.86
2643,2015-04-02,2.86,2.87,2.84,2.86
2642,2015-04-03,2.87,2.93,2.86,2.92
2641,2015-04-06,2.91,2.92,2.88,2.88
2640,2015-04-07,2.87,2.91,2.87,2.88
2639,2015-04-08,2.9,2.9,2.87,2.87
2638,2015-04-09,2.87,2.9,2.87,2.87
2637,2015-04-10,2.88,2.89,2.87,2.87
2636,2015-04-13,2.9,2.9,2.87,2.87
2635,2015-04-14,2.87,2.89,2.87,2.88
2634,2015-04-15,2.88,2.95,2.88,2.92
2633,2015-04-16,2.93,2.96,2.92,2.92
2632,2015-04-17,2.9,3.02,2.9,2.96
2631,2015-04-20,2.95,2.96,2.92,2.93
2630,2015-04-21,2.93,2.93,2.92,2.93
2629,2015-04-22,2.93,2.99,2.93,2.93
2628,2015-04-23,2.93,2.95,2.88,2.89
2627,2015-04-24,2.9,2.9,2.89,2.89
2626,2015-04-27,2.92,2.95,2.86,2.86
2625,2015-05-04,2.9,2.9,2.79,2.81
2624,2015-05-05,2.81,2.9,2.8,2.87
2623,2015-05-06,2.88,2.89,2.82,2.82
2622,2015-05-07,2.82,2.86,2.82,2.84
2621,2015-05-08,2.87,2.94,2.81,2.81
2620,2015-05-11,2.8,2.83,2.75,2.76
2619,2015-05-12,2.8,2.8,2.68,2.68
2618,2015-05-13,2.66,2.68,2.59,2.62
2617,2015-05-14,2.6,2.67,2.59,2.67
2616,2015-05-15,2.67,2.67,2.6,2.6
2615,2015-05-18,2.55,2.59,2.47,2.47
2614,2015-05-19,2.45,2.51,2.45,2.49
2613,2015-05-20,2.49,2.66,2.49,2.66
2612,2015-05-21,2.66,2.68,2.62,2.66
2611,2015-05-22,2.64,2.68,2.63,2.68
2610,2015-05-25,2.68,2.71,2.63,2.66
2609,2015-05-26,2.68,2.72,2.65,2.71
2608,2015-05-27,2.7,2.71,2.66,2.67
2607,2015-05-28,2.64,2.7,2.64,2.67
2606,2015-05-29,2.67,2.69,2.64,2.65
2605,2015-06-01,2.65,2.66,2.63,2.63
2604,2015-06-02,2.61,2.64,2.61,2.62
2603,2015-06-03,2.6,2.63,2.55,2.55
2602,2015-06-04,2.55,2.58,2.55,2.56
2601,2015-06-05,2.57,2.57,2.5,2.52
2600,2015-06-08,2.54,2.6,2.54,2.59
2599,2015-06-09,2.59,2.77,2.58,2.69
2598,2015-06-10,2.74,2.83,2.74,2.82
2597,2015-06-11,2.88,2.91,2.84,2.87
2596,2015-06-12,2.87,2.9,2.83,2.85
2595,2015-06-15,2.85,2.87,2.83,2.86
2594,2015-06-16,2.87,2.94,2.85,2.88
2593,2015-06-17,2.86,2.87,2.82,2.83
2592,2015-06-18,2.86,2.86,2.8,2.82
2591,2015-06-19,2.81,2.82,2.74,2.74
2590,2015-06-22,2.78,2.78,2.75,2.77
2589,2015-06-23,2.76,2.84,2.76,2.81
2588,2015-06-24,2.78,2.81,2.77,2.78
2587,2015-06-25,2.76,2.78,2.73,2.73
2586,2015-06-26,2.73,2.79,2.71,2.72
2585,2015-06-29,2.72,2.79,2.72,2.79
2584,2015-06-30,2.78,2.88,2.77,2.88
2583,2015-07-01,2.88,2.89,2.79,2.81
2582,2015-07-02,2.81,2.86,2.79,2.85
2581,2015-07-03,2.86,2.89,2.85,2.86
2580,2015-07-06,2.86,2.94,2.86,2.93
2579,2015-07-07,2.93,3.06,2.89,3.0
2578,2015-07-08,3.0,3.04,2.95,2.97
2577,2015-07-09,2.95,2.96,2.9,2.91
2576,2015-07-10,2.94,2.94,2.88,2.88
2575,2015-07-13,2.89,2.93,2.85,2.86
2574,2015-07-14,2.86,2.96,2.81,2.91
2573,2015-07-15,2.92,2.93,2.85,2.85
2572,2015-07-16,2.84,2.96,2.82,2.95
2571,2015-07-17,3.02,3.08,3.0,3.01
2570,2015-07-20,3.0,3.04,2.95,3.04
2569,2015-07-21,3.04,3.13,3.04,3.13
2568,2015-07-22,3.14,3.34,3.14,3.34
2567,2015-07-23,3.37,3.4,3.29,3.3
2566,2015-07-24,3.3,3.48,3.3,3.45
2565,2015-07-27,3.49,3.58,3.49,3.55
2564,2015-07-28,3.55,3.58,3.42,3.42
2563,2015-07-29,3.39,3.45,3.33,3.33
2562,2015-07-30,3.32,3.4,3.31,3.35
2561,2015-07-31,3.34,3.36,3.24,3.24
2560,2015-08-03,3.19,3.28,3.14,3.24
2559,2015-08-04,3.24,3.32,3.22,3.25
2558,2015-08-05,3.29,3.37,3.28,3.35
2557,2015-08-06,3.36,3.36,3.3,3.31
2556,2015-08-07,3.33,3.42,3.31,3.4
2555,2015-08-10,3.43,3.51,3.43,3.47
2554,2015-08-11,3.49,3.49,3.42,3.44
2553,2015-08-12,3.42,3.42,3.3,3.32
2552,2015-08-13,3.3,3.32,3.2,3.26
2551,2015-08-14,3.25,3.32,3.19,3.25
2550,2015-08-17,3.27,3.27,3.16,3.16
2549,2015-08-18,3.16,3.21,3.13,3.2
2548,2015-08-19,3.18,3.19,3.11,3.17
2547,2015-08-20,3.17,3.19,3.08,3.1
2546,2015-08-21,3.04,3.04,2.93,3.01
2545,2015-08-24,2.95,2.95,2.8,2.8
2544,2015-08-25,2.75,2.99,2.75,2.99
2543,2015-08-26,3.03,3.17,3.03,3.14
2542,2015-08-27,3.14,3.18,3.1,3.12
2541,2015-08-28,3.12,3.19,3.11,3.15
2540,2015-08-31,3.14,3.14,3.09,3.1
2539,2015-09-01,3.1,3.15,3.09,3.1
2538,2015-09-03,3.09,3.09,2.97,3.0
2537,2015-09-04,3.0,3.03,2.94,2.96
2536,2015-09-07,2.93,2.97,2.9,2.91
2535,2015-09-08,2.92,3.01,2.91,3.01
2534,2015-09-09,3.05,3.07,3.02,3.06
2533,2015-09-10,3.02,3.06,2.99,3.03
