,Date,Open,High,Low,Close
2700,2015-01-05,6.69,6.69,6.56,6.56
2699,2015-01-06,6.56,6.56,6.47,6.56
2698,2015-01-07,6.56,6.77,6.52,6.62
2697,2015-01-08,6.7,6.7,6.54,6.63
2696,2015-01-09,6.63,6.65,6.59,6.61
2695,2015-01-12,6.68,6.68,6.56,6.58
2694,2015-01-13,6.59,6.59,6.55,6.56
2693,2015-01-14,6.56,6.56,6.51,6.56
2692,2015-01-15,6.52,6.56,6.51,6.56
2691,2015-01-16,6.59,6.75,6.58,6.59
2690,2015-01-19,6.62,6.7,6.47,6.62
2689,2015-01-20,6.62,6.62,6.51,6.51
2688,2015-01-21,6.56,6.56,6.37,6.37
2687,2015-01-22,6.34,6.35,6.17,6.23
2686,2015-01-23,6.21,6.42,6.14,6.28
2685,2015-01-26,6.4,6.4,6.2,6.2
2684,2015-01-27,6.26,6.27,6.17,6.2
2683,2015-01-28,6.2,6.26,6.17,6.21
2682,2015-01-29,6.21,6.21,6.14,6.21
2681,2015-01-30,6.19,6.19,6.02,6.02
2680,2015-02-02,6.14,6.21,5.95,6.0
2679,2015-02-03,6.0,6.0,5.64,5.66
2678,2015-02-04,5.7,5.7,5.53,5.53
2677,2015-02-05,5.53,5.64,5.52,5.56
2676,2015-02-06,5.59,5.6,5.52,5.53
2675,2015-02-09,5.53,5.64,5.47,5.49
2674,2015-02-10,5.45,5.45,5.38,5.4
2673,2015-02-11,5.38,5.53,5.38,5.53
2672,2015-02-12,5.64,5.64,5.53,5.53
2671,2015-02-13,5.53,5.53,5.42,5.52
2670,2015-02-24,5.52,5.56,5.47,5.53
2669,2015-02-25,5.5,5.56,5.49,5.54
2668,2015-02-26,5.52,5.54,5.45,5.5
2667,2015-02-27,5.5,5.5,5.42,5.45
2666,2015-03-02,5.43,5.45,5.31,5.38
2665,2015-03-03,5.38,5.42,5.36,5.4
2664,2015-03-04,5.45,5.54,5.45,5.54
2663,2015-03-05,5.54,5.59,5.52,5.52
2662,2015-03-06,5.52,5.52,5.43,5.47
2661,2015-03-09,5.46,5.52,5.39,5.42
2660,2015-03-10,5.45,5.45,5.4,5.42
2659,2015-03-11,5.42,5.42,5.39,5.39
2658,2015-03-12,5.4,5.4,5.32,5.36
2657,2015-03-13,5.38,5.38,5.31,5.31
2656,2015-03-16,5.31,5.38,5.28,5.35
2655,2015-03-17,5.31,5.32,5.22,5.25
2654,2015-03-18,5.29,5.29,5.15,5.15
2653,2015-03-19,5.15,5.24,5.12,5.15
2652,2015-03-20,5.15,5.15,4.92,4.92
2651,2015-03-23,5.14,5.14,5.01,5.01
2650,2015-03-24,5.05,5.05,4.97,5.01
2649,2015-03-25,4.97,4.98,4.84,4.84
2648,2015-03-26,4.81,4.84,4.67,4.68
2647,2015-03-27,4.71,4.84,4.71,4.8
2646,2015-03-30,4.8,4.85,4.67,4.74
2645,2015-03-31,4.74,4.78,4.71,4.78
2644,2015-04-01,4.78,4.78,4.49,4.53
2643,2015-04-02,4.53,4.77,4.51,4.77
2642,2015-04-03,4.8,5.04,4.78,5.04
2641,2015-04-06,5.08,5.08,4.92,4.95
2640,2015-04-07,4.95,4.98,4.85,4.98
2639,2015-04-08,5.0,5.05,4.92,5.01
2638,2015-04-09,4.92,5.02,4.92,5.0
2637,2015-04-10,5.0,5.08,5.0,5.05
2636,2015-04-13,5.07,5.07,5.0,5.01
2635,2015-04-14,5.01,5.05,5.0,5.02
2634,2015-04-15,5.02,5.22,5.02,5.22
2633,2015-04-16,5.21,5.36,5.19,5.28
2632,2015-04-17,5.28,5.32,5.21,5.25
2631,2015-04-20,5.24,5.31,5.22,5.24
2630,2015-04-21,5.22,5.29,5.21,5.28
2629,2015-04-22,5.25,5.49,5.25,5.46
2628,2015-04-23,5.46,5.5,5.32,5.35
2627,2015-04-24,5.35,5.45,5.34,5.34
2626,2015-04-27,5.42,5.42,5.34,5.35
2625,2015-05-04,5.38,5.38,5.0,5.0
2624,2015-05-05,5.0,5.24,4.94,5.24
2623,2015-05-06,5.18,5.24,5.12,5.12
2622,2015-05-07,5.12,5.25,5.12,5.22
2621,2015-05-08,5.29,5.29,5.22,5.24
2620,2015-05-11,5.24,5.26,5.18,5.25
2619,2015-05-12,5.24,5.25,5.21,5.24
2618,2015-05-13,5.22,5.22,5.11,5.11
2617,2015-05-14,5.11,5.21,5.11,5.21
2616,2015-05-15,5.25,5.25,5.11,5.11
2615,2015-05-18,5.0,5.09,4.98,4.98
2614,2015-05-19,5.09,5.12,5.04,5.08
2613,2015-05-20,5.02,5.22,5.02,5.09
2612,2015-05-21,5.21,5.21,5.12,5.18
2611,2015-05-22,5.17,5.18,5.15,5.17
2610,2015-05-25,5.19,5.21,5.11,5.18
2609,2015-05-26,5.26,5.26,5.07,5.07
2608,2015-05-27,5.07,5.17,5.07,5.09
2607,2015-05-28,5.11,5.12,5.08,5.09
2606,2015-05-29,5.08,5.22,5.07,5.18
2605,2015-06-01,5.21,5.28,5.18,5.21
2604,2015-06-02,5.21,5.25,5.19,5.19
2603,2015-06-03,5.19,5.35,5.19,5.29
2602,2015-06-04,5.25,5.35,5.24,5.24
2601,2015-06-05,5.24,5.34,5.24,5.32
2600,2015-06-08,5.43,5.43,5.29,5.29
2599,2015-06-09,5.29,5.65,5.29,5.46
2598,2015-06-10,5.46,5.77,5.46,5.77
2597,2015-06-11,5.87,6.17,5.84,6.16
2596,2015-06-12,6.17,6.2,5.94,5.97
2595,2015-06-15,6.0,6.29,6.0,6.22
2594,2015-06-16,6.16,6.22,6.07,6.12
2593,2015-06-17,6.09,6.26,6.06,6.16
2592,2015-06-18,6.09,6.22,6.03,6.09
2591,2015-06-19,6.09,6.19,6.07,6.15
2590,2015-06-22,6.09,6.17,6.03,6.03
2589,2015-06-23,6.06,6.12,6.03,6.09
2588,2015-06-24,6.13,6.16,6.07,6.13
2587,2015-06-25,6.16,6.22,6.1,6.2
2586,2015-06-26,6.2,6.25,5.8,5.8
2585,2015-06-29,5.8,6.1,5.8,6.09
2584,2015-06-30,6.03,6.23,6.03,6.16
2583,2015-07-01,6.06,6.16,5.87,6.09
2582,2015-07-02,6.03,6.13,6.02,6.09
2581,2015-07-03,6.09,6.1,6.06,6.07
2580,2015-07-06,6.02,6.16,6.02,6.09
2579,2015-07-07,6.09,6.38,6.09,6.29
2578,2015-07-08,6.31,6.31,6.16,6.28
2577,2015-07-09,6.23,6.28,6.16,6.19
2576,2015-07-10,6.23,6.38,6.23,6.35
2575,2015-07-13,6.32,6.38,6.25,6.35
2574,2015-07-14,6.38,6.38,6.29,6.38
2573,2015-07-15,6.38,6.44,6.31,6.32
2572,2015-07-16,6.28,6.32,6.16,6.28
2571,2015-07-17,6.35,6.39,6.29,6.32
2570,2015-07-20,6.28,6.28,6.17,6.19
2569,2015-07-21,6.16,6.25,6.16,6.19
2568,2015-07-22,6.16,6.31,6.16,6.31
2567,2015-07-23,6.29,6.31,6.2,6.22
2566,2015-07-24,6.29,6.65,6.23,6.65
2565,2015-07-27,6.8,7.07,6.74,6.9
2564,2015-07-28,6.9,6.94,6.65,6.65
2563,2015-07-29,6.52,6.54,6.19,6.22
2562,2015-07-30,6.16,6.23,6.09,6.1
2561,2015-07-31,6.1,6.23,6.1,6.15
2560,2015-08-03,6.07,6.09,5.8,5.99
2559,2015-08-04,6.0,6.04,5.97,6.03
2558,2015-08-05,6.07,6.12,6.03,6.04
2557,2015-08-06,6.04,6.15,6.04,6.09
2556,2015-08-07,6.09,6.16,6.06,6.16
2555,2015-08-10,6.19,6.36,6.19,6.31
2554,2015-08-11,6.31,6.39,6.28,6.33
2553,2015-08-12,6.31,6.33,6.17,6.2
2552,2015-08-13,6.19,6.2,6.07,6.1
2551,2015-08-14,6.16,6.23,6.09,6.22
2550,2015-08-17,6.16,6.22,6.09,6.16
2549,2015-08-18,6.16,6.31,6.12,6.31
2548,2015-08-19,6.28,6.29,6.15,6.29
2547,2015-08-20,6.29,6.29,6.17,6.23
2546,2015-08-21,6.23,6.23,6.09,6.16
2545,2015-08-24,5.9,6.02,5.74,5.74
2544,2015-08-25,5.74,5.93,5.35,5.61
2543,2015-08-26,5.75,6.0,5.74,6.0
2542,2015-08-27,6.0,6.22,5.94,6.22
2541,2015-08-28,6.23,6.25,6.1,6.17
2540,2015-08-31,6.17,6.17,6.02,6.02
2539,2015-09-01,6.09,6.09,5.99,5.99
2538,2015-09-03,5.99,5.99,5.84,5.87
2537,2015-09-04,5.9,5.9,5.78,5.81
2536,2015-09-07,5.83,5.83,5.73,5.75
2535,2015-09-08,5.75,5.9,5.75,5.9
2534,2015-09-09,5.9,5.93,5.87,5.9
2533,2015-09-10,5.84,5.97,5.8,5.94
2532,2015-09-11,5.94,5.96,5.84,5.94
2531,2015-09-14,5.94,5.94,5.8,5.8
2530,2015-09-15,5.8,5.84,5.8,5.8
2529,2015-09-16,5.86,5.86,5.8,5.83
2528,2015-09-17,5.86,5.96,5.84,5.96
2527,2015-09-18,5.97,6.02,5.94,6.02
2526,2015-09-21,6.02,6.06,5.94,6.02
2525,2015-09-22,6.02,6.15,6.02,6.09
2524,2015-09-23,6.09,6.09,6.03,6.06
2523,2015-09-24,6.04,6.04,5.97,5.97
2522,2015-09-25,5.97,5.97,5.84,5.93
2521,2015-09-28,5.87,5.91,5.84,5.89
2520,2015-09-29,5.86,5.9,5.83,5.9
2519,2015-09-30,5.87,5.93,5.86,5.91
2518,2015-10-01,5.91,5.93,5.9,5.93
2517,2015-10-02,5.94,6.06,5.91,6.04
2516,2015-10-05,6.13,6.15,5.96,6.09
2515,2015-10-06,6.16,6.22,6.1,6.19
2514,2015-10-07,6.23,6.23,6.12,6.13
2513,2015-10-08,6.13,6.28,6.1,6.23
2512,2015-10-09,6.23,6.28,6.2,6.23
2511,2015-10-12,6.25,6.42,6.25,6.33
2510,2015-10-13,6.31,6.33,6.26,6.29
2509,2015-10-14,6.29,6.36,6.29,6.31
2508,2015-10-15,6.26,6.39,6.26,6.35
2507,2015-10-16,6.35,6.42,6.35,6.42
2506,2015-10-19,6.49,6.52,6.42,6.42
