,Date,Open,High,Low,Close
2194,2017-01-03,20.29,20.29,20.29,20.29
2193,2017-01-04,23.29,23.29,23.29,23.29
2192,2017-01-05,26.76,26.76,23.81,25.51
2191,2017-01-06,27.02,27.02,22.77,22.77
2190,2017-01-09,23.91,23.91,21.22,21.63
2189,2017-01-10,21.63,22.82,20.34,22.25
2188,2017-01-11,21.89,22.77,21.74,22.51
2187,2017-01-12,22.36,22.51,21.99,21.99
2186,2017-01-13,21.94,22.05,21.74,21.84
2185,2017-01-16,21.74,21.74,20.75,21.22
2184,2017-01-17,20.96,21.06,20.44,20.65
2183,2017-01-18,20.44,20.65,19.67,20.18
2182,2017-01-19,20.08,20.44,19.82,20.18
2181,2017-01-20,19.92,20.08,19.56,19.72
2180,2017-01-23,19.67,19.77,19.56,19.72
2179,2017-01-24,19.67,19.92,19.67,19.82
2178,2017-01-25,19.72,20.03,19.67,19.92
2177,2017-02-02,20.18,20.24,19.72,20.13
2176,2017-02-03,20.34,20.49,19.98,20.03
2175,2017-02-06,20.18,20.18,19.82,19.98
2174,2017-02-07,19.92,19.92,19.67,19.77
2173,2017-02-08,19.67,20.29,19.67,20.08
2172,2017-02-09,20.13,20.13,19.92,20.03
2171,2017-02-10,20.03,22.25,20.03,22.2
2170,2017-02-13,22.25,23.19,21.99,22.82
2169,2017-02-14,22.87,23.03,21.89,21.89
2168,2017-02-15,21.79,22.1,21.37,21.48
2167,2017-02-16,21.53,21.53,20.39,20.55
2166,2017-02-17,20.34,20.55,20.13,20.44
2165,2017-02-20,20.75,21.94,20.44,21.68
2164,2017-02-21,22.25,22.25,21.01,21.17
2163,2017-02-22,21.27,21.27,20.55,20.86
2162,2017-02-23,20.65,20.65,17.75,18.58
2161,2017-02-24,19.05,19.05,16.2,17.08
2160,2017-02-27,17.08,19.46,17.08,19.46
2159,2017-02-28,20.7,20.7,17.08,18.11
2158,2017-03-01,18.11,18.48,17.65,18.01
2157,2017-03-02,18.11,18.42,17.7,17.96
2156,2017-03-03,18.06,18.53,17.23,17.6
2155,2017-03-06,17.6,17.65,16.72,16.77
2154,2017-03-07,16.72,17.85,15.78,16.77
2153,2017-03-08,16.72,17.6,16.56,17.34
2152,2017-03-09,17.34,17.54,16.87,16.97
2151,2017-03-10,16.87,17.08,16.51,16.66
2150,2017-03-13,16.66,16.66,16.15,16.2
2149,2017-03-14,16.25,16.3,15.73,15.84
2148,2017-03-15,15.89,15.94,15.11,15.37
2147,2017-03-16,15.01,15.99,15.01,15.94
2146,2017-03-17,15.89,16.41,15.78,15.99
2145,2017-03-20,16.15,16.15,15.63,15.99
2144,2017-03-21,15.84,16.2,15.78,15.99
2143,2017-03-22,15.99,16.2,13.61,15.89
2142,2017-03-23,15.94,16.15,15.53,15.73
2141,2017-03-24,15.73,15.94,13.46,15.78
2140,2017-03-27,15.73,15.78,13.4,15.58
2139,2017-03-28,15.58,15.58,13.46,15.37
2138,2017-03-29,15.42,17.7,13.15,15.01
2137,2017-03-30,15.11,15.11,14.44,14.65
2136,2017-03-31,14.65,15.78,12.47,14.59
2135,2017-04-03,14.54,15.47,12.32,15.01
2134,2017-04-04,15.06,15.78,14.59,14.59
2133,2017-04-05,14.59,14.65,14.49,14.54
2132,2017-04-07,14.75,15.78,14.08,14.13
2131,2017-04-10,14.44,14.44,13.46,13.51
2130,2017-04-11,13.51,13.51,13.15,13.2
2129,2017-04-12,13.15,13.3,12.78,12.83
2128,2017-04-13,12.83,14.85,11.02,12.99
2127,2017-04-14,12.99,13.2,12.94,13.09
2126,2017-04-17,13.2,14.18,13.2,13.71
2125,2017-04-18,13.77,14.18,13.56,14.08
2124,2017-04-19,14.08,14.49,11.75,14.39
2123,2017-04-20,14.39,14.44,13.97,14.08
2122,2017-04-21,14.08,14.08,12.01,13.61
2121,2017-04-24,13.77,13.77,13.15,13.15
2120,2017-04-25,13.2,13.51,11.33,13.25
2119,2017-04-26,13.3,13.61,12.94,13.51
2118,2017-04-27,13.56,13.61,13.3,13.4
2117,2017-04-28,13.46,13.51,11.44,13.35
2116,2017-05-03,13.46,13.56,13.35,13.4
2115,2017-05-04,13.4,13.51,13.3,13.46
2114,2017-05-05,13.51,13.51,13.3,13.3
2113,2017-05-08,13.46,13.92,11.44,13.77
2112,2017-05-09,13.87,13.87,11.7,13.66
2111,2017-05-10,13.66,13.97,13.51,13.92
2110,2017-05-11,13.87,14.75,13.77,14.54
2109,2017-05-12,14.59,15.32,14.59,15.01
2108,2017-05-15,15.11,17.08,12.83,14.75
2107,2017-05-16,14.7,14.75,12.63,14.59
2106,2017-05-17,14.49,14.8,14.44,14.49
2105,2017-05-18,14.49,14.7,14.34,14.49
2104,2017-05-19,14.49,14.54,12.32,14.28
2103,2017-05-22,14.34,14.44,12.42,14.34
2102,2017-05-23,14.34,14.44,13.82,13.92
2101,2017-05-24,13.97,13.97,11.95,13.71
2100,2017-05-25,13.71,14.03,13.71,13.92
2099,2017-05-26,13.92,13.97,13.66,13.82
2098,2017-05-29,13.71,13.87,13.71,13.82
2097,2017-05-30,13.66,13.82,13.61,13.66
2096,2017-05-31,13.71,13.71,13.61,13.61
2095,2017-06-01,13.66,13.97,11.59,13.82
2094,2017-06-02,13.82,13.87,13.71,13.77
2093,2017-06-05,13.66,13.87,11.75,13.82
2092,2017-06-06,13.82,13.87,11.75,13.71
2091,2017-06-07,13.77,13.82,13.71,13.77
2090,2017-06-08,13.87,14.49,13.82,14.49
2089,2017-06-09,14.28,14.7,14.18,14.23
2088,2017-06-12,14.13,14.23,13.66,13.92
2087,2017-06-13,13.92,14.13,13.82,13.87
2086,2017-06-14,13.92,14.08,13.82,13.87
2085,2017-06-15,13.82,13.97,13.71,13.82
2084,2017-06-16,13.82,14.18,13.77,14.08
2083,2017-06-19,14.13,14.13,13.87,13.92
2082,2017-06-20,13.82,14.08,13.82,13.92
2081,2017-06-21,13.97,13.97,11.8,13.77
2080,2017-06-22,13.82,13.97,13.82,13.92
2079,2017-06-23,13.92,13.97,13.82,13.82
2078,2017-06-26,13.87,13.92,13.71,13.82
2077,2017-06-27,13.82,13.87,13.71,13.77
2076,2017-06-28,13.77,13.82,13.66,13.82
2075,2017-06-29,13.77,13.82,13.71,13.77
2074,2017-06-30,13.77,13.77,11.75,13.77
2073,2017-07-03,13.77,13.82,13.71,13.77
2072,2017-07-04,12.94,14.18,12.94,13.97
2071,2017-07-05,13.97,13.97,13.82,13.82
2070,2017-07-06,13.82,13.87,13.71,13.77
2069,2017-07-07,13.77,13.77,13.46,13.71
2068,2017-07-10,13.66,13.71,13.56,13.66
2067,2017-07-11,13.66,13.71,13.61,13.71
2066,2017-07-12,13.77,13.77,13.71,13.71
2065,2017-07-13,13.71,13.82,13.71,13.71
2064,2017-07-14,13.71,13.77,13.71,13.71
2063,2017-07-17,13.77,13.77,13.61,13.71
2062,2017-07-18,13.71,13.71,13.56,13.66
2061,2017-07-19,13.66,13.66,13.56,13.61
2060,2017-07-20,13.61,13.66,13.51,13.51
2059,2017-07-21,13.51,13.56,13.4,13.51
2058,2017-07-24,13.61,13.71,13.4,13.61
2057,2017-07-25,13.46,13.77,13.46,13.61
2056,2017-07-26,13.51,13.71,13.51,13.66
2055,2017-07-27,13.66,13.71,13.61,13.66
2054,2017-07-28,13.61,13.66,13.51,13.56
2053,2017-07-31,13.66,13.66,13.51,13.51
2052,2017-08-01,13.56,13.66,13.46,13.56
2051,2017-08-02,13.51,13.51,13.4,13.46
2050,2017-08-03,13.46,13.46,13.15,13.2
2049,2017-08-04,13.2,13.35,13.15,13.25
2048,2017-08-07,13.25,13.4,13.2,13.4
2047,2017-08-08,13.35,13.4,13.15,13.25
2046,2017-08-09,13.25,13.25,12.99,13.09
2045,2017-08-10,13.15,13.15,12.94,13.04
2044,2017-08-11,13.04,13.04,12.94,12.99
2043,2017-08-14,13.04,13.04,12.94,12.99
2042,2017-08-15,12.99,13.04,11.44,12.94
2041,2017-08-16,12.99,12.99,12.89,12.94
2040,2017-08-17,12.94,12.94,12.78,12.83
2039,2017-08-18,12.83,12.89,12.73,12.83
2038,2017-08-21,12.83,12.94,12.83,12.89
2037,2017-08-22,12.94,12.99,12.89,12.89
2036,2017-08-23,12.94,12.94,12.83,12.89
2035,2017-08-24,12.83,12.89,12.83,12.89
2034,2017-08-25,12.83,12.83,12.73,12.83
2033,2017-08-28,12.78,12.83,12.68,12.73
2032,2017-08-29,12.73,12.73,12.68,12.73
2031,2017-08-30,12.78,13.09,12.73,12.99
2030,2017-08-31,13.15,13.42,12.99,13.15
2029,2017-09-01,13.2,13.2,12.99,13.1
2028,2017-09-05,13.04,13.1,12.94,13.04
2027,2017-09-06,13.1,13.1,12.94,13.04
2026,2017-09-07,12.99,13.1,12.99,13.04
2025,2017-09-08,13.04,13.1,13.04,13.04
