,Date,Open,High,Low,Close
2700,2015-01-05,20.77,20.77,20.36,20.57
2699,2015-01-06,20.08,20.36,20.08,20.36
2698,2015-01-07,20.36,20.36,19.75,19.75
2697,2015-01-08,19.75,19.92,19.22,19.43
2696,2015-01-09,19.43,19.55,19.26,19.35
2695,2015-01-12,19.35,19.67,19.1,19.1
2694,2015-01-13,19.1,19.43,18.73,19.26
2693,2015-01-14,19.51,19.75,19.3,19.39
2692,2015-01-15,19.55,19.55,19.22,19.35
2691,2015-01-16,19.35,19.55,19.22,19.51
2690,2015-01-19,19.55,19.55,19.26,19.35
2689,2015-01-20,19.3,19.35,18.78,18.98
2688,2015-01-21,19.06,19.06,18.33,18.53
2687,2015-01-22,18.53,18.53,18.12,18.21
2686,2015-01-23,18.21,18.57,18.21,18.37
2685,2015-01-26,18.41,19.26,18.41,18.98
2684,2015-01-27,19.14,20.28,19.1,20.28
2683,2015-01-28,20.97,21.18,19.96,19.96
2682,2015-01-29,19.79,19.96,19.47,19.47
2681,2015-01-30,19.35,19.43,18.98,18.98
2680,2015-02-02,19.02,19.3,18.9,18.94
2679,2015-02-03,19.02,19.14,18.33,18.33
2678,2015-02-04,18.33,18.61,18.33,18.53
2677,2015-02-05,18.61,18.82,18.57,18.61
2676,2015-02-06,18.61,18.73,18.57,18.57
2675,2015-02-09,18.61,18.65,18.33,18.37
2674,2015-02-10,18.37,18.41,18.29,18.33
2673,2015-02-11,18.33,18.69,18.33,18.53
2672,2015-02-12,18.65,18.73,18.53,18.57
2671,2015-02-13,18.57,18.65,18.49,18.49
2670,2015-02-24,18.65,18.9,18.57,18.86
2669,2015-02-25,18.78,19.35,18.78,18.98
2668,2015-02-26,18.98,19.22,18.98,19.14
2667,2015-02-27,19.26,19.26,19.02,19.02
2666,2015-03-02,19.02,19.14,18.86,18.9
2665,2015-03-03,18.82,19.06,18.82,19.02
2664,2015-03-04,19.1,19.39,19.1,19.3
2663,2015-03-05,19.39,19.47,19.22,19.22
2662,2015-03-06,19.22,19.22,19.1,19.18
2661,2015-03-09,19.22,19.22,18.94,18.94
2660,2015-03-10,18.94,19.06,18.86,18.9
2659,2015-03-11,18.9,18.98,18.69,18.73
2658,2015-03-12,18.73,18.94,18.73,18.86
2657,2015-03-13,18.86,19.02,18.82,18.82
2656,2015-03-16,19.96,19.96,19.63,19.92
2655,2015-03-17,19.96,20.08,19.75,19.79
2654,2015-03-18,19.79,19.83,19.67,19.75
2653,2015-03-19,19.71,19.71,19.35,19.35
2652,2015-03-20,19.26,19.55,19.22,19.55
2651,2015-03-23,19.47,19.47,18.9,18.94
2650,2015-03-24,19.06,19.06,18.61,18.82
2649,2015-03-25,18.82,18.94,18.73,18.73
2648,2015-03-26,18.73,18.73,18.53,18.53
2647,2015-03-27,18.57,18.65,18.29,18.33
2646,2015-03-30,18.53,18.61,18.12,18.12
2645,2015-03-31,18.12,18.57,18.08,18.33
2644,2015-04-01,18.33,18.45,17.72,17.92
2643,2015-04-02,17.92,18.12,17.84,18.12
2642,2015-04-03,18.12,18.25,17.96,18.08
2641,2015-04-06,18.08,18.08,17.92,17.96
2640,2015-04-07,17.96,18.04,17.8,17.96
2639,2015-04-08,17.96,18.08,17.88,17.92
2638,2015-04-09,17.92,18.08,17.88,18.08
2637,2015-04-10,18.08,18.21,18.04,18.12
2636,2015-04-13,18.12,18.53,18.12,18.53
2635,2015-04-14,18.57,18.69,18.41,18.41
2634,2015-04-15,18.41,18.49,18.33,18.33
2633,2015-04-16,18.41,18.45,18.33,18.33
2632,2015-04-17,18.37,18.65,18.33,18.53
2631,2015-04-20,18.53,18.53,18.33,18.37
2630,2015-04-21,18.41,18.41,18.33,18.37
2629,2015-04-22,18.33,18.37,18.29,18.29
2628,2015-04-23,18.29,18.33,18.04,18.04
2627,2015-04-24,18.0,18.12,18.0,18.0
2626,2015-04-27,18.08,18.12,17.92,17.92
2625,2015-05-04,18.25,18.29,17.29,17.5
2624,2015-05-05,17.29,18.04,17.09,17.71
2623,2015-05-06,17.67,17.84,17.13,17.13
2622,2015-05-07,17.04,17.29,17.04,17.17
2621,2015-05-08,17.04,17.38,17.04,17.21
2620,2015-05-11,17.21,17.38,17.17,17.17
2619,2015-05-12,17.13,17.25,16.92,17.09
2618,2015-05-13,17.09,17.17,16.88,16.96
2617,2015-05-14,16.96,16.96,16.59,16.59
2616,2015-05-15,16.67,16.67,16.38,16.38
2615,2015-05-18,16.29,16.29,15.63,15.75
2614,2015-05-19,15.63,15.79,15.54,15.59
2613,2015-05-20,15.59,16.25,15.59,16.25
2612,2015-05-21,16.42,16.46,16.13,16.29
2611,2015-05-22,16.25,16.88,16.21,16.75
2610,2015-05-25,16.84,17.09,16.71,16.88
2609,2015-05-26,16.96,17.59,16.88,17.29
2608,2015-05-27,17.29,17.46,17.25,17.38
2607,2015-05-28,17.38,17.71,17.13,17.5
2606,2015-05-29,17.5,17.59,17.25,17.25
2605,2015-06-01,17.09,17.29,16.88,16.88
2604,2015-06-02,16.84,17.04,16.75,16.75
2603,2015-06-03,16.71,16.84,16.38,16.42
2602,2015-06-04,16.38,16.59,16.34,16.59
2601,2015-06-05,16.71,16.71,16.5,16.63
2600,2015-06-08,16.67,17.54,16.46,17.09
2599,2015-06-09,17.13,18.25,17.13,18.09
2598,2015-06-10,18.09,18.13,17.79,17.79
2597,2015-06-11,17.79,18.09,17.71,17.88
2596,2015-06-12,18.04,18.71,17.88,18.25
2595,2015-06-15,18.34,18.71,18.34,18.54
2594,2015-06-16,18.54,18.54,18.17,18.17
2593,2015-06-17,18.0,18.04,17.79,17.92
