,Date,Open,High,Low,Close
2700,2015-01-05,4.41,4.5,4.41,4.47
2699,2015-01-06,4.45,4.52,4.45,4.52
2698,2015-01-07,4.43,4.54,4.43,4.54
2697,2015-01-08,4.54,4.54,4.5,4.52
2696,2015-01-09,4.54,4.63,4.54,4.56
2695,2015-01-12,4.59,4.59,4.56,4.56
2694,2015-01-13,4.56,4.65,4.56,4.63
2693,2015-01-14,4.65,4.65,4.59,4.63
2692,2015-01-15,4.65,4.65,4.61,4.63
2691,2015-01-16,4.63,4.68,4.63,4.63
2690,2015-01-19,4.65,4.68,4.63,4.63
2689,2015-01-20,4.63,4.68,4.61,4.68
2688,2015-01-21,4.72,4.81,4.7,4.81
2687,2015-01-22,4.81,4.86,4.77,4.77
2686,2015-01-23,4.77,5.06,4.74,5.02
2685,2015-01-26,5.02,5.02,4.88,4.88
2684,2015-01-27,4.88,4.97,4.86,4.86
2683,2015-01-28,4.88,4.93,4.84,4.93
2682,2015-01-29,4.95,4.97,4.9,4.9
2681,2015-01-30,4.97,4.97,4.86,4.9
2680,2015-02-02,4.88,4.95,4.88,4.93
2679,2015-02-03,4.93,5.06,4.93,4.95
2678,2015-02-04,4.93,4.97,4.9,4.95
2677,2015-02-05,4.95,4.97,4.9,4.9
2676,2015-02-06,4.9,4.93,4.9,4.93
2675,2015-02-09,4.93,4.97,4.9,4.95
2674,2015-02-10,4.97,4.99,4.93,4.97
2673,2015-02-11,4.99,5.11,4.99,5.08
2672,2015-02-12,5.04,5.17,5.04,5.11
2671,2015-02-13,5.13,5.15,5.11,5.15
2670,2015-02-24,5.15,5.17,5.11,5.15
2669,2015-02-25,5.13,5.15,5.06,5.06
2668,2015-02-26,5.02,5.11,5.02,5.11
2667,2015-02-27,5.11,5.11,4.99,4.99
2666,2015-03-02,4.97,5.04,4.97,4.99
2665,2015-03-03,4.97,5.06,4.97,5.06
2664,2015-03-04,5.06,5.11,5.06,5.08
2663,2015-03-05,5.13,5.13,5.06,5.08
2662,2015-03-06,5.11,5.11,5.04,5.08
2661,2015-03-09,5.08,5.08,4.97,5.02
2660,2015-03-10,4.99,5.04,4.97,5.02
2659,2015-03-11,5.02,5.02,4.84,4.97
2658,2015-03-12,4.93,5.11,4.88,5.08
2657,2015-03-13,5.04,5.08,4.97,5.08
2656,2015-03-16,5.08,5.08,4.97,5.02
2655,2015-03-17,4.99,5.04,4.95,4.99
2654,2015-03-18,4.99,4.99,4.88,4.95
2653,2015-03-19,4.9,4.95,4.88,4.88
2652,2015-03-20,4.88,4.99,4.86,4.97
2651,2015-03-23,4.9,4.97,4.86,4.86
2650,2015-03-24,4.86,4.9,4.81,4.86
2649,2015-03-25,4.93,4.95,4.88,4.95
2648,2015-03-26,4.95,4.95,4.9,4.95
2647,2015-03-27,4.95,4.97,4.93,4.93
2646,2015-03-30,4.88,4.95,4.81,4.93
2645,2015-03-31,4.93,4.97,4.84,4.95
2644,2015-04-01,4.88,4.95,4.84,4.84
2643,2015-04-02,4.88,4.9,4.84,4.88
2642,2015-04-03,4.9,4.95,4.86,4.93
2641,2015-04-06,4.93,5.06,4.9,4.93
2640,2015-04-07,4.93,5.15,4.9,5.08
2639,2015-04-08,5.06,5.13,5.02,5.08
2638,2015-04-09,5.08,5.33,5.08,5.33
2637,2015-04-10,5.29,5.47,5.29,5.47
2636,2015-04-13,5.42,5.49,5.31,5.33
2635,2015-04-14,5.35,5.35,5.13,5.24
2634,2015-04-15,5.24,5.42,5.08,5.42
2633,2015-04-16,5.47,5.51,5.33,5.38
2632,2015-04-17,5.33,5.35,5.2,5.26
2631,2015-04-20,5.2,5.29,5.08,5.2
2630,2015-04-21,5.26,5.26,4.88,4.88
2629,2015-04-22,4.88,4.95,4.84,4.84
2628,2015-04-23,4.84,4.9,4.65,4.77
2627,2015-04-24,4.77,4.84,4.7,4.74
2626,2015-04-27,4.79,4.79,4.63,4.63
2625,2015-05-04,4.63,4.68,4.47,4.5
2624,2015-05-05,4.5,4.7,4.34,4.63
2623,2015-05-06,4.63,4.63,4.5,4.5
2622,2015-05-07,4.47,4.72,4.47,4.72
2621,2015-05-08,4.72,4.88,4.68,4.86
2620,2015-05-11,4.9,4.9,4.79,4.88
2619,2015-05-12,4.88,4.88,4.68,4.68
2618,2015-05-13,4.74,4.74,4.59,4.65
2617,2015-05-14,4.65,4.79,4.61,4.79
2616,2015-05-15,4.79,4.79,4.61,4.61
2615,2015-05-18,4.72,4.72,4.52,4.54
2614,2015-05-19,4.61,4.63,4.52,4.61
2613,2015-05-20,4.68,4.86,4.63,4.86
2612,2015-05-21,4.86,4.9,4.74,4.86
2611,2015-05-22,4.84,5.11,4.84,5.06
2610,2015-05-25,5.06,5.08,4.74,5.08
2609,2015-05-26,4.86,5.11,4.86,4.93
2608,2015-05-27,4.84,5.04,4.84,5.02
2607,2015-05-28,4.97,4.99,4.86,4.97
2606,2015-05-29,4.86,4.99,4.86,4.86
2605,2015-06-01,4.9,4.9,4.77,4.79
2604,2015-06-02,4.81,4.88,4.74,4.81
2603,2015-06-03,4.81,4.84,4.81,4.81
2602,2015-06-04,4.74,4.81,4.74,4.81
2601,2015-06-05,4.81,4.86,4.81,4.84
2600,2015-06-08,4.84,4.95,4.81,4.93
2599,2015-06-09,4.93,4.93,4.79,4.86
2598,2015-06-10,4.88,4.9,4.84,4.9
2597,2015-06-11,4.9,5.11,4.9,5.04
2596,2015-06-12,5.08,5.38,5.06,5.38
2595,2015-06-15,5.42,5.42,5.02,5.02
2594,2015-06-16,5.04,5.04,4.86,4.9
2593,2015-06-17,4.79,4.97,4.79,4.97
2592,2015-06-18,4.84,4.93,4.84,4.88
2591,2015-06-19,4.88,4.95,4.88,4.95
2590,2015-06-22,4.95,4.97,4.88,4.95
2589,2015-06-23,4.95,4.95,4.9,4.93
2588,2015-06-24,4.9,4.93,4.84,4.84
2587,2015-06-25,4.9,4.9,4.81,4.84
2586,2015-06-26,4.88,4.9,4.84,4.86
2585,2015-06-29,4.86,4.88,4.84,4.86
2584,2015-06-30,4.86,4.93,4.86,4.9
2583,2015-07-01,4.95,5.02,4.9,4.97
2582,2015-07-02,4.99,5.08,4.99,5.06
2581,2015-07-03,5.08,5.17,5.08,5.13
2580,2015-07-06,5.08,5.15,5.08,5.13
2579,2015-07-07,5.13,5.13,5.04,5.08
2578,2015-07-08,5.08,5.08,4.97,5.02
2577,2015-07-09,4.97,5.06,4.97,5.06
2576,2015-07-10,5.08,5.24,5.06,5.2
2575,2015-07-13,5.2,5.31,5.17,5.26
2574,2015-07-14,5.31,5.31,5.13,5.15
2573,2015-07-15,5.2,5.22,4.97,4.97
2572,2015-07-16,5.04,5.04,4.9,4.93
2571,2015-07-17,4.9,4.97,4.9,4.95
2570,2015-07-20,4.9,4.95,4.9,4.93
2569,2015-07-21,4.88,4.9,4.84,4.88
2568,2015-07-22,4.77,4.97,4.77,4.97
2567,2015-07-23,4.97,4.99,4.9,4.9
2566,2015-07-24,4.9,5.02,4.9,4.97
2565,2015-07-27,5.04,5.04,4.93,4.97
2564,2015-07-28,4.97,5.04,4.97,5.02
2563,2015-07-29,5.04,5.04,4.97,4.97
2562,2015-07-30,4.99,4.99,4.93,4.93
2561,2015-07-31,4.95,4.95,4.9,4.9
2560,2015-08-03,4.9,4.93,4.88,4.88
2559,2015-08-04,4.93,4.93,4.86,4.9
2558,2015-08-05,4.9,4.97,4.88,4.93
2557,2015-08-06,4.93,4.99,4.93,4.97
2556,2015-08-07,4.95,5.02,4.9,4.97
2555,2015-08-10,4.97,4.99,4.95,4.97
2554,2015-08-11,4.95,5.02,4.95,4.97
2553,2015-08-12,4.97,4.97,4.88,4.9
2552,2015-08-13,4.95,4.95,4.81,4.86
2551,2015-08-14,4.86,4.86,4.77,4.84
2550,2015-08-17,4.86,4.93,4.84,4.86
2549,2015-08-18,4.88,4.88,4.81,4.84
2548,2015-08-19,4.84,4.84,4.72,4.77
2547,2015-08-20,4.77,4.77,4.68,4.68
2546,2015-08-21,4.63,4.63,4.36,4.52
2545,2015-08-24,4.47,4.47,4.2,4.34
2544,2015-08-25,4.27,4.34,4.18,4.29
2543,2015-08-26,4.27,4.41,4.27,4.41
2542,2015-08-27,4.41,4.47,4.38,4.43
2541,2015-08-28,4.43,4.45,4.34,4.41
2540,2015-08-31,4.41,4.41,4.34,4.41
2539,2015-09-01,4.38,4.5,4.36,4.41
2538,2015-09-03,4.38,4.41,4.29,4.36
2537,2015-09-04,4.38,4.38,4.36,4.38
2536,2015-09-07,4.34,4.38,4.34,4.38
2535,2015-09-08,4.36,4.45,4.36,4.45
2534,2015-09-09,4.54,4.54,4.43,4.52
2533,2015-09-10,4.47,4.5,4.43,4.47
2532,2015-09-11,4.45,4.52,4.43,4.43
2531,2015-09-14,4.43,4.45,4.43,4.45
2530,2015-09-15,4.45,4.47,4.45,4.47
2529,2015-09-16,4.47,4.47,4.45,4.47
2528,2015-09-17,4.47,4.47,4.43,4.47
2527,2015-09-18,4.45,4.52,4.45,4.52
2526,2015-09-21,4.52,4.72,4.5,4.7
2525,2015-09-22,4.72,4.74,4.68,4.7
2524,2015-09-23,4.7,4.72,4.65,4.68
2523,2015-09-24,4.68,4.88,4.68,4.84
2522,2015-09-25,4.84,4.93,4.84,4.88
2521,2015-09-28,4.88,4.95,4.88,4.9
2520,2015-09-29,4.88,4.9,4.86,4.88
2519,2015-09-30,4.88,4.9,4.86,4.88
2518,2015-10-01,4.86,4.88,4.84,4.88
2517,2015-10-02,4.88,4.9,4.86,4.88
2516,2015-10-05,4.9,4.9,4.81,4.88
2515,2015-10-06,4.88,4.95,4.88,4.93
2514,2015-10-07,4.93,4.95,4.88,4.88
2513,2015-10-08,4.9,5.04,4.9,5.02
2512,2015-10-09,5.02,5.02,4.95,4.95
2511,2015-10-12,4.95,4.95,4.93,4.95
2510,2015-10-13,4.93,4.95,4.88,4.93
2509,2015-10-14,4.93,4.95,4.9,4.93
2508,2015-10-15,4.93,4.97,4.93,4.97
2507,2015-10-16,4.95,5.02,4.95,4.97
2506,2015-10-19,4.97,4.99,4.95,4.99
2505,2015-10-20,4.99,4.99,4.97,4.99
2504,2015-10-21,4.99,5.06,4.97,5.02
2503,2015-10-22,5.02,5.06,5.02,5.04
2502,2015-10-23,5.04,5.08,5.02,5.02
2501,2015-10-26,5.02,5.04,4.93,4.97
2500,2015-10-27,4.97,4.99,4.95,4.99
2499,2015-10-28,5.04,5.22,5.04,5.2
2498,2015-10-29,5.22,5.28,5.22,5.25
2497,2015-10-30,5.25,5.28,5.25,5.25
2496,2015-11-02,5.25,5.28,5.2,5.25
2495,2015-11-03,5.25,5.48,5.25,5.46
2494,2015-11-04,5.48,5.56,5.46,5.46
2493,2015-11-05,5.46,5.56,5.46,5.54
2492,2015-11-06,5.56,5.56,5.51,5.56
2491,2015-11-09,5.56,5.59,5.48,5.54
2490,2015-11-10,5.48,5.54,5.48,5.51
2489,2015-11-11,5.54,5.54,5.51,5.51
2488,2015-11-12,5.51,5.54,5.48,5.54
2487,2015-11-13,5.54,5.61,5.54,5.61
2486,2015-11-16,5.61,5.74,5.61,5.72
2485,2015-11-17,5.72,5.74,5.69,5.72
2484,2015-11-18,5.69,5.72,5.64,5.64
2483,2015-11-19,5.61,5.67,5.59,5.64
2482,2015-11-20,5.64,5.67,5.61,5.64
2481,2015-11-23,5.64,5.67,5.64,5.64
2480,2015-11-24,5.67,5.67,5.59,5.61
2479,2015-11-25,5.59,5.61,5.56,5.61
2478,2015-11-26,5.61,5.61,5.54,5.56
2477,2015-11-27,5.56,5.59,5.43,5.43
2476,2015-11-30,5.51,5.54,5.38,5.43
2475,2015-12-01,5.43,5.61,5.43,5.51
2474,2015-12-02,5.51,5.59,5.51,5.54
2473,2015-12-03,5.54,5.59,5.54,5.56
2472,2015-12-04,5.56,5.56,5.51,5.54
2471,2015-12-07,5.54,5.54,5.43,5.46
2470,2015-12-08,5.46,5.48,5.43,5.48
2469,2015-12-09,5.48,5.48,5.43,5.46
2468,2015-12-10,5.46,5.48,5.41,5.46
2467,2015-12-11,5.46,5.51,5.46,5.48
2466,2015-12-14,5.51,5.51,5.46,5.48
2465,2015-12-15,5.48,5.82,5.48,5.77
2464,2015-12-16,5.8,6.0,5.8,5.87
2463,2015-12-17,5.9,5.98,5.87,5.9
2462,2015-12-18,5.98,5.98,5.87,5.9
2461,2015-12-21,5.87,5.87,5.72,5.77
2460,2015-12-22,5.61,5.61,5.51,5.56
2459,2015-12-23,5.54,5.56,5.54,5.56
2458,2015-12-24,5.54,5.61,5.54,5.61
2457,2015-12-25,5.61,5.61,5.59,5.59
2456,2015-12-28,5.56,5.61,5.56,5.56
2455,2015-12-29,5.56,5.56,5.54,5.56
2454,2015-12-30,5.54,5.61,5.54,5.59
2453,2015-12-31,5.59,5.61,5.56,5.61
2452,2016-01-04,5.59,5.64,5.56,5.59
2451,2016-01-05,5.56,5.59,5.54,5.59
2450,2016-01-06,5.59,5.59,5.54,5.59
2449,2016-01-07,5.59,5.59,5.51,5.54
2448,2016-01-08,5.54,5.54,5.46,5.51
2447,2016-01-11,5.51,5.51,5.48,5.48
2446,2016-01-12,5.43,5.43,5.15,5.43
2445,2016-01-13,5.43,5.46,5.41,5.46
2444,2016-01-14,5.46,5.46,5.35,5.41
2443,2016-01-15,5.41,5.43,5.33,5.33
2442,2016-01-18,5.3,5.3,5.2,5.25
2441,2016-01-19,5.28,5.3,5.28,5.28
2440,2016-01-20,5.28,5.28,5.22,5.25
2439,2016-01-21,5.22,5.25,5.2,5.22
2438,2016-01-22,5.22,5.25,5.17,5.22
2437,2016-01-25,5.22,5.28,5.22,5.25
2436,2016-01-26,5.2,5.28,5.2,5.22
2435,2016-01-27,5.25,5.54,5.25,5.48
2434,2016-01-28,5.48,5.56,5.46,5.46
2433,2016-01-29,5.46,5.48,5.41,5.46
2432,2016-02-01,5.43,5.46,5.38,5.38
2431,2016-02-02,5.38,5.41,5.35,5.35
2430,2016-02-03,5.35,5.38,5.35,5.38
2429,2016-02-04,5.38,5.43,5.38,5.41
2428,2016-02-05,5.43,5.46,5.41,5.46
2427,2016-02-15,5.43,5.46,5.41,5.46
2426,2016-02-16,5.46,5.46,5.43,5.46
2425,2016-02-17,5.43,5.48,5.43,5.46
2424,2016-02-18,5.46,5.61,5.46,5.56
2423,2016-02-19,5.56,5.59,5.56,5.59
2422,2016-02-22,5.59,5.59,5.56,5.59
2421,2016-02-23,5.54,5.59,5.54,5.56
2420,2016-02-24,5.56,5.56,5.51,5.51
2419,2016-02-25,5.51,5.54,5.48,5.48
2418,2016-02-26,5.48,5.56,5.48,5.54
2417,2016-02-29,5.54,5.54,5.48,5.48
2416,2016-03-01,5.48,5.51,5.46,5.46
2415,2016-03-02,5.48,5.51,5.43,5.46
2414,2016-03-03,5.46,5.48,5.43,5.46
2413,2016-03-04,5.46,5.51,5.46,5.46
2412,2016-03-07,5.46,5.48,5.46,5.46
2411,2016-03-08,5.48,5.51,5.46,5.48
2410,2016-03-09,5.51,5.69,5.51,5.61
2409,2016-03-10,5.64,5.93,5.64,5.87
2408,2016-03-11,5.87,5.93,5.87,5.9
2407,2016-03-14,5.85,5.93,5.77,5.85
2406,2016-03-15,5.95,6.0,5.9,5.93
