,Date,Open,High,Low,Close
2003,2017-10-05,4.47,4.77,4.08,4.29
2002,2017-10-06,4.29,4.29,4.11,4.17
2001,2017-10-09,4.17,4.23,4.14,4.2
2000,2017-10-10,4.2,4.23,4.11,4.14
1999,2017-10-11,4.17,4.17,3.9,3.96
1998,2017-10-12,3.96,3.96,3.78,3.84
1997,2017-10-13,3.78,3.87,3.66,3.69
1996,2017-10-16,3.66,3.99,3.63,3.81
1995,2017-10-17,3.84,4.05,3.84,4.05
1994,2017-10-18,4.02,4.14,4.02,4.02
1993,2017-10-19,4.02,4.02,3.9,3.93
1992,2017-10-20,3.96,3.96,3.87,3.93
1991,2017-10-23,3.93,3.93,3.81,3.81
1990,2017-10-24,3.81,3.99,3.78,3.93
1989,2017-10-25,3.93,4.14,3.93,4.11
1988,2017-10-26,4.08,4.14,4.05,4.11
1987,2017-10-27,4.08,4.11,4.05,4.08
1986,2017-10-30,4.08,4.08,3.99,4.02
1985,2017-10-31,3.99,3.99,3.93,3.93
1984,2017-11-01,3.96,3.96,3.9,3.96
1983,2017-11-02,3.96,3.96,3.9,3.93
1982,2017-11-03,3.93,3.93,3.84,3.87
1981,2017-11-06,3.81,3.9,3.78,3.84
1980,2017-11-07,3.87,3.87,3.75,3.78
1979,2017-11-08,3.81,3.93,3.78,3.9
1978,2017-11-09,3.9,4.05,3.9,3.99
1977,2017-11-10,3.96,4.02,3.93,3.93
1976,2017-11-13,3.96,3.96,3.87,3.93
1975,2017-11-14,4.1,4.17,3.97,4.07
1974,2017-11-15,3.97,4.13,3.97,4.13
1973,2017-11-16,4.1,4.36,4.1,4.3
1972,2017-11-17,4.3,4.33,4.17,4.2
1971,2017-11-20,4.23,4.23,4.13,4.17
1970,2017-11-21,4.2,4.23,4.13,4.2
1969,2017-11-22,4.1,4.26,4.1,4.23
1968,2017-11-23,4.3,4.33,4.23,4.26
1967,2017-11-24,4.26,4.3,4.2,4.3
1966,2017-11-27,4.3,4.52,4.26,4.49
1965,2017-11-28,4.46,4.55,4.39,4.39
1964,2017-11-29,4.42,4.42,4.3,4.3
1963,2017-11-30,4.33,4.39,4.3,4.33
1962,2017-12-01,4.33,4.33,4.17,4.2
1961,2017-12-04,4.2,4.3,4.2,4.23
1960,2017-12-05,4.26,4.26,4.2,4.2
1959,2017-12-06,4.2,4.23,4.17,4.17
1958,2017-12-07,4.2,4.23,4.13,4.17
1957,2017-12-08,4.2,4.26,4.17,4.23
1956,2017-12-11,4.26,4.39,4.23,4.33
1955,2017-12-12,4.36,4.36,4.17,4.3
1954,2017-12-13,4.3,4.3,4.2,4.23
1953,2017-12-14,4.2,4.26,4.2,4.26
1952,2017-12-15,4.23,4.23,4.17,4.2
1951,2017-12-18,4.2,4.23,4.2,4.23
1950,2017-12-19,4.23,4.26,4.2,4.23
1949,2017-12-20,4.23,4.3,4.2,4.26
1948,2017-12-21,4.26,4.3,4.2,4.23
1947,2017-12-22,4.23,4.26,4.2,4.23
1946,2017-12-25,4.23,4.23,4.2,4.2
1945,2017-12-26,4.2,4.2,4.17,4.2
1944,2017-12-27,4.17,4.2,4.1,4.13
1943,2017-12-28,4.13,4.2,4.07,4.17
1942,2017-12-29,4.2,4.2,4.13,4.17
1941,2018-01-02,4.2,4.23,4.13,4.2
