,Date,Open,High,Low,Close
1866,2017-07-24,34.37,34.37,26.73,27.93
1865,2017-07-25,28.31,28.31,25.78,25.78
1864,2017-07-26,26.26,28.17,25.4,28.17
1863,2017-07-27,27.69,30.79,27.69,30.55
1862,2017-07-28,29.79,29.79,29.03,29.5
1861,2017-07-31,29.17,29.17,28.45,29.12
1860,2017-08-01,27.93,28.6,27.64,27.64
1859,2017-08-02,27.45,27.45,26.26,26.88
1858,2017-08-03,26.83,27.21,26.69,26.73
1857,2017-08-04,26.88,27.45,26.73,27.21
1856,2017-08-07,27.21,27.21,26.64,26.64
1855,2017-08-08,26.5,26.78,26.26,26.3
1854,2017-08-09,26.26,26.73,25.3,25.54
1853,2017-08-10,26.21,26.26,25.54,25.54
1852,2017-08-11,25.4,25.4,25.02,25.06
1851,2017-08-14,25.11,25.11,24.06,24.68
1850,2017-08-15,24.59,25.54,24.59,24.78
1849,2017-08-16,24.82,25.16,24.82,24.87
1848,2017-08-17,24.82,25.06,24.68,24.73
1847,2017-08-18,24.82,24.82,24.73,24.73
1846,2017-08-21,24.82,24.82,24.35,24.35
1845,2017-08-22,24.78,24.78,24.3,24.3
1844,2017-08-23,24.49,24.49,23.15,23.39
1843,2017-08-24,23.54,23.87,23.39,23.87
1842,2017-08-25,23.73,24.54,23.73,24.54
1841,2017-08-28,24.16,24.82,24.16,24.82
1840,2017-08-29,24.82,24.92,24.54,24.59
1839,2017-08-30,24.73,24.73,24.11,24.11
1838,2017-08-31,24.6,24.6,24.1,24.1
1837,2017-09-01,23.61,24.05,23.61,24.05
1836,2017-09-05,24.1,24.1,23.71,23.76
1835,2017-09-06,23.71,24.35,23.71,24.35
1834,2017-09-07,24.6,24.6,24.15,24.2
1833,2017-09-08,24.25,24.55,24.15,24.15
1832,2017-09-11,24.3,24.3,23.61,24.01
1831,2017-09-12,23.81,24.1,23.71,23.96
1830,2017-09-13,24.1,24.6,24.1,24.6
1829,2017-09-14,24.3,26.17,24.25,25.92
1828,2017-09-15,25.68,26.81,25.68,26.07
1827,2017-09-18,26.07,26.07,25.58,25.58
1826,2017-09-19,25.48,25.48,24.69,24.94
1825,2017-09-20,24.84,25.63,24.6,25.58
1824,2017-09-21,25.28,25.83,25.28,25.58
1823,2017-09-22,25.58,25.58,25.24,25.43
1822,2017-09-25,25.09,25.24,25.09,25.14
1821,2017-09-26,25.14,25.33,24.89,25.33
1820,2017-09-27,24.94,24.94,24.84,24.84
1819,2017-09-28,24.99,25.09,24.64,24.69
1818,2017-09-29,24.79,24.99,24.74,24.99
1817,2017-10-02,24.79,24.79,24.4,24.55
1816,2017-10-03,24.69,24.69,24.25,24.64
1815,2017-10-04,24.45,24.84,24.45,24.5
1814,2017-10-05,24.5,24.55,24.3,24.5
1813,2017-10-06,24.35,24.35,24.1,24.35
1812,2017-10-09,24.25,24.25,24.01,24.1
1811,2017-10-10,23.91,24.1,23.91,24.1
1810,2017-10-11,24.1,24.15,24.01,24.1
1809,2017-10-12,24.1,24.1,23.61,23.96
1808,2017-10-13,23.91,24.05,23.66,23.86
1807,2017-10-16,23.81,24.1,23.27,23.27
1806,2017-10-17,23.27,23.66,23.27,23.27
1805,2017-10-18,23.27,23.61,23.27,23.41
1804,2017-10-19,23.51,23.66,23.51,23.51
1803,2017-10-20,23.41,23.46,23.37,23.41
1802,2017-10-23,23.32,23.37,23.12,23.12
1801,2017-10-24,23.12,23.12,22.63,22.78
1800,2017-10-25,23.07,23.07,22.63,22.78
1799,2017-10-26,22.63,22.63,22.48,22.53
1798,2017-10-27,22.48,22.48,22.09,22.14
