,Date,Open,High,Low,Close
2700,2015-01-05,2.31,2.31,2.29,2.29
2699,2015-01-06,2.29,2.38,2.29,2.36
2698,2015-01-07,2.38,2.43,2.36,2.38
2697,2015-01-08,2.38,2.43,2.38,2.4
2696,2015-01-09,2.4,2.54,2.4,2.52
2695,2015-01-12,2.55,2.59,2.5,2.5
2694,2015-01-13,2.48,2.57,2.48,2.55
2693,2015-01-14,2.54,2.57,2.48,2.52
2692,2015-01-15,2.52,2.57,2.5,2.52
2691,2015-01-16,2.5,2.52,2.47,2.47
2690,2015-01-19,2.52,2.54,2.45,2.47
2689,2015-01-20,2.47,2.52,2.47,2.48
2688,2015-01-21,2.5,2.5,2.45,2.45
2687,2015-01-22,2.45,2.55,2.43,2.54
2686,2015-01-23,2.57,2.63,2.55,2.57
2685,2015-01-26,2.59,2.61,2.55,2.57
2684,2015-01-27,2.55,2.59,2.48,2.52
2683,2015-01-28,2.5,2.66,2.48,2.63
2682,2015-01-29,2.63,2.64,2.55,2.61
2681,2015-01-30,2.57,2.59,2.48,2.5
2680,2015-02-02,2.5,2.52,2.47,2.47
2679,2015-02-03,2.47,2.48,2.34,2.34
2678,2015-02-04,2.34,2.4,2.31,2.38
2677,2015-02-05,2.38,2.41,2.38,2.4
2676,2015-02-06,2.4,2.43,2.38,2.43
2675,2015-02-09,2.43,2.47,2.41,2.45
2674,2015-02-10,2.47,2.5,2.45,2.47
2673,2015-02-11,2.47,2.48,2.47,2.48
2672,2015-02-12,2.48,2.48,2.45,2.47
2671,2015-02-13,2.48,2.5,2.45,2.45
2670,2015-02-24,2.47,2.52,2.47,2.5
2669,2015-02-25,2.54,2.55,2.48,2.48
2668,2015-02-26,2.5,2.52,2.48,2.52
2667,2015-02-27,2.52,2.52,2.47,2.48
2666,2015-03-02,2.47,2.5,2.45,2.47
2665,2015-03-03,2.47,2.5,2.47,2.48
2664,2015-03-04,2.48,2.48,2.45,2.48
2663,2015-03-05,2.47,2.48,2.45,2.45
2662,2015-03-06,2.47,2.48,2.45,2.47
2661,2015-03-09,2.47,2.48,2.45,2.45
2660,2015-03-10,2.45,2.47,2.45,2.45
2659,2015-03-11,2.45,2.47,2.43,2.45
2658,2015-03-12,2.45,2.47,2.43,2.45
2657,2015-03-13,2.45,2.48,2.45,2.45
2656,2015-03-16,2.45,2.45,2.43,2.43
2655,2015-03-17,2.43,2.45,2.41,2.43
2654,2015-03-18,2.43,2.43,2.4,2.41
2653,2015-03-19,2.41,2.43,2.4,2.4
2652,2015-03-20,2.4,2.43,2.4,2.41
2651,2015-03-23,2.41,2.43,2.4,2.41
2650,2015-03-24,2.4,2.41,2.4,2.4
2649,2015-03-25,2.4,2.43,2.4,2.4
2648,2015-03-26,2.4,2.45,2.4,2.41
2647,2015-03-27,2.41,2.43,2.41,2.41
2646,2015-03-30,2.43,2.43,2.4,2.4
2645,2015-03-31,2.4,2.43,2.4,2.41
2644,2015-04-01,2.41,2.41,2.38,2.38
2643,2015-04-02,2.4,2.4,2.36,2.4
2642,2015-04-03,2.4,2.4,2.38,2.38
2641,2015-04-06,2.38,2.4,2.36,2.38
2640,2015-04-07,2.38,2.41,2.36,2.4
2639,2015-04-08,2.38,2.4,2.38,2.4
2638,2015-04-09,2.4,2.43,2.38,2.41
2637,2015-04-10,2.41,2.43,2.4,2.41
2636,2015-04-13,2.41,2.43,2.4,2.41
2635,2015-04-14,2.41,2.43,2.4,2.4
2634,2015-04-15,2.4,2.41,2.38,2.41
2633,2015-04-16,2.41,2.43,2.38,2.41
2632,2015-04-17,2.41,2.43,2.4,2.41
2631,2015-04-20,2.41,2.41,2.38,2.4
2630,2015-04-21,2.4,2.41,2.38,2.38
2629,2015-04-22,2.38,2.41,2.38,2.38
2628,2015-04-23,2.4,2.4,2.38,2.4
2627,2015-04-24,2.4,2.41,2.38,2.4
2626,2015-04-27,2.41,2.45,2.4,2.43
2625,2015-05-04,2.41,2.41,2.36,2.36
2624,2015-05-05,2.36,2.4,2.36,2.38
2623,2015-05-06,2.38,2.4,2.34,2.36
2622,2015-05-07,2.34,2.38,2.34,2.36
2621,2015-05-08,2.36,2.38,2.36,2.38
2620,2015-05-11,2.38,2.38,2.34,2.34
2619,2015-05-12,2.34,2.34,2.31,2.31
2618,2015-05-13,2.33,2.33,2.31,2.33
2617,2015-05-14,2.33,2.34,2.31,2.33
2616,2015-05-15,2.33,2.33,2.31,2.31
2615,2015-05-18,2.31,2.31,2.27,2.27
2614,2015-05-19,2.27,2.31,2.27,2.29
2613,2015-05-20,2.31,2.33,2.29,2.33
2612,2015-05-21,2.34,2.36,2.33,2.34
2611,2015-05-22,2.34,2.38,2.33,2.36
2610,2015-05-25,2.34,2.38,2.34,2.34
2609,2015-05-26,2.34,2.38,2.34,2.36
2608,2015-05-27,2.34,2.38,2.34,2.36
2607,2015-05-28,2.36,2.52,2.34,2.45
2606,2015-05-29,2.45,2.5,2.43,2.43
2605,2015-06-01,2.47,2.55,2.43,2.5
2604,2015-06-02,2.48,2.54,2.45,2.45
2603,2015-06-03,2.45,2.47,2.43,2.43
2602,2015-06-04,2.43,2.48,2.41,2.43
2601,2015-06-05,2.45,2.48,2.41,2.45
2600,2015-06-08,2.47,2.48,2.45,2.47
2599,2015-06-09,2.45,2.48,2.43,2.43
2598,2015-06-10,2.43,2.45,2.41,2.45
2597,2015-06-11,2.45,2.47,2.43,2.43
2596,2015-06-12,2.45,2.47,2.43,2.45
2595,2015-06-15,2.47,2.61,2.47,2.61
2594,2015-06-16,2.7,2.73,2.64,2.66
2593,2015-06-17,2.66,2.7,2.63,2.68
2592,2015-06-18,2.66,2.68,2.64,2.66
2591,2015-06-19,2.68,2.71,2.64,2.64
2590,2015-06-22,2.64,2.78,2.64,2.77
2589,2015-06-23,2.77,2.84,2.75,2.78
2588,2015-06-24,2.78,2.8,2.75,2.75
2587,2015-06-25,2.75,2.77,2.71,2.71
2586,2015-06-26,2.71,2.75,2.68,2.68
2585,2015-06-29,2.66,2.73,2.64,2.73
2584,2015-06-30,2.7,2.73,2.66,2.66
2583,2015-07-01,2.66,2.68,2.61,2.63
2582,2015-07-02,2.63,2.71,2.63,2.7
2581,2015-07-03,2.73,2.8,2.7,2.71
2580,2015-07-06,2.73,2.73,2.68,2.71
2579,2015-07-07,2.71,2.8,2.68,2.73
2578,2015-07-08,2.73,2.84,2.71,2.78
2577,2015-07-09,2.78,2.8,2.75,2.78
2576,2015-07-10,2.78,2.89,2.78,2.87
2575,2015-07-13,2.91,2.98,2.87,2.94
2574,2015-07-14,2.96,2.98,2.87,2.94
