,Date,Open,High,Low,Close
2397,2016-03-28,2.78,2.78,2.08,2.14
2396,2016-03-29,2.14,2.17,2.03,2.03
2395,2016-03-30,2.08,2.08,1.97,2.03
2394,2016-03-31,2.0,2.03,1.89,1.89
2393,2016-04-01,1.89,1.92,1.8,1.8
2392,2016-04-04,1.78,1.86,1.78,1.8
2391,2016-04-05,1.78,1.89,1.75,1.89
2390,2016-04-06,1.89,1.89,1.8,1.8
2389,2016-04-07,1.86,1.86,1.8,1.8
2388,2016-04-08,1.8,1.8,1.78,1.78
2387,2016-04-11,1.78,1.86,1.78,1.86
2386,2016-04-12,1.8,1.86,1.8,1.86
2385,2016-04-13,1.8,1.83,1.78,1.8
2384,2016-04-14,1.8,1.8,1.75,1.78
2383,2016-04-15,1.78,1.83,1.78,1.78
2382,2016-04-19,1.8,1.8,1.72,1.72
2381,2016-04-20,1.75,1.78,1.72,1.78
2380,2016-04-21,1.75,1.75,1.69,1.72
2379,2016-04-22,1.69,1.72,1.67,1.72
2378,2016-04-25,1.75,1.78,1.75,1.78
2377,2016-04-26,1.72,1.72,1.69,1.72
2376,2016-04-27,1.72,1.75,1.69,1.72
2375,2016-04-28,1.72,1.75,1.67,1.67
2374,2016-04-29,1.69,1.69,1.67,1.69
2373,2016-05-04,1.53,1.69,1.53,1.67
2372,2016-05-05,1.64,1.67,1.64,1.67
2371,2016-05-06,1.67,1.67,1.64,1.67
2370,2016-05-09,1.64,1.67,1.61,1.61
2369,2016-05-10,1.61,1.67,1.61,1.67
2368,2016-05-11,1.64,1.67,1.64,1.67
2367,2016-05-12,1.67,1.67,1.64,1.67
2366,2016-05-13,1.67,1.67,1.61,1.64
2365,2016-05-16,1.64,1.69,1.64,1.67
2364,2016-05-17,1.67,1.69,1.67,1.69
2363,2016-05-18,1.67,1.69,1.67,1.67
2362,2016-05-19,1.67,1.67,1.67,1.67
2361,2016-05-20,1.67,1.67,1.64,1.67
2360,2016-05-23,1.67,1.67,1.64,1.64
2359,2016-05-24,1.64,1.67,1.64,1.67
2358,2016-05-25,1.64,1.67,1.61,1.64
2357,2016-05-26,1.64,1.64,1.61,1.64
2356,2016-05-27,1.64,1.67,1.61,1.64
2355,2016-05-30,1.64,1.64,1.61,1.64
2354,2016-05-31,1.64,1.64,1.61,1.64
2353,2016-06-01,1.64,1.67,1.64,1.67
2352,2016-06-02,1.61,1.67,1.61,1.67
2351,2016-06-03,1.61,1.64,1.61,1.64
2350,2016-06-06,1.64,1.64,1.64,1.64
2349,2016-06-07,1.67,1.67,1.64,1.64
2348,2016-06-08,1.64,1.64,1.64,1.64
2347,2016-06-09,1.61,1.67,1.61,1.64
2346,2016-06-10,1.64,1.67,1.64,1.67
2345,2016-06-13,1.64,1.64,1.61,1.64
2344,2016-06-14,1.61,1.64,1.61,1.61
2343,2016-06-15,1.61,1.64,1.61,1.64
2342,2016-06-16,1.61,1.64,1.61,1.64
2341,2016-06-17,1.61,1.67,1.61,1.64
2340,2016-06-20,1.64,1.69,1.64,1.64
2339,2016-06-21,1.64,1.64,1.64,1.64
2338,2016-06-22,1.64,1.67,1.64,1.64
2337,2016-06-23,1.61,1.64,1.61,1.64
2336,2016-06-24,1.61,1.61,1.55,1.61
2335,2016-06-27,1.58,1.61,1.55,1.58
2334,2016-06-28,1.58,1.58,1.55,1.58
2333,2016-06-29,1.55,1.64,1.55,1.64
2332,2016-06-30,1.64,1.64,1.55,1.64
2331,2016-07-01,1.64,1.64,1.58,1.61
2330,2016-07-04,1.61,1.64,1.61,1.64
2329,2016-07-05,1.67,1.72,1.67,1.67
2328,2016-07-06,1.67,1.67,1.64,1.67
2327,2016-07-07,1.64,1.64,1.61,1.61
2326,2016-07-08,1.61,1.61,1.58,1.61
2325,2016-07-11,1.61,1.67,1.58,1.67
2324,2016-07-12,1.61,1.64,1.61,1.61
2323,2016-07-13,1.61,1.64,1.61,1.61
2322,2016-07-14,1.61,1.64,1.58,1.58
2321,2016-07-15,1.58,1.61,1.58,1.61
2320,2016-07-18,1.58,1.61,1.58,1.61
