,Date,Open,High,Low,Close
2700,2015-01-05,43.24,43.5,42.98,42.98
2699,2015-01-06,43.24,43.75,42.72,43.5
2698,2015-01-07,43.24,43.75,43.24,43.5
2697,2015-01-08,43.5,43.75,43.24,43.5
2696,2015-01-09,43.5,43.75,43.24,43.5
2695,2015-01-12,43.5,44.27,43.5,44.01
2694,2015-01-13,44.01,44.27,43.75,44.01
2693,2015-01-14,44.01,44.01,43.5,43.75
2692,2015-01-15,43.5,43.5,42.72,43.5
2691,2015-01-16,42.72,43.75,42.72,43.75
2690,2015-01-19,43.75,43.75,42.98,43.75
2689,2015-01-20,43.75,44.01,42.98,42.98
2688,2015-01-21,43.24,43.24,42.72,42.72
2687,2015-01-22,42.98,42.98,42.47,42.98
2686,2015-01-23,42.98,43.24,42.98,42.98
2685,2015-01-26,42.98,43.5,42.98,42.98
2684,2015-01-27,42.98,43.24,42.47,42.72
2683,2015-01-28,42.98,42.98,42.21,42.98
2682,2015-01-29,42.98,42.98,42.47,42.47
2681,2015-01-30,42.72,43.24,42.47,43.24
2680,2015-02-02,43.24,43.24,42.47,42.47
2679,2015-02-03,42.21,42.47,41.69,41.69
2678,2015-02-04,41.18,42.21,40.66,41.95
2677,2015-02-05,41.18,41.95,41.18,41.95
2676,2015-02-06,41.69,42.21,41.44,41.95
2675,2015-02-09,41.95,42.47,41.95,41.95
2674,2015-02-10,42.47,42.47,41.95,41.95
2673,2015-02-11,41.95,42.98,41.95,42.21
2672,2015-02-12,42.21,43.24,42.21,42.98
2671,2015-02-13,42.98,43.5,42.72,43.5
2670,2015-02-24,43.75,44.27,43.75,44.27
2669,2015-02-25,44.27,44.27,44.01,44.27
2668,2015-02-26,44.27,44.78,44.01,44.78
2667,2015-02-27,44.78,44.78,44.01,44.01
2666,2015-03-02,44.01,44.52,44.01,44.52
2665,2015-03-03,44.78,46.84,44.52,46.33
2664,2015-03-04,46.84,46.84,46.07,46.07
2663,2015-03-05,45.81,46.07,45.55,45.55
2662,2015-03-06,45.3,46.07,45.3,45.3
2661,2015-03-09,45.3,46.33,45.04,45.3
2660,2015-03-10,44.27,45.3,44.27,45.04
2659,2015-03-11,45.3,45.3,44.52,44.78
2658,2015-03-12,45.81,45.81,44.52,45.04
2657,2015-03-13,45.3,45.3,44.78,44.78
2656,2015-03-16,43.5,44.78,43.5,43.75
2655,2015-03-17,42.98,43.75,42.72,43.24
2654,2015-03-18,42.98,43.75,42.98,43.24
2653,2015-03-19,43.75,43.75,42.47,42.47
2652,2015-03-20,42.47,42.72,40.66,40.66
2651,2015-03-23,40.92,41.95,40.92,41.69
2650,2015-03-24,41.69,42.21,41.18,41.44
2649,2015-03-25,40.92,41.18,40.15,40.66
2648,2015-03-26,40.41,40.66,39.38,39.63
2647,2015-03-27,39.63,39.63,38.61,39.63
2646,2015-03-30,38.86,39.63,38.86,39.63
2645,2015-03-31,39.63,39.89,39.12,39.63
2644,2015-04-01,39.38,39.63,38.61,38.61
2643,2015-04-02,39.12,39.12,38.61,38.61
2642,2015-04-03,38.86,39.38,38.61,38.61
2641,2015-04-06,39.12,39.12,38.35,38.35
2640,2015-04-07,38.35,38.61,37.58,38.35
2639,2015-04-08,38.35,38.35,37.32,38.35
2638,2015-04-09,38.35,39.12,38.09,38.61
2637,2015-04-10,38.61,39.63,38.61,38.61
2636,2015-04-13,38.61,40.66,38.61,40.66
2635,2015-04-14,39.89,41.69,39.89,40.92
2634,2015-04-15,40.92,41.69,40.66,41.44
2633,2015-04-16,41.69,41.95,40.92,40.92
2632,2015-04-17,40.66,41.44,40.66,41.18
2631,2015-04-20,41.44,41.69,41.18,41.44
2630,2015-04-21,41.69,41.69,41.18,41.44
2629,2015-04-22,41.69,41.69,41.44,41.69
2628,2015-04-23,41.44,41.95,41.44,41.69
2627,2015-04-24,41.69,41.95,41.69,41.95
2626,2015-04-27,42.47,42.72,41.69,41.69
2625,2015-05-04,42.21,42.21,39.63,41.18
2624,2015-05-05,41.44,41.44,40.41,41.18
2623,2015-05-06,41.18,41.69,40.15,41.44
2622,2015-05-07,41.69,42.21,41.44,42.21
2621,2015-05-08,41.95,42.47,41.69,42.47
2620,2015-05-11,42.47,43.24,42.47,42.47
2619,2015-05-12,42.21,42.21,40.66,40.66
2618,2015-05-13,40.66,41.18,40.66,41.18
2617,2015-05-14,41.18,41.18,40.66,41.18
2616,2015-05-15,41.18,41.44,40.15,40.15
2615,2015-05-18,40.92,40.92,39.89,39.89
2614,2015-05-19,39.89,40.66,39.63,39.63
2613,2015-05-20,40.15,40.66,40.15,40.41
2612,2015-05-21,40.41,41.18,40.15,41.18
2611,2015-05-22,41.18,41.95,40.41,41.95
2610,2015-05-25,42.21,42.72,41.44,42.47
2609,2015-05-26,42.47,43.5,42.47,42.98
2608,2015-05-27,42.98,43.5,42.72,43.24
2607,2015-05-28,43.24,43.5,42.98,43.5
2606,2015-05-29,43.5,43.5,43.24,43.24
2605,2015-06-01,43.24,43.5,42.98,43.24
2604,2015-06-02,43.24,43.24,42.98,42.98
2603,2015-06-03,42.21,42.98,41.18,41.44
2602,2015-06-04,41.44,41.69,40.66,40.92
2601,2015-06-05,41.69,41.69,41.18,41.44
2600,2015-06-08,41.18,41.69,40.92,40.92
2599,2015-06-09,40.92,41.44,40.66,40.66
2598,2015-06-10,41.44,41.44,40.66,41.18
2597,2015-06-11,41.18,41.44,40.92,41.44
2596,2015-06-12,41.44,41.69,40.92,40.92
2595,2015-06-15,40.92,40.92,40.41,40.66
2594,2015-06-16,40.92,40.92,40.41,40.41
2593,2015-06-17,40.15,40.41,40.15,40.15
2592,2015-06-18,40.15,40.15,39.63,39.89
2591,2015-06-19,40.15,40.41,39.12,39.12
2590,2015-06-22,40.15,41.18,40.15,41.18
2589,2015-06-23,41.18,41.44,40.92,41.18
2588,2015-06-24,40.66,40.92,40.41,40.66
2587,2015-06-25,40.41,40.66,39.38,40.66
2586,2015-06-26,39.89,40.66,39.89,40.66
2585,2015-06-29,40.15,41.18,40.15,41.18
2584,2015-06-30,40.92,41.69,40.92,41.69
2583,2015-07-01,41.18,42.21,41.18,41.95
2582,2015-07-02,41.69,42.98,41.69,42.98
2581,2015-07-03,42.98,43.24,42.98,43.24
2580,2015-07-06,43.24,44.78,42.72,44.78
2579,2015-07-07,45.04,45.55,44.27,45.55
2578,2015-07-08,45.3,45.55,44.27,44.52
2577,2015-07-09,43.75,44.78,43.5,44.52
2576,2015-07-10,45.04,45.04,44.52,44.78
2575,2015-07-13,44.78,45.04,44.27,45.04
2574,2015-07-14,45.04,47.36,45.04,47.36
2573,2015-07-15,47.87,49.67,47.87,49.67
2572,2015-07-16,48.9,49.41,47.87,47.87
2571,2015-07-17,47.61,48.64,47.1,48.64
2570,2015-07-20,47.1,48.39,47.1,48.39
2569,2015-07-21,48.39,48.39,46.07,46.33
2568,2015-07-22,46.58,48.13,46.58,47.87
2567,2015-07-23,47.36,47.61,47.1,47.61
2566,2015-07-24,47.87,48.13,47.1,48.13
2565,2015-07-27,48.39,48.39,47.61,47.61
2564,2015-07-28,47.36,48.13,47.1,47.36
2563,2015-07-29,47.36,47.61,46.33,46.33
2562,2015-07-30,46.33,47.36,46.33,47.36
2561,2015-07-31,47.36,47.61,46.33,46.33
2560,2015-08-03,46.33,47.36,45.81,45.81
2559,2015-08-04,45.81,45.81,43.24,43.5
2558,2015-08-05,44.27,44.78,44.01,44.01
2557,2015-08-06,44.01,44.78,43.24,43.5
2556,2015-08-07,44.01,44.52,43.5,44.52
2555,2015-08-10,43.5,44.52,43.5,44.27
2554,2015-08-11,44.27,45.3,44.01,44.78
2553,2015-08-12,44.78,44.78,43.75,44.78
2552,2015-08-13,44.27,44.78,44.01,44.01
2551,2015-08-14,43.75,44.27,43.75,44.27
2550,2015-08-17,44.27,45.55,44.27,45.55
2549,2015-08-18,45.81,46.33,45.3,45.3
2548,2015-08-19,45.04,45.04,43.75,43.75
2547,2015-08-20,43.75,44.01,42.98,43.24
2546,2015-08-21,42.47,43.24,41.44,42.72
2545,2015-08-24,42.47,42.47,39.89,40.66
2544,2015-08-25,39.38,40.66,38.61,40.66
2543,2015-08-26,40.66,40.66,39.89,40.15
2542,2015-08-27,40.66,40.92,40.41,40.66
2541,2015-08-28,40.66,42.72,40.66,42.72
2540,2015-08-31,42.72,42.72,41.18,41.44
2539,2015-09-01,40.92,41.44,40.41,40.41
2538,2015-09-03,40.41,40.41,39.63,39.89
2537,2015-09-04,40.15,41.69,39.38,41.69
2536,2015-09-07,41.69,41.69,39.89,40.15
2535,2015-09-08,40.41,40.41,39.63,40.41
2534,2015-09-09,40.66,40.66,39.89,40.41
2533,2015-09-10,39.89,40.66,39.89,39.89
2532,2015-09-11,40.15,40.15,38.86,39.12
2531,2015-09-14,38.86,39.12,37.58,38.61
2530,2015-09-15,38.35,38.35,37.06,37.83
2529,2015-09-16,38.09,39.12,38.09,39.12
2528,2015-09-17,39.38,39.63,39.12,39.12
2527,2015-09-18,39.38,39.38,38.09,38.09
2526,2015-09-21,38.35,38.86,37.83,38.61
2525,2015-09-22,38.61,38.61,38.09,38.35
2524,2015-09-23,38.35,38.35,37.58,38.09
2523,2015-09-24,38.35,38.86,37.83,38.09
2522,2015-09-25,38.09,38.09,37.58,38.09
2521,2015-09-28,38.09,38.35,37.32,38.09
2520,2015-09-29,37.58,37.83,37.32,37.83
2519,2015-09-30,37.58,38.09,37.58,38.09
2518,2015-10-01,37.83,39.12,37.83,38.35
2517,2015-10-02,38.35,38.61,38.09,38.35
2516,2015-10-05,38.09,38.35,37.58,38.09
2515,2015-10-06,38.09,38.35,37.83,38.09
2514,2015-10-07,38.35,38.86,38.09,38.09
2513,2015-10-08,37.83,38.35,37.83,38.09
2512,2015-10-09,38.35,38.61,38.09,38.09
2511,2015-10-12,38.09,38.35,37.83,38.09
2510,2015-10-13,38.09,38.35,37.83,38.09
2509,2015-10-14,38.09,38.09,37.83,38.09
2508,2015-10-15,38.35,38.35,37.83,38.09
2507,2015-10-16,38.09,39.38,37.83,38.35
2506,2015-10-19,38.61,38.86,38.35,38.35
2505,2015-10-20,38.61,38.61,37.58,38.09
2504,2015-10-21,37.83,38.09,37.58,38.09
2503,2015-10-22,37.83,38.35,37.83,38.09
2502,2015-10-23,38.09,38.35,37.83,38.09
2501,2015-10-26,38.09,38.09,37.58,37.83
2500,2015-10-27,37.58,38.09,37.32,38.09
2499,2015-10-28,37.83,38.09,37.32,38.09
2498,2015-10-29,37.83,38.35,37.58,37.83
2497,2015-10-30,37.58,38.09,37.58,38.09
2496,2015-11-02,38.09,38.09,37.58,37.83
2495,2015-11-03,37.58,37.83,37.58,37.83
2494,2015-11-04,38.09,39.38,37.83,38.35
2493,2015-11-05,38.61,38.61,38.09,38.09
2492,2015-11-06,38.09,38.35,37.83,38.35
2491,2015-11-09,38.09,38.35,37.58,38.09
2490,2015-11-10,38.09,38.09,37.32,37.83
2489,2015-11-11,37.58,37.83,37.32,37.83
2488,2015-11-12,37.58,37.83,37.06,37.83
2487,2015-11-13,37.32,37.83,37.06,37.83
2486,2015-11-16,37.58,37.83,36.8,37.83
2485,2015-11-17,37.58,37.83,37.06,37.83
2484,2015-11-18,37.32,37.83,37.32,37.58
2483,2015-11-19,37.32,37.58,37.32,37.58
2482,2015-11-20,37.32,37.58,37.32,37.32
2481,2015-11-23,37.06,37.58,36.8,36.8
2480,2015-11-24,36.8,37.06,35.77,36.29
2479,2015-11-25,36.29,36.29,35.77,36.29
2478,2015-11-26,36.03,36.55,35.77,36.03
2477,2015-11-27,35.77,36.03,35.52,35.52
2476,2015-11-30,35.52,36.03,35.26,36.03
2475,2015-12-01,35.77,36.29,35.52,36.29
2474,2015-12-02,36.03,36.55,35.77,36.55
2473,2015-12-03,36.55,36.8,36.29,36.8
2472,2015-12-04,36.8,37.06,36.55,37.06
2471,2015-12-07,37.06,37.06,36.29,37.06
2470,2015-12-08,36.55,37.06,36.55,37.06
2469,2015-12-09,36.8,37.06,36.55,36.8
2468,2015-12-10,36.55,36.8,36.03,36.8
2467,2015-12-11,36.8,36.8,36.29,36.55
2466,2015-12-14,36.29,36.55,35.77,35.77
2465,2015-12-15,35.52,35.77,35.26,35.77
2464,2015-12-16,35.77,35.77,35.26,35.52
2463,2015-12-17,35.52,35.52,34.74,35.0
2462,2015-12-18,34.74,37.06,34.49,36.55
2461,2015-12-21,36.29,36.29,35.0,35.0
2460,2015-12-22,35.0,35.77,34.74,35.0
2459,2015-12-23,34.49,35.52,34.49,35.52
2458,2015-12-24,35.52,36.29,35.26,36.29
2457,2015-12-25,37.06,38.61,36.8,38.61
2456,2015-12-28,40.92,41.18,40.41,41.18
2455,2015-12-29,41.18,41.18,40.15,40.15
2454,2015-12-30,39.89,40.41,39.63,39.63
2453,2015-12-31,39.38,39.89,38.09,39.89
2452,2016-01-04,39.38,39.89,38.86,38.86
2451,2016-01-05,38.86,38.86,37.58,38.61
2450,2016-01-06,37.83,39.12,37.83,39.12
2449,2016-01-07,38.35,40.41,38.09,39.89
2448,2016-01-08,39.12,40.15,39.12,39.38
2447,2016-01-11,39.12,39.38,38.61,39.12
2446,2016-01-12,39.63,39.63,38.86,39.38
2445,2016-01-13,39.38,39.38,38.61,38.61
2444,2016-01-14,38.09,38.86,37.83,38.09
2443,2016-01-15,38.61,38.61,36.03,36.03
2442,2016-01-18,35.26,36.03,34.74,36.03
2441,2016-01-19,36.03,36.55,35.26,36.55
2440,2016-01-20,36.03,37.06,35.77,36.8
2439,2016-01-21,36.8,37.83,36.8,36.8
2438,2016-01-22,36.8,36.8,35.77,36.55
2437,2016-01-25,37.32,38.09,36.8,38.09
2436,2016-01-26,37.06,38.61,37.06,37.83
2435,2016-01-27,37.32,38.35,37.32,37.83
2434,2016-01-28,38.09,38.09,37.06,37.58
2433,2016-01-29,37.32,37.58,37.06,37.32
2432,2016-02-01,37.32,37.32,36.8,36.8
2431,2016-02-02,37.06,38.35,36.29,36.29
2430,2016-02-03,37.06,37.32,36.29,37.06
2429,2016-02-04,37.06,38.09,37.06,37.83
2428,2016-02-05,37.83,38.09,37.32,37.83
2427,2016-02-15,36.8,37.83,36.55,37.06
2426,2016-02-16,36.8,37.32,36.8,37.06
2425,2016-02-17,37.32,37.32,36.8,37.06
2424,2016-02-18,36.8,37.58,36.8,37.06
2423,2016-02-19,37.32,37.32,36.8,36.8
2422,2016-02-22,36.8,38.86,36.8,38.35
2421,2016-02-23,38.86,38.86,37.83,38.09
2420,2016-02-24,38.09,38.09,37.83,37.83
2419,2016-02-25,38.35,38.35,37.06,37.06
2418,2016-02-26,37.58,38.09,36.8,38.09
2417,2016-02-29,37.58,38.09,37.06,37.06
2416,2016-03-01,37.06,37.32,37.06,37.06
2415,2016-03-02,37.06,37.83,37.06,37.58
2414,2016-03-03,37.83,38.86,37.83,38.35
2413,2016-03-04,38.86,38.86,38.09,38.35
2412,2016-03-07,38.35,39.63,38.09,38.35
2411,2016-03-08,38.61,38.86,38.35,38.61
2410,2016-03-09,38.86,39.12,38.86,38.86
2409,2016-03-10,38.86,38.86,38.09,38.35
2408,2016-03-11,38.09,38.61,37.83,37.83
2407,2016-03-14,38.09,38.61,38.09,38.61
2406,2016-03-15,38.61,38.61,37.58,37.83
2405,2016-03-16,38.09,38.09,37.58,37.58
2404,2016-03-17,37.83,38.09,37.06,37.32
2403,2016-03-18,37.32,37.32,36.8,36.8
2402,2016-03-21,37.06,37.32,36.03,36.03
2401,2016-03-22,36.29,36.55,35.52,36.03
2400,2016-03-23,36.03,37.32,36.03,37.06
2399,2016-03-24,37.06,39.38,37.06,37.83
2398,2016-03-25,38.09,38.35,37.06,38.09
2397,2016-03-28,38.09,38.35,37.83,38.35
2396,2016-03-29,38.09,38.09,37.32,37.32
2395,2016-03-30,37.06,37.83,37.06,37.32
2394,2016-03-31,37.32,37.32,36.8,36.8
2393,2016-04-01,36.55,37.06,36.29,36.55
2392,2016-04-04,36.55,36.8,35.77,36.03
2391,2016-04-05,36.03,36.55,35.77,36.29
2390,2016-04-06,36.8,36.8,35.77,36.55
2389,2016-04-07,36.8,36.8,36.03,36.55
2388,2016-04-08,36.03,36.29,35.52,35.77
2387,2016-04-11,35.77,36.55,35.77,36.55
2386,2016-04-12,36.55,36.55,36.03,36.03
2385,2016-04-13,36.29,36.29,35.52,35.52
2384,2016-04-14,35.77,36.29,35.77,35.77
2383,2016-04-15,36.03,36.03,35.52,35.77
2382,2016-04-19,35.77,36.03,35.0,35.52
2381,2016-04-20,35.52,35.52,34.74,34.74
2380,2016-04-21,34.74,36.03,34.74,36.03
2379,2016-04-22,35.77,36.03,35.52,35.52
2378,2016-04-25,35.77,36.03,34.74,35.26
2377,2016-04-26,35.0,36.03,35.0,35.52
2376,2016-04-27,35.52,36.03,35.26,35.77
2375,2016-04-28,35.77,36.03,35.52,35.52
2374,2016-04-29,35.52,36.8,35.52,36.03
2373,2016-05-04,36.55,36.8,36.03,36.55
2372,2016-05-05,36.55,36.8,36.29,36.55
2371,2016-05-06,36.55,38.09,36.55,37.32
2370,2016-05-09,37.32,38.09,36.8,36.8
2369,2016-05-10,36.55,37.06,36.03,36.8
2368,2016-05-11,37.06,37.06,36.29,37.06
2367,2016-05-12,37.06,37.32,36.8,37.06
2366,2016-05-13,37.06,37.06,36.29,36.29
2365,2016-05-16,36.55,36.8,36.29,36.55
2364,2016-05-17,36.8,37.06,36.55,36.55
2363,2016-05-18,36.8,37.06,36.55,36.8
2362,2016-05-19,36.8,37.06,36.03,36.03
2361,2016-05-20,36.03,36.03,35.52,35.77
2360,2016-05-23,35.77,36.03,35.52,35.77
2359,2016-05-24,36.03,36.55,35.77,36.55
2358,2016-05-25,36.29,36.55,36.03,36.03
2357,2016-05-26,35.77,36.03,35.52,35.52
2356,2016-05-27,36.03,36.03,35.26,35.52
2355,2016-05-30,35.52,35.52,35.26,35.52
2354,2016-05-31,35.52,35.77,35.26,35.77
2353,2016-06-01,35.77,35.77,35.26,35.52
2352,2016-06-02,35.52,35.77,35.26,35.52
2351,2016-06-03,35.52,35.77,35.52,35.52
2350,2016-06-06,35.52,35.52,35.26,35.26
2349,2016-06-07,35.26,35.52,35.0,35.52
2348,2016-06-08,35.52,36.03,35.26,36.03
2347,2016-06-09,35.77,36.03,35.52,35.77
2346,2016-06-10,35.77,36.03,35.52,36.03
2345,2016-06-13,36.03,36.03,35.52,35.52
2344,2016-06-14,35.52,35.77,35.26,35.52
2343,2016-06-15,35.52,35.52,35.0,35.26
2342,2016-06-16,35.26,35.77,35.26,35.26
2341,2016-06-17,35.52,36.55,35.0,36.55
2340,2016-06-20,35.52,36.03,35.26,35.77
2339,2016-06-21,35.77,36.03,35.52,35.52
2338,2016-06-22,35.52,36.03,35.52,35.52
2337,2016-06-23,35.52,35.52,35.26,35.52
2336,2016-06-24,35.52,35.52,33.97,34.74
2335,2016-06-27,34.49,34.74,33.97,34.49
2334,2016-06-28,34.49,34.49,33.97,34.49
2333,2016-06-29,34.49,34.74,33.97,34.49
2332,2016-06-30,34.49,34.49,34.23,34.23
2331,2016-07-01,34.23,36.03,34.23,34.49
2330,2016-07-04,34.49,34.74,34.23,34.49
2329,2016-07-05,34.74,35.0,34.49,34.74
2328,2016-07-06,34.49,34.49,34.23,34.49
2327,2016-07-07,34.49,34.74,34.23,34.49
2326,2016-07-08,34.23,34.49,33.97,34.49
2325,2016-07-11,33.97,34.49,33.97,34.49
2324,2016-07-12,34.49,34.49,33.97,34.49
2323,2016-07-13,34.23,34.74,34.23,34.49
2322,2016-07-14,34.49,35.77,34.23,34.74
2321,2016-07-15,35.0,35.0,34.49,34.74
2320,2016-07-18,35.0,35.52,35.0,35.52
2319,2016-07-19,35.52,35.52,34.74,34.74
2318,2016-07-20,34.74,35.0,34.49,34.49
2317,2016-07-21,34.74,35.0,34.49,34.74
2316,2016-07-22,34.74,34.74,33.97,34.49
2315,2016-07-25,34.23,34.74,33.97,34.49
2314,2016-07-26,34.74,34.74,33.46,34.23
2313,2016-07-27,33.97,34.23,33.2,33.97
2312,2016-07-28,33.72,33.97,31.91,33.97
2311,2016-07-29,33.2,33.97,32.94,32.94
2310,2016-08-01,33.46,33.46,32.69,32.94
2309,2016-08-02,32.69,32.69,31.66,31.66
2308,2016-08-03,31.4,31.91,31.14,31.66
2307,2016-08-04,31.14,31.91,31.14,31.91
2306,2016-08-05,31.66,31.66,30.37,31.66
2305,2016-08-08,31.4,31.4,30.37,30.63
2304,2016-08-09,30.37,31.14,30.37,31.14
2303,2016-08-10,30.88,31.14,30.88,31.14
2302,2016-08-11,31.14,31.91,30.88,31.4
2301,2016-08-12,31.4,31.66,30.63,31.14
2300,2016-08-15,30.88,30.88,30.88,30.88
2299,2016-08-16,30.88,30.88,30.37,30.63
2298,2016-08-17,30.88,30.88,30.11,30.63
2297,2016-08-18,30.88,32.69,30.37,32.69
2296,2016-08-19,34.49,34.74,34.23,34.74
2295,2016-08-22,34.74,34.74,33.46,33.46
2294,2016-08-23,32.94,33.46,32.17,32.43
2293,2016-08-24,32.43,32.69,31.66,31.66
2292,2016-08-25,32.17,32.17,31.14,31.66
2291,2016-08-26,32.17,33.2,32.17,32.43
2290,2016-08-29,33.2,34.49,32.94,34.49
2289,2016-08-30,34.23,36.55,33.97,36.03
2288,2016-08-31,36.03,36.29,35.0,35.52
2287,2016-09-01,35.0,35.26,34.23,34.49
2286,2016-09-05,35.0,35.52,34.23,34.49
2285,2016-09-06,35.0,35.26,34.49,35.0
2284,2016-09-07,35.0,35.26,34.74,35.0
2283,2016-09-08,35.0,35.26,34.49,35.26
2282,2016-09-09,35.26,35.52,35.0,35.52
2281,2016-09-12,35.0,35.52,34.49,35.52
2280,2016-09-13,35.05,35.47,34.8,35.26
2279,2016-09-14,35.0,35.0,34.38,34.38
2278,2016-09-15,33.97,34.02,33.3,33.46
2277,2016-09-16,32.99,33.46,32.99,33.46
2276,2016-09-19,34.49,35.21,34.13,35.0
2275,2016-09-20,35.11,36.13,34.85,36.13
2274,2016-09-21,36.03,36.34,35.62,36.29
2273,2016-09-22,36.13,36.65,36.03,36.55
2272,2016-09-23,36.24,36.55,35.57,36.55
2271,2016-09-26,35.83,36.49,35.83,36.49
2270,2016-09-27,36.03,36.34,35.83,36.34
