,Date,Open,High,Low,Close
2700,2015-01-05,9.82,9.82,9.55,9.64
2699,2015-01-06,9.64,9.64,9.46,9.64
2698,2015-01-07,9.55,9.64,9.46,9.46
2697,2015-01-08,9.55,9.64,9.46,9.55
2696,2015-01-09,9.46,9.73,9.46,9.73
2695,2015-01-12,9.64,9.9,9.64,9.82
2694,2015-01-13,9.82,10.26,9.82,10.26
2693,2015-01-14,10.17,10.62,10.17,10.62
2692,2015-01-15,10.71,10.8,10.62,10.71
2691,2015-01-16,10.71,10.71,10.35,10.35
2690,2015-01-19,10.53,10.53,10.26,10.53
2689,2015-01-20,10.53,10.8,10.53,10.71
2688,2015-01-21,10.71,10.8,10.62,10.71
2687,2015-01-22,10.71,10.71,10.62,10.62
2686,2015-01-23,10.53,10.71,10.53,10.71
2685,2015-01-26,10.71,10.71,10.53,10.53
2684,2015-01-27,10.53,10.71,10.53,10.62
2683,2015-01-28,10.62,10.89,10.53,10.89
2682,2015-01-29,10.89,11.15,10.8,11.15
2681,2015-01-30,11.15,11.24,10.98,11.06
2680,2015-02-02,11.06,11.06,10.71,10.71
2679,2015-02-03,10.62,10.8,10.62,10.71
2678,2015-02-04,10.62,11.06,10.62,10.98
2677,2015-02-05,10.98,11.24,10.98,11.24
2676,2015-02-06,11.24,11.42,11.24,11.33
2675,2015-02-09,11.42,11.6,11.42,11.51
2674,2015-02-10,11.42,11.6,11.42,11.42
2673,2015-02-11,11.42,11.6,11.33,11.6
2672,2015-02-12,11.51,11.6,11.51,11.6
2671,2015-02-13,11.6,11.6,11.42,11.6
2670,2015-02-24,11.78,12.4,11.69,12.4
2669,2015-02-25,12.49,13.21,12.49,12.58
2668,2015-02-26,12.58,12.76,12.49,12.67
2667,2015-02-27,12.76,12.76,11.96,11.96
2666,2015-03-02,11.6,11.69,11.15,11.42
2665,2015-03-03,11.24,11.69,11.24,11.42
2664,2015-03-04,11.51,11.6,11.33,11.51
2663,2015-03-05,11.51,11.51,11.15,11.24
2662,2015-03-06,11.15,11.15,10.89,10.98
2661,2015-03-09,10.98,11.6,10.8,10.98
2660,2015-03-10,10.8,10.98,10.44,10.44
2659,2015-03-11,10.44,10.44,9.82,10.17
2658,2015-03-12,10.08,10.71,10.08,10.62
2657,2015-03-13,11.06,11.24,10.62,10.62
2656,2015-03-16,10.71,10.71,10.44,10.44
2655,2015-03-17,10.62,10.71,10.44,10.53
2654,2015-03-18,10.53,10.62,10.44,10.53
2653,2015-03-19,10.53,10.53,10.35,10.44
2652,2015-03-20,10.62,10.62,10.35,10.44
2651,2015-03-23,10.44,10.44,10.17,10.26
2650,2015-03-24,10.44,10.44,9.99,10.17
2649,2015-03-25,10.35,10.35,9.99,10.08
2648,2015-03-26,10.08,10.08,9.82,9.82
2647,2015-03-27,9.82,9.82,9.55,9.55
2646,2015-03-30,9.55,9.82,9.55,9.55
2645,2015-03-31,9.64,9.73,9.55,9.55
2644,2015-04-01,9.73,9.73,9.46,9.64
2643,2015-04-02,9.55,9.64,9.55,9.55
2642,2015-04-03,9.55,9.64,9.46,9.55
2641,2015-04-06,9.55,9.55,9.37,9.37
2640,2015-04-07,9.37,9.73,9.37,9.64
2639,2015-04-08,9.55,9.82,9.55,9.64
2638,2015-04-09,9.64,9.73,9.55,9.55
2637,2015-04-10,9.82,9.82,9.55,9.55
2636,2015-04-13,9.64,9.64,9.55,9.64
2635,2015-04-14,9.46,9.64,9.46,9.64
2634,2015-04-15,9.55,9.55,9.55,9.55
2633,2015-04-16,9.64,9.64,9.46,9.55
2632,2015-04-17,9.55,9.55,9.46,9.55
2631,2015-04-20,9.55,9.55,9.37,9.37
2630,2015-04-21,9.37,9.46,9.37,9.37
2629,2015-04-22,9.37,9.37,9.28,9.28
2628,2015-04-23,9.28,9.46,9.28,9.28
2627,2015-04-24,9.46,9.9,9.37,9.73
2626,2015-04-27,9.99,10.26,9.73,9.73
2625,2015-05-04,9.82,9.82,9.55,9.64
2624,2015-05-05,9.46,9.55,9.28,9.55
2623,2015-05-06,9.55,9.55,9.37,9.37
2622,2015-05-07,9.37,9.55,9.28,9.46
2621,2015-05-08,9.46,9.55,9.37,9.55
2620,2015-05-11,9.55,9.64,9.37,9.37
2619,2015-05-12,9.28,9.28,8.74,9.1
2618,2015-05-13,9.15,9.59,8.92,9.03
2617,2015-05-14,9.03,9.15,8.42,8.42
2616,2015-05-15,8.14,8.14,7.86,7.86
2615,2015-05-18,7.86,8.37,7.86,8.37
2614,2015-05-19,8.7,8.92,8.7,8.92
2613,2015-05-20,9.48,9.54,9.31,9.42
2612,2015-05-21,9.03,9.37,8.81,8.98
2611,2015-05-22,8.98,8.98,8.53,8.92
2610,2015-05-25,8.92,8.92,8.59,8.64
2609,2015-05-26,8.76,9.15,8.76,8.92
2608,2015-05-27,8.92,8.92,8.76,8.87
2607,2015-05-28,8.98,8.98,8.81,8.81
2606,2015-05-29,8.81,8.81,8.48,8.7
2605,2015-06-01,8.7,8.76,8.59,8.59
2604,2015-06-02,8.53,8.59,8.31,8.48
2603,2015-06-03,8.53,8.53,8.25,8.31
2602,2015-06-04,8.31,8.42,8.31,8.37
2601,2015-06-05,8.31,8.59,8.31,8.59
2600,2015-06-08,8.7,8.7,8.53,8.53
2599,2015-06-09,8.64,8.64,8.37,8.53
2598,2015-06-10,8.53,8.76,8.37,8.37
2597,2015-06-11,8.31,8.42,8.31,8.37
2596,2015-06-12,8.42,8.42,8.31,8.37
2595,2015-06-15,8.31,8.42,8.25,8.25
2594,2015-06-16,8.25,8.31,8.2,8.25
2593,2015-06-17,8.2,8.25,8.14,8.14
2592,2015-06-18,8.14,8.2,8.09,8.14
2591,2015-06-19,8.09,8.2,8.09,8.09
2590,2015-06-22,8.03,8.09,7.97,8.03
2589,2015-06-23,7.97,7.97,7.81,7.81
2588,2015-06-24,7.81,8.31,7.81,8.31
2587,2015-06-25,8.31,8.42,8.2,8.2
2586,2015-06-26,8.2,8.53,8.14,8.37
2585,2015-06-29,8.25,8.25,8.14,8.2
2584,2015-06-30,8.2,8.31,8.2,8.2
2583,2015-07-01,8.2,8.25,8.14,8.2
2582,2015-07-02,8.25,8.25,8.2,8.2
2581,2015-07-03,8.2,8.37,8.2,8.25
2580,2015-07-06,8.25,8.31,8.25,8.25
2579,2015-07-07,8.31,8.37,8.25,8.25
2578,2015-07-08,8.25,8.31,8.2,8.31
2577,2015-07-09,8.25,8.31,8.2,8.31
2576,2015-07-10,8.2,8.31,8.2,8.31
2575,2015-07-13,8.31,8.31,8.14,8.14
2574,2015-07-14,8.14,8.2,8.14,8.2
2573,2015-07-15,8.2,8.2,8.03,8.14
2572,2015-07-16,8.2,8.2,8.14,8.2
2571,2015-07-17,8.2,8.2,8.09,8.14
2570,2015-07-20,8.03,8.14,8.03,8.14
2569,2015-07-21,8.03,8.03,7.92,7.97
2568,2015-07-22,7.97,8.03,7.92,7.92
2567,2015-07-23,7.92,7.97,7.86,7.92
2566,2015-07-24,8.09,8.42,7.97,8.37
2565,2015-07-27,8.37,8.37,8.14,8.25
2564,2015-07-28,8.37,8.37,8.2,8.2
2563,2015-07-29,8.14,8.2,8.09,8.09
2562,2015-07-30,8.09,8.14,8.03,8.09
2561,2015-07-31,8.03,8.14,7.97,7.97
2560,2015-08-03,8.09,8.09,7.92,7.97
2559,2015-08-04,8.03,8.03,7.92,7.92
2558,2015-08-05,7.92,8.03,7.92,8.03
2557,2015-08-06,7.97,7.97,7.92,7.97
2556,2015-08-07,7.92,7.97,7.92,7.92
2555,2015-08-10,7.97,8.09,7.92,8.03
2554,2015-08-11,8.03,8.03,7.97,8.03
2553,2015-08-12,8.03,8.03,7.86,7.92
2552,2015-08-13,7.86,7.97,7.86,7.92
2551,2015-08-14,7.92,7.97,7.86,7.92
2550,2015-08-17,7.92,7.97,7.81,7.86
2549,2015-08-18,7.92,7.92,7.75,7.81
2548,2015-08-19,7.81,7.81,7.53,7.64
2547,2015-08-20,7.58,7.58,7.31,7.31
2546,2015-08-21,7.31,7.31,6.92,7.19
2545,2015-08-24,6.97,6.97,6.69,6.75
2544,2015-08-25,6.75,7.08,6.58,6.97
2543,2015-08-26,6.97,7.08,6.97,6.97
2542,2015-08-27,7.19,7.25,7.03,7.08
2541,2015-08-28,7.08,7.31,7.08,7.19
2540,2015-08-31,7.42,7.58,7.25,7.36
2539,2015-09-01,7.47,7.47,7.19,7.19
2538,2015-09-03,7.08,7.08,6.97,7.08
