,Date,Open,High,Low,Close
1253,2020-10-09,6.67,6.67,4.77,5.65
1252,2020-10-12,5.93,5.93,5.54,5.58
1251,2020-10-13,5.54,5.65,5.51,5.65
1250,2020-10-14,4.73,5.33,4.73,5.29
1249,2020-10-15,4.84,5.29,4.59,5.29
1248,2020-10-16,5.22,5.4,5.12,5.37
1247,2020-10-19,5.26,5.33,5.22,5.29
1246,2020-10-20,5.29,5.29,5.22,5.22
1245,2020-10-21,5.22,5.65,5.22,5.65
1244,2020-10-22,5.47,5.61,5.4,5.51
1243,2020-10-23,5.51,5.51,5.37,5.37
1242,2020-10-26,5.37,5.37,5.29,5.37
1241,2020-10-27,5.33,5.51,5.29,5.29
1240,2020-10-28,5.26,5.33,5.12,5.19
1239,2020-10-29,5.26,5.26,5.19,5.22
1238,2020-10-30,5.26,5.26,4.62,5.26
1237,2020-11-02,5.26,5.44,5.26,5.29
1236,2020-11-03,5.29,5.29,5.05,5.29
1235,2020-11-04,5.26,5.29,5.22,5.26
1234,2020-11-05,5.26,5.26,5.22,5.22
1233,2020-11-06,5.26,5.26,5.12,5.22
1232,2020-11-09,5.12,5.19,5.12,5.15
1231,2020-11-10,5.22,5.22,5.15,5.15
1230,2020-11-11,5.12,5.19,5.12,5.15
1229,2020-11-12,5.12,5.19,4.98,5.08
1228,2020-11-13,5.12,5.19,5.01,5.05
1227,2020-11-16,5.05,5.05,4.91,4.94
1226,2020-11-17,4.94,4.98,4.91,4.94
1225,2020-11-18,4.94,5.19,4.94,4.94
1224,2020-11-19,5.01,5.01,4.91,4.94
1223,2020-11-20,4.91,4.98,4.84,4.94
1222,2020-11-23,4.94,4.94,4.91,4.94
1221,2020-11-24,4.94,4.94,4.91,4.94
1220,2020-11-25,4.91,4.91,4.87,4.91
1219,2020-11-26,4.91,4.91,4.87,4.91
1218,2020-11-27,4.8,4.91,4.59,4.91
1217,2020-11-30,4.59,4.91,4.59,4.87
1216,2020-12-01,4.87,4.87,4.73,4.84
1215,2020-12-02,4.84,4.87,4.73,4.8
1214,2020-12-03,4.84,4.84,4.8,4.8
1213,2020-12-04,4.8,4.84,4.77,4.8
1212,2020-12-07,4.77,4.91,4.69,4.91
1211,2020-12-08,4.87,5.05,4.8,5.01
1210,2020-12-09,5.12,5.44,5.12,5.4
1209,2020-12-10,5.4,5.44,5.29,5.29
1208,2020-12-11,5.26,5.26,5.08,5.19
1207,2020-12-14,5.22,5.26,5.15,5.19
