,Date,Open,High,Low,Close
2700,2015-01-05,8.21,8.3,8.21,8.3
2699,2015-01-06,8.07,8.07,8.07,8.07
2698,2015-01-07,8.07,8.16,8.07,8.07
2697,2015-01-08,8.07,8.07,8.07,8.07
2696,2015-01-09,8.07,8.07,8.07,8.07
2695,2015-01-12,8.07,8.12,7.98,7.98
2694,2015-01-13,7.98,8.16,7.98,8.07
2693,2015-01-14,8.16,8.21,7.98,8.07
2692,2015-01-15,8.12,8.12,7.98,7.98
2691,2015-01-16,7.89,7.89,7.89,7.89
2690,2015-01-19,7.89,8.16,7.89,8.07
2689,2015-01-20,8.16,8.16,7.84,7.84
2688,2015-01-21,7.89,7.89,7.89,7.89
2687,2015-01-22,7.89,7.89,7.89,7.89
2686,2015-01-23,7.93,7.93,7.93,7.93
2685,2015-01-26,7.98,7.98,7.89,7.93
2684,2015-01-27,8.16,8.16,7.93,7.93
2683,2015-01-28,7.93,7.93,7.93,7.93
2682,2015-01-29,8.12,8.16,8.12,8.16
2681,2015-01-30,8.16,8.16,7.93,8.16
2680,2015-02-02,8.16,8.16,8.16,8.16
2679,2015-02-03,7.71,7.98,7.66,7.89
2678,2015-02-04,7.71,8.21,7.71,8.12
2677,2015-02-05,8.12,8.25,8.12,8.21
2676,2015-02-06,8.12,8.25,8.12,8.21
2675,2015-02-09,8.21,8.3,8.16,8.16
2674,2015-02-10,8.16,8.16,8.16,8.16
2673,2015-02-11,8.16,8.21,8.16,8.21
2672,2015-02-12,7.98,8.21,7.98,8.21
2671,2015-02-13,8.16,8.25,8.16,8.25
2670,2015-02-24,8.16,8.21,8.16,8.21
2669,2015-02-25,8.07,8.21,8.07,8.21
2668,2015-02-26,8.16,8.21,8.16,8.21
2667,2015-02-27,8.07,8.21,8.07,8.21
2666,2015-03-02,8.03,8.12,7.93,8.12
2665,2015-03-03,8.12,8.12,8.07,8.12
2664,2015-03-04,8.03,8.03,7.98,8.03
2663,2015-03-05,7.98,8.16,7.89,7.98
2662,2015-03-06,7.98,8.21,7.93,8.07
2661,2015-03-09,8.03,8.21,8.03,8.21
2660,2015-03-10,8.21,8.21,8.21,8.21
2659,2015-03-11,7.89,8.16,7.89,8.16
2658,2015-03-12,8.07,8.16,8.07,8.16
2657,2015-03-13,7.93,8.16,7.93,8.12
2656,2015-03-16,7.98,8.12,7.89,8.12
2655,2015-03-17,8.12,8.12,8.03,8.12
2654,2015-03-18,7.98,8.12,7.93,8.12
2653,2015-03-19,8.12,8.12,8.12,8.12
2652,2015-03-20,8.12,8.12,8.07,8.12
2651,2015-03-23,8.03,8.12,7.98,8.12
2650,2015-03-24,8.12,8.12,7.98,8.07
2649,2015-03-25,8.07,8.12,8.07,8.07
2648,2015-03-26,8.03,8.07,8.03,8.07
2647,2015-03-27,8.07,8.16,8.07,8.16
2646,2015-03-30,8.07,8.16,8.07,8.16
2645,2015-03-31,8.12,8.16,8.07,8.16
2644,2015-04-01,8.07,8.16,8.03,8.12
2643,2015-04-02,8.03,8.12,8.03,8.12
2642,2015-04-03,8.12,8.16,8.03,8.16
2641,2015-04-06,8.16,8.25,8.16,8.25
2640,2015-04-07,8.21,8.25,8.21,8.21
2639,2015-04-08,8.21,8.53,8.21,8.48
2638,2015-04-09,8.57,8.85,8.53,8.85
2637,2015-04-10,8.89,9.21,8.89,9.17
2636,2015-04-13,9.12,9.12,8.8,8.8
2635,2015-04-14,8.71,8.85,8.71,8.75
2634,2015-04-15,8.8,8.89,8.75,8.89
2633,2015-04-16,8.71,9.17,8.66,9.12
2632,2015-04-17,9.17,9.26,9.07,9.12
2631,2015-04-20,9.12,9.26,9.12,9.17
2630,2015-04-21,9.17,9.21,9.12,9.17
2629,2015-04-22,9.12,9.12,8.89,8.89
2628,2015-04-23,8.89,9.03,8.89,8.89
2627,2015-04-24,8.89,9.07,8.85,9.07
2626,2015-04-27,9.07,9.07,8.66,8.98
2625,2015-05-04,8.94,8.94,8.48,8.53
2624,2015-05-05,8.25,8.66,8.25,8.53
2623,2015-05-06,8.53,8.62,8.53,8.53
2622,2015-05-07,8.89,9.12,8.85,9.12
2621,2015-05-08,9.12,9.17,9.12,9.12
2620,2015-05-11,8.75,9.12,8.75,9.12
2619,2015-05-12,8.89,9.03,8.71,9.03
2618,2015-05-13,9.03,9.03,8.8,8.8
2617,2015-05-14,8.8,8.8,8.48,8.8
2616,2015-05-15,8.89,8.89,8.66,8.89
2615,2015-05-18,8.75,8.94,8.75,8.75
2614,2015-05-19,8.75,8.85,8.75,8.85
2613,2015-05-20,8.66,8.89,8.62,8.89
2612,2015-05-21,8.85,8.85,8.66,8.71
2611,2015-05-22,8.83,9.02,8.83,8.93
2610,2015-05-25,9.02,9.02,9.02,9.02
2609,2015-05-26,8.97,8.97,8.97,8.97
2608,2015-05-27,8.88,8.88,8.79,8.83
