,Date,Open,High,Low,Close
2682,2015-01-05,44.28,44.28,44.28,44.28
2681,2015-01-06,44.28,44.28,44.28,44.28
2680,2015-01-07,44.28,44.28,44.28,44.28
2679,2015-01-08,44.28,44.28,44.28,44.28
2678,2015-01-09,44.28,44.56,41.99,44.56
2677,2015-01-12,42.28,42.28,42.28,42.28
2676,2015-01-13,42.28,42.28,42.28,42.28
2675,2015-01-14,42.56,43.42,42.56,43.42
2674,2015-01-15,44.28,44.28,44.28,44.28
2673,2015-01-16,44.28,44.28,43.42,44.28
2672,2015-01-19,44.28,44.28,44.28,44.28
2671,2015-01-20,44.28,44.28,44.28,44.28
2670,2015-01-21,44.28,44.28,44.28,44.28
2669,2015-01-22,44.28,44.56,44.28,44.28
2668,2015-01-23,44.56,44.56,43.42,43.42
2667,2015-01-26,44.56,44.56,44.28,44.28
2666,2015-01-27,44.56,44.56,43.99,43.99
2665,2015-01-28,43.99,43.99,43.42,43.99
2664,2015-01-29,44.56,44.56,43.99,44.56
2663,2015-01-30,44.56,44.56,44.56,44.56
2662,2015-02-02,44.56,44.56,44.56,44.56
2661,2015-02-03,43.42,44.56,42.85,44.56
2660,2015-02-04,44.56,44.56,44.56,44.56
2659,2015-02-05,43.99,43.99,43.99,43.99
2658,2015-02-06,43.99,43.99,43.99,43.99
2657,2015-02-09,44.28,44.28,44.28,44.28
2656,2015-02-10,44.28,44.56,44.28,44.56
2655,2015-02-11,44.56,44.56,44.56,44.56
2654,2015-02-12,44.56,44.56,44.56,44.56
2653,2015-02-13,44.56,44.56,44.56,44.56
2652,2015-02-24,44.56,44.56,44.56,44.56
2651,2015-02-25,44.56,44.56,44.56,44.56
2650,2015-02-26,44.56,44.56,44.56,44.56
2649,2015-02-27,43.99,43.99,43.99,43.99
2648,2015-03-02,45.42,45.42,44.28,44.56
2647,2015-03-03,45.13,45.13,44.56,45.13
2646,2015-03-04,44.85,47.42,44.85,47.42
2645,2015-03-05,44.85,46.85,44.85,46.85
2644,2015-03-06,46.85,46.85,46.85,46.85
2643,2015-03-09,44.56,44.56,44.56,44.56
2642,2015-03-10,45.71,45.71,45.71,45.71
2641,2015-03-11,46.28,46.28,45.71,45.71
2640,2015-03-12,48.28,48.28,45.71,45.71
2639,2015-03-13,47.99,47.99,45.71,46.85
2638,2015-03-16,46.85,46.85,46.28,46.28
2637,2015-03-17,45.71,45.71,45.71,45.71
2636,2015-03-18,45.71,45.71,45.71,45.71
2635,2015-03-19,45.42,45.42,45.42,45.42
2634,2015-03-20,47.42,47.42,45.71,45.71
2633,2015-03-23,45.71,48.56,45.71,48.56
2632,2015-03-24,45.99,45.99,45.71,45.71
2631,2015-03-25,45.71,47.42,45.71,45.71
2630,2015-03-26,45.71,45.71,45.71,45.71
2629,2015-03-27,45.71,45.71,45.71,45.71
2628,2015-03-30,45.71,45.71,45.71,45.71
2627,2015-03-31,45.71,45.71,43.71,43.71
2626,2015-04-01,45.42,45.42,45.42,45.42
2625,2015-04-02,45.42,45.42,45.42,45.42
2624,2015-04-03,45.13,45.13,45.13,45.13
2623,2015-04-06,45.13,48.28,44.85,48.28
2622,2015-04-07,46.56,50.85,46.28,50.85
2621,2015-04-08,49.13,50.85,47.42,49.13
2620,2015-04-09,47.99,50.85,45.71,45.71
2619,2015-04-10,48.56,48.56,48.56,48.56
2618,2015-04-13,47.42,51.42,47.42,51.42
2617,2015-04-14,47.99,50.28,47.99,47.99
2616,2015-04-15,47.99,48.85,47.99,47.99
2615,2015-04-16,49.13,49.7,47.99,48.85
2614,2015-04-17,50.28,50.28,48.56,49.13
2613,2015-04-20,48.85,48.85,48.85,48.85
2612,2015-04-21,47.99,51.7,47.99,51.7
2611,2015-04-22,51.42,51.42,48.56,51.42
2610,2015-04-23,53.13,53.13,50.85,51.42
2609,2015-04-24,51.42,52.56,51.42,51.42
2608,2015-04-27,51.42,51.42,51.13,51.13
2607,2015-05-04,51.13,52.56,50.85,52.56
2606,2015-05-05,52.56,52.56,49.13,52.28
2605,2015-05-06,52.56,54.28,51.99,54.28
2604,2015-05-07,52.56,53.99,52.56,53.13
2603,2015-05-08,53.13,53.13,52.28,53.13
2602,2015-05-11,52.56,53.7,51.42,53.7
2601,2015-05-12,53.7,53.7,53.7,53.7
2600,2015-05-13,53.7,53.7,53.7,53.7
2599,2015-05-14,52.56,53.7,51.99,53.7
