,Date,Open,High,Low,Close
2204,2016-12-28,25.49,25.49,25.49,25.49
2203,2016-12-29,25.7,26.16,24.59,25.53
2202,2016-12-30,25.49,25.53,24.81,25.53
2201,2017-01-03,25.49,25.49,25.06,25.06
2200,2017-01-04,25.06,25.27,25.06,25.23
2199,2017-01-05,25.19,25.23,25.06,25.1
2198,2017-01-06,25.06,25.15,24.98,25.15
2197,2017-01-09,25.1,25.19,24.93,25.19
2196,2017-01-10,25.15,25.15,25.02,25.06
2195,2017-01-11,25.02,25.1,24.93,25.1
2194,2017-01-12,25.06,25.1,24.93,24.98
2193,2017-01-13,24.98,25.06,24.85,25.06
2192,2017-01-16,25.02,25.15,24.93,25.15
2191,2017-01-17,25.1,25.15,24.98,24.98
2190,2017-01-18,24.93,25.06,24.93,25.02
2189,2017-01-19,24.98,25.06,24.64,24.68
2188,2017-01-20,24.68,24.85,24.59,24.72
2187,2017-01-23,24.72,24.81,24.55,24.55
2186,2017-01-24,24.55,24.72,24.47,24.59
2185,2017-01-25,24.64,25.74,24.64,25.74
2184,2017-02-02,25.78,25.87,25.66,25.87
2183,2017-02-03,25.83,25.87,25.61,25.87
2182,2017-02-06,25.83,25.83,25.44,25.44
2181,2017-02-07,25.36,25.4,25.15,25.27
2180,2017-02-08,25.27,25.49,25.1,25.1
2179,2017-02-09,25.1,25.36,24.98,24.98
2178,2017-02-10,25.06,25.32,24.98,24.98
2177,2017-02-13,25.02,25.27,25.02,25.15
2176,2017-02-14,25.15,25.32,25.15,25.15
2175,2017-02-15,25.15,25.49,25.15,25.27
2174,2017-02-16,25.4,25.74,25.32,25.61
2173,2017-02-17,25.61,26.08,25.61,25.83
2172,2017-02-20,25.91,26.97,25.91,26.8
2171,2017-02-21,26.97,28.46,26.8,28.03
2170,2017-02-22,28.08,28.88,28.03,28.12
2169,2017-02-23,28.08,28.29,27.57,27.99
2168,2017-02-24,27.99,27.99,27.4,27.74
2167,2017-02-27,27.65,28.42,27.65,28.25
2166,2017-02-28,28.25,29.52,28.25,28.46
2165,2017-03-01,28.46,29.22,28.46,29.22
2164,2017-03-02,29.22,29.52,29.18,29.22
2163,2017-03-03,29.22,29.31,28.8,29.27
2162,2017-03-06,29.22,29.31,29.01,29.27
2161,2017-03-07,29.22,29.73,29.01,29.14
2160,2017-03-08,29.14,29.14,28.25,28.88
2159,2017-03-09,28.88,28.93,28.67,28.88
2158,2017-03-10,28.88,29.18,28.84,28.88
2157,2017-03-13,30.88,30.88,29.73,30.88
2156,2017-03-14,30.88,32.07,30.84,32.07
2155,2017-03-15,32.2,32.71,31.05,31.13
2154,2017-03-16,31.01,31.13,30.84,30.84
2153,2017-03-17,30.45,30.58,28.71,28.71
2152,2017-03-20,28.8,29.73,28.8,29.22
2151,2017-03-21,29.22,29.35,29.1,29.18
2150,2017-03-22,29.14,29.14,28.71,28.71
2149,2017-03-23,28.71,28.8,28.2,28.37
2148,2017-03-24,28.37,29.44,28.37,29.31
2147,2017-03-27,29.31,29.44,29.18,29.35
2146,2017-03-28,29.35,29.44,29.01,29.1
2145,2017-03-29,29.1,29.31,28.97,29.1
2144,2017-03-30,29.1,29.27,29.05,29.18
2143,2017-03-31,29.22,29.52,29.18,29.39
2142,2017-04-03,29.39,29.73,29.27,29.52
2141,2017-04-04,29.52,30.03,29.52,29.9
2140,2017-04-05,30.03,30.16,29.73,29.9
2139,2017-04-07,29.9,29.95,29.65,29.9
2138,2017-04-10,29.95,30.12,29.86,29.95
2137,2017-04-11,29.95,30.12,29.95,30.03
2136,2017-04-12,30.07,30.12,29.86,30.03
2135,2017-04-13,30.03,30.07,29.9,29.95
2134,2017-04-14,29.99,29.99,29.61,29.73
2133,2017-04-17,29.73,29.78,29.61,29.61
2132,2017-04-18,29.65,29.65,29.27,29.56
2131,2017-04-19,29.61,29.95,29.52,29.82
2130,2017-04-20,29.82,30.16,29.78,30.07
2129,2017-04-21,30.12,31.01,30.07,30.79
2128,2017-04-24,30.92,31.64,30.84,31.05
2127,2017-04-25,31.01,31.13,30.88,31.01
2126,2017-04-26,31.01,31.22,30.92,30.92
2125,2017-04-27,30.96,31.13,30.33,30.79
2124,2017-04-28,30.79,30.79,29.82,30.03
2123,2017-05-03,30.03,30.16,29.78,29.78
2122,2017-05-04,29.78,29.78,29.44,29.52
2121,2017-05-05,29.56,29.69,29.48,29.52
2120,2017-05-08,29.52,29.56,28.93,28.93
2119,2017-05-09,28.93,29.31,28.76,29.14
2118,2017-05-10,29.14,29.39,28.97,29.31
2117,2017-05-11,29.31,29.35,29.18,29.35
2116,2017-05-12,29.31,29.35,29.1,29.31
2115,2017-05-15,29.05,29.1,28.67,28.8
2114,2017-05-16,28.76,28.84,28.54,28.71
2113,2017-05-17,28.71,28.97,28.63,28.8
2112,2017-05-18,28.8,28.84,28.59,28.67
