,Date,Open,High,Low,Close
1181,2021-01-28,7.16,8.16,7.16,7.16
1180,2021-01-29,7.65,7.65,7.26,7.65
1179,2021-02-01,8.12,8.12,7.65,7.69
1178,2021-02-02,7.81,7.94,7.65,7.94
1177,2021-02-03,8.04,8.35,7.96,8.35
1176,2021-02-04,8.37,8.39,8.14,8.2
1175,2021-02-05,8.24,8.35,8.14,8.14
1174,2021-02-08,8.2,8.2,7.69,7.81
1173,2021-02-09,7.83,8.16,7.77,8.16
1172,2021-02-17,8.35,8.37,8.2,8.24
1171,2021-02-18,8.27,8.29,8.2,8.2
1170,2021-02-19,8.2,8.29,8.14,8.22
1169,2021-02-22,8.24,8.51,8.24,8.33
1168,2021-02-23,8.35,8.41,8.29,8.37
1167,2021-02-24,8.39,8.39,8.08,8.16
1166,2021-02-25,8.2,8.24,8.12,8.16
1165,2021-02-26,8.0,8.16,7.98,8.16
1164,2021-03-01,8.2,8.39,8.16,8.31
1163,2021-03-02,8.37,8.37,8.2,8.24
1162,2021-03-03,8.26,8.26,8.16,8.2
1161,2021-03-04,8.2,8.22,8.04,8.06
1160,2021-03-05,8.0,8.26,8.0,8.26
1159,2021-03-08,8.35,8.39,8.29,8.37
1158,2021-03-09,8.37,8.96,8.27,8.96
1157,2021-03-10,9.17,9.48,9.13,9.43
1156,2021-03-11,9.43,9.52,9.29,9.48
1155,2021-03-12,9.41,9.64,9.33,9.64
1154,2021-03-15,9.72,9.78,9.56,9.68
1153,2021-03-16,9.66,9.66,9.45,9.64
1152,2021-03-17,9.62,9.64,9.47,9.64
1151,2021-03-18,9.76,9.86,9.64,9.68
1150,2021-03-19,9.7,9.8,9.64,9.72
1149,2021-03-22,9.76,9.91,9.72,9.84
1148,2021-03-23,9.76,9.84,9.47,9.6
1147,2021-03-24,9.45,9.6,9.27,9.31
1146,2021-03-25,9.45,9.45,9.19,9.19
1145,2021-03-26,9.17,9.25,8.78,9.19
1144,2021-03-29,9.19,9.41,9.19,9.35
1143,2021-03-30,9.39,9.43,9.31,9.41
1142,2021-03-31,9.45,9.48,9.39,9.43
1141,2021-04-01,9.43,9.58,9.43,9.56
1140,2021-04-02,9.6,9.74,9.6,9.64
1139,2021-04-05,9.72,9.76,9.54,9.6
1138,2021-04-06,9.56,9.7,9.54,9.56
1137,2021-04-07,9.56,9.62,9.48,9.58
1136,2021-04-08,9.76,9.76,9.56,9.66
1135,2021-04-09,9.68,9.72,9.62,9.64
1134,2021-04-12,9.64,9.7,9.58,9.66
1133,2021-04-13,9.7,10.07,9.7,9.78
1132,2021-04-14,9.78,9.93,9.76,9.89
1131,2021-04-15,9.95,10.01,9.72,9.72
1130,2021-04-16,9.64,9.66,9.29,9.37
1129,2021-04-19,9.37,9.48,9.29,9.48
1128,2021-04-20,9.45,9.48,9.21,9.25
1127,2021-04-22,9.19,9.21,8.61,8.61
1126,2021-04-23,8.67,8.98,8.63,8.98
1125,2021-04-26,8.98,8.98,8.78,8.78
1124,2021-04-27,8.82,8.96,8.7,8.9
1123,2021-04-28,8.9,9.27,8.86,9.11
1122,2021-04-29,9.27,9.27,9.15,9.17
1121,2021-05-04,8.94,9.15,8.88,9.07
1120,2021-05-05,9.09,9.43,9.09,9.31
1119,2021-05-06,9.33,9.39,9.21,9.23
1118,2021-05-07,9.17,9.33,9.06,9.13
1117,2021-05-10,9.13,9.48,9.0,9.43
1116,2021-05-11,9.5,9.52,9.33,9.33
1115,2021-05-12,9.31,9.41,9.27,9.41
1114,2021-05-13,9.35,9.5,9.33,9.37
1113,2021-05-14,9.37,9.48,9.37,9.43
1112,2021-05-17,9.45,9.76,9.43,9.68
1111,2021-05-18,9.72,9.74,9.5,9.58
1110,2021-05-19,9.58,9.64,9.45,9.6
1109,2021-05-20,9.64,10.23,9.5,10.11
1108,2021-05-21,10.15,10.54,10.15,10.25
1107,2021-05-24,10.28,10.32,10.17,10.23
1106,2021-05-25,10.19,10.44,10.09,10.34
1105,2021-05-26,10.38,10.62,10.38,10.54
1104,2021-05-27,10.54,10.93,10.54,10.62
1103,2021-05-28,10.73,11.05,10.6,11.01
1102,2021-05-31,11.1,11.26,10.62,11.26
1101,2021-06-01,11.36,11.48,11.28,11.32
1100,2021-06-02,11.09,11.32,11.05,11.24
1099,2021-06-03,11.32,12.02,11.32,12.02
1098,2021-06-04,12.06,12.82,12.04,12.61
1097,2021-06-07,12.49,12.8,11.9,12.39
1096,2021-06-08,12.3,12.49,11.55,11.55
1095,2021-06-09,11.51,12.14,11.32,11.96
1094,2021-06-10,11.71,12.1,11.61,11.65
1093,2021-06-11,11.79,12.45,11.61,12.31
1092,2021-06-14,12.37,12.47,11.94,12.04
1091,2021-06-15,12.04,12.08,11.75,11.75
1090,2021-06-16,11.75,11.75,11.36,11.46
1089,2021-06-17,11.24,11.71,11.24,11.69
1088,2021-06-18,11.98,11.98,11.67,11.69
1087,2021-06-21,11.51,11.67,11.44,11.46
1086,2021-06-22,11.55,11.67,11.34,11.63
1085,2021-06-23,11.67,11.79,11.53,11.61
1084,2021-06-24,11.79,11.87,11.63,11.71
1083,2021-06-25,11.71,11.75,11.63,11.75
1082,2021-06-28,11.9,12.22,11.9,12.18
1081,2021-06-29,12.45,12.45,12.02,12.12
1080,2021-06-30,12.14,12.16,11.94,11.98
1079,2021-07-01,12.02,12.1,11.79,12.06
1078,2021-07-02,12.18,12.3,12.06,12.22
1077,2021-07-05,12.18,12.41,12.12,12.39
1076,2021-07-06,12.57,12.8,11.53,11.53
1075,2021-07-07,11.79,11.96,11.32,11.94
1074,2021-07-08,11.94,12.04,11.71,11.79
1073,2021-07-09,11.63,11.83,11.4,11.49
1072,2021-07-12,11.36,11.42,10.69,10.69
1071,2021-07-13,10.89,10.93,10.52,10.73
1070,2021-07-14,10.73,10.73,10.09,10.23
1069,2021-07-15,10.19,10.69,10.15,10.69
1068,2021-07-16,10.85,10.97,10.69,10.71
1067,2021-07-19,10.4,10.5,10.15,10.32
1066,2021-07-20,10.28,10.73,10.27,10.73
1065,2021-07-21,10.93,10.93,10.69,10.85
1064,2021-07-22,11.1,11.14,10.93,11.14
1063,2021-07-23,11.07,11.16,10.93,11.05
1062,2021-07-26,11.03,11.09,10.81,11.07
1061,2021-07-27,11.18,11.22,11.1,11.16
1060,2021-07-28,11.28,11.51,11.2,11.51
1059,2021-07-29,12.24,12.31,11.79,11.87
1058,2021-07-30,11.79,11.9,11.67,11.71
1057,2021-08-02,11.71,12.1,11.71,11.86
1056,2021-08-03,11.95,12.2,11.88,12.03
1055,2021-08-04,12.05,12.15,11.95,12.03
1054,2021-08-05,12.05,12.08,11.93,12.05
1053,2021-08-06,12.1,12.1,11.95,11.95
1052,2021-08-09,11.95,12.08,11.76,12.05
1051,2021-08-10,12.2,12.34,12.12,12.3
1050,2021-08-11,12.39,12.42,12.27,12.3
1049,2021-08-12,12.2,12.32,12.05,12.05
1048,2021-08-13,12.05,12.08,11.76,12.0
1047,2021-08-16,12.05,12.3,11.9,12.25
1046,2021-08-17,12.44,12.44,12.15,12.2
1045,2021-08-18,12.17,12.25,12.12,12.2
1044,2021-08-19,12.15,12.17,12.05,12.1
1043,2021-08-20,12.05,12.08,11.29,11.61
1042,2021-08-23,11.34,11.47,11.03,11.03
1041,2021-08-24,11.03,11.17,10.86,11.17
1040,2021-08-25,11.22,11.27,11.1,11.27
1039,2021-08-26,11.27,11.32,11.08,11.08
1038,2021-08-27,10.98,10.98,10.83,10.98
1037,2021-08-30,11.03,11.32,10.86,11.17
1036,2021-08-31,11.32,11.32,10.98,11.05
1035,2021-09-01,11.03,11.08,10.98,11.03
1034,2021-09-06,11.22,11.22,10.95,11.03
1033,2021-09-07,11.12,11.42,11.1,11.37
1032,2021-09-08,11.47,11.47,11.2,11.2
1031,2021-09-09,11.2,11.22,11.05,11.2
1030,2021-09-10,11.22,11.37,11.12,11.12
1029,2021-09-13,11.1,11.12,11.0,11.0
1028,2021-09-14,10.95,11.03,10.9,10.9
1027,2021-09-15,10.83,10.95,10.83,10.86
1026,2021-09-16,10.93,11.12,10.88,10.93
1025,2021-09-17,10.98,11.17,10.98,11.15
1024,2021-09-20,11.22,11.71,11.22,11.59
1023,2021-09-21,11.47,11.93,11.34,11.88
1022,2021-09-22,11.83,11.93,11.69,11.73
1021,2021-09-23,11.69,12.1,11.47,11.86
1020,2021-09-24,11.9,12.15,11.9,12.03
1019,2021-09-27,12.03,12.1,11.59,11.59
1018,2021-09-28,11.47,11.66,11.25,11.66
1017,2021-09-29,11.66,11.71,11.44,11.61
1016,2021-09-30,11.71,11.95,11.51,11.66
1015,2021-10-01,11.71,11.76,11.22,11.29
1014,2021-10-04,11.12,11.44,11.0,11.27
1013,2021-10-05,11.17,11.59,11.15,11.47
1012,2021-10-06,11.56,11.56,11.39,11.47
1011,2021-10-07,11.49,11.56,11.39,11.51
1010,2021-10-08,11.49,11.81,11.49,11.78
1009,2021-10-11,11.78,12.08,11.78,12.05
1008,2021-10-12,12.17,12.3,12.08,12.1
1007,2021-10-13,12.2,12.2,12.0,12.0
1006,2021-10-14,12.0,12.05,11.71,11.98
1005,2021-10-15,12.1,12.66,11.98,12.54
1004,2021-10-18,12.69,12.78,12.51,12.56
1003,2021-10-19,12.44,12.64,12.34,12.44
1002,2021-10-20,12.42,12.98,12.3,12.98
1001,2021-10-21,13.17,13.51,13.12,13.34
1000,2021-10-22,13.17,13.32,13.1,13.2
999,2021-10-25,13.08,13.37,13.08,13.17
998,2021-10-26,13.0,13.12,12.59,13.1
997,2021-10-27,13.1,13.37,12.69,13.22
996,2021-10-28,13.37,13.47,13.12,13.12
995,2021-10-29,13.17,13.22,12.93,12.98
994,2021-11-01,13.0,13.17,12.69,13.1
993,2021-11-02,13.17,13.17,12.95,13.15
992,2021-11-03,13.22,14.05,13.22,14.05
991,2021-11-04,14.05,14.12,13.86,13.91
990,2021-11-05,13.91,14.37,13.81,13.91
989,2021-11-08,13.73,14.03,13.51,13.91
988,2021-11-09,13.95,13.98,13.64,13.66
987,2021-11-10,13.66,13.71,13.32,13.32
986,2021-11-11,13.17,13.32,12.71,12.86
985,2021-11-12,12.86,13.2,12.83,13.12
984,2021-11-15,13.32,13.32,12.93,12.98
983,2021-11-16,13.0,13.27,12.86,13.0
982,2021-11-17,13.0,13.03,12.83,12.91
981,2021-11-18,12.86,13.08,12.76,12.83
980,2021-11-19,12.86,13.32,12.69,12.98
979,2021-11-22,13.03,13.73,13.03,13.34
978,2021-11-23,13.56,13.83,13.3,13.66
977,2021-11-24,13.66,14.61,13.66,14.61
976,2021-11-25,14.93,15.47,14.71,14.88
975,2021-11-26,14.78,15.27,14.56,14.83
974,2021-11-29,14.54,14.66,14.05,14.39
973,2021-11-30,14.64,14.64,13.42,13.61
972,2021-12-01,13.56,13.91,13.17,13.88
971,2021-12-02,13.88,14.25,13.86,13.91
970,2021-12-03,13.91,13.95,13.42,13.42
969,2021-12-06,13.22,13.44,12.49,12.69
968,2021-12-07,12.93,13.17,12.64,13.08
967,2021-12-08,13.12,13.54,12.91,13.27
966,2021-12-09,13.12,13.34,13.03,13.34
965,2021-12-10,13.32,13.54,13.17,13.2
964,2021-12-13,13.22,13.27,13.1,13.15
963,2021-12-14,13.12,13.3,12.93,12.98
962,2021-12-15,13.03,13.34,13.0,13.15
961,2021-12-16,13.22,13.27,12.95,13.17
960,2021-12-17,13.15,13.17,13.03,13.08
959,2021-12-20,13.08,13.12,12.83,12.98
958,2021-12-21,12.98,13.0,12.76,12.81
957,2021-12-22,12.81,12.98,12.51,12.51
956,2021-12-23,12.51,12.54,11.95,12.05
955,2021-12-24,12.05,12.69,12.05,12.64
954,2021-12-27,12.73,12.78,12.49,12.61
953,2021-12-28,12.69,12.88,12.44,12.83
952,2021-12-29,12.93,13.17,12.83,12.93
951,2021-12-30,13.05,13.05,12.81,12.98
950,2021-12-31,13.08,13.66,13.08,13.32
949,2022-01-04,13.44,14.0,13.32,13.64
948,2022-01-05,13.64,13.64,13.39,13.42
947,2022-01-06,13.22,13.42,13.12,13.17
946,2022-01-07,13.17,13.37,13.08,13.12
945,2022-01-10,13.17,13.17,12.73,12.73
944,2022-01-11,12.73,13.05,12.64,12.69
943,2022-01-12,12.78,13.22,12.49,13.17
942,2022-01-13,13.37,13.66,13.08,13.12
941,2022-01-14,13.0,13.17,12.88,13.0
940,2022-01-17,12.98,13.15,12.44,12.44
939,2022-01-18,12.44,12.83,12.2,12.47
938,2022-01-19,12.64,12.69,12.47,12.54
937,2022-01-20,12.54,12.76,12.37,12.61
936,2022-01-21,12.73,13.25,12.61,13.03
935,2022-01-24,13.03,13.37,12.83,12.88
934,2022-01-25,12.83,13.27,12.73,13.27
933,2022-01-26,13.51,13.78,13.42,13.66
932,2022-01-27,13.76,13.76,13.34,13.42
931,2022-01-28,13.51,13.73,13.27,13.49
930,2022-02-07,13.66,13.66,13.42,13.54
929,2022-02-08,13.56,14.15,13.49,14.05
928,2022-02-09,14.15,14.2,13.86,13.91
927,2022-02-10,13.81,14.05,13.76,13.86
926,2022-02-11,13.86,14.12,13.83,13.95
925,2022-02-14,13.76,13.88,13.17,13.17
924,2022-02-15,13.17,13.37,13.08,13.3
923,2022-02-16,13.42,13.42,13.17,13.3
922,2022-02-17,13.37,13.42,13.27,13.32
921,2022-02-18,13.3,13.39,13.22,13.32
920,2022-02-21,13.3,13.39,13.08,13.37
919,2022-02-22,13.27,13.61,13.2,13.47
918,2022-02-23,13.56,13.61,13.34,13.39
917,2022-02-24,13.39,13.44,12.78,13.1
916,2022-02-25,13.15,13.39,13.1,13.12
915,2022-02-28,13.15,13.15,12.95,12.95
914,2022-03-01,12.95,13.03,12.86,12.93
913,2022-03-02,12.88,12.93,12.66,12.69
912,2022-03-03,12.76,12.88,12.64,12.78
911,2022-03-04,12.78,12.93,12.78,12.91
910,2022-03-07,12.73,12.78,12.66,12.71
909,2022-03-08,12.64,12.86,12.64,12.64
908,2022-03-09,12.64,12.71,12.49,12.56
907,2022-03-10,12.83,12.83,12.61,12.61
906,2022-03-11,12.61,12.69,12.54,12.69
905,2022-03-14,12.61,12.69,12.44,12.49
904,2022-03-15,12.54,12.64,12.49,12.56
903,2022-03-16,12.64,12.78,12.61,12.71
902,2022-03-17,12.83,12.83,12.71,12.73
901,2022-03-18,12.76,12.78,12.66,12.73
900,2022-03-21,12.73,12.76,12.64,12.71
899,2022-03-22,12.73,12.93,12.71,12.88
898,2022-03-23,12.98,12.98,12.81,12.83
897,2022-03-24,12.93,12.95,12.81,12.91
896,2022-03-25,12.86,12.93,12.73,12.76
895,2022-03-28,12.66,12.78,12.49,12.54
