,Date,Open,High,Low,Close
1910,2018-03-07,24.89,25.35,22.21,22.31
1909,2018-03-08,23.32,23.41,21.48,21.57
1908,2018-03-09,21.57,22.31,21.2,21.85
1907,2018-03-12,21.85,22.12,20.92,21.48
1906,2018-03-13,21.2,21.48,20.83,21.29
1905,2018-03-14,21.2,21.29,20.37,20.46
1904,2018-03-15,20.46,20.83,20.09,20.19
1903,2018-03-16,20.37,20.74,20.19,20.74
1902,2018-03-19,20.74,21.02,20.56,20.65
1901,2018-03-20,20.65,20.65,20.28,20.28
1900,2018-03-21,20.56,20.56,20.28,20.37
1899,2018-03-22,20.46,20.56,19.82,19.82
1898,2018-03-23,19.91,19.91,18.8,19.26
1897,2018-03-26,18.9,19.08,17.51,17.61
1896,2018-03-27,17.97,18.25,17.61,17.79
1895,2018-03-28,17.79,17.79,17.51,17.79
1894,2018-03-29,17.79,18.8,17.79,18.62
1893,2018-03-30,18.71,19.17,18.62,18.9
1892,2018-04-02,18.8,19.73,18.8,19.36
1891,2018-04-03,19.36,19.36,18.9,19.26
1890,2018-04-04,19.36,19.36,18.53,18.71
1889,2018-04-05,18.9,19.54,18.53,18.8
1888,2018-04-06,18.71,18.71,17.97,18.34
1887,2018-04-09,18.44,18.44,17.51,17.7
1886,2018-04-10,17.88,18.25,17.7,18.25
1885,2018-04-11,18.07,18.34,17.79,17.88
1884,2018-04-12,17.88,18.07,17.79,17.97
1883,2018-04-13,17.97,18.07,17.05,17.14
1882,2018-04-16,17.05,17.05,16.59,16.68
1881,2018-04-17,16.68,16.87,16.5,16.68
1880,2018-04-18,16.59,16.96,16.22,16.41
1879,2018-04-19,16.5,16.5,15.21,15.58
1878,2018-04-20,15.58,15.58,14.75,14.75
1877,2018-04-23,15.02,15.67,14.29,14.29
1876,2018-04-24,14.75,15.02,14.29,14.93
1875,2018-04-26,15.21,15.21,14.29,14.38
1874,2018-04-27,14.01,14.66,13.83,14.47
1873,2018-05-02,14.47,15.58,14.29,14.66
1872,2018-05-03,14.75,15.21,14.38,15.02
1871,2018-05-04,14.93,16.41,14.93,16.41
1870,2018-05-07,16.59,18.16,16.59,18.16
1869,2018-05-08,18.62,18.9,17.24,17.51
1868,2018-05-09,17.51,17.79,16.59,16.96
1867,2018-05-10,17.05,17.97,16.96,17.33
1866,2018-05-11,17.33,17.97,17.14,17.7
