,Date,Open,High,Low,Close
2691,2015-01-05,1.74,1.79,1.74,1.79
2690,2015-01-06,1.84,1.84,1.69,1.84
2689,2015-01-07,1.84,1.99,1.79,1.99
2688,2015-01-08,2.15,2.15,1.84,1.84
2687,2015-01-09,1.84,1.89,1.79,1.84
2686,2015-01-12,1.84,1.84,1.74,1.74
2685,2015-01-13,1.74,1.79,1.69,1.74
2684,2015-01-14,1.74,1.79,1.69,1.74
2683,2015-01-15,1.74,1.79,1.74,1.74
2682,2015-01-16,1.74,1.84,1.74,1.74
2681,2015-01-19,1.74,1.79,1.74,1.74
2680,2015-01-20,1.79,1.84,1.74,1.79
2679,2015-01-21,1.79,1.84,1.74,1.74
2678,2015-01-22,1.74,1.79,1.74,1.79
2677,2015-01-23,1.79,1.79,1.74,1.79
2676,2015-01-26,1.79,1.79,1.74,1.74
2675,2015-01-27,1.74,1.74,1.69,1.69
2674,2015-01-28,1.69,1.74,1.64,1.64
2673,2015-01-29,1.69,1.74,1.64,1.69
2672,2015-01-30,1.69,1.69,1.64,1.64
2671,2015-02-02,1.64,1.69,1.58,1.64
2670,2015-02-03,1.64,1.64,1.58,1.64
2669,2015-02-04,1.64,1.64,1.58,1.58
2668,2015-02-05,1.58,1.58,1.53,1.58
2667,2015-02-06,1.53,1.58,1.53,1.53
2666,2015-02-09,1.53,1.58,1.48,1.58
2665,2015-02-10,1.53,1.58,1.53,1.53
2664,2015-02-11,1.53,1.64,1.53,1.64
2663,2015-02-12,1.64,1.69,1.58,1.64
2662,2015-02-13,1.64,1.64,1.53,1.58
2661,2015-02-24,1.64,1.64,1.58,1.64
2660,2015-02-25,1.64,1.69,1.64,1.69
2659,2015-02-26,1.64,1.69,1.58,1.64
2658,2015-02-27,1.64,1.64,1.58,1.64
2657,2015-03-02,1.64,1.64,1.58,1.64
2656,2015-03-03,1.64,1.69,1.58,1.69
2655,2015-03-04,1.64,1.69,1.58,1.64
2654,2015-03-05,1.64,1.69,1.64,1.69
2653,2015-03-06,1.64,1.69,1.58,1.69
2652,2015-03-09,1.64,1.64,1.58,1.58
2651,2015-03-10,1.64,1.69,1.64,1.64
2650,2015-03-11,1.64,1.69,1.58,1.64
2649,2015-03-12,1.64,1.64,1.58,1.64
2648,2015-03-13,1.64,1.64,1.58,1.64
2647,2015-03-16,1.58,1.64,1.58,1.64
2646,2015-03-17,1.58,1.64,1.53,1.64
2645,2015-03-18,1.58,1.58,1.53,1.58
2644,2015-03-19,1.53,1.58,1.53,1.53
2643,2015-03-20,1.53,1.58,1.53,1.58
2642,2015-03-23,1.53,1.53,1.53,1.53
2641,2015-03-24,1.53,1.53,1.48,1.48
2640,2015-03-25,1.48,1.58,1.48,1.58
2639,2015-03-26,1.58,1.58,1.53,1.58
2638,2015-03-27,1.58,1.58,1.53,1.53
2637,2015-03-30,1.53,1.58,1.48,1.53
2636,2015-03-31,1.53,1.58,1.53,1.53
2635,2015-04-01,1.58,1.58,1.48,1.53
2634,2015-04-02,1.53,1.53,1.48,1.53
2633,2015-04-03,1.53,1.58,1.48,1.48
2632,2015-04-06,1.48,1.53,1.48,1.48
2631,2015-04-07,1.48,1.53,1.48,1.53
2630,2015-04-08,1.48,1.48,1.48,1.48
2629,2015-04-09,1.48,1.53,1.48,1.48
2628,2015-04-10,1.53,1.53,1.48,1.48
2627,2015-04-13,1.48,1.53,1.48,1.53
2626,2015-04-14,1.53,1.58,1.48,1.53
2625,2015-04-15,1.53,1.53,1.48,1.53
2624,2015-04-16,1.53,1.64,1.53,1.53
2623,2015-04-17,1.58,1.58,1.53,1.53
2622,2015-04-20,1.58,1.58,1.53,1.53
2621,2015-04-21,1.53,1.53,1.48,1.53
2620,2015-04-22,1.53,1.69,1.53,1.64
2619,2015-04-23,1.58,1.64,1.53,1.53
2618,2015-04-24,1.58,1.58,1.53,1.53
2617,2015-04-27,1.53,1.53,1.48,1.48
2616,2015-05-04,1.48,1.48,1.43,1.43
2615,2015-05-05,1.43,1.48,1.38,1.48
2614,2015-05-06,1.48,1.48,1.43,1.43
2613,2015-05-07,1.43,1.48,1.38,1.38
2612,2015-05-08,1.43,1.48,1.38,1.43
2611,2015-05-11,1.43,1.48,1.43,1.48
2610,2015-05-12,1.43,1.48,1.43,1.43
2609,2015-05-13,1.48,1.48,1.43,1.43
2608,2015-05-14,1.38,1.43,1.38,1.38
2607,2015-05-15,1.43,1.43,1.38,1.38
2606,2015-05-18,1.38,1.38,1.33,1.33
2605,2015-05-19,1.33,1.38,1.33,1.38
2604,2015-05-20,1.38,1.48,1.38,1.48
