,Date,Open,High,Low,Close
2693,2015-01-05,18.92,18.92,18.24,18.47
2692,2015-01-06,18.06,18.2,18.06,18.15
2691,2015-01-07,18.15,18.15,18.06,18.15
2690,2015-01-08,18.15,18.42,18.15,18.33
2689,2015-01-09,18.24,18.38,18.24,18.33
2688,2015-01-12,18.33,18.38,18.29,18.33
2687,2015-01-13,17.93,18.38,17.93,18.29
2686,2015-01-14,18.29,18.33,17.84,18.33
2685,2015-01-15,18.47,18.47,18.33,18.33
2684,2015-01-16,18.29,18.33,18.24,18.33
2683,2015-01-19,18.29,18.33,18.02,18.33
2682,2015-01-20,18.2,18.24,18.2,18.24
2681,2015-01-21,18.2,18.24,18.2,18.2
2680,2015-01-22,18.02,18.42,18.02,18.42
2679,2015-01-23,18.42,19.14,18.42,18.65
2678,2015-01-26,18.65,18.65,18.56,18.65
2677,2015-01-27,18.65,18.69,18.6,18.6
2676,2015-01-28,18.51,18.51,18.02,18.38
2675,2015-01-29,18.38,18.38,17.79,18.33
2674,2015-01-30,18.47,18.47,17.57,18.47
2673,2015-02-02,18.02,18.47,18.02,18.38
2672,2015-02-03,18.02,18.15,18.02,18.02
2671,2015-02-04,18.02,18.06,18.02,18.06
2670,2015-02-05,17.84,18.02,17.84,18.02
2669,2015-02-06,18.11,18.24,18.02,18.24
2668,2015-02-09,18.24,18.24,18.02,18.2
2667,2015-02-10,18.02,18.02,17.79,17.79
2666,2015-02-11,17.79,17.84,17.79,17.79
2665,2015-02-12,18.02,18.02,17.79,17.79
2664,2015-02-13,17.79,18.02,17.66,18.02
2663,2015-02-24,18.02,18.02,18.02,18.02
2662,2015-02-25,18.02,18.02,18.02,18.02
2661,2015-02-26,18.02,18.02,18.02,18.02
2660,2015-02-27,17.79,18.02,17.79,18.02
2659,2015-03-02,18.02,18.02,18.02,18.02
2658,2015-03-03,18.02,18.02,17.79,17.79
2657,2015-03-04,17.79,17.79,17.57,17.75
2656,2015-03-05,17.57,17.93,17.57,17.93
2655,2015-03-06,17.93,17.97,17.79,17.97
2654,2015-03-09,17.61,17.79,17.57,17.79
2653,2015-03-10,17.57,17.57,17.57,17.57
2652,2015-03-11,17.79,17.79,17.57,17.75
2651,2015-03-12,17.7,17.93,17.48,17.93
2650,2015-03-13,17.75,17.75,17.75,17.75
2649,2015-03-16,17.97,17.97,17.57,17.93
2648,2015-03-17,17.88,17.88,17.57,17.84
2647,2015-03-18,17.84,17.84,17.57,17.79
2646,2015-03-19,17.34,17.79,17.34,17.39
2645,2015-03-20,16.49,17.75,16.49,17.57
2644,2015-03-23,17.34,17.79,17.34,17.79
2643,2015-03-24,17.34,17.57,17.34,17.57
2642,2015-03-25,17.57,17.57,17.48,17.57
2641,2015-03-26,17.12,17.52,17.12,17.52
2640,2015-03-27,17.34,17.39,17.21,17.39
2639,2015-03-30,17.3,17.3,17.3,17.3
2638,2015-03-31,17.12,17.34,17.12,17.34
2637,2015-04-01,17.21,17.21,17.21,17.21
2636,2015-04-02,17.12,17.12,17.12,17.12
2635,2015-04-03,17.34,17.34,17.07,17.07
2634,2015-04-06,17.07,17.07,17.07,17.07
2633,2015-04-07,17.03,17.03,17.03,17.03
2632,2015-04-08,17.03,17.03,16.98,16.98
2631,2015-04-09,16.89,16.89,16.67,16.67
2630,2015-04-10,16.58,16.67,16.44,16.67
2629,2015-04-13,17.07,17.07,17.03,17.03
2628,2015-04-14,17.12,17.12,17.12,17.12
2627,2015-04-15,17.12,17.25,17.12,17.25
2626,2015-04-16,16.67,18.42,16.67,18.02
2625,2015-04-17,18.02,18.02,17.57,17.57
2624,2015-04-20,16.94,17.12,16.89,16.94
2623,2015-04-21,16.71,17.48,16.71,17.12
2622,2015-04-22,17.12,17.12,17.12,17.12
2621,2015-04-23,16.67,17.12,16.67,17.07
2620,2015-04-24,16.67,17.48,16.67,17.25
2619,2015-04-27,17.12,17.34,17.12,17.16
2618,2015-05-04,17.12,17.16,16.67,17.16
2617,2015-05-05,17.07,17.07,17.07,17.07
2616,2015-05-06,17.07,17.07,17.07,17.07
2615,2015-05-07,16.98,17.03,15.9,16.98
2614,2015-05-08,16.67,18.15,16.67,18.15
2613,2015-05-11,17.93,17.93,16.89,17.75
2612,2015-05-12,16.67,17.07,16.53,17.07
2611,2015-05-13,16.44,16.89,15.99,16.89
2610,2015-05-14,16.04,16.58,16.04,16.26
2609,2015-05-15,16.22,16.22,15.99,16.17
2608,2015-05-18,16.13,16.13,15.77,15.77
2607,2015-05-19,15.77,15.99,15.77,15.99
2606,2015-05-20,16.17,16.44,16.17,16.35
2605,2015-05-21,16.35,16.35,16.22,16.22
2604,2015-05-22,16.44,16.44,16.22,16.22
2603,2015-05-25,16.22,16.22,16.04,16.22
2602,2015-05-26,16.22,16.49,16.22,16.49
2601,2015-05-27,16.22,16.22,16.22,16.22
2600,2015-05-28,15.99,16.4,15.99,16.04
2599,2015-05-29,16.58,16.58,16.13,16.13
2598,2015-06-01,16.22,16.22,15.99,15.99
2597,2015-06-02,16.13,16.13,15.99,15.99
2596,2015-06-03,15.99,15.99,15.9,15.9
2595,2015-06-04,15.9,15.9,15.9,15.9
2594,2015-06-05,15.9,15.9,15.9,15.9
2593,2015-06-08,16.13,16.22,15.95,16.04
2592,2015-06-09,16.04,16.04,15.9,15.9
2591,2015-06-10,15.95,15.95,15.95,15.95
2590,2015-06-11,15.95,16.17,15.95,15.99
2589,2015-06-12,16.04,16.04,15.9,15.99
2588,2015-06-15,15.99,15.99,15.99,15.99
2587,2015-06-16,15.99,16.13,15.99,16.04
2586,2015-06-17,16.04,16.04,16.04,16.04
2585,2015-06-18,16.04,16.04,15.9,16.04
2584,2015-06-19,16.04,16.04,16.04,16.04
2583,2015-06-22,16.04,16.04,16.04,16.04
2582,2015-06-23,15.77,16.44,15.77,15.81
2581,2015-06-24,15.86,15.99,15.86,15.99
2580,2015-06-25,15.99,16.22,15.99,15.99
2579,2015-06-26,15.77,15.77,15.77,15.77
2578,2015-06-29,15.77,15.77,15.77,15.77
2577,2015-06-30,15.68,15.86,15.68,15.68
2576,2015-07-01,15.77,15.99,15.14,15.14
2575,2015-07-02,15.77,15.77,15.09,15.59
2574,2015-07-03,15.77,15.95,15.59,15.95
2573,2015-07-06,15.77,15.86,15.32,15.86
2572,2015-07-07,15.36,15.81,15.36,15.77
2571,2015-07-08,15.81,16.17,15.77,16.17
2570,2015-07-09,16.17,16.22,15.77,16.22
2569,2015-07-10,15.99,15.99,15.77,15.77
2568,2015-07-13,15.86,15.9,15.77,15.77
2567,2015-07-14,15.81,15.86,15.81,15.86
2566,2015-07-15,15.77,15.86,15.77,15.77
2565,2015-07-16,15.77,15.81,15.77,15.77
2564,2015-07-17,15.86,16.22,15.86,16.22
2563,2015-07-20,16.67,16.67,15.54,16.17
2562,2015-07-21,15.77,16.08,15.77,16.08
2561,2015-07-22,16.08,16.08,16.08,16.08
2560,2015-07-23,15.81,16.22,15.77,16.22
2559,2015-07-24,16.22,16.22,15.68,16.22
2558,2015-07-27,15.77,16.22,15.77,16.22
2557,2015-07-28,16.67,16.67,15.77,15.99
2556,2015-07-29,15.9,15.9,15.86,15.9
2555,2015-07-30,15.9,16.22,15.9,16.22
2554,2015-07-31,16.22,16.22,16.22,16.22
2553,2015-08-03,15.77,15.77,15.77,15.77
2552,2015-08-04,16.17,16.17,16.17,16.17
2551,2015-08-05,15.99,16.22,15.99,15.99
2550,2015-08-06,15.99,15.99,15.99,15.99
2549,2015-08-07,15.99,15.99,15.99,15.99
2548,2015-08-10,15.77,15.77,15.59,15.77
2547,2015-08-11,15.77,15.99,15.77,15.77
2546,2015-08-12,15.9,15.95,15.63,15.95
2545,2015-08-13,15.59,15.77,15.54,15.54
2544,2015-08-14,15.36,15.95,15.36,15.95
2543,2015-08-17,15.95,15.95,15.95,15.95
2542,2015-08-18,15.45,15.77,15.45,15.68
2541,2015-08-19,15.68,15.68,15.68,15.68
2540,2015-08-20,15.59,15.63,15.45,15.45
2539,2015-08-21,15.72,15.72,15.41,15.68
2538,2015-08-24,14.64,14.64,14.59,14.59
2537,2015-08-25,14.64,14.96,14.59,14.59
2536,2015-08-26,14.59,14.59,14.59,14.59
2535,2015-08-27,15.27,15.59,15.27,15.36
2534,2015-08-28,15.36,15.99,15.36,15.99
2533,2015-08-31,15.99,15.99,15.99,15.99
2532,2015-09-01,15.99,15.99,15.99,15.99
2531,2015-09-03,15.36,15.36,15.32,15.32
2530,2015-09-04,15.32,15.54,15.32,15.54
2529,2015-09-07,15.54,15.54,15.32,15.32
2528,2015-09-08,15.32,15.32,15.32,15.32
2527,2015-09-09,15.32,15.36,15.32,15.36
2526,2015-09-10,15.36,15.36,14.87,15.36
2525,2015-09-11,15.36,15.72,15.36,15.72
2524,2015-09-14,14.87,15.72,14.87,15.32
2523,2015-09-15,15.32,15.32,15.09,15.09
2522,2015-09-16,15.09,15.09,15.09,15.09
2521,2015-09-17,15.09,15.09,15.09,15.09
2520,2015-09-18,15.09,15.09,15.09,15.09
2519,2015-09-21,15.9,15.9,15.09,15.18
2518,2015-09-22,15.18,15.18,15.18,15.18
2517,2015-09-23,15.68,15.68,15.68,15.68
2516,2015-09-24,15.59,15.59,14.91,14.91
2515,2015-09-25,15.95,15.95,15.54,15.9
2514,2015-09-28,15.77,16.17,15.77,16.04
2513,2015-09-29,16.17,16.22,16.13,16.22
2512,2015-09-30,16.22,16.35,15.77,15.77
2511,2015-10-01,16.26,16.62,16.13,16.62
2510,2015-10-02,16.67,16.85,16.17,16.17
2509,2015-10-05,16.31,16.62,16.31,16.62
2508,2015-10-06,16.58,16.85,16.58,16.85
2507,2015-10-07,17.12,17.12,16.67,16.76
2506,2015-10-08,16.76,16.76,16.22,16.26
2505,2015-10-09,16.67,16.67,16.67,16.67
2504,2015-10-12,16.22,16.67,16.22,16.67
2503,2015-10-13,16.58,16.62,16.58,16.58
2502,2015-10-14,16.67,16.67,16.26,16.58
2501,2015-10-15,16.58,16.58,16.49,16.49
2500,2015-10-16,16.58,16.58,16.35,16.35
2499,2015-10-19,16.62,16.62,16.35,16.35
2498,2015-10-20,16.35,16.44,16.26,16.44
2497,2015-10-21,16.31,16.53,16.22,16.49
2496,2015-10-22,16.44,16.44,16.31,16.31
