,Date,Open,High,Low,Close
2700,2015-01-05,3.06,3.13,3.04,3.11
2699,2015-01-06,3.1,3.19,3.04,3.19
2698,2015-01-07,3.17,3.23,3.11,3.21
2697,2015-01-08,3.21,3.23,3.19,3.19
2696,2015-01-09,3.21,3.23,3.19,3.19
2695,2015-01-12,3.19,3.23,3.17,3.21
2694,2015-01-13,3.19,3.23,3.15,3.19
2693,2015-01-14,3.19,3.25,3.19,3.23
2692,2015-01-15,3.21,3.27,3.19,3.25
2691,2015-01-16,3.25,3.27,3.19,3.25
2690,2015-01-19,3.25,3.27,3.19,3.25
2689,2015-01-20,3.25,3.27,3.19,3.27
2688,2015-01-21,3.27,3.29,3.19,3.25
2687,2015-01-22,3.23,3.3,3.19,3.29
2686,2015-01-23,3.29,3.3,3.21,3.29
2685,2015-01-26,3.27,3.29,3.21,3.25
2684,2015-01-27,3.25,3.29,3.21,3.25
2683,2015-01-28,3.25,3.27,3.21,3.25
2682,2015-01-29,3.25,3.27,3.21,3.25
2681,2015-01-30,3.25,3.25,3.19,3.23
2680,2015-02-02,3.23,3.25,3.19,3.23
2679,2015-02-03,3.23,3.23,3.17,3.17
2678,2015-02-04,3.17,3.17,3.13,3.17
2677,2015-02-05,3.17,3.17,3.11,3.17
2676,2015-02-06,3.17,3.19,3.1,3.17
2675,2015-02-09,3.17,3.17,3.13,3.15
2674,2015-02-10,3.17,3.21,3.13,3.17
2673,2015-02-11,3.17,3.19,3.15,3.17
2672,2015-02-12,3.17,3.21,3.17,3.21
2671,2015-02-13,3.19,3.27,3.15,3.27
2670,2015-02-24,3.29,3.29,3.23,3.29
2669,2015-02-25,3.27,3.3,3.23,3.27
2668,2015-02-26,3.27,3.29,3.25,3.27
2667,2015-02-27,3.27,3.27,3.23,3.27
2666,2015-03-02,3.27,3.27,3.23,3.25
2665,2015-03-03,3.27,3.27,3.23,3.27
2664,2015-03-04,3.27,3.27,3.23,3.25
2663,2015-03-05,3.25,3.42,3.23,3.42
2662,2015-03-06,3.46,3.55,3.44,3.51
2661,2015-03-09,3.51,3.53,3.44,3.48
2660,2015-03-10,3.42,3.42,3.27,3.36
2659,2015-03-11,3.38,3.38,3.34,3.38
2658,2015-03-12,3.42,3.44,3.36,3.4
2657,2015-03-13,3.4,3.46,3.38,3.4
2656,2015-03-16,3.44,3.48,3.38,3.42
2655,2015-03-17,3.42,3.44,3.36,3.38
2654,2015-03-18,3.38,3.4,3.34,3.38
2653,2015-03-19,3.38,3.4,3.32,3.36
2652,2015-03-20,3.36,3.36,3.3,3.34
2651,2015-03-23,3.32,3.34,3.3,3.3
2650,2015-03-24,3.3,3.34,3.29,3.34
2649,2015-03-25,3.34,3.34,3.3,3.34
2648,2015-03-26,3.34,3.42,3.32,3.34
2647,2015-03-27,3.34,3.38,3.34,3.34
2646,2015-03-30,3.34,3.42,3.32,3.38
2645,2015-03-31,3.38,3.4,3.34,3.38
2644,2015-04-01,3.34,3.42,3.32,3.34
2643,2015-04-02,3.34,3.36,3.32,3.34
2642,2015-04-03,3.36,3.36,3.32,3.34
2641,2015-04-06,3.34,3.36,3.3,3.34
2640,2015-04-07,3.34,3.36,3.32,3.34
2639,2015-04-08,3.34,3.36,3.3,3.34
2638,2015-04-09,3.34,3.34,3.3,3.32
2637,2015-04-10,3.34,3.36,3.3,3.32
2636,2015-04-13,3.34,3.36,3.32,3.32
2635,2015-04-14,3.32,3.32,3.29,3.3
2634,2015-04-15,3.3,3.36,3.3,3.36
2633,2015-04-16,3.36,3.36,3.32,3.34
2632,2015-04-17,3.34,3.36,3.3,3.34
2631,2015-04-20,3.34,3.36,3.3,3.34
2630,2015-04-21,3.34,3.49,3.32,3.44
2629,2015-04-22,3.44,3.48,3.44,3.46
2628,2015-04-23,3.46,3.46,3.4,3.46
2627,2015-04-24,3.44,3.44,3.38,3.38
2626,2015-04-27,3.36,3.4,3.32,3.38
2625,2015-05-04,3.36,3.38,3.32,3.34
2624,2015-05-05,3.34,3.38,3.3,3.38
2623,2015-05-06,3.36,3.38,3.32,3.36
2622,2015-05-07,3.34,3.36,3.34,3.34
2621,2015-05-08,3.32,3.38,3.32,3.36
2620,2015-05-11,3.38,3.38,3.34,3.36
2619,2015-05-12,3.34,3.36,3.32,3.34
2618,2015-05-13,3.34,3.36,3.32,3.36
2617,2015-05-14,3.34,3.4,3.32,3.38
2616,2015-05-15,3.36,3.57,3.36,3.53
2615,2015-05-18,3.53,3.53,3.49,3.51
2614,2015-05-19,3.51,3.65,3.51,3.63
2613,2015-05-20,3.63,3.7,3.57,3.57
2612,2015-05-21,3.57,3.59,3.55,3.59
2611,2015-05-22,3.57,3.63,3.51,3.53
2610,2015-05-25,3.55,3.55,3.44,3.44
2609,2015-05-26,3.44,3.53,3.42,3.46
2608,2015-05-27,3.44,3.48,3.42,3.46
2607,2015-05-28,3.48,3.51,3.44,3.46
2606,2015-05-29,3.44,3.48,3.44,3.44
2605,2015-06-01,3.46,3.49,3.46,3.46
2604,2015-06-02,3.44,3.51,3.44,3.49
2603,2015-06-03,3.49,3.55,3.46,3.53
2602,2015-06-04,3.53,3.78,3.51,3.78
2601,2015-06-05,3.78,3.86,3.7,3.84
2600,2015-06-08,3.82,3.91,3.76,3.87
2599,2015-06-09,3.84,3.87,3.7,3.74
2598,2015-06-10,3.72,3.72,3.68,3.72
2597,2015-06-11,3.72,3.76,3.7,3.7
2596,2015-06-12,3.7,3.76,3.7,3.72
2595,2015-06-15,3.72,3.74,3.7,3.7
2594,2015-06-16,3.72,3.82,3.7,3.78
2593,2015-06-17,3.78,3.78,3.67,3.7
2592,2015-06-18,3.7,3.74,3.7,3.7
2591,2015-06-19,3.78,3.8,3.72,3.74
2590,2015-06-22,3.74,3.76,3.72,3.72
2589,2015-06-23,3.72,3.74,3.67,3.7
2588,2015-06-24,3.7,3.74,3.67,3.67
2587,2015-06-25,3.67,3.7,3.65,3.67
2586,2015-06-26,3.67,3.7,3.65,3.65
2585,2015-06-29,3.67,3.68,3.63,3.63
2584,2015-06-30,3.65,3.67,3.61,3.61
2583,2015-07-01,3.65,3.67,3.59,3.61
2582,2015-07-02,3.67,3.67,3.61,3.63
2581,2015-07-03,3.68,3.68,3.61,3.63
2580,2015-07-06,3.68,3.7,3.63,3.65
2579,2015-07-07,3.68,3.89,3.67,3.89
2578,2015-07-08,4.06,4.1,4.01,4.03
2577,2015-07-09,4.01,4.03,3.76,3.76
2576,2015-07-10,3.78,3.97,3.76,3.93
2575,2015-07-13,3.93,4.02,3.9,3.97
2574,2015-07-14,3.97,4.07,3.97,4.02
2573,2015-07-15,3.97,4.0,3.93,3.95
2572,2015-07-16,3.95,3.95,3.9,3.95
2571,2015-07-17,3.95,4.0,3.93,3.97
2570,2015-07-20,3.95,4.07,3.9,4.04
2569,2015-07-21,4.02,4.18,4.0,4.14
2568,2015-07-22,4.11,4.4,4.11,4.4
2567,2015-07-23,4.37,4.37,4.28,4.35
2566,2015-07-24,4.35,4.54,4.32,4.54
2565,2015-07-27,4.54,4.84,4.51,4.84
2564,2015-07-28,4.84,4.96,4.51,4.68
2563,2015-07-29,4.65,4.68,4.37,4.37
2562,2015-07-30,4.32,4.42,4.25,4.4
2561,2015-07-31,4.37,4.44,4.11,4.42
2560,2015-08-03,4.37,4.44,4.25,4.4
2559,2015-08-04,4.37,4.4,4.3,4.4
2558,2015-08-05,4.4,4.44,4.35,4.4
2557,2015-08-06,4.37,4.42,4.32,4.35
2556,2015-08-07,4.32,4.4,4.32,4.35
2555,2015-08-10,4.35,4.37,4.3,4.3
2554,2015-08-11,4.3,4.32,4.14,4.21
2553,2015-08-12,4.21,4.23,4.16,4.21
2552,2015-08-13,4.21,4.23,4.16,4.18
2551,2015-08-14,4.18,4.37,4.16,4.3
2550,2015-08-17,4.3,4.32,4.21,4.23
2549,2015-08-18,4.21,4.25,4.16,4.18
2548,2015-08-19,4.18,4.18,4.04,4.04
2547,2015-08-20,4.04,4.07,4.0,4.0
2546,2015-08-21,4.0,4.0,3.88,3.9
2545,2015-08-24,3.9,3.93,3.64,3.81
2544,2015-08-25,3.78,3.78,3.71,3.74
2543,2015-08-26,3.71,3.76,3.69,3.74
2542,2015-08-27,3.74,3.81,3.57,3.71
2541,2015-08-28,3.71,3.74,3.64,3.69
2540,2015-08-31,3.69,3.76,3.64,3.76
2539,2015-09-01,3.76,3.93,3.69,3.85
2538,2015-09-03,3.85,3.9,3.76,3.76
2537,2015-09-04,3.76,3.81,3.71,3.74
2536,2015-09-07,3.69,3.78,3.67,3.74
2535,2015-09-08,3.71,3.76,3.69,3.76
2534,2015-09-09,3.76,3.81,3.71,3.76
2533,2015-09-10,3.74,3.76,3.67,3.71
2532,2015-09-11,3.69,3.69,3.64,3.67
2531,2015-09-14,3.64,3.71,3.62,3.67
2530,2015-09-15,3.67,3.69,3.64,3.67
2529,2015-09-16,3.67,3.67,3.62,3.64
2528,2015-09-17,3.64,3.78,3.6,3.78
2527,2015-09-18,3.78,3.78,3.53,3.53
2526,2015-09-21,3.29,3.6,3.29,3.48
2525,2015-09-22,3.48,3.55,3.46,3.53
2524,2015-09-23,3.5,3.53,3.46,3.48
2523,2015-09-24,3.48,3.53,3.43,3.48
2522,2015-09-25,3.46,3.5,3.43,3.48
