,Date,Open,High,Low,Close
2129,2017-04-21,36.22,36.22,32.17,34.19
2128,2017-04-24,34.19,34.61,33.56,33.84
2127,2017-04-25,33.63,33.84,31.5,31.57
2126,2017-04-26,30.14,31.12,30.14,30.84
2125,2017-04-27,30.84,32.1,30.84,32.1
2124,2017-04-28,32.24,32.87,32.24,32.62
2123,2017-05-03,32.62,32.73,32.17,32.69
2122,2017-05-04,32.69,33.21,32.66,33.21
2121,2017-05-05,32.94,33.21,32.87,32.94
2120,2017-05-08,32.87,33.21,32.59,33.21
2119,2017-05-09,33.21,33.21,32.8,32.8
2118,2017-05-10,32.8,33.14,32.8,32.94
2117,2017-05-11,32.94,34.75,32.94,33.98
2116,2017-05-12,33.98,34.19,33.84,33.98
2115,2017-05-15,33.74,34.4,33.56,34.05
2114,2017-05-16,34.33,36.36,34.05,35.73
2113,2017-05-17,35.66,36.36,35.31,35.66
2112,2017-05-18,35.52,37.06,35.52,37.06
2111,2017-05-19,37.62,39.65,37.27,39.65
2110,2017-05-22,41.82,42.38,41.26,42.38
2109,2017-05-23,42.65,45.1,42.38,42.38
2108,2017-05-24,42.38,42.45,40.21,41.26
2107,2017-05-25,41.26,42.03,40.98,41.26
2106,2017-05-26,40.7,41.19,40.28,40.63
2105,2017-05-29,40.56,42.31,40.56,42.03
2104,2017-05-30,42.03,43.42,42.03,42.65
2103,2017-05-31,43.0,43.14,42.24,42.79
2102,2017-06-01,42.79,43.21,42.79,42.79
2101,2017-06-02,42.45,42.79,41.75,41.75
2100,2017-06-05,41.75,43.21,41.4,42.72
2099,2017-06-06,42.72,43.0,42.52,43.0
2098,2017-06-07,42.93,43.21,42.65,42.72
2097,2017-06-08,42.72,42.86,42.52,42.72
2096,2017-06-09,42.65,44.33,42.65,43.77
2095,2017-06-12,43.77,45.1,43.56,44.05
2094,2017-06-13,44.19,44.54,43.84,44.05
2093,2017-06-14,43.91,44.05,43.28,44.05
2092,2017-06-15,43.7,44.26,43.42,43.91
2091,2017-06-16,43.63,44.05,43.56,43.63
2090,2017-06-19,43.56,44.61,43.56,44.61
2089,2017-06-20,44.75,45.73,44.68,45.73
2088,2017-06-21,45.8,46.85,45.03,46.78
2087,2017-06-22,47.27,48.81,47.2,48.6
2086,2017-06-23,48.74,50.35,48.67,49.93
2085,2017-06-26,50.35,51.26,49.79,50.21
2084,2017-06-27,49.86,50.07,48.11,48.11
2083,2017-06-28,47.83,48.74,47.06,47.97
2082,2017-06-29,48.11,49.09,47.48,48.6
2081,2017-06-30,48.88,49.02,48.25,48.25
2080,2017-07-03,48.25,48.67,47.9,48.18
2079,2017-07-04,47.9,47.97,46.99,47.34
2078,2017-07-05,47.27,48.53,47.06,48.11
2077,2017-07-06,47.9,49.79,47.55,49.65
2076,2017-07-07,49.44,49.65,48.53,48.6
2075,2017-07-10,47.9,48.53,47.69,48.11
2074,2017-07-11,48.11,48.11,47.55,48.11
2073,2017-07-12,48.81,48.81,48.11,48.11
2072,2017-07-13,48.25,49.09,48.25,49.09
2071,2017-07-14,49.51,49.65,48.95,48.95
2070,2017-07-17,48.95,49.23,47.97,48.04
2069,2017-07-18,47.76,48.39,47.69,48.18
2068,2017-07-19,48.11,48.88,48.11,48.46
2067,2017-07-20,48.92,49.06,47.89,48.04
2066,2017-07-21,48.04,48.4,47.89,48.04
2065,2017-07-24,47.3,48.04,46.2,46.2
