,Date,Open,High,Low,Close
2700,2015-01-05,9.09,9.09,9.06,9.06
2699,2015-01-06,9.04,9.04,8.65,8.88
2698,2015-01-07,8.97,9.11,8.88,8.88
2697,2015-01-08,8.7,8.86,8.61,8.86
2696,2015-01-09,8.77,8.86,8.65,8.65
2695,2015-01-12,8.7,8.7,8.7,8.7
2694,2015-01-13,8.65,8.88,8.65,8.77
2693,2015-01-14,8.65,8.88,8.61,8.88
2692,2015-01-15,8.81,8.88,8.65,8.65
2691,2015-01-16,8.65,8.65,8.61,8.65
2690,2015-01-19,8.61,8.65,8.61,8.65
2689,2015-01-20,8.63,8.65,8.63,8.65
2688,2015-01-21,8.56,8.59,8.54,8.54
2687,2015-01-22,8.54,8.74,8.54,8.65
2686,2015-01-23,8.52,8.72,8.52,8.52
2685,2015-01-26,8.49,8.65,8.43,8.65
2684,2015-01-27,8.54,8.54,8.43,8.54
2683,2015-01-28,8.54,8.54,8.54,8.54
2682,2015-01-29,8.38,8.56,8.38,8.56
2681,2015-01-30,8.56,8.56,8.56,8.56
2680,2015-02-02,8.43,8.54,8.43,8.54
2679,2015-02-03,8.43,8.52,8.43,8.43
2678,2015-02-04,8.43,8.63,8.27,8.43
2677,2015-02-05,8.31,8.38,8.15,8.38
2676,2015-02-06,8.38,8.63,8.38,8.54
2675,2015-02-09,8.61,8.61,8.52,8.52
2674,2015-02-10,8.43,8.43,8.43,8.43
2673,2015-02-11,8.43,8.43,8.31,8.43
2672,2015-02-12,8.43,8.54,8.31,8.54
2671,2015-02-13,8.22,8.43,8.22,8.43
2670,2015-02-24,8.52,8.52,8.29,8.49
2669,2015-02-25,8.4,8.4,8.4,8.4
2668,2015-02-26,8.43,8.54,8.4,8.47
2667,2015-02-27,8.54,8.54,8.38,8.47
2666,2015-03-02,8.59,8.59,8.31,8.31
2665,2015-03-03,8.38,8.4,8.22,8.38
2664,2015-03-04,8.43,8.54,8.36,8.38
2663,2015-03-05,8.43,8.52,8.36,8.52
2662,2015-03-06,8.52,8.52,8.38,8.45
2661,2015-03-09,8.38,8.45,8.38,8.45
2660,2015-03-10,8.45,8.47,8.38,8.47
2659,2015-03-11,8.43,8.47,8.43,8.47
2658,2015-03-12,8.47,8.52,8.38,8.52
2657,2015-03-13,8.52,8.68,8.52,8.68
2656,2015-03-16,8.68,8.74,8.45,8.68
2655,2015-03-17,8.68,8.74,8.65,8.74
2654,2015-03-18,8.74,8.86,8.74,8.86
2653,2015-03-19,8.88,9.47,8.88,9.47
2652,2015-03-20,10.11,10.11,9.56,9.88
2651,2015-03-23,9.88,10.02,9.56,9.88
2650,2015-03-24,9.68,9.72,9.52,9.59
2649,2015-03-25,9.45,9.77,9.45,9.56
2648,2015-03-26,9.61,9.66,9.56,9.66
2647,2015-03-27,9.79,9.79,9.79,9.79
2646,2015-03-30,9.86,9.86,9.79,9.79
2645,2015-03-31,9.97,9.97,9.97,9.97
2644,2015-04-01,9.91,10.02,9.91,10.02
2643,2015-04-02,10.02,10.13,9.93,10.13
2642,2015-04-03,10.2,10.25,10.04,10.25
2641,2015-04-06,10.48,10.48,10.13,10.25
2640,2015-04-07,10.25,10.25,10.13,10.25
2639,2015-04-08,10.25,10.48,10.22,10.48
2638,2015-04-09,10.48,10.5,10.36,10.5
2637,2015-04-10,10.59,11.14,10.59,10.63
2636,2015-04-13,10.7,10.89,10.63,10.82
2635,2015-04-14,10.82,10.93,10.82,10.93
2634,2015-04-15,10.93,11.04,10.93,10.93
2633,2015-04-16,11.14,11.39,11.14,11.27
2632,2015-04-17,11.25,11.27,10.93,11.27
2631,2015-04-20,11.09,11.16,11.04,11.16
2630,2015-04-21,11.16,11.25,11.04,11.25
2629,2015-04-22,11.09,11.25,11.09,11.25
2628,2015-04-23,11.16,11.16,10.93,11.04
2627,2015-04-24,11.16,11.73,11.16,11.61
2626,2015-04-27,11.61,11.61,11.04,11.04
2625,2015-05-04,11.5,11.5,10.93,11.04
2624,2015-05-05,11.04,11.04,11.04,11.04
2623,2015-05-06,11.27,11.61,11.27,11.5
2622,2015-05-07,11.61,11.61,11.5,11.61
2621,2015-05-08,11.61,11.61,11.39,11.61
2620,2015-05-11,11.61,11.61,11.5,11.5
2619,2015-05-12,11.61,11.84,11.5,11.84
2618,2015-05-13,11.84,11.84,11.39,11.84
2617,2015-05-14,11.39,11.84,11.39,11.84
2616,2015-05-15,11.39,11.73,11.39,11.73
2615,2015-05-18,11.39,11.5,11.39,11.5
2614,2015-05-19,11.5,11.5,11.39,11.5
2613,2015-05-20,11.5,11.61,11.39,11.61
2612,2015-05-21,11.61,11.73,11.61,11.73
2611,2015-05-22,11.73,11.73,11.73,11.73
2610,2015-05-25,11.73,11.84,11.73,11.73
2609,2015-05-26,11.73,11.84,11.73,11.84
2608,2015-05-27,11.73,11.96,11.73,11.73
2607,2015-05-28,11.73,11.84,11.39,11.84
2606,2015-05-29,11.61,11.84,11.61,11.61
2605,2015-06-01,11.84,11.84,11.5,11.61
2604,2015-06-02,11.61,11.61,11.61,11.61
2603,2015-06-03,11.5,11.61,11.39,11.61
2602,2015-06-04,11.5,12.41,11.5,11.5
2601,2015-06-05,11.73,11.96,11.73,11.73
2600,2015-06-08,11.84,11.84,11.73,11.73
2599,2015-06-09,11.73,11.84,11.73,11.73
2598,2015-06-10,11.61,11.61,11.61,11.61
2597,2015-06-11,12.06,12.42,11.61,12.39
2596,2015-06-12,12.36,12.36,12.36,12.36
2595,2015-06-15,12.8,12.8,12.21,12.21
2594,2015-06-16,12.21,12.21,11.91,11.91
2593,2015-06-17,11.94,12.03,11.88,12.0
2592,2015-06-18,12.0,12.0,11.91,11.94
2591,2015-06-19,11.94,11.94,11.91,11.91
2590,2015-06-22,11.91,11.91,11.85,11.85
2589,2015-06-23,11.61,11.85,11.61,11.85
2588,2015-06-24,11.85,11.85,11.85,11.85
2587,2015-06-25,11.85,11.85,11.85,11.85
2586,2015-06-26,11.85,11.88,11.82,11.88
2585,2015-06-29,11.73,11.76,11.7,11.76
2584,2015-06-30,11.79,11.79,11.7,11.76
2583,2015-07-01,11.76,11.76,11.61,11.76
2582,2015-07-02,11.61,11.73,11.61,11.67
2581,2015-07-03,11.49,11.67,11.49,11.67
2580,2015-07-06,11.67,11.67,11.61,11.67
2579,2015-07-07,11.61,11.61,11.46,11.58
2578,2015-07-08,11.58,11.58,11.58,11.58
2577,2015-07-09,11.58,11.61,11.52,11.61
2576,2015-07-10,11.7,11.73,11.61,11.64
2575,2015-07-13,11.88,11.91,11.73,11.91
2574,2015-07-14,11.91,11.91,11.91,11.91
2573,2015-07-15,11.91,11.91,11.85,11.85
2572,2015-07-16,11.79,11.85,11.79,11.85
2571,2015-07-17,11.76,11.76,11.76,11.76
2570,2015-07-20,11.46,11.91,11.46,11.46
2569,2015-07-21,11.46,11.91,11.46,11.88
2568,2015-07-22,11.88,11.88,11.46,11.46
2567,2015-07-23,11.46,11.91,11.46,11.52
2566,2015-07-24,11.61,11.7,11.55,11.61
2565,2015-07-27,11.76,11.91,11.31,11.91
2564,2015-07-28,11.91,11.91,11.91,11.91
2563,2015-07-29,11.76,11.76,11.49,11.49
2562,2015-07-30,11.52,11.52,11.43,11.43
2561,2015-07-31,11.43,11.55,10.87,10.93
2560,2015-08-03,10.27,11.02,10.27,10.51
2559,2015-08-04,10.42,10.96,10.42,10.48
2558,2015-08-05,10.48,10.48,10.42,10.42
2557,2015-08-06,10.42,10.51,10.42,10.42
2556,2015-08-07,10.42,10.69,10.36,10.36
2555,2015-08-10,10.36,10.54,10.12,10.36
2554,2015-08-11,10.54,10.54,10.36,10.39
2553,2015-08-12,10.27,10.42,10.12,10.27
2552,2015-08-13,10.27,10.27,9.97,9.97
2551,2015-08-14,9.97,10.27,9.68,9.68
2550,2015-08-17,9.02,9.2,9.02,9.02
2549,2015-08-18,8.93,9.62,8.93,9.62
2548,2015-08-19,9.59,9.65,9.26,9.65
2547,2015-08-20,9.65,9.65,9.38,9.38
2546,2015-08-21,9.53,9.59,9.23,9.5
2545,2015-08-24,9.26,10.12,9.23,9.38
