,Date,Open,High,Low,Close
2700,2015-01-05,32.89,32.89,31.6,31.6
2699,2015-01-06,30.05,31.08,30.05,30.82
2698,2015-01-07,30.3,31.34,30.05,30.82
2697,2015-01-08,31.34,31.86,30.82,30.82
2696,2015-01-09,31.08,32.64,31.08,32.38
2695,2015-01-12,32.12,32.64,31.86,32.12
2694,2015-01-13,31.6,32.12,31.34,31.6
2693,2015-01-14,31.86,31.86,30.82,31.08
2692,2015-01-15,32.12,33.15,31.34,32.38
2691,2015-01-16,32.12,32.64,31.86,32.12
2690,2015-01-19,32.64,33.15,32.12,32.38
2689,2015-01-20,31.86,32.64,31.86,31.86
2688,2015-01-21,31.86,32.12,31.6,31.6
2687,2015-01-22,31.86,32.38,31.86,31.86
2686,2015-01-23,32.12,32.38,31.86,32.12
2685,2015-01-26,31.86,32.38,31.6,31.86
2684,2015-01-27,31.86,32.12,31.08,31.34
2683,2015-01-28,31.6,31.86,31.08,31.08
2682,2015-01-29,30.82,31.34,30.3,30.56
2681,2015-01-30,30.56,30.82,29.79,29.79
2680,2015-02-02,30.3,30.3,29.53,29.53
2679,2015-02-03,30.3,31.08,30.3,30.3
2678,2015-02-04,31.08,31.6,30.56,31.08
2677,2015-02-05,30.3,31.08,30.3,30.82
2676,2015-02-06,31.34,31.6,30.82,31.08
2675,2015-02-09,31.08,31.34,30.56,31.08
2674,2015-02-10,30.82,31.08,30.82,30.82
2673,2015-02-11,30.56,30.82,30.05,30.3
2672,2015-02-12,30.56,30.82,29.79,30.82
2671,2015-02-13,31.08,31.08,30.56,30.82
2670,2015-02-24,30.82,30.82,30.3,30.3
2669,2015-02-25,30.56,30.56,29.53,29.79
2668,2015-02-26,30.3,30.3,29.79,30.05
2667,2015-02-27,30.05,30.05,29.79,30.05
2666,2015-03-02,30.3,30.3,29.79,29.79
2665,2015-03-03,30.05,30.3,29.79,30.05
2664,2015-03-04,30.3,30.3,30.05,30.05
2663,2015-03-05,30.3,31.34,30.3,30.56
2662,2015-03-06,30.56,31.08,30.3,30.3
2661,2015-03-09,30.3,30.56,30.05,30.05
2660,2015-03-10,30.05,30.05,29.79,29.79
2659,2015-03-11,29.79,29.79,29.27,29.53
2658,2015-03-12,29.53,29.53,29.01,29.01
2657,2015-03-13,29.01,29.01,28.49,28.49
2656,2015-03-16,28.49,28.49,27.46,27.46
2655,2015-03-17,27.46,27.46,26.94,27.2
2654,2015-03-18,27.2,27.2,25.8,26.16
2653,2015-03-19,26.42,26.42,25.9,26.16
2652,2015-03-20,25.9,26.16,25.75,25.9
2651,2015-03-23,26.16,26.42,25.38,25.38
2650,2015-03-24,25.12,25.12,24.24,24.4
2649,2015-03-25,24.35,24.35,22.79,22.79
2648,2015-03-26,22.79,23.88,22.79,23.57
2647,2015-03-27,23.93,24.45,23.47,23.47
2646,2015-03-30,23.31,23.41,22.84,22.95
2645,2015-03-31,22.95,23.52,22.95,23.21
2644,2015-04-01,23.16,23.21,22.02,22.17
2643,2015-04-02,22.53,22.95,22.07,22.74
2642,2015-04-03,22.9,23.52,22.79,23.31
2641,2015-04-06,23.31,23.78,23.31,23.31
2640,2015-04-07,23.52,23.83,23.1,23.83
2639,2015-04-08,23.98,24.24,23.62,23.62
2638,2015-04-09,23.57,23.93,23.36,23.78
2637,2015-04-10,23.73,23.93,23.52,23.52
2636,2015-04-13,23.52,24.04,23.52,23.93
2635,2015-04-14,24.04,24.55,23.88,24.4
2634,2015-04-15,24.61,25.9,24.61,25.9
2633,2015-04-16,27.46,27.71,27.46,27.71
2632,2015-04-17,27.97,29.27,27.46,27.46
2631,2015-04-20,27.46,28.49,27.2,27.97
2630,2015-04-21,27.97,29.01,27.97,28.23
2629,2015-04-22,28.23,29.01,28.23,28.75
2628,2015-04-23,29.01,29.27,28.23,29.01
2627,2015-04-24,29.27,29.79,28.75,29.53
2626,2015-04-27,29.53,29.53,28.23,28.23
2625,2015-05-04,29.01,29.01,26.94,27.71
2624,2015-05-05,27.46,28.75,26.68,28.49
2623,2015-05-06,29.01,30.05,28.75,29.27
2622,2015-05-07,29.01,29.53,28.49,29.01
2621,2015-05-08,28.49,28.75,27.97,28.49
2620,2015-05-11,28.49,28.49,27.46,27.71
2619,2015-05-12,27.97,28.49,27.46,27.71
2618,2015-05-13,28.23,28.49,27.2,27.2
2617,2015-05-14,27.2,27.71,26.94,27.2
2616,2015-05-15,27.2,27.2,26.16,26.16
2615,2015-05-18,26.16,26.16,25.38,25.38
2614,2015-05-19,25.38,25.8,25.23,25.54
2613,2015-05-20,25.54,26.68,25.33,26.16
2612,2015-05-21,26.68,27.97,26.42,27.46
2611,2015-05-22,27.71,28.23,27.46,27.97
2610,2015-05-25,27.97,27.97,27.2,27.71
2609,2015-05-26,27.46,27.97,27.46,27.71
2608,2015-05-27,27.46,27.46,26.94,27.2
2607,2015-05-28,27.2,27.71,26.94,27.2
2606,2015-05-29,27.2,27.2,26.42,26.68
2605,2015-06-01,27.2,27.46,26.68,26.68
2604,2015-06-02,26.94,27.2,26.68,26.68
2603,2015-06-03,27.2,27.46,26.94,26.94
2602,2015-06-04,27.2,27.2,26.68,26.94
2601,2015-06-05,26.42,27.46,26.42,26.94
2600,2015-06-08,27.2,27.97,26.94,27.46
2599,2015-06-09,27.46,27.71,26.68,27.46
2598,2015-06-10,27.71,27.97,26.94,27.71
2597,2015-06-11,28.23,28.75,28.23,28.49
2596,2015-06-12,28.75,28.75,27.97,28.49
2595,2015-06-15,28.49,28.49,27.71,27.97
2594,2015-06-16,27.71,27.97,27.46,27.46
2593,2015-06-17,27.46,27.71,26.94,27.2
2592,2015-06-18,27.2,27.71,27.2,27.2
2591,2015-06-19,27.46,27.71,27.2,27.46
2590,2015-06-22,27.2,28.23,27.2,28.23
2589,2015-06-23,28.23,28.23,27.71,27.97
2588,2015-06-24,28.23,28.23,27.46,27.46
2587,2015-06-25,27.46,27.71,27.2,27.2
2586,2015-06-26,26.94,27.46,26.94,26.94
2585,2015-06-29,26.94,27.97,26.68,27.71
2584,2015-06-30,27.46,27.71,27.2,27.2
2583,2015-07-01,27.2,27.71,26.94,27.46
2582,2015-07-02,27.46,27.97,27.2,27.97
2581,2015-07-03,28.23,28.23,27.71,28.23
2580,2015-07-06,28.49,30.05,28.49,30.05
2579,2015-07-07,30.05,30.56,29.53,29.53
2578,2015-07-08,29.27,29.53,28.49,28.49
2577,2015-07-09,28.23,28.75,27.71,28.49
2576,2015-07-10,28.75,29.27,28.23,28.75
2575,2015-07-13,28.75,30.3,28.49,30.3
2574,2015-07-14,30.05,30.05,28.75,28.75
2573,2015-07-15,29.39,29.39,28.65,28.65
2572,2015-07-16,28.53,28.59,27.92,28.04
2571,2015-07-17,28.16,28.29,27.49,27.55
2570,2015-07-20,27.12,27.25,26.51,26.82
2569,2015-07-21,26.63,27.18,26.63,26.88
2568,2015-07-22,26.82,27.0,26.76,27.0
2567,2015-07-23,27.0,27.74,26.94,27.55
2566,2015-07-24,27.55,28.16,27.55,27.92
2565,2015-07-27,27.92,28.04,27.74,27.86
2564,2015-07-28,27.61,27.61,27.06,27.12
2563,2015-07-29,26.94,27.25,26.94,27.0
2562,2015-07-30,27.31,27.31,27.0,27.12
2561,2015-07-31,27.12,27.31,26.88,26.88
2560,2015-08-03,26.63,26.63,26.14,26.39
2559,2015-08-04,26.08,26.39,26.02,26.27
2558,2015-08-05,26.08,26.51,26.08,26.51
2557,2015-08-06,26.33,26.51,26.33,26.51
2556,2015-08-07,26.39,26.45,26.2,26.27
2555,2015-08-10,26.14,26.27,26.08,26.2
2554,2015-08-11,26.33,26.39,26.08,26.14
2553,2015-08-12,26.14,26.14,25.47,25.47
2552,2015-08-13,25.47,25.47,24.49,24.55
2551,2015-08-14,24.49,24.74,24.0,24.12
2550,2015-08-17,24.12,24.25,22.65,23.33
2549,2015-08-18,23.02,23.33,22.96,23.33
2548,2015-08-19,23.14,23.14,22.22,22.53
2547,2015-08-20,22.29,22.35,21.0,21.0
2546,2015-08-21,20.82,20.88,19.59,20.27
2545,2015-08-24,19.9,19.9,18.86,18.86
2544,2015-08-25,18.31,19.47,18.31,19.29
2543,2015-08-26,19.29,20.63,19.29,20.63
2542,2015-08-27,21.12,21.98,21.0,21.67
2541,2015-08-28,22.71,23.14,22.16,23.14
2540,2015-08-31,23.27,23.51,21.86,22.22
2539,2015-09-01,22.78,22.96,21.86,21.86
2538,2015-09-03,21.43,21.92,21.0,21.31
2537,2015-09-04,21.43,21.8,21.37,21.43
2536,2015-09-07,21.31,21.43,21.06,21.12
2535,2015-09-08,20.94,21.37,20.82,21.12
2534,2015-09-09,21.61,21.98,21.43,21.43
2533,2015-09-10,21.18,21.37,21.12,21.25
2532,2015-09-11,21.43,21.73,21.25,21.37
2531,2015-09-14,21.18,21.31,20.94,21.0
2530,2015-09-15,20.82,21.43,20.82,21.06
2529,2015-09-16,21.43,21.49,21.12,21.25
2528,2015-09-17,21.73,22.16,21.61,21.8
2527,2015-09-18,22.04,22.35,21.67,21.98
2526,2015-09-21,21.73,22.04,21.55,21.98
2525,2015-09-22,22.1,22.22,21.73,21.8
2524,2015-09-23,21.67,22.1,21.61,22.04
2523,2015-09-24,21.98,21.98,21.61,21.67
2522,2015-09-25,21.61,21.8,21.37,21.49
2521,2015-09-28,21.49,21.55,21.06,21.06
2520,2015-09-29,20.94,21.06,20.63,20.94
2519,2015-09-30,21.12,21.18,20.94,20.94
2518,2015-10-01,20.94,21.25,20.94,21.06
2517,2015-10-02,21.06,21.06,20.82,20.94
2516,2015-10-05,20.88,21.61,20.88,21.37
2515,2015-10-06,21.73,22.22,21.67,22.04
2514,2015-10-07,22.65,23.45,22.65,22.9
2513,2015-10-08,22.9,22.96,22.59,22.84
2512,2015-10-09,23.39,23.57,23.2,23.2
2511,2015-10-12,23.2,23.63,23.02,23.51
2510,2015-10-13,23.08,23.2,22.9,22.96
2509,2015-10-14,22.71,23.27,22.59,22.9
2508,2015-10-15,22.78,22.96,22.71,22.84
2507,2015-10-16,23.14,23.14,22.71,22.71
2506,2015-10-19,22.65,22.96,22.65,22.71
2505,2015-10-20,22.65,22.65,22.29,22.35
2504,2015-10-21,22.22,22.59,22.16,22.35
2503,2015-10-22,22.29,22.53,22.29,22.35
2502,2015-10-23,22.35,22.78,22.35,22.59
2501,2015-10-26,22.53,22.53,22.29,22.35
2500,2015-10-27,22.1,22.29,22.04,22.04
2499,2015-10-28,22.1,22.16,21.8,21.86
2498,2015-10-29,22.35,22.47,21.98,22.04
2497,2015-10-30,22.22,22.53,21.92,22.53
2496,2015-11-02,22.53,22.53,22.16,22.16
2495,2015-11-03,22.16,22.29,21.98,22.1
2494,2015-11-04,22.53,22.53,22.16,22.22
2493,2015-11-05,22.04,22.22,22.04,22.1
2492,2015-11-06,21.98,22.22,21.8,21.86
2491,2015-11-09,21.8,21.86,21.55,21.55
2490,2015-11-10,21.43,21.55,21.25,21.25
2489,2015-11-11,21.18,21.18,20.94,21.0
2488,2015-11-12,20.94,21.0,20.57,20.69
2487,2015-11-13,20.33,20.39,20.08,20.33
2486,2015-11-16,20.2,20.2,19.9,19.9
2485,2015-11-17,20.2,20.69,20.2,20.39
2484,2015-11-18,20.27,20.33,20.14,20.2
2483,2015-11-19,20.39,20.63,20.2,20.51
2482,2015-11-20,20.33,20.57,20.33,20.51
2481,2015-11-23,20.39,20.39,20.2,20.2
2480,2015-11-24,20.45,20.45,20.14,20.14
2479,2015-11-25,20.27,20.45,20.08,20.14
2478,2015-11-26,20.2,20.2,19.84,19.84
2477,2015-11-27,19.84,20.02,19.71,19.71
2476,2015-11-30,19.71,19.71,19.16,19.16
2475,2015-12-01,19.1,19.35,18.73,18.73
2474,2015-12-02,18.73,18.98,18.73,18.8
2473,2015-12-03,18.73,18.73,18.49,18.49
2472,2015-12-04,18.49,18.92,18.49,18.92
2471,2015-12-07,18.73,18.73,18.37,18.37
2470,2015-12-08,18.06,18.37,17.69,18.37
2469,2015-12-09,18.37,18.43,17.76,17.76
