,Date,Open,High,Low,Close
2700,2015-01-05,16.17,16.17,15.74,15.8
2699,2015-01-06,15.74,15.74,15.13,15.56
2698,2015-01-07,15.5,15.92,15.25,15.68
2697,2015-01-08,15.8,16.17,15.68,15.86
2696,2015-01-09,15.8,16.77,15.8,16.71
2695,2015-01-12,16.59,16.71,15.92,16.47
2694,2015-01-13,14.83,16.41,14.83,15.92
2693,2015-01-14,16.04,16.35,15.74,16.29
2692,2015-01-15,16.23,17.81,16.23,17.56
2691,2015-01-16,17.5,17.5,17.02,17.2
2690,2015-01-19,15.5,17.62,15.5,17.02
2689,2015-01-20,16.96,17.08,16.65,16.83
2688,2015-01-21,16.77,16.96,16.65,16.71
2687,2015-01-22,16.71,17.02,16.65,17.02
2686,2015-01-23,17.02,17.32,16.9,17.32
2685,2015-01-26,17.02,17.2,16.77,16.77
2684,2015-01-27,16.83,17.02,16.41,16.77
2683,2015-01-28,16.77,17.02,16.47,17.02
2682,2015-01-29,16.71,16.9,16.59,16.59
2681,2015-01-30,16.59,16.83,16.29,16.35
2680,2015-02-02,16.35,16.96,16.35,16.96
2679,2015-02-03,16.96,17.38,16.71,16.83
2678,2015-02-04,16.9,17.08,16.77,16.96
2677,2015-02-05,16.83,16.83,16.59,16.59
2676,2015-02-06,16.59,17.02,16.41,17.02
2675,2015-02-09,16.71,17.02,16.59,16.83
2674,2015-02-10,16.83,16.83,16.65,16.65
2673,2015-02-11,15.01,16.71,15.01,16.47
2672,2015-02-12,16.47,16.65,16.47,16.65
2671,2015-02-13,16.71,16.77,16.59,16.65
2670,2015-02-24,16.65,16.77,16.47,16.53
2669,2015-02-25,16.71,16.71,16.17,16.17
2668,2015-02-26,16.29,16.59,16.04,16.47
2667,2015-02-27,14.83,16.59,14.83,16.47
2666,2015-03-02,16.47,16.53,16.29,16.41
2665,2015-03-03,14.77,16.53,14.77,16.53
2664,2015-03-04,16.59,16.65,16.47,16.65
2663,2015-03-05,16.65,17.2,16.65,16.9
2662,2015-03-06,17.02,17.02,16.71,16.71
2661,2015-03-09,16.65,16.71,16.47,16.53
2660,2015-03-10,16.47,16.59,16.47,16.47
2659,2015-03-11,16.47,16.53,16.35,16.41
2658,2015-03-12,16.47,16.59,16.29,16.29
2657,2015-03-13,16.29,16.35,16.04,16.04
2656,2015-03-16,16.04,16.11,15.5,15.56
2655,2015-03-17,15.5,15.8,15.5,15.56
2654,2015-03-18,15.56,15.56,15.07,15.32
2653,2015-03-19,13.86,15.5,13.86,15.19
2652,2015-03-20,15.19,15.32,15.13,15.19
2651,2015-03-23,15.32,15.38,14.65,14.71
2650,2015-03-24,14.71,14.71,14.16,14.4
2649,2015-03-25,14.4,14.71,13.61,13.61
2648,2015-03-26,12.28,14.22,12.28,13.92
2647,2015-03-27,13.98,14.22,13.74,13.74
2646,2015-03-30,13.49,13.86,13.37,13.37
2645,2015-03-31,13.37,13.86,13.37,13.74
2644,2015-04-01,12.46,13.74,12.46,13.07
2643,2015-04-02,13.19,13.61,13.07,13.55
2642,2015-04-03,13.55,13.86,13.37,13.86
2641,2015-04-06,13.86,13.98,13.74,13.74
2640,2015-04-07,13.92,14.04,13.74,14.04
2639,2015-04-08,14.16,14.28,13.98,13.98
2638,2015-04-09,13.98,14.16,13.86,14.04
2637,2015-04-10,14.04,14.16,14.04,14.04
2636,2015-04-13,14.04,14.28,13.92,13.92
2635,2015-04-14,13.98,14.22,13.92,14.16
2634,2015-04-15,14.16,15.32,14.16,15.32
2633,2015-04-16,15.5,16.11,15.38,15.5
2632,2015-04-17,15.5,15.8,15.38,15.68
2631,2015-04-20,15.68,16.04,15.5,15.8
2630,2015-04-21,15.98,16.11,15.74,15.74
2629,2015-04-22,15.62,15.8,15.56,15.56
2628,2015-04-23,15.56,15.86,15.38,15.74
2627,2015-04-24,15.8,16.23,15.8,16.11
2626,2015-04-27,16.23,16.35,15.74,15.8
2625,2015-05-04,16.04,16.11,15.25,15.38
2624,2015-05-05,15.25,15.5,14.77,15.38
2623,2015-05-06,15.62,15.86,15.38,15.56
2622,2015-05-07,15.62,15.68,15.5,15.5
2621,2015-05-08,15.38,15.5,15.19,15.32
2620,2015-05-11,15.38,15.38,15.01,15.01
2619,2015-05-12,14.89,15.01,14.59,14.59
2618,2015-05-13,14.89,15.01,14.59,15.01
2617,2015-05-14,15.01,15.19,14.65,15.13
2616,2015-05-15,15.13,15.13,14.71,14.71
2615,2015-05-18,14.71,14.71,14.28,14.4
2614,2015-05-19,14.4,14.83,14.28,14.77
2613,2015-05-20,14.65,15.13,14.53,15.07
2612,2015-05-21,15.19,15.68,15.07,15.68
2611,2015-05-22,15.8,15.98,15.62,15.68
2610,2015-05-25,15.68,15.74,15.44,15.56
2609,2015-05-26,15.56,15.74,15.56,15.74
2608,2015-05-27,15.62,15.62,15.5,15.5
2607,2015-05-28,15.44,15.68,15.25,15.62
2606,2015-05-29,15.19,15.62,15.19,15.38
2605,2015-06-01,15.38,15.68,15.38,15.38
2604,2015-06-02,15.38,15.68,15.38,15.44
2603,2015-06-03,15.5,15.92,15.5,15.92
2602,2015-06-04,14.59,15.98,14.59,15.74
2601,2015-06-05,15.68,16.29,15.56,16.11
2600,2015-06-08,16.11,17.26,16.11,16.71
2599,2015-06-09,16.71,16.96,16.47,16.71
2598,2015-06-10,16.71,17.02,16.65,16.96
2597,2015-06-11,17.02,17.69,17.02,17.26
2596,2015-06-12,17.26,17.5,17.14,17.32
2595,2015-06-15,17.5,17.5,17.02,17.02
2594,2015-06-16,17.02,17.14,16.77,16.9
2593,2015-06-17,16.71,16.96,16.59,16.65
2592,2015-06-18,16.65,16.9,16.65,16.77
2591,2015-06-19,16.9,17.2,16.59,16.77
2590,2015-06-22,16.77,16.83,16.65,16.77
2589,2015-06-23,16.9,17.02,16.83,16.83
2588,2015-06-24,17.02,17.26,17.02,17.2
2587,2015-06-25,17.14,17.2,16.96,16.96
2586,2015-06-26,16.9,16.9,16.53,16.53
2585,2015-06-29,16.47,16.65,16.17,16.47
2584,2015-06-30,16.41,16.53,16.35,16.35
2583,2015-07-01,16.35,16.83,16.35,16.83
2582,2015-07-02,16.9,17.02,16.65,16.9
2581,2015-07-03,16.9,17.2,16.9,17.2
2580,2015-07-06,17.2,18.23,17.14,18.23
2579,2015-07-07,18.23,18.35,17.81,17.81
2578,2015-07-08,17.69,17.81,17.14,17.2
2577,2015-07-09,17.08,17.26,16.9,17.2
2576,2015-07-10,17.2,17.62,17.2,17.38
2575,2015-07-13,17.38,17.44,17.2,17.26
2574,2015-07-14,17.26,17.26,16.83,16.83
2573,2015-07-15,16.96,17.08,16.65,16.65
2572,2015-07-16,16.65,16.77,16.47,16.65
2571,2015-07-17,16.59,16.83,16.59,16.65
2570,2015-07-20,16.65,16.65,15.8,16.35
2569,2015-07-21,16.29,16.41,15.8,15.86
2568,2015-07-22,15.8,16.23,15.38,16.23
2567,2015-07-23,16.11,16.29,16.04,16.23
2566,2015-07-24,16.11,16.41,16.11,16.23
2565,2015-07-27,16.17,16.35,16.04,16.23
2564,2015-07-28,16.17,16.17,15.8,15.8
2563,2015-07-29,16.5,16.57,15.93,16.06
2562,2015-07-30,16.12,16.44,16.12,16.44
2561,2015-07-31,16.44,16.63,16.44,16.44
2560,2015-08-03,16.25,16.31,15.8,15.99
2559,2015-08-04,15.93,15.99,15.8,15.99
2558,2015-08-05,16.06,16.25,16.06,16.25
2557,2015-08-06,16.31,16.31,16.06,16.12
2556,2015-08-07,16.06,16.12,15.93,15.93
2555,2015-08-10,15.93,16.06,15.93,15.93
2554,2015-08-11,14.34,16.12,14.34,15.93
2553,2015-08-12,15.93,15.93,15.42,15.55
2552,2015-08-13,15.55,15.55,14.91,14.91
2551,2015-08-14,14.97,14.97,14.46,14.66
2550,2015-08-17,13.38,14.66,13.19,13.83
2549,2015-08-18,12.49,14.15,12.49,13.89
2548,2015-08-19,14.02,14.02,13.7,13.76
2547,2015-08-20,13.64,13.7,12.68,12.81
2546,2015-08-21,14.08,14.08,11.85,12.68
2545,2015-08-24,12.68,12.68,11.6,11.6
2544,2015-08-25,10.45,12.36,10.45,12.11
2543,2015-08-26,10.9,13.32,10.9,13.19
2542,2015-08-27,13.32,13.64,12.93,13.06
2541,2015-08-28,13.19,13.95,13.19,13.89
2540,2015-08-31,14.02,14.08,13.38,13.38
2539,2015-09-01,13.76,13.89,13.38,13.38
2538,2015-09-03,13.38,13.38,12.93,13.06
2537,2015-09-04,12.93,13.32,12.74,13.25
2536,2015-09-07,12.74,13.25,12.74,13.06
2535,2015-09-08,12.93,13.19,12.87,13.19
2534,2015-09-09,13.13,13.64,13.13,13.51
2533,2015-09-10,13.38,13.38,13.19,13.25
2532,2015-09-11,13.38,13.57,13.19,13.19
2531,2015-09-14,13.19,13.19,12.74,12.81
2530,2015-09-15,12.81,13.0,12.62,12.81
2529,2015-09-16,13.0,13.13,12.81,13.06
2528,2015-09-17,13.25,13.44,13.13,13.32
2527,2015-09-18,13.38,13.44,13.13,13.13
2526,2015-09-21,13.13,13.32,13.0,13.32
2525,2015-09-22,13.38,13.7,13.38,13.44
