,Date,Open,High,Low,Close
2700,2015-01-05,5.42,5.5,5.35,5.35
2699,2015-01-06,5.19,5.54,5.19,5.5
2698,2015-01-07,5.5,5.66,5.46,5.46
2697,2015-01-08,5.5,5.54,5.39,5.39
2696,2015-01-09,5.39,5.58,5.39,5.5
2695,2015-01-12,5.5,5.54,5.31,5.35
2694,2015-01-13,5.31,5.46,5.31,5.39
2693,2015-01-14,5.46,5.5,5.31,5.39
2692,2015-01-15,5.46,5.74,5.39,5.74
2691,2015-01-16,5.7,5.74,5.58,5.62
2690,2015-01-19,5.66,5.7,5.5,5.5
2689,2015-01-20,5.46,5.58,5.42,5.5
2688,2015-01-21,5.54,5.66,5.5,5.58
2687,2015-01-22,5.62,5.7,5.54,5.62
2686,2015-01-23,5.66,5.74,5.62,5.62
2685,2015-01-26,5.66,5.74,5.58,5.58
2684,2015-01-27,5.58,5.66,5.35,5.42
2683,2015-01-28,5.42,5.54,5.42,5.46
2682,2015-01-29,5.46,5.5,5.39,5.42
2681,2015-01-30,5.42,5.46,5.31,5.31
2680,2015-02-02,5.31,5.39,5.15,5.15
2679,2015-02-03,5.23,5.31,5.07,5.07
2678,2015-02-04,5.11,5.19,5.07,5.07
2677,2015-02-05,5.11,5.15,5.07,5.07
2676,2015-02-06,5.19,5.23,5.15,5.15
2675,2015-02-09,5.19,5.23,5.11,5.11
2674,2015-02-10,5.11,5.19,5.07,5.11
2673,2015-02-11,5.15,5.35,5.11,5.27
2672,2015-02-12,5.31,5.39,5.27,5.27
2671,2015-02-13,5.35,5.35,5.23,5.27
2670,2015-02-24,5.27,5.42,5.27,5.39
2669,2015-02-25,5.42,5.54,5.35,5.35
2668,2015-02-26,5.35,5.46,5.31,5.42
2667,2015-02-27,5.42,5.46,5.39,5.46
2666,2015-03-02,5.5,5.54,5.46,5.5
2665,2015-03-03,5.5,5.62,5.5,5.62
2664,2015-03-04,5.66,5.7,5.58,5.62
2663,2015-03-05,5.62,5.82,5.58,5.74
2662,2015-03-06,5.78,5.78,5.66,5.66
2661,2015-03-09,5.62,5.7,5.58,5.62
