,Date,Open,High,Low,Close
2210,2016-12-20,33.63,33.63,33.63,33.63
2209,2016-12-21,38.68,38.68,29.43,30.63
2208,2016-12-22,30.63,30.63,27.75,27.84
2207,2016-12-23,25.86,30.63,25.86,28.89
2206,2016-12-26,29.7,29.7,28.71,28.92
2205,2016-12-27,28.83,28.92,28.77,28.86
2204,2016-12-28,28.86,28.89,28.53,28.62
2203,2016-12-29,28.38,28.68,28.23,28.56
2202,2016-12-30,28.53,28.68,28.23,28.53
2201,2017-01-03,28.68,28.83,28.59,28.77
2200,2017-01-04,28.83,29.28,28.74,29.13
2199,2017-01-05,29.34,29.89,29.13,29.73
2198,2017-01-06,29.67,30.28,29.67,30.22
2197,2017-01-09,30.16,31.85,30.16,31.85
2196,2017-01-10,31.39,32.9,31.39,32.54
2195,2017-01-11,32.0,33.21,31.7,32.99
2194,2017-01-12,33.06,33.81,32.9,33.48
2193,2017-01-13,33.81,33.81,32.0,32.66
2192,2017-01-16,32.87,32.87,31.09,31.21
2191,2017-01-17,30.82,31.7,29.89,30.97
2190,2017-01-18,30.79,32.15,30.79,31.7
2189,2017-01-19,32.27,32.27,31.55,31.7
2188,2017-01-20,31.55,31.85,31.49,31.67
2187,2017-01-23,31.7,31.85,31.09,31.79
2186,2017-01-24,31.7,32.0,31.7,31.91
2185,2017-01-25,31.88,32.87,31.88,32.36
2184,2017-02-02,32.42,33.21,32.42,33.06
2183,2017-02-03,32.99,33.78,32.99,33.45
2182,2017-02-06,33.51,34.08,32.93,33.12
2181,2017-02-07,33.12,33.45,32.81,32.84
2180,2017-02-08,33.21,33.21,32.99,33.06
2179,2017-02-09,32.9,33.48,32.9,33.36
2178,2017-02-10,33.24,33.48,33.18,33.21
2177,2017-02-13,33.21,33.36,32.93,33.18
2176,2017-02-14,32.96,33.36,32.96,33.02
2175,2017-02-15,33.21,33.21,32.96,33.09
2174,2017-02-16,33.21,33.21,32.9,32.9
2173,2017-02-17,32.9,32.99,32.84,32.9
2172,2017-02-20,33.09,33.12,32.75,32.9
2171,2017-02-21,32.9,33.36,32.9,33.21
2170,2017-02-22,33.15,33.45,33.15,33.33
2169,2017-02-23,33.45,33.75,33.45,33.66
2168,2017-02-24,33.75,36.07,33.63,35.05
2167,2017-02-27,35.32,35.92,34.9,35.92
2166,2017-02-28,35.77,37.1,35.77,36.59
2165,2017-03-01,36.83,37.13,35.68,36.22
2164,2017-03-02,36.68,36.68,35.89,35.92
2163,2017-03-03,35.92,36.22,35.77,36.04
2162,2017-03-06,35.86,36.53,35.86,36.41
2161,2017-03-07,36.35,36.68,36.26,36.59
2160,2017-03-08,36.47,36.95,36.38,36.92
2159,2017-03-09,37.1,37.31,37.04,37.16
2158,2017-03-10,37.25,37.43,37.19,37.4
2157,2017-03-13,37.43,37.55,36.95,37.07
2156,2017-03-14,37.31,37.31,36.86,37.22
2155,2017-03-15,37.28,37.55,37.28,37.46
2154,2017-03-16,37.46,37.52,37.4,37.52
2153,2017-03-17,37.49,38.01,37.49,37.98
2152,2017-03-20,38.04,38.88,38.04,38.88
2151,2017-03-21,38.76,38.88,38.04,38.04
2150,2017-03-22,38.04,38.04,32.81,37.95
2149,2017-03-23,38.04,38.04,37.92,37.98
2148,2017-03-24,38.04,38.19,38.01,38.19
2147,2017-03-27,38.28,38.28,32.36,37.73
2146,2017-03-28,37.92,38.04,32.24,38.01
2145,2017-03-29,37.73,37.73,37.43,37.73
2144,2017-03-30,37.73,37.92,37.58,37.73
2143,2017-03-31,37.64,37.64,37.07,37.13
2142,2017-04-03,37.43,42.78,31.67,37.25
2141,2017-04-04,37.28,37.28,31.7,36.83
2140,2017-04-05,36.89,36.89,35.02,36.1
2139,2017-04-07,36.44,36.86,30.61,36.68
2138,2017-04-10,36.86,36.98,36.83,36.95
2137,2017-04-11,37.13,38.01,31.33,37.46
2136,2017-04-12,37.58,37.82,32.03,37.43
2135,2017-04-13,37.34,37.7,31.98,37.52
2134,2017-04-14,37.43,37.58,37.19,37.31
2133,2017-04-17,37.37,37.43,37.28,37.31
2132,2017-04-18,37.34,37.43,37.13,37.22
2131,2017-04-19,37.22,37.37,37.22,37.37
2130,2017-04-20,37.28,37.31,37.28,37.31
2129,2017-04-21,37.25,37.31,37.22,37.31
2128,2017-04-24,37.31,38.07,37.31,38.07
2127,2017-04-25,38.04,38.19,32.26,38.01
2126,2017-04-26,38.28,38.28,32.35,37.58
2125,2017-04-27,37.73,37.73,37.52,37.7
2124,2017-04-28,37.86,37.89,37.58,37.58
2123,2017-05-03,38.73,38.77,37.74,37.78
2122,2017-05-04,38.02,38.97,38.02,38.61
2121,2017-05-05,38.73,38.89,38.69,38.69
2120,2017-05-08,38.85,38.89,37.98,38.37
2119,2017-05-09,38.26,38.26,38.02,38.02
2118,2017-05-10,37.78,37.78,37.58,37.58
2117,2017-05-11,37.62,37.66,37.58,37.58
2116,2017-05-12,37.58,37.58,36.16,36.67
2115,2017-05-15,36.4,36.75,35.61,36.71
2114,2017-05-16,36.0,36.4,35.61,36.28
2113,2017-05-17,36.2,38.37,30.62,36.48
2112,2017-05-18,36.4,36.75,31.33,36.44
2111,2017-05-19,36.4,36.67,36.4,36.59
2110,2017-05-22,36.4,36.59,36.28,36.28
2109,2017-05-23,36.4,36.4,30.94,35.8
2108,2017-05-24,35.92,35.96,35.57,35.61
2107,2017-05-25,35.76,35.8,30.38,35.61
2106,2017-05-26,35.61,35.72,35.41,35.61
2105,2017-05-29,35.61,36.12,30.26,35.8
2104,2017-05-30,35.8,36.36,35.61,36.08
2103,2017-05-31,36.0,36.32,35.84,36.24
2102,2017-06-01,36.0,36.0,30.74,35.8
2101,2017-06-02,35.8,35.8,35.61,35.68
2100,2017-06-05,35.61,35.72,30.34,35.65
2099,2017-06-06,36.0,36.0,35.53,35.72
2098,2017-06-07,35.33,35.65,35.21,35.29
2097,2017-06-08,35.33,35.68,35.17,35.45
2096,2017-06-09,35.49,35.49,35.37,35.37
2095,2017-06-12,35.05,35.09,33.9,34.22
2094,2017-06-13,34.02,34.02,33.23,33.39
2093,2017-06-14,32.72,32.84,30.86,32.24
2092,2017-06-15,31.93,34.34,31.65,33.35
2091,2017-06-16,33.23,33.71,33.19,33.43
2090,2017-06-19,33.23,33.83,33.23,33.31
2089,2017-06-20,33.31,33.63,33.23,33.39
2088,2017-06-21,33.31,33.31,28.37,32.95
2087,2017-06-22,32.95,33.07,32.04,32.99
2086,2017-06-23,32.64,33.47,32.36,32.92
2085,2017-06-26,32.64,33.19,32.44,33.19
2084,2017-06-27,32.68,33.19,32.68,32.99
2083,2017-06-28,32.84,33.07,32.84,33.07
2082,2017-06-29,32.84,33.27,32.84,33.27
2081,2017-06-30,33.31,33.63,33.31,33.59
2080,2017-07-03,33.63,33.63,33.15,33.23
2079,2017-07-04,33.23,33.35,33.07,33.27
2078,2017-07-05,33.23,33.23,32.92,33.07
2077,2017-07-06,33.03,33.23,32.84,33.23
2076,2017-07-07,33.03,33.43,32.92,33.03
2075,2017-07-10,32.84,32.95,32.68,32.8
2074,2017-07-11,32.84,32.84,32.68,32.72
2073,2017-07-12,32.76,32.8,32.48,32.68
2072,2017-07-13,32.64,32.76,32.64,32.68
2071,2017-07-14,32.68,32.76,32.44,32.6
2070,2017-07-17,32.72,32.72,32.04,32.04
2069,2017-07-18,32.04,32.68,31.33,32.6
2068,2017-07-19,31.89,32.56,31.81,32.01
2067,2017-07-20,31.85,32.12,31.77,32.08
2066,2017-07-21,32.24,32.99,32.24,32.48
2065,2017-07-24,32.08,32.44,32.08,32.24
2064,2017-07-25,32.24,32.64,31.85,31.89
2063,2017-07-26,31.77,31.85,31.69,31.77
2062,2017-07-27,31.77,32.01,31.65,31.97
2061,2017-07-28,32.05,32.24,32.05,32.13
2060,2017-07-31,31.97,32.05,31.85,31.85
2059,2017-08-01,31.93,31.93,31.33,31.33
2058,2017-08-02,31.41,31.41,30.21,30.29
2057,2017-08-03,30.49,31.05,30.29,30.85
2056,2017-08-04,30.85,30.97,30.29,30.45
2055,2017-08-07,30.45,30.45,29.82,29.82
2054,2017-08-08,29.98,29.98,27.87,29.14
2053,2017-08-09,28.9,29.06,28.66,28.9
2052,2017-08-10,28.98,29.06,28.54,28.62
2051,2017-08-11,28.62,28.62,27.67,28.06
2050,2017-08-14,28.06,28.1,26.47,27.43
2049,2017-08-15,27.39,27.51,27.07,27.47
2048,2017-08-16,27.47,28.98,27.35,28.5
2047,2017-08-17,28.34,29.38,28.34,28.94
2046,2017-08-18,29.02,29.02,28.46,28.5
2045,2017-08-21,28.5,28.5,27.71,27.95
2044,2017-08-22,27.87,28.22,27.87,28.1
2043,2017-08-23,28.03,28.22,28.03,28.14
2042,2017-08-24,28.06,28.22,28.03,28.18
2041,2017-08-25,28.1,28.26,28.06,28.22
2040,2017-08-28,28.22,28.46,28.06,28.38
2039,2017-08-29,28.38,29.18,28.38,28.98
2038,2017-08-30,29.02,29.18,28.98,29.02
2037,2017-08-31,29.02,29.14,28.98,29.06
2036,2017-09-01,28.98,29.02,28.58,28.94
2035,2017-09-05,28.66,29.06,28.46,29.06
2034,2017-09-06,28.98,29.06,28.94,29.06
2033,2017-09-07,28.94,29.02,28.86,28.9
2032,2017-09-08,28.94,28.98,28.82,28.9
2031,2017-09-11,28.9,28.9,28.74,28.78
2030,2017-09-12,28.78,28.86,28.66,28.86
2029,2017-09-13,28.86,28.9,28.78,28.86
2028,2017-09-14,28.78,28.82,28.58,28.66
2027,2017-09-15,28.66,28.66,28.46,28.54
2026,2017-09-18,28.46,28.46,28.06,28.26
2025,2017-09-19,28.22,28.26,28.03,28.1
2024,2017-09-20,28.14,28.14,27.99,28.1
2023,2017-09-21,28.06,28.3,28.06,28.22
2022,2017-09-22,28.26,28.46,28.18,28.22
2021,2017-09-25,28.26,28.26,28.06,28.1
2020,2017-09-26,28.1,28.1,27.99,28.03
2019,2017-09-27,28.03,28.03,27.87,27.95
2018,2017-09-28,27.95,27.95,27.87,27.91
2017,2017-09-29,27.79,27.87,27.67,27.75
2016,2017-10-02,27.75,27.75,27.07,27.35
2015,2017-10-03,27.27,27.27,26.23,26.67
2014,2017-10-04,26.59,26.59,26.19,26.47
2013,2017-10-05,26.27,27.47,26.27,27.15
2012,2017-10-06,26.71,27.47,26.67,27.07
2011,2017-10-09,27.07,27.07,26.31,26.83
2010,2017-10-10,26.67,26.79,26.51,26.67
2009,2017-10-11,26.67,26.91,26.59,26.79
2008,2017-10-12,26.75,26.99,26.75,26.87
2007,2017-10-13,26.87,26.87,26.59,26.59
2006,2017-10-16,26.67,26.75,26.19,26.67
2005,2017-10-17,26.47,26.67,26.43,26.47
2004,2017-10-18,26.47,26.59,26.47,26.51
2003,2017-10-19,26.51,26.55,26.43,26.47
2002,2017-10-20,26.55,26.55,26.43,26.43
2001,2017-10-23,26.43,26.43,25.8,25.92
2000,2017-10-24,25.88,25.88,24.12,24.36
1999,2017-10-25,24.28,24.28,20.9,22.61
1998,2017-10-26,22.65,23.09,21.89,21.97
1997,2017-10-27,22.09,22.33,20.3,21.85
1996,2017-10-30,21.1,22.69,20.9,21.85
1995,2017-10-31,21.97,22.09,21.7,21.82
1994,2017-11-01,21.7,21.89,21.5,21.7
1993,2017-11-02,21.74,22.69,21.74,22.49
1992,2017-11-03,22.69,24.68,22.69,24.68
1991,2017-11-06,24.68,27.31,24.68,26.19
1990,2017-11-07,26.47,26.47,24.8,25.12
1989,2017-11-08,25.32,25.32,24.32,24.68
1988,2017-11-09,24.68,25.08,24.28,24.96
1987,2017-11-10,25.0,25.48,25.0,25.16
1986,2017-11-13,25.16,25.16,24.36,24.64
1985,2017-11-14,24.64,24.64,24.28,24.6
1984,2017-11-15,24.52,24.76,24.52,24.6
1983,2017-11-16,24.6,24.6,24.36,24.4
1982,2017-11-17,24.44,24.44,23.89,23.96
1981,2017-11-20,23.96,24.48,23.96,24.12
1980,2017-11-21,24.12,24.32,24.12,24.24
