,Date,Open,High,Low,Close
2700,2015-01-05,9.81,9.92,9.74,9.74
2699,2015-01-06,9.6,9.92,9.6,9.92
2698,2015-01-07,9.85,9.99,9.81,9.81
2697,2015-01-08,9.78,9.81,9.67,9.71
2696,2015-01-09,9.71,9.85,9.71,9.78
2695,2015-01-12,9.78,9.95,9.71,9.85
2694,2015-01-13,9.81,9.92,9.78,9.92
2693,2015-01-14,9.99,10.13,9.92,10.06
2692,2015-01-15,10.06,10.13,10.02,10.13
2691,2015-01-16,10.13,10.16,9.99,10.02
2690,2015-01-19,9.99,10.06,9.81,9.85
2689,2015-01-20,9.85,9.95,9.81,9.88
2688,2015-01-21,9.95,10.06,9.88,9.92
2687,2015-01-22,9.95,9.99,9.92,9.95
2686,2015-01-23,9.99,10.16,9.95,10.16
2685,2015-01-26,10.2,10.3,10.16,10.2
2684,2015-01-27,10.2,10.2,9.95,9.95
2683,2015-01-28,10.13,10.27,10.06,10.16
2682,2015-01-29,10.2,10.2,10.06,10.16
2681,2015-01-30,10.16,10.16,9.92,9.95
2680,2015-02-02,9.92,9.95,9.85,9.85
2679,2015-02-03,9.85,10.02,9.78,9.78
2678,2015-02-04,9.81,9.81,9.74,9.74
2677,2015-02-05,9.85,9.92,9.78,9.92
2676,2015-02-06,9.92,9.95,9.81,9.95
2675,2015-02-09,9.95,9.95,9.85,9.85
2674,2015-02-10,9.85,9.95,9.81,9.95
2673,2015-02-11,9.88,10.02,9.88,10.02
2672,2015-02-12,10.02,10.23,10.02,10.2
2671,2015-02-13,10.3,10.37,10.23,10.3
2670,2015-02-24,10.34,10.34,10.27,10.34
2669,2015-02-25,10.52,10.52,10.26,10.26
2668,2015-02-26,10.3,10.3,10.15,10.15
2667,2015-02-27,10.23,10.23,10.15,10.15
2666,2015-03-02,10.15,10.15,10.08,10.08
2665,2015-03-03,10.08,10.19,10.08,10.19
2664,2015-03-04,10.23,10.34,10.23,10.34
2663,2015-03-05,10.34,10.34,10.26,10.3
2662,2015-03-06,10.41,10.41,10.3,10.34
2661,2015-03-09,10.26,10.34,10.19,10.23
2660,2015-03-10,10.19,10.23,10.15,10.19
2659,2015-03-11,10.19,10.23,10.12,10.12
2658,2015-03-12,10.15,10.15,10.08,10.15
2657,2015-03-13,10.19,10.23,10.15,10.15
2656,2015-03-16,10.15,10.15,10.08,10.08
2655,2015-03-17,10.08,10.12,10.04,10.12
2654,2015-03-18,10.15,10.15,10.01,10.04
2653,2015-03-19,10.04,10.12,9.97,9.97
2652,2015-03-20,9.93,10.01,9.89,9.97
2651,2015-03-23,10.01,10.01,9.86,9.86
2650,2015-03-24,9.86,9.86,9.67,9.75
2649,2015-03-25,9.71,9.82,9.71,9.71
2648,2015-03-26,9.71,9.82,9.67,9.75
2647,2015-03-27,9.86,9.86,9.71,9.71
2646,2015-03-30,9.71,9.78,9.6,9.64
2645,2015-03-31,9.64,9.71,9.6,9.71
2644,2015-04-01,9.75,9.75,9.49,9.53
2643,2015-04-02,9.53,9.6,9.49,9.6
2642,2015-04-03,9.6,9.6,9.53,9.53
2641,2015-04-06,9.6,9.64,9.56,9.56
2640,2015-04-07,9.6,9.64,9.53,9.64
2639,2015-04-08,9.67,9.71,9.64,9.67
2638,2015-04-09,9.67,9.71,9.64,9.64
2637,2015-04-10,9.64,9.75,9.64,9.67
2636,2015-04-13,9.67,9.75,9.64,9.71
2635,2015-04-14,9.71,9.71,9.6,9.64
2634,2015-04-15,9.64,9.64,9.6,9.6
2633,2015-04-16,9.6,9.71,9.6,9.71
2632,2015-04-17,9.71,9.97,9.71,9.89
2631,2015-04-20,9.89,9.89,9.78,9.86
2630,2015-04-21,9.82,9.86,9.75,9.75
2629,2015-04-22,9.75,9.75,9.64,9.67
2628,2015-04-23,9.67,9.71,9.6,9.64
2627,2015-04-24,9.64,9.71,9.6,9.67
2626,2015-04-27,9.67,9.78,9.64,9.67
2625,2015-05-04,9.67,9.67,9.38,9.41
2624,2015-05-05,9.41,9.49,9.27,9.49
2623,2015-05-06,9.49,9.49,9.34,9.34
2622,2015-05-07,9.34,9.41,9.3,9.38
2621,2015-05-08,9.38,9.49,9.38,9.38
2620,2015-05-11,9.38,9.41,9.34,9.38
2619,2015-05-12,9.38,9.41,9.27,9.34
2618,2015-05-13,9.34,9.41,9.3,9.3
2617,2015-05-14,9.3,9.3,9.23,9.27
2616,2015-05-15,9.27,9.3,9.08,9.12
2615,2015-05-18,9.08,9.12,8.82,8.82
2614,2015-05-19,8.82,9.16,8.82,8.86
2613,2015-05-20,8.86,9.23,8.86,9.23
2612,2015-05-21,9.23,9.41,9.16,9.34
2611,2015-05-22,9.27,9.45,9.27,9.38
2610,2015-05-25,9.45,9.45,9.3,9.41
2609,2015-05-26,9.41,9.45,9.3,9.41
2608,2015-05-27,9.41,9.41,9.3,9.3
2607,2015-05-28,9.3,9.53,9.27,9.38
2606,2015-05-29,9.38,9.45,9.34,9.34
2605,2015-06-01,9.34,9.41,9.3,9.3
2604,2015-06-02,9.38,9.38,9.23,9.23
2603,2015-06-03,9.27,9.27,9.19,9.23
2602,2015-06-04,9.34,9.38,9.3,9.3
2601,2015-06-05,9.38,9.67,9.34,9.6
2600,2015-06-08,9.67,9.71,9.56,9.56
2599,2015-06-09,9.53,9.6,9.41,9.45
2598,2015-06-10,9.45,9.49,9.34,9.38
2597,2015-06-11,9.45,9.56,9.41,9.49
2596,2015-06-12,9.53,9.56,9.41,9.49
2595,2015-06-15,9.53,9.56,9.41,9.41
2594,2015-06-16,9.53,9.53,9.41,9.45
2593,2015-06-17,9.45,9.45,9.38,9.38
2592,2015-06-18,9.41,9.45,9.38,9.41
2591,2015-06-19,9.45,9.6,9.45,9.49
2590,2015-06-22,9.53,9.67,9.49,9.64
2589,2015-06-23,9.6,9.75,9.6,9.64
2588,2015-06-24,9.6,9.67,9.53,9.6
2587,2015-06-25,9.53,9.6,9.53,9.53
2586,2015-06-26,9.53,10.19,9.53,9.78
2585,2015-06-29,9.86,10.01,9.67,10.01
2584,2015-06-30,9.93,10.04,9.86,9.93
2583,2015-07-01,9.93,9.97,9.78,9.93
2582,2015-07-02,9.93,9.97,9.82,9.97
2581,2015-07-03,10.04,10.19,10.01,10.12
2580,2015-07-06,10.26,10.26,10.12,10.19
2579,2015-07-07,10.15,10.6,10.08,10.37
2578,2015-07-08,10.37,10.41,9.97,10.23
2577,2015-07-09,10.08,10.23,10.04,10.23
2576,2015-07-10,10.19,10.37,10.19,10.26
2575,2015-07-13,10.34,10.37,10.23,10.26
2574,2015-07-14,10.26,10.34,10.19,10.34
