,Date,Open,High,Low,Close
2220,2016-12-06,49.34,49.34,49.34,49.34
2219,2016-12-07,52.78,52.78,52.78,52.78
2218,2016-12-08,56.44,56.44,56.44,56.44
2217,2016-12-09,56.44,60.37,56.44,60.37
2216,2016-12-12,64.59,64.59,64.59,64.59
2215,2016-12-13,69.08,69.08,69.08,69.08
2214,2016-12-14,73.9,73.9,73.9,73.9
2213,2016-12-15,79.06,79.06,78.5,79.06
2212,2016-12-16,84.59,84.59,74.76,84.1
2211,2016-12-19,79.24,84.1,79.24,79.24
2210,2016-12-20,78.87,79.06,73.71,73.71
2209,2016-12-21,73.71,76.07,69.15,75.06
2208,2016-12-22,78.46,78.46,75.88,75.88
2207,2016-12-23,75.88,75.88,73.68,74.76
2206,2016-12-26,75.14,75.14,72.1,74.76
2205,2016-12-27,74.76,75.82,73.28,75.14
2204,2016-12-28,75.82,75.82,74.8,75.48
2203,2016-12-29,75.14,75.14,73.24,74.76
2202,2016-12-30,75.14,75.14,74.19,75.02
2201,2017-01-03,75.02,75.02,74.34,74.76
2200,2017-01-04,74.76,75.37,74.0,74.76
2199,2017-01-05,74.76,75.14,74.38,74.8
2198,2017-01-06,75.1,79.65,74.83,78.17
2197,2017-01-09,78.17,78.93,77.79,77.79
2196,2017-01-10,78.52,78.52,76.47,77.61
2195,2017-01-11,77.42,79.69,76.66,79.69
2194,2017-01-12,80.83,80.83,79.69,79.92
2193,2017-01-13,79.96,80.53,79.92,80.38
2192,2017-01-16,80.07,80.07,78.93,79.31
2191,2017-01-17,79.12,82.5,78.97,82.16
2190,2017-01-18,81.7,85.38,81.7,84.93
2189,2017-01-19,85.38,85.38,83.49,84.93
2188,2017-01-20,84.63,85.42,84.63,84.93
2187,2017-01-23,84.93,84.93,83.68,84.25
2186,2017-01-24,83.49,85.01,83.49,84.25
2185,2017-01-25,84.25,84.93,83.49,84.93
2184,2017-02-02,84.97,84.97,83.11,83.11
2183,2017-02-03,82.5,84.59,82.12,82.35
2182,2017-02-06,83.3,83.3,80.26,81.59
2181,2017-02-07,81.59,83.49,80.83,81.97
2180,2017-02-08,81.97,82.35,81.59,81.7
2179,2017-02-09,81.7,81.7,78.93,80.07
2178,2017-02-10,80.07,81.21,80.07,80.91
2177,2017-02-13,80.91,81.48,79.69,80.98
2176,2017-02-14,80.98,82.31,80.87,81.97
2175,2017-02-15,81.97,81.97,80.75,81.17
2174,2017-02-16,81.21,81.97,81.21,81.74
2173,2017-02-17,81.59,81.59,81.21,81.48
2172,2017-02-20,80.94,82.73,80.91,82.73
2171,2017-02-21,82.58,83.49,82.58,83.34
2170,2017-02-22,83.3,85.19,83.3,85.12
2169,2017-02-23,85.35,86.14,85.01,86.14
2168,2017-02-24,86.52,87.28,85.76,86.14
2167,2017-02-27,85.19,86.49,85.01,85.42
2166,2017-02-28,85.57,85.84,85.42,85.42
2165,2017-03-01,85.76,85.76,85.38,85.73
2164,2017-03-02,86.14,86.14,83.18,85.35
2163,2017-03-03,84.63,85.54,83.87,85.54
2162,2017-03-06,85.38,85.57,84.25,85.19
2161,2017-03-07,85.35,85.38,84.47,84.47
2160,2017-03-08,84.47,84.47,82.88,83.07
2159,2017-03-09,82.01,83.87,80.45,81.97
2158,2017-03-10,81.97,81.97,80.07,80.07
2157,2017-03-13,80.07,80.07,78.33,78.55
2156,2017-03-14,78.55,82.35,77.11,81.21
2155,2017-03-15,81.21,81.59,80.07,80.3
2154,2017-03-16,80.3,81.21,77.98,80.79
2153,2017-03-17,80.79,80.79,78.93,78.93
2152,2017-03-20,78.93,79.65,78.93,79.31
2151,2017-03-21,79.31,79.31,77.72,77.87
2150,2017-03-22,77.87,78.14,76.09,77.04
2149,2017-03-23,76.77,77.72,76.09,76.66
2148,2017-03-24,76.66,76.69,75.56,75.9
2147,2017-03-27,75.9,76.09,75.52,75.9
2146,2017-03-28,76.28,76.66,75.52,75.52
2145,2017-03-29,75.18,77.79,75.14,75.9
2144,2017-03-30,75.9,76.66,75.9,76.66
2143,2017-03-31,76.66,76.66,75.9,75.9
2142,2017-04-03,75.9,76.62,75.9,76.05
2141,2017-04-04,75.67,76.05,75.67,76.05
2140,2017-04-05,76.85,77.04,76.13,77.04
2139,2017-04-07,77.04,77.79,76.66,77.79
2138,2017-04-10,77.42,79.31,77.38,79.31
2137,2017-04-11,79.31,79.5,78.55,78.74
2136,2017-04-12,78.55,78.74,77.04,77.04
2135,2017-04-13,76.66,78.17,76.66,77.79
2134,2017-04-14,78.52,78.52,76.85,77.42
2133,2017-04-17,77.79,78.55,77.42,78.55
2132,2017-04-18,78.17,78.17,77.23,77.79
2131,2017-04-19,77.79,77.79,76.09,76.47
2130,2017-04-20,76.47,76.47,75.9,75.9
2129,2017-04-21,75.9,76.28,75.14,76.28
2128,2017-04-24,76.28,76.47,75.9,75.9
2127,2017-04-25,75.52,75.9,75.52,75.52
2126,2017-04-26,75.71,76.09,75.52,76.09
2125,2017-04-27,76.09,76.28,75.86,75.86
2124,2017-04-28,75.86,75.9,75.14,75.86
2123,2017-05-03,75.86,75.86,75.52,75.86
2122,2017-05-04,75.86,75.86,75.25,75.52
2121,2017-05-05,75.44,75.67,75.44,75.63
2120,2017-05-08,75.71,75.71,75.52,75.52
2119,2017-05-09,75.52,75.52,74.65,74.65
2118,2017-05-10,74.57,75.52,74.57,74.68
2117,2017-05-11,74.68,75.25,74.34,74.34
2116,2017-05-12,74.38,75.1,74.38,74.57
2115,2017-05-15,74.57,74.57,73.62,73.62
2114,2017-05-16,73.62,73.62,72.52,72.52
2113,2017-05-17,71.34,74.0,71.34,71.61
2112,2017-05-18,71.65,72.1,71.65,72.06
2111,2017-05-19,72.1,72.1,71.69,72.1
2110,2017-05-22,72.1,72.86,71.91,72.25
2109,2017-05-23,74.19,74.27,72.48,73.62
2108,2017-05-24,73.62,73.62,72.22,72.48
2107,2017-05-25,72.1,72.48,72.06,72.48
2106,2017-05-26,73.47,73.47,71.34,71.91
2105,2017-05-29,71.91,72.29,71.91,72.1
2104,2017-05-30,72.48,72.52,72.1,72.48
2103,2017-05-31,72.18,72.52,71.76,71.76
2102,2017-06-01,71.8,72.56,71.8,72.1
2101,2017-06-02,72.1,72.48,71.72,72.48
2100,2017-06-05,72.18,72.48,72.1,72.48
2099,2017-06-06,72.48,72.6,71.84,72.6
2098,2017-06-07,72.6,72.82,72.1,72.82
2097,2017-06-08,72.67,72.67,72.29,72.48
2096,2017-06-09,71.8,72.86,71.8,72.48
2095,2017-06-12,72.48,73.58,72.1,73.58
2094,2017-06-13,73.96,73.96,73.05,73.96
2093,2017-06-14,74.0,76.66,73.96,75.9
2092,2017-06-15,76.66,76.66,75.9,75.9
2091,2017-06-16,75.9,77.04,75.9,76.01
2090,2017-06-19,76.28,76.28,75.9,76.28
2089,2017-06-20,76.28,77.04,71.31,77.04
2088,2017-06-21,77.04,77.76,76.66,77.76
2087,2017-06-22,77.76,78.1,77.07,77.79
2086,2017-06-23,77.72,78.52,77.53,78.52
2085,2017-06-26,78.55,78.74,78.17,78.71
2084,2017-06-27,78.71,78.93,78.36,78.71
2083,2017-06-28,78.71,78.71,76.35,78.48
2082,2017-06-29,78.48,78.74,76.69,78.36
2081,2017-06-30,78.36,79.31,78.36,79.05
2080,2017-07-03,79.69,79.88,77.42,79.69
2079,2017-07-04,77.79,80.03,77.79,80.03
2078,2017-07-05,79.31,79.69,79.31,79.69
2077,2017-07-06,79.69,79.69,78.78,79.69
2076,2017-07-07,79.69,79.73,79.16,79.69
2075,2017-07-10,79.69,79.84,79.31,79.69
2074,2017-07-11,79.69,80.03,79.5,79.88
2073,2017-07-12,80.11,80.26,79.69,79.77
2072,2017-07-13,79.69,79.88,79.12,79.88
2071,2017-07-14,80.26,80.38,80.07,80.26
2070,2017-07-17,80.45,84.25,80.45,83.3
2069,2017-07-18,84.63,86.52,83.87,85.76
2068,2017-07-19,86.49,89.56,86.14,88.08
2067,2017-07-20,88.08,89.18,85.76,88.8
2066,2017-07-21,88.8,90.13,88.04,89.37
2065,2017-07-24,89.37,89.71,85.01,89.37
2064,2017-07-25,89.18,89.56,88.34,89.37
2063,2017-07-26,89.56,89.56,83.26,89.26
2062,2017-07-27,87.28,89.33,87.28,89.26
2061,2017-07-28,89.18,89.37,87.7,89.37
2060,2017-07-31,88.04,89.9,88.04,89.9
2059,2017-08-01,91.08,92.94,90.32,92.94
2058,2017-08-02,92.94,93.16,91.27,93.13
2057,2017-08-03,92.97,93.28,92.25,92.97
2056,2017-08-04,93.28,93.28,91.27,93.28
2055,2017-08-07,92.97,99.81,92.97,94.53
2054,2017-08-08,98.1,98.1,94.53,96.01
2053,2017-08-09,95.63,98.48,91.84,91.84
2052,2017-08-10,94.49,95.06,92.03,94.49
2051,2017-08-11,94.49,95.06,93.01,94.11
2050,2017-08-14,93.39,94.83,92.59,92.59
2049,2017-08-15,93.32,93.32,89.94,92.18
2048,2017-08-16,93.16,94.49,91.11,94.45
