,Date,Open,High,Low,Close
2700,2015-01-05,6.47,6.47,6.22,6.47
2699,2015-01-06,6.42,6.47,6.17,6.42
2698,2015-01-07,6.22,6.37,6.02,6.37
2697,2015-01-08,6.12,6.42,6.12,6.42
2696,2015-01-09,6.27,6.32,6.22,6.22
2695,2015-01-12,6.27,6.27,6.27,6.27
2694,2015-01-13,6.32,6.32,6.12,6.22
2693,2015-01-14,6.12,6.22,5.82,6.22
2692,2015-01-15,6.27,6.27,6.17,6.17
2691,2015-01-16,6.17,6.22,6.12,6.12
2690,2015-01-19,6.02,6.07,5.97,5.97
2689,2015-01-20,5.97,6.02,5.97,5.97
2688,2015-01-21,6.12,6.12,5.87,6.02
2687,2015-01-22,6.02,6.17,5.92,5.92
2686,2015-01-23,6.17,6.17,5.92,6.12
2685,2015-01-26,5.87,5.97,5.87,5.97
2684,2015-01-27,5.92,5.92,5.56,5.56
2683,2015-01-28,5.51,5.51,5.41,5.41
2682,2015-01-29,5.51,5.77,5.51,5.51
2681,2015-01-30,5.46,5.51,5.36,5.41
2680,2015-02-02,5.41,5.46,5.41,5.41
2679,2015-02-03,5.36,5.41,5.06,5.26
2678,2015-02-04,5.21,5.51,4.91,5.01
2677,2015-02-05,5.01,5.36,5.01,5.36
2676,2015-02-06,5.36,5.51,5.36,5.46
2675,2015-02-09,5.36,5.56,5.36,5.51
2674,2015-02-10,5.41,5.71,5.36,5.71
2673,2015-02-11,5.77,5.97,5.77,5.87
2672,2015-02-12,5.87,6.02,5.87,5.87
2671,2015-02-13,5.87,5.97,5.71,5.97
2670,2015-02-24,5.87,6.02,5.61,5.71
2669,2015-02-25,5.66,5.82,5.56,5.82
2668,2015-02-26,5.82,5.82,5.66,5.71
2667,2015-02-27,5.71,5.71,5.61,5.71
2666,2015-03-02,5.71,5.71,5.61,5.71
2665,2015-03-03,5.66,5.71,5.56,5.66
2664,2015-03-04,5.71,5.71,5.61,5.71
2663,2015-03-05,5.66,5.71,5.66,5.71
2662,2015-03-06,5.61,5.66,5.56,5.61
2661,2015-03-09,5.56,5.61,5.56,5.56
2660,2015-03-10,5.56,5.61,5.56,5.61
2659,2015-03-11,5.56,5.61,5.51,5.56
2658,2015-03-12,5.61,5.66,5.51,5.51
2657,2015-03-13,5.56,5.61,5.51,5.61
2656,2015-03-16,5.46,5.66,5.46,5.61
2655,2015-03-17,5.51,5.61,5.51,5.51
2654,2015-03-18,5.51,5.56,5.51,5.56
2653,2015-03-19,5.51,5.61,5.46,5.56
2652,2015-03-20,5.56,5.56,5.51,5.51
2651,2015-03-23,5.56,5.66,5.51,5.61
2650,2015-03-24,5.56,5.56,5.51,5.56
2649,2015-03-25,5.56,5.56,5.51,5.51
2648,2015-03-26,5.51,5.56,5.51,5.51
2647,2015-03-27,5.51,5.56,5.51,5.56
2646,2015-03-30,5.61,5.61,5.51,5.56
2645,2015-03-31,5.56,5.56,5.46,5.46
2644,2015-04-01,5.46,5.56,5.46,5.56
2643,2015-04-02,5.36,5.51,5.26,5.51
2642,2015-04-03,5.51,5.51,5.41,5.51
2641,2015-04-06,5.51,5.51,5.36,5.51
2640,2015-04-07,5.51,5.51,5.41,5.41
2639,2015-04-08,5.36,5.41,5.26,5.31
2638,2015-04-09,5.41,5.41,5.26,5.41
2637,2015-04-10,5.26,5.46,5.26,5.46
2636,2015-04-13,5.41,5.41,5.36,5.41
2635,2015-04-14,5.36,5.36,5.21,5.21
2634,2015-04-15,5.26,5.26,5.26,5.26
2633,2015-04-16,5.26,5.31,5.26,5.26
2632,2015-04-17,5.31,5.31,5.11,5.26
2631,2015-04-20,5.31,5.31,5.26,5.26
2630,2015-04-21,5.26,5.26,5.16,5.26
2629,2015-04-22,5.31,5.36,5.11,5.11
2628,2015-04-23,5.11,5.21,5.11,5.21
2627,2015-04-24,5.21,5.36,5.21,5.36
2626,2015-04-27,5.36,5.36,5.21,5.21
2625,2015-05-04,5.41,5.56,5.21,5.21
2624,2015-05-05,5.26,5.26,5.11,5.21
2623,2015-05-06,5.16,5.16,4.86,4.96
2622,2015-05-07,5.01,5.16,5.01,5.01
2621,2015-05-08,5.01,5.36,5.01,5.31
2620,2015-05-11,5.31,5.31,5.16,5.16
2619,2015-05-12,5.16,5.16,5.01,5.16
2618,2015-05-13,5.16,5.16,5.11,5.16
2617,2015-05-14,5.26,5.26,5.11,5.26
2616,2015-05-15,5.26,5.61,5.21,5.61
2615,2015-05-18,5.61,5.61,5.46,5.51
2614,2015-05-19,5.51,5.61,5.51,5.61
2613,2015-05-20,5.61,5.97,5.61,5.97
2612,2015-05-21,5.97,6.02,5.82,5.97
2611,2015-05-22,5.97,5.97,5.82,5.82
2610,2015-05-25,5.46,5.77,5.46,5.77
2609,2015-05-26,5.61,5.82,5.61,5.77
2608,2015-05-27,5.46,5.82,5.36,5.77
2607,2015-05-28,5.66,6.17,5.66,6.07
2606,2015-05-29,6.07,6.27,5.97,6.12
2605,2015-06-01,6.02,6.37,6.02,6.17
2604,2015-06-02,6.17,6.17,6.02,6.07
2603,2015-06-03,5.97,6.32,5.97,6.17
2602,2015-06-04,6.17,6.27,6.12,6.22
2601,2015-06-05,6.27,6.27,6.17,6.27
2600,2015-06-08,6.32,6.32,6.07,6.17
2599,2015-06-09,6.12,6.22,6.12,6.12
2598,2015-06-10,6.07,6.17,6.07,6.17
2597,2015-06-11,6.17,6.37,6.17,6.37
2596,2015-06-12,6.32,6.42,6.32,6.42
2595,2015-06-15,6.42,6.42,6.32,6.42
2594,2015-06-16,6.37,6.42,6.32,6.37
2593,2015-06-17,6.32,6.37,6.22,6.37
2592,2015-06-18,6.37,6.77,6.32,6.77
2591,2015-06-19,6.77,6.87,6.72,6.87
2590,2015-06-22,6.77,6.87,6.77,6.87
2589,2015-06-23,6.87,6.87,6.72,6.82
2588,2015-06-24,6.82,7.07,6.77,7.07
2587,2015-06-25,6.97,7.02,6.87,6.92
2586,2015-06-26,6.82,6.97,6.82,6.97
2585,2015-06-29,6.87,6.87,6.77,6.82
2584,2015-06-30,6.72,6.92,6.72,6.87
2583,2015-07-01,6.82,7.02,6.77,7.02
2582,2015-07-02,6.92,7.47,6.92,7.42
2581,2015-07-03,7.32,7.32,7.22,7.27
2580,2015-07-06,7.22,7.37,7.22,7.37
2579,2015-07-07,7.37,7.42,7.27,7.32
2578,2015-07-08,7.27,7.37,7.27,7.37
2577,2015-07-09,7.37,7.37,7.12,7.37
2576,2015-07-10,7.27,7.37,7.27,7.37
2575,2015-07-13,7.32,7.42,7.27,7.37
2574,2015-07-14,7.37,7.47,7.22,7.37
2573,2015-07-15,7.37,7.37,7.22,7.22
2572,2015-07-16,7.22,7.37,7.17,7.37
2571,2015-07-17,7.37,7.47,7.27,7.37
2570,2015-07-20,7.37,7.37,7.27,7.32
2569,2015-07-21,7.32,7.32,7.17,7.22
2568,2015-07-22,7.22,7.32,7.17,7.27
2567,2015-07-23,7.27,7.37,7.22,7.32
2566,2015-07-24,7.32,7.62,7.32,7.62
2565,2015-07-27,7.57,7.82,7.52,7.67
2564,2015-07-28,7.67,7.67,7.47,7.47
2563,2015-07-29,7.42,7.57,7.37,7.47
2562,2015-07-30,7.47,7.77,7.42,7.72
2561,2015-07-31,7.72,8.07,7.62,8.02
2560,2015-08-03,7.77,8.02,7.72,7.82
2559,2015-08-04,7.72,7.92,7.72,7.92
2558,2015-08-05,7.82,7.97,7.72,7.97
2557,2015-08-06,7.97,7.97,7.72,7.82
2556,2015-08-07,7.77,7.82,7.67,7.72
2555,2015-08-10,7.82,7.92,7.72,7.72
2554,2015-08-11,7.62,7.77,7.62,7.72
2553,2015-08-12,7.62,7.67,7.22,7.52
2552,2015-08-13,7.47,7.47,7.17,7.37
2551,2015-08-14,7.22,7.32,7.12,7.27
2550,2015-08-17,7.27,7.27,7.02,7.22
2549,2015-08-18,7.22,7.22,6.97,7.17
2548,2015-08-19,7.02,7.07,6.87,7.02
2547,2015-08-20,6.97,7.02,6.77,7.02
2546,2015-08-21,6.97,6.97,6.62,6.97
2545,2015-08-24,6.82,6.97,6.52,6.82
2544,2015-08-25,6.62,6.82,6.62,6.77
2543,2015-08-26,6.62,6.77,6.62,6.77
2542,2015-08-27,6.72,6.82,6.72,6.82
2541,2015-08-28,6.77,7.07,6.77,7.02
2540,2015-08-31,7.02,7.07,6.87,7.07
2539,2015-09-01,6.97,7.02,6.92,6.97
2538,2015-09-03,6.97,6.97,6.77,6.82
2537,2015-09-04,6.72,6.82,6.67,6.82
2536,2015-09-07,6.67,6.92,6.67,6.82
