,Date,Open,High,Low,Close
2695,2015-01-05,6.01,6.14,5.95,6.01
2694,2015-01-06,5.95,6.21,5.75,6.21
2693,2015-01-07,6.27,6.27,6.01,6.01
2692,2015-01-08,5.95,6.08,5.88,5.88
2691,2015-01-09,5.88,6.21,5.88,6.01
2690,2015-01-12,6.08,6.14,5.95,5.95
2689,2015-01-13,5.95,6.01,5.82,5.88
2688,2015-01-14,5.95,6.08,5.88,6.01
2687,2015-01-15,6.08,6.14,6.01,6.08
2686,2015-01-16,6.08,6.14,6.01,6.01
2685,2015-01-19,6.01,6.08,5.88,5.88
2684,2015-01-20,5.88,5.95,5.88,5.95
2683,2015-01-21,5.95,6.01,5.88,5.88
2682,2015-01-22,5.88,6.01,5.82,5.88
2681,2015-01-23,5.95,6.08,5.95,6.01
2680,2015-01-26,5.88,6.08,5.88,5.95
2679,2015-01-27,5.95,6.01,5.36,5.36
2678,2015-01-28,5.36,5.49,4.9,5.03
2677,2015-01-29,5.16,5.49,5.16,5.36
2676,2015-01-30,5.36,5.42,5.03,5.1
2675,2015-02-02,5.1,5.16,5.03,5.03
2674,2015-02-03,5.03,5.1,4.97,4.97
2673,2015-02-04,4.51,5.1,4.51,5.03
2672,2015-02-05,5.16,5.16,5.03,5.1
2671,2015-02-06,5.1,5.23,5.1,5.1
2670,2015-02-09,5.16,5.16,4.97,5.03
2669,2015-02-10,5.03,5.16,4.97,5.1
2668,2015-02-11,5.1,5.23,5.1,5.23
2667,2015-02-12,5.23,5.29,5.16,5.16
2666,2015-02-13,5.16,5.23,5.1,5.16
2665,2015-02-24,5.16,5.23,5.16,5.23
2664,2015-02-25,5.23,5.23,5.1,5.1
2663,2015-02-26,5.1,5.16,5.03,5.1
2662,2015-02-27,5.16,5.23,5.1,5.1
2661,2015-03-02,5.1,5.1,5.03,5.1
2660,2015-03-03,5.1,5.36,5.03,5.29
2659,2015-03-04,5.29,5.36,5.23,5.29
2658,2015-03-05,5.29,5.42,5.29,5.36
2657,2015-03-06,5.36,5.36,5.23,5.29
2656,2015-03-09,5.29,5.29,5.16,5.16
2655,2015-03-10,5.16,5.23,5.16,5.16
