,Date,Open,High,Low,Close
2067,2017-07-12,25.51,25.51,25.51,25.51
2066,2017-07-13,29.33,29.33,29.33,29.33
2065,2017-07-14,33.71,33.71,33.71,33.71
2064,2017-07-17,38.76,38.76,35.04,38.76
2063,2017-07-18,38.55,38.69,36.79,37.32
2062,2017-07-19,37.32,37.32,33.64,34.69
2061,2017-07-20,35.04,35.04,31.92,32.24
2060,2017-07-21,32.59,32.59,31.19,31.19
2059,2017-07-24,31.19,31.54,31.01,31.01
2058,2017-07-25,30.14,30.56,27.33,28.03
2057,2017-07-26,28.38,31.54,28.38,31.36
2056,2017-07-27,30.21,31.54,30.21,30.49
2055,2017-07-28,30.7,30.7,29.96,29.96
2054,2017-07-31,31.54,31.54,30.21,30.21
2053,2017-08-01,30.49,31.05,30.24,30.42
2052,2017-08-02,29.82,31.01,29.82,30.98
2051,2017-08-03,30.84,31.54,30.7,31.5
2050,2017-08-04,31.54,31.71,31.5,31.57
2049,2017-08-07,31.61,31.82,31.61,31.75
2048,2017-08-08,31.75,33.64,31.75,32.06
2047,2017-08-09,32.59,33.29,32.59,33.15
2046,2017-08-10,33.29,33.47,32.94,33.11
2045,2017-08-11,33.29,33.29,32.1,32.13
2044,2017-08-14,32.1,32.1,31.54,31.54
2043,2017-08-15,31.54,31.54,31.19,31.19
2042,2017-08-16,31.89,31.89,31.64,31.64
2041,2017-08-17,31.75,31.78,31.54,31.64
2040,2017-08-18,31.54,31.68,31.47,31.64
2039,2017-08-21,31.54,31.57,31.33,31.4
2038,2017-08-22,31.43,31.64,31.43,31.57
2037,2017-08-23,31.5,32.06,31.5,31.54
2036,2017-08-24,31.61,31.71,31.57,31.64
2035,2017-08-25,32.06,32.06,31.71,31.96
2034,2017-08-28,32.24,32.24,31.85,31.92
2033,2017-08-29,31.89,31.89,31.61,31.71
2032,2017-08-30,31.75,31.75,31.47,31.47
2031,2017-08-31,31.57,31.57,31.5,31.54
2030,2017-09-01,31.36,31.36,31.08,31.15
2029,2017-09-05,31.54,31.54,31.47,31.5
2028,2017-09-06,31.43,31.43,31.29,31.29
2027,2017-09-07,31.36,31.36,31.29,31.36
2026,2017-09-08,31.26,31.26,31.19,31.19
2025,2017-09-11,31.54,31.54,31.19,31.19
2024,2017-09-12,31.47,31.54,31.47,31.5
2023,2017-09-13,31.85,31.89,31.54,31.64
2022,2017-09-14,31.71,31.71,31.19,31.54
2021,2017-09-15,31.19,31.71,30.84,31.61
2020,2017-09-18,31.96,31.96,31.64,31.89
2019,2017-09-19,31.71,31.78,31.71,31.75
2018,2017-09-20,31.71,31.78,31.71,31.78
2017,2017-09-21,31.78,31.78,31.71,31.75
2016,2017-09-22,31.75,31.75,31.75,31.75
2015,2017-09-25,31.75,32.27,31.75,31.89
2014,2017-09-26,31.92,31.92,31.71,31.71
2013,2017-09-27,31.75,31.75,31.71,31.75
2012,2017-09-28,31.71,31.82,31.71,31.82
2011,2017-09-29,31.75,31.89,31.71,31.89
2010,2017-10-02,31.82,35.04,31.82,32.76
2009,2017-10-03,32.73,32.76,32.59,32.73
2008,2017-10-04,32.62,32.62,32.55,32.55
2007,2017-10-05,32.45,32.45,31.99,31.99
2006,2017-10-06,31.99,32.06,31.64,31.92
2005,2017-10-09,31.75,31.82,31.64,31.82
2004,2017-10-10,31.64,32.24,31.64,32.24
2003,2017-10-11,32.06,32.76,32.06,32.76
2002,2017-10-12,32.76,34.69,32.76,33.99
2001,2017-10-13,34.34,34.34,32.94,34.17
2000,2017-10-16,34.13,36.09,34.13,35.57
1999,2017-10-17,36.44,37.14,35.57,35.57
1998,2017-10-18,35.04,35.74,35.04,35.04
1997,2017-10-19,35.04,35.78,35.04,35.57
1996,2017-10-20,35.57,36.06,35.57,35.6
1995,2017-10-23,35.74,36.44,35.74,36.09
1994,2017-10-24,36.27,36.3,35.99,36.16
1993,2017-10-25,36.27,36.62,36.09,36.55
1992,2017-10-26,36.62,37.5,36.62,36.93
1991,2017-10-27,37.14,37.32,36.97,37.32
1990,2017-10-30,37.25,37.46,37.21,37.25
1989,2017-10-31,37.32,37.36,37.25,37.32
1988,2017-11-01,37.28,37.36,37.28,37.32
1987,2017-11-02,37.32,37.39,36.51,37.25
1986,2017-11-03,37.5,37.5,36.9,37.21
1985,2017-11-06,37.5,39.07,37.5,38.55
1984,2017-11-07,39.25,39.6,37.5,39.49
1983,2017-11-08,39.25,42.05,39.25,41.7
1982,2017-11-09,42.05,42.93,41.0,41.0
1981,2017-11-10,41.84,42.05,41.7,42.02
1980,2017-11-13,42.4,43.1,42.02,43.1
1979,2017-11-14,42.54,42.93,42.54,42.75
1978,2017-11-15,42.75,42.75,42.58,42.58
1977,2017-11-16,42.68,42.72,42.4,42.65
1976,2017-11-17,42.61,42.61,41.7,42.61
1975,2017-11-20,42.05,42.75,42.05,42.75
1974,2017-11-21,42.09,43.07,42.09,42.75
1973,2017-11-22,42.12,42.75,42.12,42.72
1972,2017-11-23,42.75,42.82,42.4,42.51
1971,2017-11-24,42.4,42.4,42.05,42.05
1970,2017-11-27,42.02,42.4,42.02,42.05
1969,2017-11-28,42.16,42.16,42.05,42.05
1968,2017-11-29,42.37,42.4,41.53,42.05
1967,2017-11-30,42.05,42.05,41.35,41.7
1966,2017-12-01,41.35,41.7,39.6,40.3
1965,2017-12-04,40.65,41.53,40.65,40.65
1964,2017-12-05,40.82,41.0,40.3,41.0
1963,2017-12-06,40.65,40.68,40.3,40.68
1962,2017-12-07,40.65,40.68,40.51,40.65
1961,2017-12-08,40.65,40.65,40.44,40.44
1960,2017-12-11,40.44,41.17,40.44,40.65
1959,2017-12-12,40.72,40.72,40.3,40.3
